Time,rotX,rotY,rotZosboxe
1582685132921,0.0032661378,0.004623319,-0.0038758898
1582685132971,-0.0026725603,0.004255069,2.6718853E-4
1582685133022,-0.0014941939,0.0032605953,0.003563954
1582685133071,-0.009045707,0.003089232,8.938755E-4
1582685133122,0.004471723,0.001190755,-0.0017762026
1582685133171,-0.0018464949,0.005289758,0.0037145806
1582685133221,6.757013E-4,-0.009321734,0.0052347663
1582685133272,0.005544571,0.0015949318,-0.0046558958
1582685133321,-0.0056166044,0.0057074022,0.0067915604
1582685133372,0.0014259766,-7.371027E-4,-0.001675046
1582685133421,-0.006919708,0.0046030506,0.00413881
1582685133471,0.0042121457,-0.009592462,0.0038823285
1582685133522,1.4408794E-4,-0.0071664997,-8.544279E-5
1582685133571,-0.003917481,6.559538E-5,-0.008039221
1582685133622,0.008477627,-0.01051683,-0.01657605
1582685133672,-0.0016702625,-0.0037598698,-0.002932815
1582685133721,-0.0010631548,0.0014875417,-0.0015190679
1582685133772,-0.008306784,-9.36938E-4,-0.004595923
1582685133822,-0.0061374092,-0.0027997354,0.001517687
1582685133871,-0.0049359556,-0.0073634824,-3.042007E-4
1582685133921,-0.0053783064,-0.010997311,-0.0066791703
1582685133971,-0.008379817,-0.011742917,-0.0014927341
1582685134022,-0.009454006,-0.0031163841,0.0032925084
1582685134071,-0.009359498,-7.696701E-4,-0.001608965
1582685134121,-0.00289394,-0.010641995,8.8857673E-4
1582685134172,-0.0028530527,-0.013291628,0.006228732
1582685134222,-8.8644796E-4,-0.015442072,-0.006977842
1582685134271,2.0040665E-4,-0.004797359,-0.01278457
1582685134321,-0.007643972,-0.0090961205,-0.0034773587
1582685134371,-3.061886E-4,-0.0089678345,-0.009460366
1582685134421,-0.011538347,-9.476673E-5,-0.002705521
1582685134472,2.3192167E-4,-0.013777078,-0.00613299
1582685134521,0.004971204,-0.007099623,-0.007468481
1582685134571,-0.006799737,-0.011441094,-0.008804219
1582685134621,7.0073316E-4,-0.01270334,-5.512675E-4
1582685134671,-3.177866E-4,-0.0010854821,-0.003699787
1582685134722,-0.0037475536,-0.011359119,-0.011468321
1582685134772,0.004869793,-0.010291238,-0.0028269608
1582685134822,8.646785E-4,-0.013968463,-0.00942605
1582685134871,0.010516603,-0.017521776,-0.01947247
1582685134922,0.002554608,-0.014013934,-0.012761096
1582685134972,0.008100973,-0.016271591,-0.0052663865
1582685135021,-7.0368266E-4,-0.009645068,-0.011844238
1582685135071,-0.0070519624,-0.013549632,-0.01857131
1582685135121,0.0039792648,-0.017381102,-0.014913192
1582685135171,3.7120795E-4,-0.017048698,-0.01204494
1582685135221,0.0014136098,-0.021726802,-0.006349857
1582685135272,0.007018479,-0.021341816,-0.015114909
1582685135321,-5.7903305E-4,-0.01781531,-0.014764773
1582685135372,0.005092736,-0.020395733,-0.002234463
1582685135422,0.0151372105,-0.024008654,-0.012893961
1582685135471,0.015893158,-0.008124736,-0.016019382
1582685135521,0.0029962673,-0.013312374,-0.020294277
1582685135572,-0.006299759,-0.017146036,-0.01895371
1582685135621,0.0014820439,-0.010235348,-0.019869236
1582685135671,-0.0067707463,-0.00861088,-0.019934462
1582685135721,-0.0075847227,-0.0042624036,-0.013386525
1582685135771,-0.011123458,-0.0067117726,-0.015693482
1582685135821,6.2608765E-4,-0.017675191,-0.016877277
1582685135872,-0.004130549,-0.015121817,-0.022262955
1582685135922,-0.016854588,-0.009595865,-0.009081109
1582685135972,-0.0077815023,-0.0039014267,0.0058764974
1582685136022,-0.011123458,0.0057707415,0.006996451
