Time,accX,accY,accZ
1582684462271,2.8498707,-5.2842226,7.701321
1582684462321,2.879285,-5.3432193,7.7593174
1582684462371,2.8855934,-5.357767,7.771556
1582684462422,2.7974164,-5.3546677,7.6977077
1582684462471,2.8054483,-5.2641435,7.817153
1582684462521,2.737674,-5.3657084,7.700582
1582684462572,2.7729087,-5.357397,7.747073
1582684462621,2.7997491,-5.358145,7.7541833
1582684462671,2.7723582,-5.392201,7.7308598
1582684462721,2.8216646,-5.2681465,7.7552667
1582684462772,2.7616081,-5.339691,7.794825
1582684462821,2.7548635,-5.4069595,7.7739134
1582684462871,2.8030803,-5.276596,7.7763104
1582684462921,2.80633,-5.288585,7.7479825
1582684462971,2.7364852,-5.2755437,7.800811
1582684463021,2.782837,-5.37507,7.803812
1582684463072,2.8225863,-5.2593403,7.804361
1582684463121,2.8359294,-5.179473,7.781181
1582684463172,2.862096,-5.261258,7.856255
1582684463222,2.800096,-5.29125,7.769881
1582684463271,2.7976916,-5.2699203,7.794994
1582684463321,2.844469,-5.2186074,7.799263
1582684463371,2.8284297,-5.1723566,7.825461
1582684463422,2.7989514,-5.2472677,7.8105397
1582684463472,2.8190322,-5.196688,7.872205
1582684463522,2.837255,-5.17938,7.838278
1582684463572,2.8641598,-5.1575565,7.903339
1582684463621,2.829453,-5.1722236,7.8390937
1582684463672,2.8203955,-5.2102766,7.862232
1582684463721,2.8380208,-5.107747,7.8690457
1582684463771,2.8596878,-5.060241,7.8789186
1582684463821,2.7883742,-5.2465444,7.888964
1582684463871,2.7804132,-5.2190456,7.873279
1582684463922,2.7426817,-5.121907,7.972415
1582684463971,2.774065,-5.1948442,7.8458333
1582684464022,2.7413201,-5.2325854,7.8031516
1582684464071,3.013634,-5.4924445,7.731702
1582684464121,4.226989,-6.1139426,8.065786
1582684464171,5.0654817,-6.111427,8.261601
1582684464221,4.6301346,-4.831473,8.636414
1582684464272,4.192535,-4.1963544,9.96035
1582684464322,4.602048,-0.67437434,10.686349
1582684464371,1.3246853,0.60310817,7.809768
1582684464422,-1.5365999,-2.670939,5.2667212
1582684464471,0.2336247,-5.9356413,5.9644957
1582684464521,-0.75468373,-5.8540125,8.905376
1582684464572,-1.4359347,-4.1981044,9.482107
1582684464622,-0.33026946,-3.8453863,9.681345
1582684464671,0.66724986,-2.405995,9.149978
1582684464722,2.6540399,-4.7960906,10.161402
1582684464772,3.5924313,0.7097767,11.866712
1582684464822,2.8143013,-2.1290603,9.556583
1582684464871,2.7407157,-6.080264,7.032534
1582684464922,3.205685,-4.6611953,7.957512
1582684464971,3.398227,-4.2639933,9.461114
1582684465021,2.6775668,-3.8096259,8.744528
1582684465072,2.2429984,-3.0540195,8.843635
1582684465121,2.166725,-3.502008,9.04898
1582684465172,2.1736958,-2.8785226,9.024195
1582684465221,2.5277762,-3.478887,8.895597
1582684465272,2.520048,-3.9209275,8.700042
1582684465322,2.2536318,-3.6276498,8.690226
1582684465371,2.2850628,-3.5576158,8.877137
1582684465421,2.417925,-3.3936784,8.923962
1582684465471,2.373263,-3.3389049,8.898719
1582684465521,2.4436908,-3.5514133,9.126624
1582684465571,2.6189718,-3.3927083,8.758947
1582684465622,3.012588,-3.4631674,9.120673
1582684465671,3.2351525,-3.3111367,9.287955
1582684465722,3.0902421,-2.9120088,8.871125
1582684465771,3.005464,-3.2011604,9.2134495
1582684465821,3.3688486,-3.4685407,10.128251
1582684465872,2.8612866,-2.6591473,10.007067
1582684465921,2.0878463,-3.0686002,9.13813
1582684465972,1.6377094,-2.788479,10.21197
1582684466022,0.71925104,-1.8801237,9.739422
1582684466071,-0.19644126,-3.2967196,7.9018717
1582684466122,-0.2596174,-4.1469765,7.5636306
1582684466172,-0.4179134,-1.9238663,5.730484
1582684466221,-0.38976225,-2.0235298,3.8655503
1582684466272,0.3400809,-4.8700266,4.0943146
1582684466321,0.8529359,-8.399768,6.8907576
1582684466371,1.9910672,-12.366472,9.653891
1582684466421,5.2295866,-15.323355,8.296152
1582684466472,4.846343,-4.9293985,2.195421
1582684466521,5.5390034,-10.638399,12.129733
1582684466572,8.071182,-8.292753,9.490225
1582684466621,8.165702,-8.042563,6.442244
1582684466672,7.983876,-6.608434,5.8746195
1582684466721,6.6231403,-4.7183146,2.5056388
1582684466772,4.55312,-4.1138263,1.8560404
1582684466822,4.093703,-3.6894362,1.36746
1582684466872,4.7586675,-4.9161053,3.0486667
1582684466922,6.409216,-4.980527,3.2873578
1582684466971,8.412437,-7.160385,2.8141346
1582684467022,9.628462,-4.999707,2.2938092
1582684467071,10.50525,-3.9505494,0.91873026
1582684467121,11.493731,-3.6611478,0.5262564
1582684467172,12.919752,-0.1662308,0.11300507
1582684467221,12.633942,3.1861186,-0.38805357
1582684467271,11.299839,3.9000869,-0.7022027
1582684467321,8.825906,1.0595758,-1.0869241
1582684467372,7.6935744,-0.91780347,-0.26142055
1582684467421,11.799313,-1.9201467,0.514939
1582684467472,13.783706,-2.5938528,1.8958791
1582684467521,11.934234,-2.1728208,2.9535005
1582684467572,8.780173,-1.5423532,4.1269016
1582684467621,6.1862063,-1.0542424,3.3727982
1582684467672,5.351053,-1.3239743,2.9395034
1582684467722,4.44516,-0.90148425,2.9561791
1582684467771,5.130677,-2.6045415,2.8879278
1582684467821,11.628237,-3.1509054,1.7574096
1582684467872,18.935226,-0.6271739,-3.1532736
1582684467921,14.617605,4.289761,-5.995862
1582684467971,15.381198,2.7684383,-3.2615256
1582684468021,13.07925,-0.38274297,-1.9151523
1582684468071,11.9854555,-0.6911568,-2.05222
1582684468122,11.687743,-0.24554381,-2.573281
1582684468171,10.297371,-0.38802,-1.4104457
1582684468221,9.297697,-0.019233048,-0.32570216
1582684468272,10.755476,3.4700851,-0.7987583
1582684468322,15.352067,10.19874,0.09428182
1582684468371,15.236496,9.779181,6.8597364
1582684468421,17.727184,6.008188,13.452339
1582684468472,20.398676,-0.9002285,14.88946
1582684468522,21.779451,-8.72796,12.719427
1582684468571,21.763525,-13.521107,7.090517
1582684468621,16.867374,-16.051735,-0.48898554
1582684468671,12.853935,-13.410212,-6.334367
1582684468722,10.180854,-7.730756,-9.714471
1582684468771,10.665016,-3.509707,-9.231521
1582684468822,12.198855,-0.059134483,-6.1201572
1582684468872,12.205249,0.82479495,-3.7488058
1582684468922,12.228993,1.7396921,-0.5806142
1582684468972,13.112535,1.8713285,2.2306135
1582684469022,13.813402,2.45298,6.8877554
1582684469071,16.20208,3.57799,9.557527
1582684469122,18.26466,1.2539082,11.949304
1582684469171,21.656078,-2.065888,15.084595
1582684469221,27.153496,-5.487459,16.17286
1582684469272,28.876316,-12.667492,11.430028
