Time,rotX,rotY,rotZosboxe
1582685842921,-1.2831616,2.898784,3.0633428
1582685842972,-0.9415054,2.368536,3.430434
1582685843021,-0.393136,1.716238,3.3814976
1582685843071,-0.08172754,1.1797296,3.035888
1582685843122,0.18535262,0.6424257,2.3277042
1582685843171,0.6609411,-0.1883976,1.2148126
1582685843222,1.1606102,-1.148602,-0.2883011
1582685843272,1.0857483,-2.1443646,-1.6930245
1582685843321,0.7269793,-2.6491916,-2.5194788
1582685843372,1.2951984,-2.8316343,-2.7670145
1582685843422,1.5678364,-2.902532,-2.4951909
1582685843472,1.0128496,-2.83152,-2.2194474
1582685843522,0.5513256,-2.7293875,-2.1679478
1582685843571,0.76478887,-2.5802581,-2.0113366
1582685843622,0.94764405,-2.1813428,-1.5507168
1582685843671,0.61313033,-1.5292599,-0.99298316
1582685843721,0.08417723,-0.9630146,-0.8034811
1582685843771,0.13381034,-0.064980455,-0.8463311
1582685843822,0.64023757,1.0416994,-0.5535852
1582685843871,1.1379641,2.0313244,0.3421657
1582685843922,1.0046135,2.6262772,1.4226154
1582685843972,1.0503509,3.0740805,1.9959807
1582685844021,0.58459824,3.0708468,2.2165866
1582685844071,-1.1801687,2.463678,2.6046388
1582685844121,-0.7199186,2.02589,2.8633173
1582685844172,-0.3591837,1.8275806,2.881127
1582685844221,-0.024015225,1.3370721,2.6263988
1582685844272,0.12419947,0.69791836,2.1075656
1582685844321,0.04326926,0.2350266,1.207433
1582685844371,-0.29306442,-0.56881434,-0.3208412
1582685844421,-0.13318653,-1.4316236,-1.8601252
1582685844472,0.90055305,-2.105363,-2.596612
1582685844521,1.623177,-2.334403,-2.6509686
1582685844571,1.2472506,-2.1907835,-2.6290143
1582685844622,0.5083073,-2.0075455,-2.6057937
1582685844672,0.1865349,-2.1651273,-2.4356265
1582685844721,0.676894,-2.1994903,-2.1332018
1582685844771,0.96260977,-1.8527048,-1.7611083
1582685844822,0.53912145,-1.3190293,-1.3332908
1582685844871,0.1906417,-0.6035966,-1.0282321
1582685844921,0.4404192,0.46386138,-0.794477
1582685844972,1.4150611,1.9637933,-0.18540698
