Time,accX,accY,accZ
1582683650909,2.0410628,-6.5312076,7.3698163
1582683650958,1.6318177,-6.011894,8.156049
1582683651009,1.5439781,-5.406456,8.335967
1582683651059,2.0243006,-5.8146105,8.706909
1582683651109,2.6970625,-6.1199446,8.800863
1582683651159,2.5642943,-5.6340933,9.128547
1582683651209,2.2007365,-6.4224257,8.572418
1582683651259,1.7738544,-7.7787943,7.3200016
1582683651309,1.2905612,-8.241564,6.4835877
1582683651359,1.1336943,-6.4052353,5.781622
1582683651408,0.7405305,-6.898041,6.4399533
1582683651459,0.49126524,-5.891646,5.957697
1582683651509,0.6136956,-6.3551383,6.273794
1582683651559,1.8667963,-6.428878,7.531475
1582683651609,2.6638107,-7.0002522,8.570028
1582683651659,3.0340295,-6.871214,8.229809
1582683651709,3.2145445,-8.348595,7.5491133
1582683651758,2.9446087,-7.9163847,8.120205
1582683651809,3.2994294,-6.8199186,8.581125
1582683651859,2.8275132,-6.8222427,8.301569
1582683651909,3.591525,-6.014996,7.9807224
1582683651959,3.4108367,-6.6921244,7.160449
1582683652009,3.2221613,-7.1930156,6.1797495
1582683652059,0.94877195,-6.1037345,5.325389
1582683652109,-0.015843928,-4.159352,5.989519
1582683652158,-2.3211412,-3.650136,5.7748127
1582683652209,-6.002285,-2.8953853,8.295518
1582683652259,-4.3616657,-3.4285169,8.076648
1582683652309,-4.6870227,-1.850083,6.4755898
1582683652358,-4.476566,0.20024791,3.8904357
1582683652409,-6.837285,-1.8125938,4.057023
1582683652459,-10.874744,-3.8618739,4.9202375
1582683652509,-11.995173,-6.131282,7.323583
1582683652559,-10.99141,-6.9101486,9.442319
1582683652609,-8.53718,-7.969642,8.049695
1582683652659,-5.564226,-6.4297028,6.905431
1582683652709,-3.162213,-7.718972,5.5757484
1582683652759,-2.2264674,-5.9950137,4.3092537
1582683652809,-0.5456018,-7.3728647,4.152513
1582683652859,0.8149468,-6.825528,4.6393967
1582683652909,1.4730806,-7.565891,4.8802085
1582683652959,2.756412,-7.1075325,5.8499007
1582683653009,3.096918,-7.0356474,7.0455747
1582683653059,4.3106766,-6.5269465,7.4968233
1582683653109,4.63443,-6.990413,8.684427
1582683653159,4.0436316,-6.639883,8.11603
1582683653209,5.077711,-5.760586,8.422943
1582683653258,4.682682,-5.248951,7.7003984
1582683653309,4.5588236,-4.8156996,8.24515
1582683653358,4.190789,-6.1052804,8.158016
1582683653409,3.6604424,-6.239068,8.079973
1582683653459,2.598825,-6.5966935,8.047696
1582683653509,2.5926945,-6.3880777,7.72859
1582683653559,1.4919348,-6.5173774,7.4265776
1582683653609,1.6523422,-6.300923,7.1273146
1582683653659,0.60747236,-6.144128,6.4462214
1582683653709,0.11482413,-5.8339524,6.169239
1582683653759,-0.8863584,-6.280867,5.9396143
1582683653809,-1.0896057,-5.9334908,6.4494114
1582683653859,-1.2036924,-5.6490297,6.9853625
1582683653909,-0.55465126,-6.2604585,7.44069
1582683653958,-0.25475997,-5.3795233,7.144655
1582683654009,-0.38342023,-5.0668817,8.092604
1582683654059,0.6244098,-3.94592,9.124479
1582683654108,2.3208208,-5.617096,10.778572
1582683654159,4.5927505,-5.553622,12.677605
1582683654209,5.1970243,-3.8486044,11.755102
1582683654259,3.5305758,-1.718621,9.839859
1582683654309,1.1066171,-1.5322783,7.3763313
1582683654359,-1.2249634,-2.3214903,6.4239535
1582683654408,-2.6493874,-3.0182142,6.122467
1582683654459,-3.2093291,-5.2751126,4.9762716
1582683654509,-5.075823,-6.0558147,4.2654257
1582683654559,-6.384314,-6.272425,4.0400143
1582683654609,-7.412342,-6.5685825,3.6681643
1582683654659,-8.094938,-4.7857294,2.6109138
1582683654709,-8.7140875,-5.7287607,1.9358141
1582683654759,-8.311338,-5.160773,1.7001204
1582683654809,-5.582369,-8.95186,1.1606
1582683654859,-4.6966596,-9.372675,2.9566092
1582683654908,-4.1019044,-9.713581,3.3571768
1582683654959,-3.8727155,-9.595317,3.407919
1582683655009,-3.3295364,-9.637134,2.303361
1582683655059,-2.9292312,-9.553947,2.9490461
1582683655109,-2.8850684,-8.453098,2.1538928
1582683655159,-3.294901,-8.439852,1.5911983
1582683655209,-2.9287183,-9.647997,0.44071648
1582683655259,-3.5526757,-9.16583,-0.2707283
1582683655309,-3.4540238,-9.085483,0.36897385
1582683655359,-3.3397934,-8.854034,0.31383604
1582683655409,-2.6855664,-8.979702,1.4476966
1582683655458,-1.7560339,-9.903659,1.5807106
1582683655509,-2.6595063,-9.2886505,0.53035605
1582683655559,-2.946187,-9.571251,0.09498425
1582683655609,-2.8601584,-9.46258,-0.31948107
1582683655659,-3.0035768,-8.137212,0.211252
1582683655709,-2.487975,-9.393322,-0.49408534
1582683655759,-2.4650779,-8.537245,0.46489644
1582683655809,-2.4287984,-8.713625,0.76722
1582683655859,-2.0290678,-9.253588,1.5341263
1582683655909,-2.0212898,-9.657035,1.7384845
1582683655959,-2.5026574,-8.48137,0.97389805
1582683656009,-2.6903982,-9.053234,1.0577463
1582683656059,-2.5399947,-8.708172,0.8566154
1582683656109,-2.2518678,-8.93219,0.35669658
1582683656159,-2.2366204,-9.831768,1.4529579
1582683656209,-2.6105924,-8.934906,2.073852
1582683656259,-2.219517,-9.777716,1.7262592
1582683656309,-2.680811,-8.727248,1.8647894
1582683656359,-2.8954053,-9.168876,0.70023376
1582683656409,-4.197546,-8.099007,-0.59966344
1582683656459,-3.7922833,-7.441987,-0.32835543
1582683656509,-4.08286,-7.6163073,-1.0104882
1582683656559,-5.3247013,-11.389393,-3.1093118
1582683656609,-3.6977723,-8.122875,-2.6905305
1582683656659,-2.9468915,-9.487201,-2.1932664
1582683656709,-2.3855004,-9.019481,-1.6280328
1582683656759,-3.0570905,-8.846531,-0.9842415
1582683656809,-2.9908295,-8.860792,-0.6240181
1582683656859,-2.807878,-8.972679,-0.7659802
1582683656908,-2.7091627,-9.03143,-0.8575128
1582683656959,-2.8972926,-9.146894,-0.8429104
1582683657009,-2.799058,-9.041866,-0.6848655
1582683657059,-2.793707,-9.170179,-0.72662306
1582683657109,-2.730648,-9.063928,-0.6209054
1582683657159,-2.7517862,-9.082686,-0.40981972
1582683657209,-2.7300274,-9.179015,-0.503076
1582683657259,-2.575304,-9.164402,-0.47689676
1582683657309,-2.6258616,-9.075954,-0.075187385
1582683657359,-2.721046,-9.395365,-0.21576825
1582683657409,-2.4388723,-8.9872,0.17666736
1582683657459,-2.5469036,-9.168484,-0.1776722
1582683657509,-2.3588982,-8.508597,0.36971074
1582683657559,-2.2622252,-9.2388315,1.2195427
1582683657609,-2.2518091,-8.502489,0.4104212
1582683657659,-3.336831,-9.518877,-2.495738
1582683657709,-2.5581398,-9.11187,-3.1287704
1582683657759,-2.1779952,-8.931579,-2.8581486
1582683657809,-2.486013,-8.868904,-2.0142004
1582683657859,-2.8079462,-8.948457,-1.7375154
1582683657909,-2.6027007,-9.005518,-1.9241626
1582683657959,-2.5687993,-9.456483,-2.0289936
1582683658009,-2.3459182,-8.675034,-0.565168
1582683658059,-2.4675658,-9.154751,-0.4880784
1582683658109,-2.4871757,-8.874992,-0.20967825
1582683658159,-2.5965552,-9.384267,-0.951049
1582683658209,-2.4364567,-9.142923,-0.5709469
1582683658259,-2.4871607,-9.101702,-0.6525653
1582683658309,-2.4455645,-9.180553,-0.68745834
1582683658359,-2.5073643,-9.171877,-0.50159883
1582683658408,-2.3880167,-9.138328,-0.6829568
1582683658459,-2.4504023,-9.233375,-0.6301427
1582683658509,-2.433413,-9.077886,-0.58609223
1582683658558,-2.4114833,-9.23213,-0.7146908
1582683658609,-2.487634,-9.176773,-0.6052015
1582683658659,-2.443424,-9.159195,-0.63579
1582683658709,-2.424213,-9.193373,-0.6418096
1582683658759,-2.4836164,-9.141188,-0.5641862
1582683658809,-2.448719,-9.194402,-0.6908128
1582683658859,-2.4017549,-9.1562395,-0.5725802
1582683658909,-2.466547,-9.1619,-0.57278264
1582683658959,-2.485257,-9.170949,-0.64718425
1582683659009,-2.5187848,-9.219742,-0.6688099
1582683659059,-2.5037508,-9.113579,-0.59754443
1582683659109,-2.4584203,-9.156828,-0.63494647
