Time,accX,accY,accZ
1582684472272,12.782969,-2.0917645,2.0256116
1582684472322,11.55041,-2.3642464,1.1572144
1582684472371,10.589554,-2.3322246,1.1592299
1582684472422,9.192198,-2.1644564,1.5811987
1582684472471,8.826913,-2.0066333,1.6694481
1582684472522,9.743366,-2.7728639,1.8146375
1582684472572,11.831096,-3.789685,1.2683648
1582684472621,13.028942,-4.393545,1.5990676
1582684472672,13.554749,-4.238122,1.8235425
1582684472721,13.71607,-2.5362558,0.7758142
1582684472771,16.853373,-0.628755,-0.18081903
1582684472821,17.708534,-0.36114565,-0.79830307
1582684472871,16.836254,-0.5435416,0.2668806
1582684472921,14.161045,-0.26451355,-0.0301072
1582684472971,11.143558,-0.28722966,-1.4025927
1582684473022,8.797795,-0.7700582,-1.8604618
1582684473072,7.5203924,-1.1208761,-1.3226298
1582684473121,7.5427747,-0.95406157,-0.6770808
1582684473172,9.1881485,-0.71607906,0.05203688
1582684473222,8.76464,-1.1177728,1.5840504
1582684473272,10.163829,-0.80871934,2.8027282
1582684473322,12.128462,-0.6635594,1.7037759
1582684473372,11.270911,-1.1927261,2.6046479
1582684473422,11.372199,-1.6345941,3.704513
1582684473472,12.941884,-1.18209,3.2585204
1582684473521,12.983278,-2.0394416,3.8953865
1582684473571,11.423483,-2.1435816,5.10039
1582684473621,9.520317,-1.5511124,4.7299404
1582684473672,9.358059,-1.844064,3.6916096
1582684473721,10.67319,-2.8268414,2.5712748
1582684473771,13.411298,-4.0162973,1.817289
1582684473821,15.780914,-4.2301836,1.6753045
1582684473872,11.865394,-2.7168562,0.010219127
1582684473921,12.154645,-2.975613,-1.7189193
1582684473971,13.318571,-4.099874,-2.6974406
1582684474021,13.889779,-2.9582405,-2.5022078
1582684474071,13.579743,-2.2722328,-2.4446378
1582684474121,12.274432,-1.8512366,-2.4697201
1582684474171,11.088573,-1.8168484,-2.1600244
1582684474222,10.421268,-1.3862919,-1.2069148
1582684474272,10.552845,-0.98651934,-0.9800484
1582684474321,10.566331,-0.6642698,-0.4325236
1582684474371,11.110567,-0.5653465,0.34357223
1582684474421,8.113077,-1.4212267,1.2569362
1582684474471,8.321596,-1.0356965,1.798343
1582684474522,10.583619,-1.0869455,0.6582311
1582684474571,12.165317,-1.5188048,0.6880709
1582684474621,11.521413,-1.8482788,1.4319073
1582684474672,10.73679,-2.6594641,1.7320049
1582684474721,10.533048,-3.0029335,2.0313013
1582684474771,9.817334,-3.1801448,2.2720952
1582684474821,9.427133,-2.5391483,2.2486258
1582684474872,11.720049,-3.3660462,2.4923751
1582684474922,13.683395,-4.2863164,2.3192508
1582684474972,14.026243,-4.917793,2.0699728
1582684475021,9.808285,-3.3155339,0.20165002
1582684475072,10.886085,-2.1610956,-0.7947802
1582684475122,11.82049,-2.5568523,-0.34545177
1582684475171,13.030675,-3.098461,-0.48887414
1582684475221,13.148666,-2.2532547,-1.4374441
1582684475271,12.354819,-1.8033159,-1.6260198
1582684475321,11.776675,-1.7669444,-1.7560449
1582684475371,11.199455,-1.662967,-1.3412051
1582684475422,11.941609,-1.2877152,-1.8178203
1582684475471,12.072926,-0.62888145,-1.3868887
1582684475521,10.752893,-0.21688852,-0.80463326
1582684475571,6.1854916,-0.75981164,1.562264
1582684475622,7.703833,-0.9340486,2.2363515
1582684475672,9.638599,-0.24871027,0.7588005
1582684475722,10.924782,-0.30310142,0.6706333
1582684475771,10.921964,-1.2955968,2.2767334
1582684475821,10.654079,-1.8903708,2.4743447
1582684475871,11.172852,-2.0630143,2.2364028
1582684475921,11.1749935,-2.1360164,1.6655151
1582684475971,11.307395,-1.9235331,0.5146516
1582684476021,12.345206,-1.5350399,0.357807
1582684476072,13.494187,-1.8751979,1.287719
1582684476121,13.602536,-2.369865,1.4896607
1582684476172,13.133379,-1.2875876,0.24283683
1582684476221,8.118966,2.6714778,-0.88037896
1582684476271,7.8874516,1.4074135,1.4502462
1582684476322,9.468278,-0.94829047,-1.608242
1582684476371,9.525293,-5.6874876,-5.1288834
1582684476421,9.238481,-1.497731,-6.4913797
1582684476472,10.5618,-0.9757835,-3.7456899
1582684476521,9.369138,-3.8261244,-1.974875
1582684476572,9.873727,-3.9980428,-3.364069
1582684476621,9.175568,-3.4154902,-2.8065896
1582684476671,9.521143,-1.903168,-1.461942
1582684476721,11.911185,-1.1371784,-0.7683657
1582684476771,13.724199,-0.44090086,-0.049932897
1582684476821,13.527998,0.6035026,0.20067361
1582684476871,9.303727,0.24438232,2.2520888
1582684476922,10.177907,0.14555717,1.1547737
1582684476972,12.462343,0.40478548,0.22559606
1582684477022,12.764923,-1.5913508,1.0562724
1582684477072,11.978925,-2.1602428,0.9654752
1582684477122,10.746041,-2.609942,1.3307303
1582684477172,9.074303,-2.6384947,2.168568
1582684477222,7.5870633,-2.657656,2.1423783
1582684477272,8.505432,-3.6915185,1.8551286
1582684477321,11.226586,-5.6988964,2.432358
1582684477371,15.4007435,-6.3927503,2.241054
1582684477422,15.765512,-3.3913584,0.1259945
1582684477471,14.009416,-0.9262431,-0.84443295
1582684477522,14.489109,-0.6600801,-0.6893198
1582684477571,13.798883,-2.1981268,0.09234505
1582684477621,13.760559,-1.720484,-1.5890863
1582684477671,12.41458,-1.3027203,-1.9400649
1582684477721,10.206152,0.18919027,-1.4303861
1582684477771,8.693246,0.09462571,-0.6708339
1582684477822,9.117602,0.45950145,-0.15173036
1582684477872,9.342435,1.285862,0.011648506
1582684477922,9.595116,1.3984407,0.6220292
1582684477971,13.240059,0.67984664,-0.40065944
1582684478021,12.909654,-1.4597889,0.62094223
1582684478072,11.317316,-2.1152632,1.7789466
1582684478121,11.798826,-2.9146953,1.417432
1582684478172,11.257426,-4.122911,1.911668
1582684478221,11.10533,-3.3822293,2.942338
1582684478271,9.936151,-2.5346298,2.1870675
1582684478321,9.013088,-2.167929,1.9442108
1582684478371,9.710768,-2.7900248,2.3380892
1582684478422,12.309138,-4.948272,3.7915006
1582684478471,14.292686,-5.58384,3.815792
1582684478521,13.471833,-4.5846357,3.3213625
1582684478571,12.449801,-2.9355466,1.9127537
1582684478622,13.193433,-2.0862536,0.73882014
1582684478671,13.309458,-1.7441562,0.36858097
1582684478722,12.2302265,-1.7488054,0.40754336
1582684478772,11.086403,-1.284338,-0.34295732
1582684478821,10.806366,-1.2844454,-1.5551763
1582684478871,9.677759,-1.2428606,-1.8253781
1582684478921,9.310744,-1.0408769,-1.5073457
1582684478972,10.515481,-1.2368759,-1.1649791
1582684479022,10.701291,-0.41502026,-0.97544837
1582684479071,10.862148,0.2832376,0.050061703
1582684479121,11.736581,-0.07880366,0.8459705
1582684479171,8.234228,-0.7356179,3.1596344
1582684479222,9.330932,0.14988223,3.0309012
1582684479271,11.524004,1.0774623,2.4787822
1582684479321,12.658831,-0.014107347,2.8432498
1582684479372,11.864521,-1.6963556,4.198061
1582684479422,11.205838,-1.371531,4.3213067
1582684479471,9.59681,-1.7682477,4.020126
1582684479521,9.170747,-2.3754861,3.395061
1582684479571,10.35828,-2.5789428,2.9160452
1582684479622,12.511425,-3.1832774,1.4137597
1582684479672,14.626617,-3.3208158,1.049413
1582684479722,10.8615265,-2.149172,0.48262298
1582684479771,12.33027,-2.617636,-0.5564994
1582684479822,12.917127,-3.170035,-1.2721329
1582684479871,14.079757,-2.667228,-1.0203402
1582684479922,14.538906,-1.5275037,-1.5541736
1582684479971,12.32078,-1.0925317,-1.2037413
1582684480022,10.474507,-1.3217647,-0.71950215
1582684480072,9.018313,-1.5879475,-0.82619995
1582684480121,9.334042,-1.604376,-0.8762885
1582684480171,9.905877,-0.56801194,-0.5704216
1582684480221,10.861821,0.09242998,-0.340723
1582684480271,8.703584,-0.4306886,-0.03633344
1582684480321,7.5266833,-1.2865782,2.4111972
1582684480372,10.54923,-1.2611394,1.8243201
1582684480422,13.162304,-1.0469445,0.24797072
1582684480471,13.626712,-1.6332108,1.5644386
1582684480521,12.503962,-1.999498,2.917213
1582684480571,10.839431,-2.5483887,3.3973193
1582684480621,10.545542,-1.9453939,3.6121097
1582684480672,9.870401,-1.7291367,3.372561
1582684480721,9.953762,-2.0223143,3.3036325
1582684480771,12.725726,-3.3899088,3.457773
1582684480822,14.938549,-3.7271116,3.3086243
1582684480871,12.920449,-2.7905555,2.2834146
1582684480921,11.618923,-1.4291863,0.8896992
1582684480971,13.610387,-1.4679706,0.10070419
1582684481022,13.945804,-2.4399717,-0.8754508
1582684481071,12.636748,-2.0950446,-1.0818607
1582684481121,11.651025,-1.5018324,-1.0272722
1582684481172,10.938548,-1.6467097,-1.882958
1582684481221,9.763902,-1.8195636,-1.8204869
1582684481271,9.460947,-1.5783207,-0.8493713
1582684481321,9.819837,-0.787211,-0.27557555
1582684481371,10.059164,-0.2296963,0.46972987
1582684481421,10.385849,-0.1425277,0.9706335
1582684481471,8.038231,-1.2945831,2.6129146
1582684481521,8.701092,-1.3567028,2.7119133
1582684481571,11.541208,-0.8991905,1.5876269
1582684481622,12.418295,-1.535715,1.9073474
1582684481671,11.893297,-1.5537483,2.6109576
1582684481722,11.00583,-2.2208838,2.9040353
1582684481772,9.939914,-2.3893032,3.169987
1582684481822,10.14333,-2.162837,3.3325555
1582684481872,11.615104,-2.1621282,2.434977
1582684481921,12.884051,-2.5252938,1.7976375
1582684481971,13.772584,-1.9306871,2.1430826
1582684482021,11.720326,-1.7137942,2.2293172
1582684482071,7.2900367,-1.7657958,1.4565309
1582684482122,9.202144,-2.9738078,0.6694411
1582684482171,13.233153,-3.1861706,0.4310025
1582684482221,13.980978,-1.9425575,-0.17032802
