Time,accX,accY,accZ
1582686001792,6.559508,-0.795122,7.5540605
1582686001813,6.612209,-0.8023085,7.4486585
1582686001833,6.693656,-0.799913,7.43189
1582686001852,6.7966623,-0.83345,7.4294944
1582686001872,6.866132,-0.8454275,7.3624206
1582686001890,6.933206,-0.919688,7.259414
1582686001910,6.990698,-1.005926,7.1564074
1582686001930,7.04819,-0.9939485,7.072565
1582686001950,7.0961,-1.015508,6.947999
1582686001971,7.129637,-1.0658135,6.8593655
1582686001990,7.1895247,-1.12091,6.837806
1582686002010,7.254203,-1.106537,6.8641567
1582686002030,7.3188815,-1.1328875,6.833015
1582686002050,7.38356,-1.135283,6.6964717
1582686002070,7.4290743,-1.1280965,6.6389794
1582686002090,7.5248947,-1.0226945,6.622211
1582686002110,7.603946,-0.9556205,6.607838
1582686002130,7.647065,-0.9172925,6.5431595
1582686002150,7.642274,-0.92927,6.507227
1582686002170,7.599155,-1.0131125,6.5096226
1582686002189,7.541663,-1.068209,6.5048313
1582686002209,7.512917,-1.0562315,6.502436
1582686002229,7.5632224,-0.9891575,6.5144134
1582686002249,7.594364,-0.9508295,6.531182
1582686002269,7.62311,-0.962807,6.5192046
1582686002290,7.613528,-0.9747845,6.459317
1582686002310,7.6350875,-0.92927,6.4377575
1582686002329,7.6686244,-0.895733,6.4569216
1582686002349,7.6829977,-0.8741735,6.4760857
1582686002369,7.685393,-0.8502185,6.507227
1582686002389,7.7021613,-0.7783535,6.535973
1582686002410,7.6973705,-0.7496075,6.5527415
1582686002429,7.6590424,-0.7831445,6.483272
1582686002448,7.6015506,-0.7735625,6.430571
1582686002469,7.608737,-0.7400255,6.444944
1582686002488,7.661438,-0.7304435,6.4665036
1582686002509,7.6973705,-0.7591895,6.4760857
1582686002528,7.7069526,-0.756794,6.47369
1582686002549,7.6734157,-0.7496075,6.4521303
1582686002569,7.6542516,-0.7975175,6.483272
1582686002589,7.647065,-0.799913,6.4952493
1582686002609,7.6542516,-0.790331,6.5048313
1582686002628,7.656647,-0.771167,6.545555
1582686002648,7.661438,-0.7304435,6.5766964
1582686002668,7.694975,-0.73763,6.5910697
1582686002688,7.7021613,-0.7543985,6.5671144
1582686002708,7.6638336,-0.7783535,6.468899
1582686002728,7.6255054,-0.823868,6.4185934
1582686002748,7.6207147,-0.7543985,6.416198
1582686002768,7.6877885,-0.7064885,6.4377575
1582686002788,7.7404895,-0.742421,6.406616
1582686002808,7.7548623,-0.771167,6.373079
1582686002828,7.7213254,-0.766376,6.4233847
1582686002848,7.6877885,-0.7448165,6.435362
1582686002868,7.656647,-0.7687715,6.435362
1582686002887,7.6590424,-0.799913,6.4377575
1582686002909,7.694975,-0.8023085,6.4569216
1582686002929,7.7021613,-0.7831445,6.454526
1582686002949,7.694975,-0.814286,6.449735
1582686002969,7.6686244,-0.828659,6.449735
1582686002989,7.632692,-0.8214725,6.4665036
1582686003009,7.6302967,-0.814286,6.531182
1582686003029,7.6638336,-0.7879355,6.564719
1582686003049,7.7069526,-0.756794,6.5287867
1582686003069,7.7117434,-0.766376,6.459317
1582686003089,7.690184,-0.7927265,6.4281754
1582686003109,7.642274,-0.8406365,6.430571
1582686003129,7.6015506,-0.8885465,6.454526
1582686003148,7.5967593,-0.8502185,6.4856677
1582686003168,7.6255054,-0.775958,6.5527415
1582686003188,7.6782064,-0.756794,6.5144134
1582686003208,7.680602,-0.8023085,6.5192046
1582686003229,7.685393,-0.8454275,6.550346
1582686003248,7.7069526,-0.83345,6.550346
1582686003269,7.714139,-0.828659,6.5096226
1582686003288,7.7165346,-0.8214725,6.4665036
1582686003308,7.694975,-0.804704,6.3515196
1582686003328,7.7165346,-0.8214725,6.315587
1582686003348,7.7404895,-0.862196,6.4090114
1582686003368,7.762049,-0.8933375,6.4952493
1582686003388,7.771631,-0.871778,6.488063
1582686003408,7.8075633,-0.88136,6.4425483
1582686003428,7.829123,-0.8310545,6.4281754
1582686003448,7.7979813,-0.819077,6.3850565
1582686003468,7.7883997,-0.8645915,6.339542
1582686003488,7.7836084,-0.8885465,6.320378
1582686003508,7.7836084,-0.857405,6.325169
1582686003528,7.7788177,-0.852614,6.291632
1582686003548,7.7740264,-0.838241,6.2796545
1582686003568,7.800377,-0.771167,6.325169
1582686003588,7.786004,-0.7735625,6.344333
1582686003608,7.7309074,-0.799913,6.291632
1582686003627,7.7356987,-0.857405,6.358706
1582686003647,7.757258,-0.8550095,6.449735
1582686003667,7.7931905,-0.8789645,6.4665036
1582686003687,7.809959,-0.914897,6.4090114
1582686003706,7.7979813,-0.8933375,6.353915
1582686003727,7.790795,-0.83345,6.3227735
1582686003746,7.795586,-0.8454275,6.2652817
1582686003766,7.800377,-0.8693825,6.23414
1582686003786,7.7979813,-0.843032,6.191021
1582686003806,7.8411007,-0.790331,6.2604904
1582686003826,7.8698463,-0.795122,6.2940273
1582686003847,7.867451,-0.862196,6.272468
1582686003867,7.795586,-0.9364565,6.2604904
1582686003886,7.776422,-0.8693825,6.286841
1582686003906,7.7979813,-0.8550095,6.2892365
1582686003926,7.829123,-0.919688,6.315587
1582686003946,7.805168,-0.8981285,6.3371463
1582686003966,7.771631,-0.9364565,6.3706837
1582686003986,7.7309074,-0.9652025,6.382661
1582686004006,7.7261167,-0.905315,6.344333
1582686004026,7.723721,-0.9125015,6.37787
1582686004046,7.7117434,-0.890942,6.4185934
1582686004066,7.7452803,-0.843032,6.4521303
1582686004086,7.7165346,-0.78554,6.4233847
1582686004105,7.6782064,-0.804704,6.4281754
1582686004125,7.680602,-0.8358455,6.4856677
1582686004145,7.685393,-0.7975175,6.526391
1582686004165,7.680602,-0.7496075,6.5048313
1582686004185,7.6829977,-0.756794,6.526391
1582686004205,7.680602,-0.7831445,6.526391
1582686004225,7.67102,-0.795122,6.454526
1582686004245,7.637483,-0.799913,6.4138026
1582686004266,7.627901,-0.8023085,6.478481
1582686004285,7.6638336,-0.804704,6.5431595
1582686004305,7.6686244,-0.8454275,6.468899
1582686004325,7.6398783,-0.9125015,6.440153
1582686004345,7.666229,-0.8885465,6.444944
1582686004365,7.699766,-0.8885465,6.4425483
1582686004385,7.690184,-0.9364565,6.373079
1582686004405,7.6829977,-0.9891575,6.3515196
1582686004425,7.6829977,-1.015508,6.358706
1582686004444,7.6925793,-1.1041415,6.4185934
1582686004464,7.7117434,-1.1712155,6.464108
1582686004485,7.7356987,-1.135283,6.4569216
1582686004504,7.733303,-1.087373,6.363497
1582686004525,7.714139,-1.0610225,6.23414
1582686004544,7.675811,-1.125701,6.277259
1582686004565,7.675811,-1.197566,6.401825
1582686004585,7.709348,-1.259849,6.483272
1582686004604,7.7165346,-1.2718265,6.4473395
1582686004624,7.690184,-1.245476,6.310796
1582686004644,7.656647,-1.2574534,6.2988186
1582686004664,7.618319,-1.235894,6.3323555
1582686004684,7.613528,-1.2478715,6.3946385
1582686004704,7.599155,-1.2430805,6.392243
1582686004724,7.6111326,-1.231103,6.37787
1582686004744,7.661438,-1.3245275,6.4856677
1582686004764,7.651856,-1.4011835,6.559928
1582686004783,7.608737,-1.3724375,6.531182
1582686004804,7.5919685,-1.279013,6.449735
1582686004824,7.603946,-1.250267,6.3946385
1582686004844,7.627901,-1.3389004,6.444944
1582686004864,7.618319,-1.40837,6.488063
1582686004884,7.5871773,-1.4443026,6.4760857
1582686004903,7.52729,-1.432325,6.4617124
1582686004923,7.52729,-1.3772285,6.4760857
1582686004942,7.5752,-1.398788,6.502436
1582686004963,7.565618,-1.417952,6.497645
1582686004982,7.5057306,-1.4155566,6.459317
1582686005002,7.522499,-1.4155566,6.5239954
1582686005022,7.541663,-1.4251385,6.583883
1582686005042,7.512917,-1.4490935,6.583883
1582686005062,7.503335,-1.470653,6.545555
1582686005082,7.493753,-1.485026,6.6006513
1582686005102,7.4530296,-1.480235,6.6006513
1582686005122,7.4434476,-1.4922125,6.579092
1582686005141,7.441052,-1.5017945,6.6246066
1582686005161,7.4147015,-1.50419,6.6964717
1582686005181,7.3859553,-1.5161675,6.674912
1582686005201,7.38356,-1.475444,6.6293974
1582686005222,7.3476276,-1.489817,6.708449
1582686005242,7.3140907,-1.528145,6.741986
1582686005262,7.2470164,-1.547309,6.775523
1582686005281,7.187129,-1.470653,6.799478
1582686005301,7.1847334,-1.3724375,6.7875004
1582686005322,7.1799426,-1.379624,6.8306193
1582686005341,7.158383,-1.3916014,6.928835
1582686005361,7.14401,-1.5161675,6.9983044
1582686005380,7.091309,-1.4490935,6.9743495
1582686005400,7.062563,-1.4203475,6.9887223
1582686005421,7.0793314,-1.3868105,7.067774
1582686005441,7.1176596,-1.346087,7.1180797
1582686005461,7.1080775,-1.3580645,7.043819
