Time,rotX,rotY,rotZosboxe
1582684912921,0.020551018,0.04427002,-0.09501437
1582684912972,-0.48916385,0.02690554,-0.0803048
1582684913021,-0.6813511,0.060714815,0.014020558
1582684913072,-0.56995046,0.13471732,0.08490909
1582684913121,-0.07212475,0.0944844,0.0955632
1582684913171,0.027265936,0.013573826,0.07197082
1582684913222,-0.14766383,-0.01947717,-0.022281237
1582684913271,-0.41395757,-0.02900092,-0.047204334
1582684913322,-0.26439238,-0.010448837,0.01079491
1582684913372,0.06809153,0.005259297,0.007752335
1582684913421,0.23574525,0.053749185,-0.0074073784
1582684913471,-0.0059529846,0.18203458,0.034433205
1582684913522,0.54083586,-0.014534735,-0.12448482
1582684913571,1.3433163,-0.039153542,-0.10847367
1582684913621,2.1731248,0.039730366,-0.091656856
1582684913672,1.5476491,-0.047224045,-0.02887313
1582684913722,0.8722287,0.082534485,-4.209946E-4
1582684913771,-0.09393504,-0.030364845,-0.052737042
1582684913821,-1.3962715,0.020703677,0.018802788
1582684913871,-1.0747862,0.035973378,0.082094654
1582684913921,-0.20990272,0.03513437,0.04166226
1582684913971,-0.022622354,-0.020963237,0.0058392794
1582684914021,0.22531535,-0.047531355,-0.011328471
1582684914072,0.3262917,-0.041741308,-0.1347348
1582684914122,0.07791478,-0.03384237,-0.15018614
1582684914171,0.1766807,-0.02118425,-0.082791425
1582684914221,0.24985278,0.0061739916,-0.07444284
1582684914272,0.7637913,0.04381625,-0.09249056
1582684914321,0.71349865,0.08027823,-0.0068093026
1582684914371,0.31790355,0.08155055,-0.041733302
1582684914422,-0.41954967,-0.004295961,-0.06390169
1582684914471,-1.6025872,0.17745169,0.015207596
1582684914522,-1.0187216,0.020764325,0.11691446
1582684914572,-0.090180814,-0.0075206663,0.09692377
1582684914622,-0.004392952,-0.031135887,-0.0052373665
1582684914671,0.04924618,-0.016218223,-0.021472165
1582684914721,0.033746094,0.018076137,0.0032302937
1582684914771,-0.017754756,0.03441899,-2.882746E-4
1582684914821,0.029909305,0.016164787,-0.029231058
1582684914872,0.19977145,-0.027464204,-0.13020548
1582684914922,0.031179845,-0.034808952,-0.11498153
1582684914972,-0.1491061,0.01316107,-0.06229889
1582684915021,-0.14302987,0.05915134,-0.0043554786
1582684915072,-0.16785823,0.059566803,0.03917686
1582684915122,-0.4260229,0.0018413616,0.06943572
1582684915171,-0.51819515,0.01858227,0.09856528
