Time,rotX,rotY,rotZosboxe
1582685622921,0.0036678142,0.0025578593,-0.0013904036
1582685622971,0.0013511534,-0.005151382,-0.0040866937
1582685623021,0.001386211,-0.005432476,-0.003946147
1582685623071,0.001990412,0.0015740255,-0.0018120464
1582685623121,0.004158927,0.005160356,-0.001218901
1582685623171,0.007376082,0.005125944,-8.7653846E-4
1582685623222,0.0040445896,0.0017332276,-0.0019911071
1582685623271,0.0040901005,-9.3684904E-4,-0.0033489007
1582685623321,0.0031825667,2.8561684E-4,-0.0023709983
1582685623372,0.0132841095,0.009681473,-0.0037017448
1582685623422,0.027435927,0.024900509,-0.0075283144
1582685623472,0.02962914,0.019932972,-0.032061942
1582685623521,0.04419498,0.0038271095,-0.04611968
1582685623571,0.041250985,0.0022610314,-0.015738916
1582685623621,0.03120529,-0.013005158,-0.0050453423
1582685623671,-0.017189886,-0.029116152,0.006295047
1582685623722,-0.018386055,3.2861577E-4,0.017159281
1582685623772,-0.019469867,0.037150495,0.0032438748
1582685623821,0.2969535,0.14109865,-0.06415722
1582685623872,1.4439111,0.31801853,-0.20994961
1582685623921,2.1772888,0.74114305,-0.47664937
1582685623972,1.1126373,0.70575124,-0.7220963
1582685624021,0.20285037,0.6137682,-0.8041039
1582685624071,-0.12632373,0.47870797,-0.7752654
1582685624121,-0.43175587,0.24212678,-0.791593
1582685624171,-0.47003055,0.10776932,-0.74699754
1582685624221,-0.57337403,0.021842366,-0.55902916
1582685624272,-0.6651921,-0.0031000525,-0.37311003
1582685624322,-0.44231164,-0.019319238,-0.2219587
1582685624372,-0.8090594,-0.08116958,-0.09282367
1582685624421,-0.583761,-0.048396416,-0.15698104
1582685624471,-0.87196213,-0.021774426,-0.19115259
1582685624521,-1.1906493,-0.044301312,-0.1670835
1582685624571,-1.1013507,-0.03681729,-0.20810668
1582685624621,-1.2316785,-0.016216705,-0.2532656
1582685624671,-1.06764,0.09835491,-0.36269572
1582685624721,-1.1974001,0.041442864,-0.5852004
1582685624772,-0.5798563,0.029999351,-0.7402514
1582685624821,-1.0994676,-0.02772071,-0.48795125
1582685624871,-0.12377279,0.16481124,-0.5240421
1582685624921,-0.5929081,0.26704344,-0.9916105
1582685624971,-1.249589,0.048978563,-1.9788505
1582685625021,-1.4337738,0.1756681,-3.0721436
