Time,rotX,rotY,rotZosboxe
1582683462222,-0.012994648,-0.0022569397,-0.009377245
1582683462271,-0.0062573976,0.0030179564,-0.008700242
1582683462322,-0.013661919,0.009840243,-0.010191377
1582683462371,-0.028043078,0.016780406,-0.010456343
1582683462422,-0.031898797,0.012485021,-0.0050084023
1582683462471,-0.019883448,0.010209071,-0.014258266
1582683462522,0.0050887754,0.012697816,-0.026285937
1582683462572,0.036512144,0.028282648,-0.01283562
1582683462622,0.081835,0.0771278,0.016466765
1582683462671,0.21877415,0.109473005,0.03491983
1582683462721,0.33926198,0.043971557,-0.019259628
1582683462772,0.45741573,-0.09184268,-0.05390992
1582683462821,0.6837322,-0.16104156,-0.14600931
1582683462871,0.7292831,-0.19014208,-0.21079384
1582683462921,0.8379598,-0.2593357,-0.25669464
1582683462971,0.85392785,-0.4303528,-0.2475735
1582683463022,0.5778529,-0.53062963,-0.1304407
1582683463071,0.7338594,-0.54270166,0.029987028
1582683463122,0.49778405,-0.4699859,0.08909871
1582683463171,0.36960024,-0.3603484,0.0060955193
1582683463222,0.27294028,-0.27330545,-0.118284784
1582683463272,0.13287897,-0.15803444,-0.11132687
1582683463321,0.09970155,-0.06912554,-0.0721515
1582683463371,0.055697624,0.0049315603,-0.09061689
1582683463422,0.0019363676,0.037179798,-0.12032684
1582683463471,-0.0577288,0.019366415,-0.1192721
1582683463522,0.019654522,-0.006606108,-0.064536504
1582683463571,0.058808964,-0.089339204,-0.03930644
1582683463621,0.07531801,-0.13846472,-0.035158798
1582683463672,0.09807444,-0.16521035,-0.0035866406
1582683463722,-0.005062274,-0.15022966,0.03923793
1582683463772,-0.014648552,-0.08269408,0.047593236
1582683463822,-0.123093866,-0.01633322,0.07813115
1582683463872,-0.11482834,0.02107234,0.055837706
1582683463922,-0.1617488,0.034102205,0.06854612
1582683463971,-0.14649218,0.017118428,0.040892214
1582683464021,-0.14552462,-0.022171484,0.023973392
1582683464071,-0.14648075,-0.07043656,0.018218143
1582683464121,-0.17878449,-0.12129543,0.0060790535
1582683464172,-0.14154439,-0.17571157,-0.02594467
1582683464222,-0.12010363,-0.2357883,-0.04066167
1582683464271,-0.10066381,-0.28275624,-0.03986428
1582683464321,-0.028521076,-0.30813155,-0.041005358
1582683464371,-0.08386307,-0.26726347,-0.04275772
1582683464421,-0.09936614,-0.20730114,-0.04902467
1582683464472,-0.12077897,-0.13867554,-0.033771273
1582683464521,-0.11085293,-0.0829242,-0.06461082
1582683464571,0.015857488,-0.047099344,-0.014890635
1582683464621,0.07146355,0.014255971,0.110777594
1582683464672,0.2048206,0.054218534,0.27024272
1582683464722,-0.061732564,0.1308674,0.3570746
1582683464771,-0.14568666,0.16594855,0.31922927
1582683464821,-0.0015569899,-0.03905954,0.38120148
1582683464871,0.1685086,-0.28330863,0.5368921
1582683464922,0.33261105,-0.33516496,0.6633398
1582683464971,0.39096537,-0.3330532,0.7123982
1582683465021,0.39433473,-0.23409459,0.76784885
1582683465072,0.3502587,-0.08944253,0.70033246
1582683465122,0.15447421,0.10584419,0.6215057
1582683465171,0.14033335,0.31349382,0.61251354
1582683465221,0.11698056,0.4035245,0.6563579
1582683465271,-0.01383572,0.35883597,0.89755833
1582683465322,-0.40794063,0.22551212,0.9353043
1582683465372,-0.9783783,0.13237469,0.52836215
1582683465422,-0.6304749,-0.11482077,-0.07132097
1582683465472,-0.9569736,-0.0711673,-0.44791
1582683465522,-0.9265231,0.013911519,-0.3915096
1582683465571,-0.8202083,0.07266286,-0.117288716
1582683465622,-0.40701187,0.2608577,0.06694614
1582683465671,-0.30818447,0.39441448,0.017415008
1582683465721,-0.26916644,0.5065027,-0.12037423
1582683465771,-0.2538503,0.5575523,-0.062450565
1582683465822,-0.13163583,0.657257,0.09472427
1582683465871,-0.014948276,0.97028565,0.24371454
1582683465921,0.029480116,1.0409491,0.101396
1582683465971,-0.38917527,1.1014904,-0.3209479
1582683466022,-0.6296667,1.1011832,-0.5314288
1582683466071,-0.9075206,0.84716743,-0.48748767
1582683466121,-0.9766887,0.585018,-0.31341955
1582683466172,-0.6983746,0.38265482,-0.20090905
1582683466221,-0.6913397,0.36063522,-0.18819612
1582683466272,-0.5488598,0.39412564,-0.14471462
1582683466321,-0.14455386,0.37240717,-0.21804927
1582683466371,0.14659205,0.25216183,-0.1625708
1582683466422,0.14030668,0.110911846,-0.04400269
1582683466472,0.03354654,0.058753856,5.718912E-4
1582683466522,0.005234096,0.06652751,-0.06093722
1582683466571,-0.024666222,0.06528077,-0.10344612
1582683466621,-0.06852854,0.07535016,-0.1159497
1582683466672,-0.059498463,0.07549939,-0.1310152
1582683466721,-0.03224158,0.08323156,-0.09484235
1582683466771,-0.023024788,0.063678704,-0.07528607
1582683466822,-0.06869172,0.04291091,-0.1102067
1582683466871,-0.10025644,0.07059647,-0.11557079
1582683466922,-0.101599626,0.1219751,-0.07418458
1582683466972,-0.10269894,0.1579088,-0.024922524
1582683467021,-0.091686815,0.17764503,0.024184592
1582683467072,-0.096064225,0.1725394,0.02282202
1582683467122,-0.09966382,0.13832398,0.0031473814
1582683467171,-0.052874763,0.10047758,6.026253E-4
1582683467222,-0.008406307,0.06711632,0.01750526
1582683467272,-0.0022155708,0.03075505,0.002882556
1582683467322,0.027394446,0.004910994,-0.032898106
1582683467372,0.048377223,-0.01384392,-0.04199428
1582683467421,0.06577877,-0.023051083,-0.047426514
1582683467471,0.059967402,-0.02174131,-0.03931223
1582683467521,0.045268115,-0.011441443,-0.034539282
1582683467571,0.043933075,-0.0027466607,-0.034539282
1582683467622,0.0030153347,0.024594655,-0.03822139
1582683467672,-0.094052464,0.10925867,-0.084412895
1582683467722,0.11230483,0.14184132,-0.04524467
1582683467771,0.9185721,0.14637032,0.34594283
1582683467821,1.1688577,0.21015744,0.8955053
1582683467871,1.1831671,0.34025398,0.8298637
1582683467922,1.7017916,0.52304465,0.42523974
1582683467971,2.0067012,0.57572377,0.020943066
1582683468022,0.98529536,0.5859688,-0.37462977
1582683468071,0.04850095,0.96728945,-0.6541413
1582683468122,-1.4561287,1.9615669,-0.576371
1582683468171,-0.9645592,3.0139267,-0.021507883
1582683468221,-0.9246184,3.8351903,1.0967624
1582683468271,-2.1265137,3.732827,1.8239543
1582683468322,-4.012911,2.573352,1.6399016
1582683468372,-4.7275944,1.5148475,0.8978089
1582683468421,-3.3332987,0.9233937,0.026431238
1582683468471,-1.56037,0.7404102,-0.5573302
1582683468521,-0.035496596,0.22841413,-0.3539188
1582683468571,0.28068838,-0.20260677,-0.05031108
1582683468622,0.19208425,-0.43797824,0.01869117
1582683468671,-0.18782084,-0.564811,0.06687012
1582683468721,-0.44577092,-0.7358871,0.3508681
1582683468772,-0.7323745,-1.2054163,0.85058516
1582683468821,-0.5073442,-1.6864531,1.2693713
1582683468871,-0.252501,-2.0801017,1.2008358
1582683468922,-0.18694186,-2.2690067,0.97682035
1582683468971,-0.27125567,-2.069134,0.6237822
1582683469021,-0.68795896,-1.8464625,0.299086
1582683469072,-1.175248,-1.2179551,-0.052487753
1582683469121,-1.4420756,-0.83353525,-0.18022774
1582683469171,-2.5077918,-0.6749204,-0.27177644
1582683469222,-0.5446506,-0.09893683,-0.08385568
1582683469271,0.06348028,1.0004175,0.3244731
1582683469322,-0.2170322,1.303659,0.4312998
1582683469372,0.31132036,0.8105512,0.4772167
1582683469421,0.3908927,0.57874703,0.59456724
1582683469471,0.5485441,0.36288193,0.70989573
1582683469522,0.9044704,0.087070644,0.7046444
1582683469571,0.8904652,-0.092103325,0.63722205
1582683469622,1.0614835,-0.14514378,0.561831
1582683469671,-0.15472151,-0.3785588,0.38624382
1582683469721,-0.80021554,-0.41712138,0.24581021
1582683469771,-0.06154344,-0.32302344,0.08022526
1582683469821,0.115133986,-0.2654251,-0.14916044
1582683469871,-0.6873263,0.00967993,-0.24092077
1582683469921,-0.35406965,0.03670842,-0.20822316
1582683469972,-0.46129423,0.048064385,-0.06724833
1582683470022,-0.22208895,0.0564258,-0.01869176
1582683470072,-0.70166665,0.059189398,0.024552414
1582683470122,-0.83599013,0.020529551,-0.00517687
1582683470172,-0.49591392,0.053215567,-0.046909988
1582683470221,-0.3203945,0.070797995,-0.019091967
1582683470271,0.051186465,0.09564827,-0.013355007
1582683470321,0.57711643,0.02763036,-0.07557835
