Time,rotX,rotY,rotZosboxe
1582684582922,-3.5172067,-0.58423793,-0.045096353
1582684582972,0.199835,0.28113917,-0.22801022
1582684583022,2.136486,0.6266775,0.036478207
1582684583071,-0.8512803,1.0285414,-0.53873605
1582684583121,-4.825683,0.76146626,-1.2104664
1582684583171,-6.4330416,0.41946986,-0.49895024
1582684583222,-1.8694129,0.49149984,1.1838361
1582684583271,2.8442063,0.30802682,2.4503498
1582684583322,0.5682072,0.65359056,0.56447375
1582684583371,-0.6859257,0.20432529,-0.4095217
1582684583421,-0.089847624,0.31376848,-0.3937214
1582684583471,-0.26973632,0.7227701,0.10978012
1582684583521,-0.22544561,0.52609825,-0.08183266
1582684583571,-0.39843616,0.028501533,-0.1619603
1582684583621,-0.62697506,-0.35406896,-0.30209142
1582684583671,0.25979728,0.55170155,0.14045079
1582684583721,-0.018462712,-0.26658455,-0.4815895
1582684583772,-0.91103446,0.48784903,-1.1218429
1582684583821,-0.37734166,0.094183475,-1.5756124
1582684583871,-0.040170286,-0.67788815,-1.3936448
1582684583921,-0.33972874,-0.80112386,-1.0347698
1582684583972,-0.75155276,-0.24633911,0.10504563
1582684584021,-2.2498512,0.68840873,1.1144478
1582684584071,-2.8356535,0.14518675,-0.053639278
1582684584122,0.20328158,0.07183754,-0.08524735
1582684584171,0.6031228,0.3001236,0.47161162
1582684584221,0.040030617,0.111233205,0.21854155
1582684584272,-0.18711422,-0.18726107,-0.10429904
1582684584322,-0.4557711,-0.6928258,-1.10738
1582684584371,-1.395268,-0.7317667,-1.0948029
1582684584421,-1.4366735,-0.52061284,-0.43033767
1582684584471,-0.22123563,-0.19958839,-0.005022481
1582684584521,-0.05875684,0.69027793,1.745732
1582684584571,0.73202294,2.1770287,3.271187
1582684584621,0.52640104,0.6218966,4.180099
1582684584671,-1.0973724,-0.5112295,2.6092343
1582684584722,-1.6814834,-0.8454932,-0.6514454
1582684584771,-0.19708988,-0.79566646,-0.13930476
1582684584822,-0.0424415,-1.1619272,-1.4258021
1582684584871,0.9055439,-0.3340328,-1.4733268
1582684584921,3.1554563,1.2228616,0.08442569
1582684584971,3.5136874,0.83911085,1.6661721
1582684585021,1.3565395,-2.1714563,-0.6372256
1582684585071,-0.33253872,-0.48052993,-0.15361772
1582684585122,-1.085615,-0.91867816,-0.39784074
1582684585172,-0.6281689,-1.1595416,-1.7993695
1582684585222,-0.43593287,-2.5225098,-3.8196394
1582684585272,-0.24175096,-0.49947014,-1.7857271
1582684585321,0.39859343,0.7383846,0.4322729
1582684585372,1.0446829,0.24195772,0.3412391
1582684585421,0.9465219,-0.876894,-0.6621095
1582684585471,-0.24294877,-0.565583,0.09474851
1582684585522,-0.70275986,-0.4885191,0.28070915
1582684585571,-0.57130593,-0.25963774,0.16265242
1582684585621,-0.4098262,0.17968345,0.18896972
1582684585671,0.4568987,0.9987905,0.7435721
1582684585722,-0.23130265,0.9999708,1.7641052
1582684585772,0.7727788,1.5974008,1.3799711
1582684585821,3.0348206,0.21167049,-1.2572705
1582684585871,2.3363569,-0.09887275,0.5984405
1582684585922,-0.28322515,6.7915325,5.594441
1582684585972,2.974702,3.0827208,2.8583627
1582684586022,6.2032533,1.015855,2.2953568
1582684586071,6.181097,1.2634776,1.568155
1582684586121,1.1400735,1.899573,-0.7485586
1582684586172,-1.1475844,0.16033956,-1.3286577
1582684586221,-0.12378817,2.1433325,-2.1966794
1582684586271,-0.30576375,0.33038077,-0.76181185
1582684586321,-0.50579846,-1.025392,0.77145064
