Time,accX,accY,accZ
1582683851897,-1.2411796,-7.0418606,6.360477
1582683851946,-1.3263375,-7.283822,6.3124957
1582683851996,-1.2747594,-7.051949,6.6405373
1582683852046,-1.0064356,-6.902697,6.736597
1582683852096,-0.8875229,-6.7803082,6.7886577
1582683852146,-0.86732304,-6.7184014,6.961555
1582683852197,-0.7091538,-6.8233395,6.8946414
1582683852247,-0.6079867,-7.089457,6.5912457
1582683852296,-0.74549156,-6.84953,6.6265974
1582683852346,-0.9775499,-7.260126,6.022964
1582683852397,-1.1252992,-6.9713106,5.342677
1582683852446,-1.0353072,-7.4542446,4.853949
1582683852497,-0.9941584,-8.664642,4.35369
1582683852547,-1.4597751,-6.848068,4.7678814
1582683852597,-1.0535942,-6.0220513,3.0828676
1582683852646,-0.1529814,-7.230328,2.7139676
1582683852696,0.29426488,-10.347098,2.9541476
1582683852746,1.9734144,-12.711936,1.3407395
1582683852796,2.2393904,-11.191397,1.3666066
1582683852847,3.281931,-10.205032,0.68046504
1582683852897,2.8904753,-9.933529,0.7641738
1582683852946,2.761789,-9.12718,1.8488953
1582683852996,2.8723469,-9.372113,0.9348994
1582683853046,3.1141849,-9.223587,0.59854984
1582683853097,2.9357688,-9.01832,2.2549477
1582683853147,3.0655928,-8.451682,1.0016375
1582683853196,2.9766495,-9.574159,1.4570264
1582683853246,3.1102202,-9.365973,2.2566123
1582683853296,3.1262631,-8.601682,1.5288001
1582683853346,2.4560513,-8.353917,1.2706351
1582683853396,2.5588071,-8.987485,0.77868956
1582683853446,3.1873274,-8.74364,0.20042598
1582683853497,3.6603856,-9.59308,-0.3656137
1582683853547,3.7990994,-9.556691,0.6834308
1582683853596,3.5080152,-9.572149,1.609566
1582683853646,2.7922144,-9.049546,1.475736
1582683853696,2.1486046,-9.532458,1.0711423
1582683853746,2.3112602,-8.905447,1.8324308
1582683853796,2.4908166,-8.118622,0.29875386
1582683853847,3.342664,-8.711961,-1.2982428
1582683853897,4.527259,-9.396199,-0.38385075
1582683853946,5.0688705,-8.534096,-0.29098603
