Time,rotX,rotY,rotZosboxe
1582684112921,0.24241962,0.029090848,-0.17047866
1582684112971,0.39489448,-0.08420375,-0.15687653
1582684113021,0.2547686,-0.091627955,-0.19233184
1582684113071,0.14728644,-0.10369964,-0.21205238
1582684113121,0.15914138,-0.14044043,-0.18195026
1582684113171,0.18377581,-0.11797428,-0.15288255
1582684113221,0.13781193,-0.06635966,-0.15297225
1582684113271,0.09369503,-0.0032998235,-0.16929708
1582684113321,-0.013335688,0.08991949,-0.21457092
1582684113371,-0.1508977,0.069312945,-0.29529804
1582684113422,-0.3654302,-0.011738578,-0.29168847
1582684113471,-0.77647084,-0.057657972,-0.28748766
1582684113521,-1.1787964,-0.03579349,-0.40421668
1582684113571,-1.8573478,0.041433014,-0.5884391
1582684113622,-2.14402,0.01869349,-0.66800654
1582684113672,-1.5684023,-0.23897451,-0.4181716
1582684113721,-0.28685516,-0.568348,0.0011505499
1582684113771,0.15496753,-0.65847355,0.077381335
1582684113821,0.38880792,-0.52022487,0.14245783
1582684113872,0.17272708,-0.454526,0.28628537
1582684113922,0.15432331,-0.4556371,0.3270066
1582684113971,0.22444946,-0.35812733,0.22767831
1582684114022,0.15004459,-0.2732151,0.080192156
1582684114072,0.22401473,-0.17889683,-0.011208128
1582684114121,0.025095519,-0.095122546,-0.040365424
1582684114172,-8.061156E-5,-0.1120143,-0.066614114
1582684114221,0.20778458,-0.1131654,-0.15754367
1582684114271,0.03336738,-0.07808028,-0.35756108
1582684114321,-1.3457249,0.014229266,-0.3854921
1582684114371,-2.3542514,0.2703824,-0.28458494
1582684114422,-2.1037936,0.37982416,-0.3732438
1582684114471,-1.8606516,0.42964798,-0.64286596
1582684114522,-1.6496627,0.34143856,-0.6951182
1582684114571,-1.5856247,0.24330235,-0.41164756
1582684114622,-1.1258129,0.116317436,-0.12813678
1582684114672,-1.2511317,0.16554515,0.24452163
1582684114721,-0.97304034,0.19411565,0.68147504
1582684114772,-0.24446711,0.03224065,0.81614274
1582684114822,0.13392645,-0.10489349,0.73006874
1582684114871,-0.06671325,-0.14737,0.6226451
1582684114921,-0.037782952,-0.088858455,0.44627142
1582684114972,0.19230144,0.023520667,0.3697483
1582684115021,0.5990126,0.10557924,0.42096072
1582684115071,0.839907,0.1455897,0.5054865
1582684115121,1.3498905,0.1976458,0.61135924
1582684115171,1.8783989,0.108370684,0.71129066
1582684115222,2.019581,-0.10002929,0.7491543
1582684115272,2.436894,-0.25106317,0.808804
1582684115322,2.2296212,-0.3103632,0.8764125
1582684115371,2.3624587,-0.5363159,1.0044011
1582684115421,2.1129153,-0.7790868,1.0527717
1582684115471,1.0820193,-0.9758372,1.1018795
1582684115521,0.7352364,-1.1772684,0.9152617
1582684115572,-0.16828224,-1.2191052,0.19954105
1582684115622,-0.2630793,-0.8748876,-1.047958
1582684115671,2.3611226,-0.06963055,-0.5105009
1582684115721,0.8995737,0.24107653,0.12142394
1582684115772,-1.3622812,0.6642452,0.051211763
1582684115822,-0.88281655,0.47293544,-0.07681679
1582684115871,0.06793392,0.03858447,-0.06866287
1582684115921,0.28212008,-0.15602301,-0.08727594
1582684115971,0.13711059,-0.16153608,-0.06207863
1582684116022,-0.13676375,-0.16160767,-0.04760043
1582684116071,-0.0824861,-0.039171167,0.021733027
1582684116121,-0.021396536,0.019478574,-0.015003508
1582684116172,0.07622059,0.0065329513,-0.060811497
1582684116221,0.15472761,-0.02557643,-0.040290795
1582684116272,0.10975252,-0.08179728,-0.03739207
1582684116321,-0.06117695,-0.08643761,0.0056982837
1582684116372,-0.07723079,-0.09863213,0.023143828
1582684116421,-0.08166254,-0.11622115,0.01870618
1582684116472,-0.11404213,-0.1208417,0.012143822
1582684116521,-0.12819144,-0.09500093,-0.0023398944
1582684116571,-0.13558647,-0.1122578,-0.014575865
1582684116621,-0.12825562,-0.119916484,-0.022282
1582684116672,-0.15882915,-0.09978071,-0.040795278
1582684116722,-0.1781467,-0.055996314,-0.039904963
1582684116771,-0.109694175,-0.0455266,-0.059768286
1582684116821,-0.05263358,-0.05910939,-0.046942048
1582684116871,0.029223997,-0.021215452,-0.04184277
1582684116922,-0.11092766,0.046573967,-0.052577503
1582684116972,-0.06933628,0.057392325,-0.05220842
1582684117021,0.009408193,-0.0057310187,-0.07324065
1582684117071,-0.11665656,-0.01864495,-0.118327335
1582684117121,-0.19019237,-0.019846858,-0.14987724
1582684117172,-0.06778441,-0.042903744,-0.086887926
1582684117221,-0.035214085,-0.04990149,-0.054817747
1582684117271,-0.13020146,-0.05903738,-0.12804596
1582684117322,-0.11712029,-0.071256146,-0.14738654
1582684117371,0.010869741,-0.020213882,-0.10159128
1582684117421,-0.080053695,0.06725501,-0.033312473
1582684117471,-0.057532396,0.083452456,-0.012575699
1582684117521,0.07106204,0.07194868,-0.009309885
1582684117571,0.10828975,0.045134366,-0.011053894
1582684117622,0.20580477,0.03203921,-0.0325068
1582684117671,0.22459775,0.113045365,-0.04561268
1582684117722,0.16545391,0.16138811,-0.018847493
1582684117772,0.06784516,0.20500053,0.007203774
1582684117821,-0.07651749,0.16764471,0.01971984
1582684117872,0.21547441,0.089818,-0.0796062
1582684117921,0.17597574,0.075861536,-0.10351956
1582684117971,0.022255406,0.14124018,-0.05828083
1582684118021,0.103700526,0.1408287,-0.063546054
1582684118072,0.15181674,0.02508818,-0.124559686
1582684118122,-0.0356915,0.059119068,-0.06826252
1582684118172,-0.0014590472,0.01557873,0.014429644
1582684118221,0.1502301,-0.032911513,0.048411846
1582684118272,0.080096535,-0.075740606,0.08719516
1582684118321,0.10352799,-0.085258245,0.108512275
1582684118371,0.041032333,-0.08553686,0.11102705
1582684118421,-0.09237543,-0.03249235,0.08554178
1582684118472,-0.22250535,0.026027564,0.09741249
1582684118521,-0.20896484,0.0031409697,0.10067922
1582684118571,-0.040189594,-0.04933092,0.08685616
1582684118622,0.120595984,-0.098795645,0.060968976
1582684118672,0.020565338,-0.10243905,0.075588405
1582684118722,0.10192305,-0.1202922,0.076216444
1582684118771,0.113653965,-0.09758455,0.10261251
1582684118821,0.001337463,-0.075633556,0.12383004
