Time,rotX,rotY,rotZosboxe
1582684232921,-1.3337613,-2.6064312,-3.3604043
1582684232971,-1.3752096,-1.3870375,-4.340794
1582684233022,-2.1037717,-0.54185545,-5.45046
1582684233071,-2.139992,0.6478576,-5.8969355
1582684233121,-1.7418766,3.761387,-4.481652
1582684233171,-1.8750248,5.161997,-2.7621298
1582684233221,-2.5857372,6.196274,-0.4724944
1582684233271,-2.3889875,5.186039,2.3659518
1582684233321,-1.7486571,2.950798,4.36679
1582684233371,-1.1796744,0.41299188,5.7739277
1582684233422,0.23080373,-1.4803071,6.300206
1582684233472,0.68278575,-1.727196,5.725715
1582684233521,-0.22436303,-2.0192754,4.423563
1582684233572,-1.2633221,-2.6084538,3.1158016
1582684233622,-1.8054078,-3.3000946,1.6933633
1582684233671,-1.8780155,-3.431673,0.2766869
1582684233721,-2.181308,-3.2343512,-1.0686133
1582684233772,-2.4478064,-2.4352765,-2.4626164
1582684233821,-3.150735,-2.4480858,-3.8576736
1582684233872,-2.431678,-2.8466313,-4.786902
1582684233922,-1.7975489,-2.5223355,-4.5989847
1582684233971,-0.7086023,-1.7338848,-4.3656154
1582684234021,-0.36409348,-1.2355305,-3.7763362
1582684234071,4.1348133,-1.4482437,-3.050323
1582684234121,7.211098,-1.2850093,-0.06936941
1582684234172,0.8866043,-0.115809456,1.5414708
1582684234221,-1.9636092,0.5444917,1.6090579
1582684234272,-1.9075117,0.32899794,1.1408546
1582684234322,1.2671559,0.036506876,-0.31477022
1582684234371,-0.60268706,0.087809965,-0.28047764
1582684234421,-2.1459098,0.022013592,-0.08757992
1582684234471,-1.3823152,0.0851781,-0.07264394
1582684234521,-0.3876403,0.35874677,0.026618715
1582684234572,-0.49692068,0.44171113,0.18801297
1582684234622,-0.76806617,0.37387526,0.29473108
1582684234672,-0.6671204,0.2141515,0.300589
1582684234721,-0.5645519,0.098858364,0.28460065
1582684234772,-0.22068095,0.00509032,0.32652798
1582684234822,0.28619933,-0.07315341,0.32436046
1582684234871,0.5676023,-0.09982855,0.26176006
1582684234921,1.0482986,-0.12610662,0.16636162
1582684234972,0.64594114,-0.1812271,0.18775728
1582684235021,0.21629786,-0.18125343,0.13826467
1582684235071,0.14004777,-0.03960259,0.08874779
1582684235122,0.2297751,-0.004778191,-0.015426867
1582684235171,-0.05156192,-0.025036177,-0.037247375
1582684235221,-0.016291276,-0.013958717,-0.038485754
1582684235272,0.056503035,-0.011449115,-0.01294729
1582684235321,0.048062235,-0.018899469,-0.018265907
1582684235372,0.05856763,-0.011502039,-0.004324665
1582684235422,0.037207015,-0.013414506,0.006842556
1582684235472,0.038053654,-0.010313269,-0.023079112
1582684235521,0.06374287,-0.011778096,-0.05664413
1582684235571,0.048992828,-0.013296155,-0.07183933
1582684235622,0.023073487,-0.0035805223,-0.054680053
1582684235672,0.021305086,-0.0030741752,-0.01631527
1582684235721,0.018256817,0.0012045717,-0.0129951015
1582684235771,0.0015296724,-0.0010434133,-0.015665181
1582684235822,0.041672997,0.002087039,-0.02343209
1582684235871,0.0077297045,0.0041181343,-0.013828054
1582684235922,-0.020059444,0.004019024,-0.0070537496
1582684235971,-4.008822E-4,0.0074328734,-0.0106704235
1582684236022,0.025863795,0.0023947377,-0.0058029806
1582684236072,-0.011319835,0.005572058,-0.0018652808
1582684236122,-0.02599832,0.0032871445,-0.006060455
1582684236171,-0.0071942415,0.009072527,-0.013514479
1582684236221,0.017696291,0.0076429797,-0.011036066
1582684236271,-0.0021485144,0.0054151863,-0.0064082346
1582684236321,-0.0061183022,0.00813563,-0.009889409
1582684236372,0.008567126,0.003624665,-0.003825691
1582684236421,0.009420287,-0.0019865115,-0.0067066285
1582684236472,-0.034742724,0.0044099856,-0.009637671
1582684236521,-0.008524725,0.0049031535,-0.0045352536
1582684236572,0.014204359,-9.228396E-4,-0.002715832
1582684236621,0.0061674975,0.00860374,-0.008808024
1582684236672,0.0020369217,0.0019113324,-0.0033693397
1582684236721,0.0068254573,-0.0014347187,0.0023177671
1582684236772,-0.01310983,7.255841E-4,1.574643E-4
1582684236821,-0.002784785,0.0012045717,-0.0034861611
1582684236872,0.012367321,6.0377084E-4,-0.0030523248
1582684236921,0.00260965,0.0019267728,-5.8844266E-4
1582684236971,0.008292509,0.003559736,-0.0021655397
1582684237021,-0.023893848,2.7368078E-4,-0.0033377116
1582684237072,0.018253071,0.003334572,1.13991555E-4
1582684237122,-0.002633579,9.954469E-4,-0.0013865237
1582684237171,-7.4080564E-4,0.0016390332,3.2311724E-4
1582684237221,0.0011951593,0.003926852,-3.8061338E-4
1582684237272,-0.007263098,-8.2144747E-4,-0.0023762179
1582684237321,0.0048281425,0.0047297594,-0.0057813986
1582684237371,0.009703233,0.0015946198,-6.2169135E-4
1582684237421,-0.001106615,0.001353086,0.0016599619
1582684237471,-0.018547324,0.0029897816,-0.0010111048
1582684237521,0.013798171,0.0041124066,-0.004908636
1582684237571,0.0064612925,0.0019273008,-0.0040585706
1582684237621,-0.009657987,0.0025178613,0.0044241347
1582684237671,0.0040933294,0.0048768013,-0.0030392944
1582684237721,0.011988278,0.0016427971,-0.0034536738
1582684237771,0.0048259525,0.0034754253,-0.0024515237
1582684237822,-0.005971631,-8.47423E-4,-3.9952854E-4
1582684237871,0.0091092875,0.0015136134,-0.003378649
1582684237921,0.0014043655,0.001111411,-0.0039092824
1582684237972,0.0066034487,-7.08899E-4,9.388896E-5
1582684238022,0.004039986,0.0043462287,-0.0075098076
1582684238071,0.007559154,0.0026873113,-0.0018042629
1582684238121,-0.0022502895,0.0012045717,8.66042E-4
1582684238171,-0.00704668,0.002068033,0.0018084762
1582684238221,0.007356829,0.0024750722,-0.0055780234
1582684238271,0.0073408093,0.003102026,-0.003231497
1582684238321,-0.0045565027,4.382804E-4,2.8565386E-4
1582684238371,-0.0030954964,0.0040268064,-0.0018923758
1582684238421,0.016204597,0.003167389,-0.0044979323
1582684238471,0.0034130071,0.0012045717,-0.0021050028
1582684238521,-0.0053108325,0.001827491,1.20557845E-4
1582684238571,0.002716992,0.0049484456,-0.0021074396
1582684238621,0.008144362,9.105792E-4,-0.0020595337
1582684238672,-0.0033167694,-1.4059292E-4,-7.8129256E-4
1582684238721,0.0026301239,0.003978204,-0.0069337883
1582684238771,0.015216418,0.0016564573,-4.6155136E-4
1582684238821,-0.01460183,0.0012045717,9.808969E-4
1582684238872,-0.0045966767,0.0012045717,5.4097874E-4
1582684238921,0.004905753,0.0031809364,-0.008128041
1582684238971,0.01059015,0.0016152202,-0.0063309376
1582684239021,-0.0068233595,0.003467624,-5.876268E-4
1582684239072,0.002799231,0.0043995716,-0.003257704
1582684239122,0.010091459,0.0030533127,-0.0045815236
1582684239171,0.0057674833,0.002269572,-0.0036383541
1582684239221,-0.0018795957,0.0024177795,-6.179381E-4
1582684239271,0.0051970943,0.003752819,-0.0016150293
1582684239321,-0.004919528,-0.0011067134,3.6676228E-4
1582684239371,0.002813226,0.00546282,-0.005964797
1582684239421,0.016725898,7.1655074E-4,-0.004670481
1582684239471,-0.0028358088,1.7492799E-4,0.0016096183
1582684239521,-0.00802828,5.240636E-4,7.655951E-4
1582684239571,0.0061803143,0.003937899,-0.0032395197
1582684239621,0.008883986,0.0038664571,-0.003870704
1582684239671,0.0022219068,0.0016457643,-0.0012039081
1582684239722,0.0026893956,0.0029715393,-0.0038554578
1582684239771,0.0027862312,1.4756247E-4,-0.0014272777
1582684239821,0.0047144666,-1.2921868E-4,-9.667091E-4
1582684239871,-0.010674368,-0.0014575156,7.9571595E-4
1582684239921,-4.1355286E-4,7.930617E-4,0.002229963
1582684239972,1.0599219E-4,-0.0017610597,0.0019393093
1582684240021,-0.0031581519,9.2818215E-4,-0.004828739
1582684240071,0.008248064,-4.068571E-4,9.7284233E-4
1582684240121,-0.0059055313,-0.0010104319,0.0017963238
1582684240171,-0.016915802,-0.0010104319,0.0027987235
1582684240222,0.0051952126,-5.973461E-4,-0.0013019983
1582684240271,0.00424205,-3.101756E-4,-0.0032113774
1582684240322,-0.0073874793,-0.001328811,0.001970579
1582684240371,-0.0047281734,0.001022887,-1.2426125E-4
1582684240421,0.005953393,-3.8848957E-4,-0.002399284
1582684240472,-0.004306632,-0.0015845094,-0.0019083612
1582684240522,-0.0031719028,-0.0010104319,1.8763868E-4
1582684240571,-0.0043217894,-0.0010104319,0.0028577182
1582684240621,-0.0023806305,-3.023143E-4,-0.0039363625
1582684240672,0.004448235,6.789868E-4,-0.002081261
1582684240721,-0.005418785,-0.0010104319,0.0033950494
1582684240771,-0.019077424,2.6773196E-5,0.0019163066
1582684240822,0.0076158037,-5.2631367E-4,-0.00230252
1582684240872,0.010214753,6.0770847E-4,-0.005082424
1582684240922,-0.0060244338,5.4568518E-5,-0.0014047774
1582684240971,-0.012866982,5.4568518E-5,0.0018321802
1582684241021,0.007288239,0.0011565425,-0.0015912903
1582684241071,0.0010411348,-0.0015488164,-0.002399284
1582684241122,-0.010242308,-2.1417113E-4,-8.067633E-4
1582684241172,-0.008651562,5.2793883E-5,0.00292128
1582684241222,-0.008883299,-7.207976E-4,-0.003753918
1582684241272,0.008585571,0.0010840488,-0.007182904
1582684241322,0.00874843,-1.9923272E-4,-0.0026032901
1582684241371,-0.017041337,-0.0020914883,0.0018125474
1582684241422,-0.0034856368,-0.0019928426,-0.0024818727
1582684241472,0.012747961,5.694572E-6,-0.0061512208
1582684241521,0.008169469,-0.0034894603,-0.004180255
1582684241571,0.003158812,-0.003109232,-0.0023680844
1582684241621,0.0068626897,-0.0020754319,-0.002238
1582684241671,0.010675322,-0.0026467093,-0.004529284
1582684241721,0.01085692,-0.0022437847,-9.4269635E-4
1582684241772,-0.001811487,-0.0015708068,0.002701566
1582684241821,0.0020002127,-0.0036606384,-0.0018790774
1582684241872,0.007869589,-1.8473761E-4,-0.004050672
1582684241921,0.007896448,-0.0010104319,0.0040560546
1582684241972,-0.02642132,0.0023117017,0.009617915
1582684242022,-0.010554421,0.003646023,0.0020084423
1582684242072,8.04693E-4,0.0029815813,-0.0026672706
1582684242121,-8.093864E-4,-0.0015615639,0.0012183813
1582684242171,-0.022427216,0.0015442821,-0.0011927125
1582684242221,-0.007630793,0.0022565143,5.539376E-4
1582684242271,-0.0026862905,-0.0016920823,0.001179066
1582684242322,-0.0074714758,7.796348E-4,0.0026990934
1582684242371,-0.0066765156,-6.9697574E-4,0.0032391725
1582684242421,-0.00715802,0.0015463354,0.0024951133
1582684242471,-0.0044293697,0.0028813742,-0.004818313
1582684242522,0.005370168,3.5125017E-4,-8.626473E-4
1582684242571,-0.012357993,-4.9722614E-4,0.0027546478
1582684242621,-0.012834246,-2.0972919E-5,9.784997E-4
1582684242671,-0.0033144653,-2.958444E-4,-0.0016915775
1582684242721,-0.0019852875,-0.0016636825,-5.437834E-4
1582684242771,-0.006519787,-0.001700778,-2.69284E-4
1582684242821,-0.002175627,7.2464487E-4,-6.642076E-4
1582684242871,0.0025353632,5.4568518E-5,-6.693215E-4
