Time,rotX,rotY,rotZosboxe
1582685932921,-0.010289301,0.025576655,0.047699966
1582685932971,0.01282089,0.0010399837,0.04300599
1582685933022,0.0116999885,-0.01064564,0.037599985
1582685933072,-7.275365E-4,0.019080028,0.02776298
1582685933122,-0.00985817,0.042175595,0.011216145
1582685933172,-0.026815731,0.04404979,0.005904866
1582685933221,-0.028019598,0.029972237,0.008718001
1582685933271,-0.0075345263,-0.0035524322,-0.0066897837
1582685933322,0.0065488825,-0.029358793,-0.025198182
1582685933371,0.010093694,-0.037138086,-0.028190507
1582685933421,0.014569163,-0.044840474,-0.04000346
1582685933471,0.02918863,-0.056804888,-0.058590505
1582685933522,0.045335844,-0.06568088,-0.0784354
1582685933572,0.050618462,-0.06096008,-0.072747424
1582685933621,0.047653012,-0.04815315,-0.0625633
1582685933671,0.057496283,-0.035322696,-0.06816323
1582685933722,0.057259846,-0.009655019,-0.08125534
1582685933771,0.035095084,0.036154486,-0.08543005
1582685933822,0.008111713,0.09937221,-0.08262661
1582685933872,-0.0032541838,0.15220678,-0.06490514
1582685933922,-0.0028309913,0.19961703,-0.024268273
1582685933971,-0.037334673,0.2341025,0.009341223
1582685934022,-0.02286762,0.23817709,0.011361128
1582685934071,-0.028470786,0.21881796,0.02750418
1582685934121,-0.0011006689,0.17145012,0.054059446
1582685934172,-0.08807535,0.14611906,0.08596167
1582685934221,-0.15536813,0.047086123,-0.019340714
1582685934271,0.1736909,-0.009399897,-0.05980785
1582685934322,0.07466268,-0.019859463,0.0015338366
1582685934371,-0.040716633,-0.034474447,0.025882445
1582685934421,-0.0329451,0.029385451,0.041997224
1582685934471,-0.038948443,0.037398558,0.037611023
1582685934521,-0.01067264,0.018219382,0.006420828
1582685934572,0.026209239,-0.0030193226,-0.0155608915
1582685934621,2.3642066E-4,-0.008160564,-0.0017666104
1582685934671,-0.033050694,-0.0012762002,-0.002189364
1582685934722,-0.006928893,-0.004384186,-0.001935144
1582685934771,0.0015344096,-0.022650663,-0.0023930403
1582685934822,0.013669565,-0.027224477,0.0021218453
1582685934871,0.013520893,-0.021913059,-0.0011498444
1582685934922,0.015757484,-0.013881396,0.00579291
1582685934972,-0.015804905,0.0024667224,0.004584325
1582685935021,0.0042151744,-9.936793E-5,-0.005490457
1582685935071,-0.008933716,-6.7368336E-4,-0.013121838
1582685935122,0.006961868,-0.0047100186,-0.016041672
1582685935172,-0.0076497514,0.0046130065,-0.005259234
1582685935222,-0.0053430796,0.0049007777,-0.0014647234
1582685935271,5.0973357E-4,-0.008449618,5.511865E-4
1582685935321,0.015863761,-0.019128483,-0.004790413
1582685935371,0.017274637,-0.0215112,-0.0071731303
1582685935421,0.007753078,6.4644404E-4,-0.002484308
1582685935471,0.0036029553,0.006591345,-0.0013683112
1582685935521,0.0075763706,0.0072438,-0.0032960444
1582685935572,0.008275158,0.0034699521,-0.001969668
1582685935622,0.008473709,0.0060202493,0.0068752742
1582685935671,-0.0049668984,0.008531419,0.0136996675
1582685935721,-0.0046102377,0.014331041,0.0060894596
1582685935771,0.0024327186,0.011796959,0.0033791508
1582685935821,-0.014041678,0.016580712,0.010551201
1582685935872,-0.01945873,0.022431333,0.013241878
1582685935921,-6.033557E-4,0.0025971392,0.011996871
1582685935971,0.0021064517,-0.008397686,0.013960114
1582685936022,0.0033567,-0.011673166,0.014003323
1582685936071,-0.0063670026,-0.001869563,0.01747021
1582685936122,6.751048E-4,-0.0028431462,0.014071764
1582685936171,-0.010923209,-0.008531424,0.0090682395
1582685936221,-0.0053952383,0.0050660307,0.004948762
1582685936271,-0.0073745977,0.010794258,0.009512784
1582685936321,-0.0101801595,0.014055848,0.021240637
1582685936372,-0.026075698,0.022807308,0.036939632
1582685936421,-0.018476224,4.896149E-4,0.0481581
1582685936472,-0.029112468,-0.030622136,0.03823159
1582685936522,-0.017798018,-0.041707132,0.03649187
1582685936572,0.01655684,-0.07053068,0.027265316
1582685936622,0.015589505,-0.07424487,0.04501187
1582685936671,-0.022680376,-0.042219065,0.039525907
1582685936721,-0.013053684,-0.03584187,0.037173547
1582685936771,-0.014094199,-0.049947906,0.01989259
1582685936822,0.0032554364,-0.04364128,0.023456056
1582685936872,-0.020690497,-0.013258389,0.050136477
1582685936922,-0.04244507,-0.0021124184,0.05279557
1582685936971,-0.022830114,-0.025571067,0.026050704
1582685937022,7.913159E-4,-0.046228245,0.017361164
1582685937071,7.913159E-4,-0.043896414,0.004555346
1582685937122,-0.005620011,-0.0038373945,5.561174E-4
1582685937172,-0.044990763,0.04136256,0.013087712
1582685937222,-0.038163044,0.044111542,0.020092836
1582685937271,-0.03460628,0.028950002,0.032344136
1582685937322,-0.05373756,0.029183239,0.0446576
1582685937371,-0.061827578,0.032630913,0.042795423
1582685937422,-0.05081038,0.021367293,0.036580317
1582685937471,-0.04366069,0.010272004,0.029485974
1582685937522,-0.053537235,0.009731058,0.029630043
1582685937571,-0.05654806,0.011264922,0.027698867
1582685937622,-0.0495687,0.0034404725,0.019147705
1582685937671,-0.045003682,0.0013445967,0.01838687
1582685937722,-0.042469017,-0.0067501953,0.021766424
1582685937772,-0.041658394,-0.013291775,0.03238216
1582685937821,-0.035732467,-0.02130201,0.035106733
1582685937871,-0.024897467,-0.025181025,0.035542216
1582685937921,-0.02587475,-0.02212556,0.032190803
1582685937971,-0.025376923,-0.01366469,0.029906116
