Time,accX,accY,accZ
1582683420546,-3.6859877,-5.185877,-2.1785202
1582683420597,-4.551985,-5.246853,-3.000694
1582683420646,-5.197173,-6.13956,-3.1894739
1582683420697,-5.505972,-7.7007036,-4.109489
1582683420746,-5.8561254,-9.22098,-4.7390323
1582683420797,-5.495578,-10.275045,-4.6396003
1582683420846,-4.3821583,-9.164865,-4.4719195
1582683420896,-3.695081,-8.70613,-4.632502
1582683420946,-2.586183,-8.223781,-4.323743
1582683420997,-2.6500943,-6.958169,-3.1408343
1582683421046,-3.4683132,-6.1952415,-2.425812
1582683421097,-4.0286555,-5.650981,-2.4919
1582683421146,-4.4344406,-5.91564,-2.319527
1582683421196,-4.9572473,-6.464016,-2.3870566
1582683421246,-5.7738547,-6.818954,-2.791759
1582683421297,-6.510248,-7.8879156,-3.8914473
1582683421347,-6.228946,-8.880451,-5.9183164
1582683421396,-6.4880586,-8.312975,-5.2250175
1582683421446,-5.32564,-8.084274,-5.969402
1582683421497,-3.765788,-6.205618,-5.4045935
1582683421546,-1.9670147,-4.169793,-5.992098
1582683421596,-0.66618866,-3.8168805,-6.070363
1582683421647,-2.4078333,-5.91816,-7.919637
1582683421697,-4.6312046,-4.5782523,-8.407094
1582683421746,-4.4687233,-5.6780653,-7.5652585
1582683421796,-4.245646,-5.8367176,-8.491186
1582683421847,-4.379942,-7.9628057,-6.9291058
1582683421896,-4.14886,-8.646296,-4.58848
1582683421946,-3.4189305,-8.696316,-1.332864
1582683421997,-3.3924968,-9.587946,-2.747233
1582683422047,-2.4883292,-8.2900715,-1.3425338
1582683422096,-1.6060907,-8.284192,-1.4011875
1582683422146,-1.8048136,-7.361792,-0.8855883
1582683422196,-2.7451682,-6.716578,-0.7340666
1582683422247,-3.631883,-6.6827927,-0.6218958
1582683422296,-4.1386533,-7.3742824,-0.6426755
1582683422346,-4.891555,-7.800284,-0.5811748
1582683422396,-6.4425945,-8.936245,-2.1930807
1582683422446,-6.733387,-9.80761,-4.0219784
1582683422496,-6.5520945,-10.498175,-4.954506
1582683422546,-4.9604664,-8.885336,-4.228461
1582683422596,-4.289442,-7.3397756,-4.4723325
1582683422647,-3.5112014,-6.911273,-4.0887737
1582683422696,-3.207583,-6.178506,-4.07052
1582683422747,-2.8905787,-5.350392,-2.3508883
1582683422796,-3.824996,-5.3865933,-2.8302736
1582683422847,-4.322977,-6.4924173,-2.8346477
1582683422896,-4.589103,-8.151196,-3.6669695
1582683422947,-4.4959145,-9.552578,-3.7484531
1582683422996,-4.5312743,-10.532363,-3.4697092
1582683423047,-4.02701,-9.715723,-2.9459076
1582683423096,-3.9380908,-9.216193,-3.7114234
1582683423146,-2.7569628,-9.592112,-3.8098543
1582683423196,-3.1087482,-7.6904817,-2.4215739
1582683423247,-3.3945692,-6.5758033,-1.6559249
1582683423297,-3.7594647,-5.791601,-1.4746776
1582683423346,-4.434677,-6.297542,-1.4947327
1582683423396,-4.8955703,-7.1184645,-1.7168671
1582683423446,-5.8444204,-7.427471,-1.4812944
1582683423497,-7.031381,-8.503116,-2.6085474
1582683423546,-7.0698614,-8.78128,-4.448306
1582683423597,-7.0838017,-9.239084,-3.5060225
1582683423647,-7.234348,-8.965771,-4.578041
1582683423696,-5.4878206,-7.911846,-4.5299954
1582683423746,-4.2207055,-6.890405,-3.0335999
1582683423796,-3.772042,-6.001858,-2.6230104
1582683423847,-4.26043,-5.306943,-1.7634516
1582683423897,-4.7023168,-5.0284586,-1.7356967
1582683423947,-5.41871,-5.4543643,-1.6461911
1582683423997,-5.765333,-6.8971233,-2.2600465
1582683424047,-6.1491957,-8.202524,-2.9101417
1582683424096,-6.4767256,-9.829833,-2.822453
1582683424146,-5.8638473,-10.196711,-2.3179977
1582683424196,-4.5970383,-9.117034,-2.1259604
1582683424247,-3.9522517,-9.094543,-2.9821665
1582683424296,-3.5041995,-7.9816256,-1.8298527
1582683424346,-4.1246285,-6.6480813,-0.66645396
1582683424397,-4.618952,-5.735964,-0.98265445
1582683424446,-5.0063233,-5.9442377,-1.1602186
1582683424497,-5.4353213,-6.3634315,-0.8780253
1582683424546,-6.280481,-6.8887453,-0.772298
1582683424596,-7.121518,-8.027322,-2.3063073
1582683424646,-7.3388863,-8.48129,-3.3063595
1582683424697,-7.647911,-8.761042,-3.113295
1582683424747,-7.0631647,-8.64252,-3.9827468
1582683424796,-6.3221955,-7.4944057,-4.1740904
1582683424846,-5.0610504,-6.702956,-3.0208204
1582683424896,-4.2874937,-5.8155494,-2.1699114
1582683424946,-4.3489337,-5.539776,-1.6755246
1582683424996,-4.719788,-5.3819675,-1.8834459
1582683425046,-5.281711,-5.927355,-1.9803
1582683425096,-6.0294147,-7.328288,-2.262917
1582683425147,-6.551716,-8.959114,-2.8956363
1582683425197,-6.2510567,-9.899164,-2.4341118
1582683425246,-5.851815,-9.493237,-2.2601016
1582683425297,-5.0970654,-8.942617,-3.0672934
1582683425346,-4.1351204,-8.6406975,-2.6470604
1582683425397,-3.4421535,-7.645488,-2.3646293
1582683425446,-3.6653523,-6.566307,-1.5091103
1582683425496,-4.169908,-5.87027,-1.2924877
1582683425546,-4.736438,-5.8277836,-1.0252764
1582683425597,-5.078117,-6.534045,-1.2080237
1582683425646,-5.427821,-7.1896453,-1.0756292
