Time,accX,accY,accZ
1582683570796,1.1238515,-9.515678,-4.531584
1582683570847,0.903533,-7.870297,-3.2494547
1582683570897,0.06275126,-7.230255,-3.1357548
1582683570947,-1.0921178,-7.157209,-3.5749757
1582683570997,-2.0966008,-7.5480857,-3.2474573
1582683571047,-2.324567,-7.4177647,-2.4467485
1582683571096,-2.4964633,-7.8100085,-2.4826033
1582683571147,-2.6113327,-8.149601,-2.733056
1582683571196,-3.1487265,-8.724173,-3.5002556
1582683571247,-3.2758234,-10.5360775,-4.7633247
1582683571296,-2.790938,-10.851442,-5.219325
1582683571346,-2.2274947,-10.070044,-4.581041
1582683571397,-2.0338156,-9.415906,-4.7035036
1582683571447,-1.2627004,-8.723615,-4.7584095
1582683571497,-1.0619373,-7.757981,-4.2479815
1582683571547,-0.83648425,-7.3959374,-3.6116714
1582683571597,-1.2300382,-6.4084415,-2.2496986
1582683571647,-1.9627355,-6.1873417,-2.4466648
1582683571696,-2.6025486,-7.2098866,-3.002211
1582683571747,-1.9825054,-7.4882083,-3.035425
1582683571797,-2.333562,-9.641363,-4.7206345
1582683571846,-1.7852527,-11.25677,-4.7880025
1582683571896,-1.0433536,-11.442005,-4.9621725
1582683571947,-0.31870276,-10.626796,-5.0264597
1582683571996,0.6731025,-8.871597,-3.7050295
1582683572046,0.35219163,-7.466035,-3.5642145
1582683572096,-0.27037144,-7.2123957,-3.3528066
1582683572147,-0.6944162,-7.4236736,-2.9030745
1582683572196,-1.3045075,-7.3529744,-2.8682926
1582683572247,-1.8524983,-7.2867985,-2.4934354
1582683572296,-2.3421097,-7.876338,-2.432779
1582683572347,-2.6715746,-8.481068,-2.7993875
1582683572396,-2.9465375,-9.047873,-3.3449118
1582683572446,-3.1705828,-10.152734,-4.654775
1582683572496,-2.5776649,-11.597956,-5.486171
1582683572547,-2.2503629,-10.931385,-4.474358
1582683572596,-1.896391,-9.010318,-4.5278554
1582683572647,-1.6416116,-7.3845778,-4.485795
1582683572696,-1.4728487,-7.769097,-4.2941117
1582683572746,-0.83697766,-7.9229274,-3.9439807
1582683572797,-1.3164909,-6.3958163,-2.6112645
1582683572846,-2.0698643,-6.6770897,-2.5743008
1582683572897,-2.5829678,-6.928749,-2.821165
1582683572947,-2.8465302,-7.810478,-2.8802485
1582683572996,-2.991309,-9.393959,-3.6349728
1582683573046,-2.3376117,-10.650007,-4.6216817
1582683573097,-1.5812377,-10.392169,-4.696704
1582683573146,-0.9848355,-10.870132,-5.555222
1582683573196,0.40356183,-9.293426,-4.060151
1582683573247,0.032100916,-7.265639,-2.637417
1582683573296,-1.1060021,-7.4112206,-3.3253913
1582683573346,-1.910074,-7.6265206,-3.3673043
1582683573396,-2.3423462,-7.3668857,-2.523862
1582683573446,-3.0109615,-7.5224843,-2.5181227
1582683573496,-3.1018667,-7.7191057,-2.3152146
1582683573546,-3.4442666,-8.125363,-2.6961603
1582683573596,-3.957791,-7.9139276,-2.8167653
1582683573647,-4.4372396,-9.339263,-4.70434
1582683573697,-3.8998637,-10.02896,-5.0240808
1582683573746,-3.709104,-10.486021,-5.5549345
1582683573797,-2.8270211,-7.550969,-4.6307483
1582683573847,-2.2736855,-7.189156,-4.6856947
1582683573896,-1.5464188,-7.3584857,-4.920176
1582683573947,-0.91144,-7.100106,-4.620854
1582683573997,-0.6470407,-7.1948457,-4.889331
1582683574046,-1.3946029,-7.312624,-4.3343606
1582683574096,-1.6346339,-6.945739,-4.0155067
1582683574147,-1.3324529,-7.761287,-4.4391217
1582683574197,-0.94087255,-9.068996,-4.70828
1582683574247,-0.84438896,-9.5024605,-5.552229
1582683574297,-1.0104222,-9.212823,-4.92846
1582683574347,-1.3793998,-9.4965725,-5.600665
1582683574396,-0.325181,-9.172932,-4.98076
1582683574446,-0.6476387,-7.7699704,-4.106696
1582683574497,-0.7707483,-7.8257008,-3.7480912
1582683574546,-1.4726561,-7.90927,-4.5173655
1582683574597,-1.8259983,-7.189978,-3.9789953
1582683574646,-2.3040733,-7.754564,-3.8867137
1582683574696,-2.5498674,-7.362209,-3.551685
1582683574746,-2.4261506,-7.6842446,-4.2598376
1582683574796,-2.5581336,-7.922584,-4.3516526
1582683574846,-2.3365052,-8.725284,-5.0920963
1582683574897,-2.0147705,-8.867664,-5.2277985
1582683574946,-3.1265807,-8.497318,-5.158269
1582683574996,-2.5180447,-8.705291,-5.9390306
1582683575047,-2.2735054,-7.48888,-5.403846
1582683575097,-2.1973345,-7.1802607,-5.4960837
1582683575146,-1.8027198,-7.6210012,-5.731838
1582683575197,-1.6013913,-6.946296,-4.369335
1582683575247,-2.1211395,-6.24348,-3.9307156
1582683575296,-2.7127957,-6.747663,-3.9586627
1582683575346,-2.7178965,-7.2611575,-4.2021866
1582683575397,-2.3934128,-7.4129863,-4.335413
1582683575447,-1.7672415,-8.384832,-5.018527
1582683575497,-0.78677815,-8.3720875,-5.2260637
1582683575547,-0.22081773,-8.813903,-7.0945435
1582683575596,0.433532,-8.9620905,-7.637271
1582683575646,1.7940481,-7.3766556,-6.022594
1582683575697,2.0088227,-7.2000046,-5.0528803
1582683575746,2.6400464,-6.449044,-4.5519934
1582683575797,3.0338454,-6.9686837,-3.4923015
1582683575847,2.50238,-4.9549236,-1.3001083
1582683575897,2.7994828,-7.4688997,-3.2677486
1582683575947,3.0648906,-7.7375736,-2.199282
1582683575996,3.4525769,-9.090323,-2.5790977
1582683576046,2.971321,-10.488586,-3.2374032
1582683576097,2.5562615,-10.124493,-2.2270823
1582683576147,2.4043415,-11.861813,-3.414162
1582683576197,2.1934338,-11.551025,-3.2842445
1582683576247,2.205336,-11.317416,-2.1318169
1582683576296,3.13987,-11.008981,-2.2964175
1582683576346,4.0056915,-10.03324,-2.3641367
1582683576396,4.9310164,-9.514207,-2.058879
1582683576446,5.3249116,-8.32793,-1.7603371
1582683576496,4.506529,-6.0570507,-0.8707623
1582683576546,3.776388,-4.9458666,-0.56385225
1582683576596,3.9686468,-4.2342324,-0.044300705
1582683576647,5.3638134,-3.714977,1.2516184
1582683576697,9.0978565,-2.7640498,1.577915
1582683576746,13.992249,-3.1991038,1.005501
1582683576797,17.835085,-3.4460297,0.745812
1582683576846,13.497075,-2.92946,2.551309
1582683576897,10.554156,0.2540149,0.67704403
1582683576947,11.542148,-0.11511177,-1.0614415
1582683576997,10.746298,-1.36215,-0.45041794
1582683577047,9.012661,-1.8820553,0.25350666
1582683577096,8.317826,-2.5663059,0.72114164
1582683577146,8.649412,-2.6309178,1.2258273
1582683577196,9.050121,-3.1142414,1.8425536
1582683577246,8.833688,-3.1032217,2.7773771
1582683577296,11.302215,-4.478758,2.8857784
1582683577346,14.512285,-5.0092044,2.370042
1582683577396,14.57976,-5.0422745,2.2878256
1582683577447,11.444245,-3.7882097,0.99462664
1582683577496,13.138938,-4.5441437,-0.5631864
1582683577547,15.136178,-4.436633,-1.8429217
1582683577596,14.212485,-4.0977488,-3.0621872
1582683577646,10.902951,-3.7547417,-2.9411674
1582683577696,7.6412673,-3.6944535,-3.6704397
1582683577747,5.0092764,-4.274406,-5.183339
1582683577797,3.3034961,-4.9120164,-5.96377
1582683577846,2.774049,-5.882193,-6.83584
1582683577897,1.9482198,-6.7890763,-6.0982575
1582683577947,0.53282464,-8.6397295,-4.130016
1582683577997,-0.1686669,-7.3872156,-4.277171
1582683578046,1.0452234,-6.2862787,-0.37543344
1582683578096,-0.65253407,-7.9219084,-2.8252103
1582683578147,-1.5743225,-7.5048065,-4.219162
1582683578197,-2.1857545,-6.705642,-3.4852753
1582683578246,-2.8895314,-6.9841533,-3.448113
1582683578296,-3.3077726,-7.112467,-3.049266
1582683578346,-3.5143886,-7.339252,-3.5308454
1582683578396,-3.5683424,-7.3129473,-2.884769
1582683578446,-4.2113595,-8.248462,-4.3160925
1582683578497,-3.9584877,-9.077161,-5.638993
1582683578546,-3.904656,-9.164447,-5.3197703
1582683578596,-3.8506682,-9.427169,-5.907116
1582683578646,-3.078693,-8.362162,-5.687381
1582683578696,-2.9204226,-7.1323147,-4.805963
1582683578746,-2.7286966,-7.2752795,-4.895385
1582683578797,-2.1394515,-6.978757,-4.4815817
1582683578846,-2.523851,-6.0804205,-2.9433532
1582683578896,-3.1671848,-6.180152,-3.1853962
1582683578947,-3.4878666,-6.6906304,-3.3391464
1582683578997,-3.6604824,-7.492237,-3.7770653
1582683579047,-3.8413332,-8.866467,-4.6045284
1582683579096,-2.8195267,-9.771579,-5.132729
1582683579147,-2.2085462,-10.284001,-5.8020024
1582683579197,-0.80847776,-9.874149,-5.8467913
1582683579246,-0.57080543,-7.9920917,-3.6008475
1582683579297,-0.9731396,-7.071689,-3.9398832
1582683579347,-1.3014178,-6.942711,-3.849393
1582683579396,-1.7708373,-6.636178,-3.8113246
1582683579446,-2.220475,-6.7918534,-3.5217812
1582683579496,-2.6955225,-6.4125624,-3.4416199
1582683579547,-2.9661174,-5.8040123,-4.746691
1582683579596,-3.172007,-6.0039816,-7.300753
1582683579647,-3.4809978,-7.7766204,-10.163246
1582683579696,-4.1656804,-6.829962,-12.533046
1582683579747,-3.9524958,-5.996976,-11.419509
1582683579797,-2.6269212,-5.476803,-9.093904
1582683579846,-2.116681,-4.475984,-6.431467
1582683579896,-1.8647307,-5.932012,-5.631864
1582683579946,-1.2117205,-6.1264753,-4.001564
1582683579997,-1.2999847,-6.3210187,-2.7762308
1582683580047,-1.9251344,-7.143322,-2.9623432
1582683580097,-2.4943836,-7.83828,-2.68977
1582683580147,-3.7101479,-8.067495,-3.8241038
1582683580196,-3.4786367,-10.200619,-4.7952466
1582683580246,-2.7578676,-10.730592,-4.090122
1582683580297,-2.6873784,-10.602548,-4.0536294
1582683580347,-1.4696612,-9.478019,-3.607043
1582683580396,-1.2961948,-8.004416,-2.4160419
1582683580446,-1.4133917,-6.8184958,-2.2082465
1582683580496,-2.076329,-7.2659845,-2.1552992
1582683580546,-2.8208346,-7.3158464,-1.9802653
1582683580597,-2.9298205,-7.4538183,-0.9055503
1582683580646,-3.3612716,-7.6625237,-0.88946116
1582683580696,-3.8904884,-8.350797,-1.091186
1582683580747,-4.174886,-9.264508,-1.4440379
