Time,accX,accY,accZ
1582683861897,2.7616594,-8.92013,-2.182138
1582683861947,2.7512212,-8.910635,-2.2129977
1582683861996,2.7527301,-8.897688,-2.2498944
1582683862046,2.74692,-8.911375,-2.1992166
1582683862097,2.727193,-8.935399,-2.2937663
1582683862147,2.732351,-8.908006,-2.2539043
1582683862196,2.751315,-8.880373,-2.2121801
1582683862246,2.7343884,-8.912988,-2.2540727
1582683862297,2.7102413,-8.909614,-2.1992269
1582683862346,2.7244618,-8.930164,-2.238742
1582683862396,2.724115,-8.9058895,-2.1778803
1582683862447,2.7363944,-8.918576,-2.1919289
1582683862496,2.709947,-8.877531,-2.2458239
1582683862546,2.7161725,-8.9131975,-2.1608715
1582683862596,2.7314932,-8.973858,-2.306845
1582683862646,2.703397,-8.880445,-2.107885
1582683862696,2.716918,-8.938122,-2.1862786
1582683862746,2.705618,-8.902589,-2.127211
1582683862796,2.7137997,-8.96434,-2.1368372
1582683862847,2.6946733,-8.919099,-2.1508949
1582683862897,2.7297223,-8.922736,-2.1157322
1582683862947,2.6999197,-8.925571,-2.2692409
1582683862997,2.6725817,-8.920658,-2.2033854
1582683863046,2.6895118,-8.946877,-2.3126085
1582683863096,2.7017488,-8.8676605,-2.2806404
1582683863147,2.6818995,-8.912425,-2.1737878
1582683863196,2.689944,-8.897213,-2.3487387
1582683863247,2.683589,-8.855759,-2.2667367
1582683863296,2.683589,-8.897115,-2.3586159
1582683863347,2.632492,-8.874227,-2.5137467
1582683863397,2.6443653,-8.870498,-2.4820216
1582683863446,2.6612637,-8.91037,-2.4629962
1582683863496,2.6722908,-8.876787,-2.4876087
1582683863546,2.7070334,-8.862108,-2.3273528
1582683863597,2.729707,-8.885872,-2.3327947
1582683863647,2.6995711,-8.905719,-2.407343
1582683863696,2.6785448,-8.832847,-2.2601652
1582683863746,2.689569,-8.902433,-2.1164627
1582683863796,2.6993737,-8.9149475,-2.2822688
1582683863846,2.750333,-8.88855,-2.199405
1582683863896,2.7350311,-8.93308,-2.2539544
1582683863947,2.7182243,-8.893591,-2.2201595
1582683863996,2.7031112,-8.8982315,-2.2380269
1582683864047,2.71318,-8.889517,-2.2737074
1582683864096,2.6929138,-8.962885,-2.3532913
1582683864146,2.6816344,-8.897371,-2.3394756
1582683864196,2.722549,-8.950173,-2.3436897
1582683864246,2.7485068,-8.929878,-2.1702316
1582683864296,2.7157583,-8.889128,-1.8881724
1582683864347,2.6887646,-9.03718,-2.028797
1582683864397,2.6976202,-9.0205965,-1.9283655
1582683864447,2.7114427,-8.943252,-1.7130954
1582683864497,2.7063143,-9.04777,-1.8668532
1582683864547,2.6431339,-8.98332,-1.9775598
1582683864597,2.6972437,-9.000203,-1.7874281
1582683864647,2.7366657,-8.973901,-1.8194855
1582683864696,2.736963,-9.041988,-1.9219058
1582683864747,2.675242,-8.988603,-2.0067444
1582683864796,2.6768029,-8.981788,-1.9353571
1582683864846,2.6868844,-8.979583,-2.0522585
1582683864896,2.6462913,-9.00972,-2.0954673
1582683864947,2.6568801,-9.019882,-1.985093
1582683864997,2.6595266,-9.021877,-1.9913654
1582683865047,2.7060683,-8.955155,-1.7116395
1582683865097,2.6790693,-9.014205,-1.9167529
1582683865146,2.6445568,-8.984843,-1.8475044
1582683865196,2.6676273,-9.010898,-1.9480668
1582683865246,2.6773908,-9.053213,-1.9275962
1582683865296,2.6884894,-8.959144,-1.7411238
1582683865347,2.71373,-9.017384,-1.8131605
1582683865396,2.6903653,-9.020224,-2.0034158
1582683865447,2.863192,-9.130351,-1.8981733
1582683865497,4.183115,-10.126229,-1.1799104
1582683865546,7.926213,-13.088308,1.7142206
1582683865596,6.7789564,-9.648177,3.085534
1582683865646,2.4074383,-5.941517,1.4767525
1582683865696,1.3918865,-7.6452293,0.6569259
1582683865747,2.0073326,-10.439553,0.093173206
1582683865796,-0.41484964,-9.588278,-3.989674
1582683865847,-2.0513287,-11.676675,-2.4034743
1582683865896,0.10250664,-10.206083,-0.6505221
1582683865947,2.1208906,-5.725089,3.0709052
1582683865996,5.9265723,-1.6353285,6.2538652
1582683866047,9.204365,0.51715785,8.864659
1582683866097,10.990664,-0.08337355,10.260171
1582683866146,12.578875,-2.7400076,10.893421
1582683866196,14.274677,-6.5405006,10.469454
1582683866247,14.170878,-10.849916,7.0780168
1582683866296,12.661704,-13.211974,4.2714915
1582683866346,10.80346,-15.016035,1.7022278
1582683866397,8.066636,-16.985252,-2.4563067
1582683866446,7.1734133,-14.957445,-4.368139
1582683866496,7.0729003,-11.036839,-4.178122
1582683866547,7.49884,-6.002635,-2.4726622
1582683866596,5.229641,-0.8344401,-1.5409062
1582683866646,2.3570118,2.7805595,-1.393418
1582683866697,2.4530706,7.0946436,-1.1867768
1582683866747,3.6309984,7.2563515,4.5167394
1582683866796,5.576532,5.712742,7.9491234
1582683866847,8.392868,2.8458333,10.141913
1582683866897,11.196175,-3.1210911,15.914572
1582683866946,15.283623,-11.470711,22.438211
1582683866996,17.481396,-18.526901,21.980236
1582683867046,17.82215,-25.003172,14.639656
1582683867096,15.304815,-26.821592,4.75075
1582683867146,12.480018,-23.229567,-2.9531393
1582683867196,10.4315,-16.502205,-8.412144
1582683867246,10.941879,-8.184034,-9.471946
1582683867296,10.790483,-0.9535966,-6.1024237
1582683867346,6.9719534,5.875593,-4.4445024
1582683867396,2.7515326,9.175783,-3.7784758
1582683867446,3.9864264,7.721629,1.6367841
1582683867497,5.011938,5.693562,8.107754
1582683867546,7.000732,3.8164873,11.325437
1582683867596,11.105518,-1.7277989,14.28511
1582683867647,15.473453,-7.157748,18.128057
1582683867697,16.382029,-14.489912,20.42025
1582683867746,14.566433,-20.356823,19.94705
1582683867796,14.103563,-23.606972,14.306465
1582683867846,13.628182,-22.885115,7.0332026
1582683867896,11.394017,-20.246506,0.6198666
1582683867946,9.875372,-14.956431,-4.746123
1582683867997,9.053892,-9.2453,-7.2120705
1582683868047,7.673123,-2.97692,-6.2718306
1582683868096,4.7996373,0.653468,-3.5353742
1582683868147,2.834027,2.9856477,-3.3171456
1582683868196,2.7970054,4.30897,-0.79202557
1582683868246,3.4865413,6.048049,3.2698026
1582683868297,5.0008507,5.9072595,8.476422
1582683868346,6.0286,5.3475685,13.754368
1582683868396,10.246764,0.008436918,15.27621
1582683868447,13.9906025,-5.9774303,15.411215
1582683868496,18.310427,-12.298928,14.657394
1582683868546,17.899754,-16.849882,14.590403
1582683868596,15.739813,-22.33773,11.2172165
1582683868646,13.773865,-24.764091,5.659015
1582683868697,11.7377825,-22.516834,-0.47618014
1582683868746,10.272918,-15.654745,-4.279151
1582683868796,7.8435597,-10.423711,-5.4957333
1582683868846,6.597728,-6.426836,-4.479829
1582683868896,5.446052,-3.237424,-2.7470722
1582683868946,3.7511683,-0.881459,-1.0878154
1582683868996,1.8560562,-0.5439113,0.24843433
1582683869047,0.7717783,0.1166774,2.860366
1582683869096,2.2679806,0.66973615,5.3033547
1582683869146,2.865875,1.5057175,8.33907
1582683869196,3.0526958,1.642345,10.446476
1582683869247,4.3853626,0.4209087,12.220729
1582683869297,3.0003147,-2.9126387,13.339882
1582683869346,2.8126707,-9.358756,13.694181
1582683869397,2.4433265,-10.799587,13.470572
1582683869446,1.6985831,-10.227525,12.617033
1582683869497,2.2928452,-7.2786584,10.732942
1582683869547,2.6497576,-6.5129404,9.41548
1582683869596,3.1400733,-6.5011086,7.334632
1582683869647,2.9151583,-5.897307,6.51616
1582683869697,2.8159807,-5.782278,6.261987
1582683869746,2.6409166,-5.6133714,6.106047
1582683869796,2.5796273,-5.487588,6.688817
1582683869846,2.6168041,-5.2992315,7.7882404
1582683869896,2.676588,-5.702883,7.536256
1582683869946,2.9130616,-5.500043,7.552317
1582683869996,2.940783,-5.6682053,7.172303
