Time,accX,accY,accZ
1582684382271,-2.8197618,-9.061825,1.085205
1582684382322,-2.787803,-9.055822,1.0671164
1582684382372,-2.8000166,-9.044629,1.1065633
1582684382422,-2.7996495,-9.062792,1.079759
1582684382472,-2.81918,-9.059364,1.0576234
1582684382521,-2.7882802,-9.052635,1.1070465
1582684382571,-2.813019,-9.059598,1.0854108
1582684382621,-2.8063362,-9.063369,1.0597578
1582684382671,-2.787583,-9.065284,1.0928012
1582684382722,-2.7996843,-9.041318,1.1031355
1582684382771,-2.7803857,-9.054405,1.0656825
1582684382821,-2.8072472,-9.066784,1.0843567
1582684382871,-2.8493373,-9.043922,1.1118317
1582684382921,-2.772682,-9.050098,1.0887728
1582684382971,-2.7937412,-9.053817,1.0668501
1582684383021,-2.8356934,-9.048742,1.0999026
1582684383072,-2.7905571,-9.05695,1.0670465
1582684383121,-2.7949195,-9.067573,1.07344
1582684383171,-2.7597551,-9.053663,1.087617
1582684383221,-2.8458004,-9.077723,1.088606
1582684383271,-2.8227687,-9.040885,1.1057372
1582684383321,-2.7432625,-9.053556,1.0653788
1582684383372,-2.8318236,-9.0634165,1.0767461
1582684383422,-2.770105,-9.032972,1.1204058
1582684383471,-2.7772593,-9.0742855,1.052506
1582684383522,-2.8066905,-9.045926,1.1058288
1582684383572,-2.794732,-9.065878,1.0495211
1582684383621,-2.8421824,-9.076163,1.0732723
1582684383671,-2.7827773,-9.013071,1.1486228
1582684383721,-2.7699046,-9.067118,1.0792576
1582684383771,-2.8205545,-9.032251,1.0690063
1582684383821,-2.707992,-9.052895,1.2020453
1582684383871,-2.916906,-9.097503,1.0011663
1582684383922,-2.7304015,-9.026343,1.0967565
1582684383972,-2.8341656,-9.0626955,1.0967349
1582684384021,-2.758693,-9.11289,1.0335095
1582684384072,-2.8249738,-9.017707,1.1227264
1582684384122,-2.7943463,-9.0586405,1.0860705
1582684384172,-2.8129969,-9.077223,1.0701219
1582684384221,-2.7591848,-9.034245,1.1319257
1582684384271,-2.7505805,-9.058373,1.0774441
1582684384321,-2.8339775,-9.064593,1.0864956
1582684384372,-2.8073623,-9.056817,1.1080005
1582684384422,-2.7504847,-9.0429945,1.1283365
1582684384471,-2.7653136,-9.057271,1.0793259
1582684384521,-2.8282979,-9.069317,1.0823714
1582684384571,-2.782427,-9.058858,1.1107476
1582684384621,-2.77523,-9.057333,1.0891316
1582684384671,-2.793476,-9.05671,1.1111795
1582684384721,-2.7940648,-9.064388,1.0842123
1582684384771,-2.786747,-9.061007,1.1119958
1582684384822,-2.74397,-9.048106,1.1059583
1582684384871,-2.7851207,-9.055314,1.0916555
1582684384922,-2.78314,-9.051623,1.1052103
1582684384972,-2.7837994,-9.060743,1.0853531
1582684385022,-2.8181596,-9.073775,1.092942
1582684385071,-2.7959142,-9.039981,1.1036572
1582684385121,-2.7817416,-9.062008,1.0874217
1582684385172,-2.8084211,-9.045021,1.0952554
1582684385222,-2.7783616,-9.055438,1.0905101
1582684385272,-2.791436,-9.066201,1.0843971
1582684385321,-2.782482,-9.054568,1.1024555
1582684385372,-2.797338,-9.076245,1.0730838
1582684385421,-2.7852333,-9.047829,1.1169348
1582684385471,-2.7943292,-9.054545,1.0963829
1582684385521,-2.8159935,-9.059597,1.0852711
1582684385571,-2.7808642,-9.055744,1.0962615
1582684385621,-2.744113,-9.043659,1.0873176
1582684385671,-2.8155751,-9.056456,1.1031371
1582684385721,-2.7647471,-9.069691,1.1117198
1582684385771,-2.8152018,-9.4301405,1.3260434
1582684385822,-3.07283,-9.415402,1.2829747
1582684385871,-2.8221688,-8.655932,0.683893
1582684385921,-2.7398305,-9.703912,1.423971
1582684385972,-4.362135,-10.650427,2.551587
1582684386021,-8.663545,-12.660178,3.1575031
1582684386072,-7.7192,-10.346996,1.8855076
1582684386122,-3.4954033,-5.9111056,1.7362792
1582684386172,-0.78083754,-6.3253593,2.3780968
1582684386222,0.08767653,-5.577696,2.6815057
1582684386271,-2.6863866,-6.0294113,3.6429095
1582684386321,-6.0946255,-7.036507,4.3426275
1582684386372,-8.561817,-7.7718973,5.3231435
1582684386421,-7.9267616,-7.4332056,5.5077496
1582684386471,-2.8765726,-6.396187,6.0801654
1582684386522,0.2932536,-4.7612777,6.720284
1582684386571,2.4749393,-4.9031744,7.872588
1582684386621,1.479861,-2.7345285,9.034015
1582684386671,-0.6607245,-3.1835926,9.297563
1582684386722,-2.020543,-3.4593997,9.315568
1582684386771,-3.293548,-3.1184835,8.781591
1582684386822,-4.4243803,-3.5300877,8.447693
1582684386871,-4.518855,-5.1779394,7.566104
1582684386922,-4.3800263,-7.100968,6.303839
1582684386971,-4.9473023,-6.4716725,5.943514
1582684387021,-4.5271273,-5.678193,5.5553985
1582684387072,-4.074725,-4.6844053,5.796799
1582684387121,-4.2151766,-4.1961794,6.334562
1582684387172,-4.22575,-4.082862,6.924441
1582684387222,-4.291388,-4.8978944,7.478363
1582684387271,-4.124854,-4.7277565,7.569326
1582684387322,-3.937858,-4.868977,7.543303
1582684387372,-3.8813386,-4.5264177,7.89898
1582684387421,-3.6954098,-4.0819573,7.717123
1582684387471,-3.4276848,-4.668284,7.7323623
1582684387521,-3.0168922,-5.010728,7.997285
1582684387571,-3.0549169,-5.807882,7.6229806
1582684387621,-3.0360692,-6.430348,6.7369204
1582684387671,-2.984695,-7.6178904,6.340164
1582684387722,-3.3264797,-7.393677,5.6190186
1582684387771,-3.2512224,-7.4388576,4.8829174
1582684387822,-2.6320534,-8.704837,4.650611
1582684387872,-2.6748295,-8.269705,4.989271
1582684387921,-2.855765,-7.5615683,4.9606924
1582684387972,-2.6711912,-6.916531,5.216457
1582684388021,-2.4081643,-7.659162,4.9983993
1582684388071,-2.3411174,-8.269319,4.3853536
1582684388122,-2.35953,-8.661972,4.0863857
1582684388171,-2.3652503,-8.641985,3.7604241
1582684388221,-2.2312067,-8.847363,3.6548462
1582684388272,-2.3069842,-8.893113,3.2541544
1582684388322,-2.4236732,-8.971562,2.3743806
1582684388371,-2.5135906,-8.579359,2.2207546
1582684388422,-2.2497296,-9.36852,2.366591
1582684388471,-2.1811624,-10.662806,1.7884978
1582684388522,-2.7641327,-10.252075,1.2446404
1582684388571,-3.1542587,-10.222387,0.2966528
1582684388621,-3.8121994,-10.35091,-0.26326492
1582684388671,-4.5123334,-9.9222555,-0.40763333
