Time,accX,accY,accZ
1582685973867,-3.353071,-6.606605,6.7922916
1582685973887,-4.7975574,-6.3694506,5.577773
1582685973906,-3.899245,-2.515091,6.3946385
1582685973927,-3.6333444,2.175298,6.9024844
1582685973947,-4.062139,-5.5549803,5.568191
1582685973967,-4.028602,-10.635836,4.049444
1582685973987,-3.942364,-9.804598,4.6411324
1582685974006,-4.038184,-6.2832127,6.8018737
1582685974026,-3.3315115,1.317709,9.044062
1582685974046,0.144359,0.675715,10.51969
1582685974066,2.554232,-6.491621,10.634673
1582685974086,1.1576555,-7.627088,8.222405
1582685974106,-3.2213185,-1.235894,6.6964717
1582685974127,-4.1507726,-2.9822135,8.82128
1582685974146,-2.9721866,-5.6508007,12.074369
1582685974166,-3.597412,-6.7623124,14.045865
1582685974186,-7.5188456,-3.0971975,13.880576
1582685974206,-9.952674,-2.179721,11.906684
1582685974226,-10.839008,-0.9891575,9.051248
1582685974246,-10.443751,-1.1712155,4.8519363
1582685974266,-8.69264,-2.500718,2.5570476
1582685974286,-4.92931,-2.433644,4.609991
1582685974305,-1.9517035,-0.2465525,7.580411
1582685974325,-0.7252075,3.0496554,8.004415
1582685974345,0.058121,5.3972454,9.03927
1582685974366,0.446192,4.6738043,8.58173
1582685974386,0.81989,3.3179514,8.885959
1582685974405,-0.0544675,2.0291724,9.662101
1582685974426,-1.6067514,3.0113275,9.470461
1582685974445,-2.648794,3.7108135,9.242888
1582685974465,-3.39619,2.4603624,8.39009
1582685974485,-3.4560776,1.863883,7.867871
1582685974505,-3.15664,1.8087865,8.29427
1582685974525,-2.8476205,2.036359,9.034479
1582685974545,-2.634421,1.724944,9.638145
1582685974565,-2.524228,0.4912615,9.791457
1582685974585,-2.5122504,-0.086054,9.8154125
1582685974605,-2.4212215,0.3475315,9.8753
1582685974625,-2.3110285,1.015876,10.09329
1582685974644,-2.0091956,1.2626125,10.246602
1582685974664,-1.633102,1.17877,10.670606
1582685974685,-1.321687,-1.2143345,9.578258
1582685974704,-1.532491,-1.1280965,8.402067
1582685974725,-1.4582305,3.04726,9.599817
1582685974745,-0.8210275,1.720153,10.062149
1582685974765,-0.6150145,1.058995,10.989207
1582685974785,-0.5144035,-0.2369705,11.027535
1582685974804,-0.3515095,-0.7112795,10.699352
1582685974825,-0.143101,-0.526826,10.486153
1582685974844,-0.3850465,0.096004,9.978307
1582685974864,-0.8785195,0.512821,9.494415
1582685974884,-0.943198,0.139123,9.434528
1582685974905,-0.579082,-0.9699935,9.530348
1582685974925,-0.320368,-1.1472605,9.736361
1582685974944,-0.598246,-0.905315,10.193901
1582685974964,-0.650947,-0.5819225,10.826314
1582685974984,-0.5718955,-0.517244,11.137729
1582685975004,-0.5718955,-0.713675,10.893388
1582685975024,-0.507217,-0.7927265,10.517294
1582685975044,-0.416188,-0.613064,10.138805
1582685975064,-0.229339,-0.2178065,9.798644
1582685975083,-0.1886155,-0.3232085,9.774689
