Time,accX,accY,accZ
1582684649146,1.0331314,-8.928486,0.38300323
1582684649196,1.1504424,-9.76374,-0.44185102
1582684649246,1.0405957,-9.539337,0.058779962
1582684649297,1.0662655,-9.521572,-0.10111807
1582684649346,1.1112851,-9.53947,-0.17456558
1582684649396,1.0623382,-9.377303,-0.14350063
1582684649447,0.98940086,-9.494407,-0.24367762
1582684649497,0.89887166,-9.55977,-0.30345118
1582684649547,0.8812897,-9.594312,-0.34051383
1582684649596,0.93215054,-9.721997,-0.3339333
1582684649647,1.068647,-9.373081,-0.06291903
1582684649696,1.1333892,-8.90023,0.0273995
1582684649747,1.0811694,-9.709906,0.08976912
1582684649797,0.8109447,-11.304997,-0.5391938
1582684649847,1.1472546,-11.796304,0.5935624
1582684649896,1.6180419,-8.322567,3.0233684
1582684649946,0.75378877,-7.284969,1.2616763
1582684649997,0.3686716,-5.3770423,3.4118536
1582684650046,-0.45894265,-10.100281,3.6678643
1582684650097,-0.407961,-11.881672,5.098612
1582684650146,0.13297755,-8.709075,3.5773
1582684650197,0.92965895,-8.031926,3.3174818
1582684650246,0.1662139,-7.5486064,3.5891976
1582684650296,-0.37260002,-8.409888,3.8251507
1582684650346,-0.9458997,-8.697406,3.676654
1582684650397,-0.89327204,-9.029725,3.4089212
1582684650447,-0.534255,-8.997559,3.2347126
1582684650496,-0.5116936,-8.861322,3.2322707
1582684650547,-0.44250026,-9.276488,3.2551115
1582684650597,-0.29497975,-8.939382,3.2200391
1582684650647,-0.21117559,-9.126989,2.906587
1582684650696,-0.2021669,-9.357708,2.758814
1582684650747,-0.21282169,-9.59128,2.7879763
1582684650797,-0.15539065,-9.131111,2.997602
1582684650846,-0.15289058,-9.347501,2.9330122
1582684650896,-0.08637918,-9.08135,3.0608344
1582684650947,-0.14509565,-8.686327,3.341552
1582684650997,-0.16697362,-8.4346695,3.6169643
1582684651047,0.35820848,-8.482384,3.4588163
1582684651097,0.8003078,-10.921706,4.846286
1582684651146,-1.2451361,-7.928718,5.4236507
1582684651196,-0.490991,-7.3345366,3.3705866
1582684651246,0.3763155,-6.5930033,4.890128
1582684651297,0.53946495,-7.8521643,5.650262
1582684651346,0.85985446,-11.07472,4.1313295
1582684651397,0.5411794,-9.235735,5.2173843
1582684651446,0.19626322,-7.447062,5.0407605
1582684651496,0.46014655,-8.292368,5.00937
1582684651546,0.4687336,-8.729394,5.224924
1582684651597,0.10830253,-7.8514977,5.8400764
1582684651647,-0.026234932,-7.4146557,5.6560364
1582684651696,0.10204653,-7.7747746,5.532334
1582684651746,0.02758729,-7.806158,5.47644
1582684651797,-0.08170687,-7.7537227,4.869912
1582684651846,-0.09873548,-8.99507,4.4312625
1582684651896,-0.1719263,-8.70225,4.2219596
1582684651946,-0.07487733,-8.284851,4.971465
1582684651996,0.15390612,-8.40952,4.8602448
1582684652047,0.15778154,-8.580743,4.1697288
1582684652097,0.009424433,-8.553892,4.3636303
1582684652146,-0.0019394238,-9.105366,4.4363894
1582684652197,0.047055837,-8.562436,4.7689867
1582684652246,0.042460065,-8.069843,4.966483
1582684652297,0.011304289,-7.9335823,4.5949802
1582684652346,-0.10338986,-8.458786,3.8224669
1582684652397,-0.10105268,-9.252258,3.2524798
1582684652447,-0.14542821,-9.317064,2.9101994
1582684652496,-0.14206134,-8.973869,2.7100031
1582684652546,-0.1407661,-9.55016,2.4291973
1582684652597,-0.04380439,-9.340115,2.6023967
1582684652646,-0.038475662,-9.292859,2.3364744
1582684652696,-0.0400945,-9.200003,2.4599159
1582684652746,-0.014198963,-9.281373,2.3359494
1582684652796,-0.05712571,-9.372014,2.124415
1582684652847,-0.019667082,-9.420075,2.0726638
1582684652896,0.019077523,-9.207914,1.9837056
1582684652946,0.040631466,-9.259361,2.1301773
1582684652996,0.3242061,-9.998377,2.1630898
1582684653047,0.05056625,-9.71518,3.1060722
1582684653096,0.29885918,-9.518163,3.0434997
1582684653147,0.028207658,-8.179188,3.8404293
1582684653196,0.11224224,-7.2318516,4.37971
1582684653246,0.4308204,-8.341495,3.5453448
1582684653297,0.46664113,-9.80938,4.5873947
1582684653347,-0.27048302,-7.9879904,3.717455
1582684653397,-0.15844254,-9.316946,3.419362
1582684653447,0.11001864,-9.831252,2.3877604
1582684653496,0.27721635,-9.177305,1.3987746
1582684653547,0.29476988,-8.829327,0.8695065
1582684653596,0.13351786,-9.566633,0.31390274
1582684653646,0.1992963,-9.444153,0.42659974
1582684653697,0.38093823,-9.891463,-1.797283
1582684653746,-0.31211758,-8.353903,-3.9155517
1582684653796,-0.6522193,-8.983371,-1.7416477E-4
1582684653847,1.698197,-13.215694,1.1985381
1582684653897,2.355033,-7.8576684,1.4228785
1582684653946,2.533343,-7.0347013,0.8249645
1582684653996,2.8454742,-10.270158,1.2631297
1582684654046,2.0384996,-10.000112,1.5331553
1582684654097,0.9356702,-8.128856,1.4384793
1582684654147,0.32930595,-9.6432,1.1052363
1582684654196,1.5227323,-10.110904,1.3924203
1582684654246,1.8883253,-8.869737,1.7396585
1582684654296,1.4011729,-9.167758,1.6863046
1582684654346,1.5631177,-9.332564,1.7761145
1582684654396,1.5323534,-9.329523,1.6065428
1582684654446,1.4247085,-9.496029,1.439201
1582684654497,1.7266225,-9.152331,1.7940075
1582684654546,1.4463125,-9.370785,1.748132
1582684654597,1.3460984,-9.464251,1.5626602
1582684654647,1.6107197,-9.761746,1.5671313
1582684654697,1.5787128,-10.601551,1.2708826
1582684654747,1.0519894,-9.735032,2.2300334
1582684654797,0.65160537,-8.9523735,2.103614
1582684654846,-0.2894497,-8.483206,1.0531186
1582684654896,1.8422052,-0.51648784,3.954017
1582684654946,2.2902818,-14.7222595,2.085925
1582684654996,-0.63560694,-13.672848,-0.9565861
1582684655047,0.5050423,-7.489592,0.20954251
1582684655096,1.2748121,-9.501859,1.5900793
1582684655147,0.23611513,-8.221041,2.6476862
1582684655196,-0.10919255,-6.7972546,4.0039005
1582684655246,1.0412234,-9.952926,5.484046
1582684655296,0.86428434,-9.969214,5.113768
1582684655346,-0.64341056,-9.821096,2.8765326
1582684655396,-1.3121132,-8.496885,4.0362053
1582684655446,-0.9265043,-5.0433693,6.2444906
1582684655497,-0.47684142,-7.1349325,5.17249
1582684655546,-0.5283584,-8.215307,4.417814
1582684655596,-0.84059024,-8.069504,4.8291774
1582684655647,-0.61965513,-8.504116,4.658574
1582684655696,-0.8158826,-10.535033,4.1285276
1582684655746,-0.5137148,-9.421941,3.4447153
1582684655797,-0.11947245,-9.075887,3.0274763
1582684655846,-0.6520532,-7.7932897,1.3094239
1582684655896,-0.93085897,-7.802246,2.0847385
