Time,accX,accY,accZ
1582685239146,-1.4470263,-9.353018,1.8097034
1582685239196,-1.7379245,-9.148802,1.9834878
1582685239246,-1.6898863,-9.425632,2.703928
1582685239297,-1.8391654,-9.321749,3.1313415
1582685239346,-2.5766804,-8.154485,3.8438547
1582685239396,-2.79939,-7.5831876,5.110127
1582685239446,-3.4352448,-6.9205217,5.6700497
1582685239497,-3.347505,-6.9600587,6.3592477
1582685239546,-3.8238862,-5.4935746,6.408673
1582685239596,-3.7208395,-4.6624055,6.9982963
1582685239646,-3.797663,-4.439206,7.652465
1582685239696,-3.7632997,-3.7694447,7.700799
1582685239746,-3.594729,-4.071483,7.863032
1582685239797,-3.6032062,-4.324712,7.901468
1582685239846,-3.4171135,-4.73635,7.9090977
1582685239896,-3.2638795,-5.2720404,7.395246
1582685239946,-3.4549372,-5.437165,7.447277
1582685239996,-3.2667086,-5.678342,7.01043
1582685240047,-3.278006,-6.0019555,6.830941
1582685240096,-3.1097202,-6.368425,6.5822577
1582685240147,-3.1445823,-6.5803533,6.492811
1582685240196,-2.9923573,-6.9442945,6.0907044
1582685240247,-2.8533416,-7.2201066,5.9228992
1582685240296,-2.8979597,-7.248377,5.5675545
1582685240347,-3.0102456,-7.5671635,4.959837
1582685240396,-2.582013,-7.9991894,4.936964
1582685240447,-3.008358,-8.001802,4.1546545
1582685240496,-2.7392852,-8.539211,3.9039252
1582685240546,-2.5632339,-8.6272,3.93418
1582685240596,-2.9028888,-9.710352,2.4951081
1582685240646,-3.00535,-11.224737,0.6361157
1582685240697,-2.8893824,-11.750976,-0.91224575
1582685240746,-3.6831765,-10.1261635,-1.9647762
1582685240796,-4.806542,-9.002466,-2.483811
1582685240846,-5.356673,-7.9392724,-2.5532591
1582685240897,-5.732256,-6.5551996,-1.9918759
1582685240947,-6.076107,-5.8223295,-1.321241
1582685240996,-6.4023237,-5.2310867,-0.64257026
1582685241046,-6.452348,-4.87577,-0.03499785
1582685241097,-6.767613,-4.927379,-0.020705331
1582685241146,-6.9385266,-5.1474276,-0.19617955
1582685241196,-7.4156904,-5.470441,-0.44827712
1582685241247,-7.774951,-5.429792,-0.4673705
1582685241297,-7.8708425,-5.3663487,-0.60241926
1582685241346,-7.924812,-5.447935,-0.7292635
1582685241396,-7.6782937,-5.345618,-0.40432233
1582685241446,-7.636679,-5.45735,-0.32952434
1582685241497,-7.4947767,-5.4657383,-0.3122188
1582685241546,-7.6405787,-5.250965,-1.2047075
1582685241596,-7.6512246,-5.225277,-0.7688922
1582685241647,-7.830412,-5.150431,-1.3664618
1582685241697,-7.7929626,-5.4686494,-0.55663097
1582685241747,-7.569864,-5.907495,-0.44681203
1582685241796,-7.919842,-5.488072,-1.748893
1582685241846,-7.7700825,-5.18536,0.35280228
1582685241896,-7.267047,-5.3210754,0.7999401
1582685241947,-7.018533,-4.3966556,2.0474772
1582685241996,-5.8573856,-3.7674942,3.355948
1582685242046,-4.653718,-3.7512052,0.5335643
1582685242097,-3.8505118,-5.4913583,-3.074367
1582685242146,-2.7962146,-7.7246804,-4.4390054
1582685242196,-2.2356231,-13.576306,-6.274689
1582685242246,-6.5191493,-21.74368,-4.5961466
1582685242297,-0.7195212,-5.076025,-0.7335038
1582685242346,-2.1806178,-10.007369,-1.9734449
1582685242396,-3.108261,-8.449999,0.9270433
1582685242446,-2.2607358,-9.775385,0.49704075
1582685242497,-2.5531387,-9.272687,1.3806772
1582685242547,-2.4326234,-8.845061,2.2053542
1582685242596,-2.320676,-9.191301,2.4023876
1582685242647,-2.4768612,-8.902383,3.1273737
1582685242697,-2.3700957,-8.826673,3.330633
1582685242746,-2.6745505,-8.203064,3.947183
1582685242796,-2.7641656,-8.00189,4.283864
1582685242847,-2.6622,-7.708469,4.7455225
1582685242897,-2.6812713,-7.8526278,4.9650774
1582685242946,-2.7071486,-7.409938,5.181173
