Time,rotX,rotY,rotZosboxe
1582683562346,4.0175653,-0.13084753,0.74659115
1582683562396,2.6187043,0.096044995,0.6856241
1582683562446,0.6093374,0.48279443,0.61550736
1582683562496,2.1666324,1.0206236,0.15871972
1582683562546,2.3746667,1.0831625,-0.8577057
1582683562597,0.5379155,1.1339351,-1.3674923
1582683562646,-1.3982295,1.4025221,-1.3371788
1582683562697,-2.9898787,1.7703469,-0.75158167
1582683562746,-4.2096863,1.3214693,0.5106104
1582683562796,-4.1049013,0.16783735,1.5951803
1582683562847,-3.5330746,-1.0776294,2.1880665
1582683562897,-1.5224255,-2.2007184,1.9177212
1582683562946,0.02608038,-3.1615076,1.6800903
1582683562996,0.5842162,-3.596991,1.7085642
1582683563046,0.060451444,-3.9236946,1.6594411
1582683563096,0.022618309,-3.853218,1.4705616
1582683563147,-0.31583548,-3.5494041,1.1110755
1582683563196,-0.77838963,-3.091168,0.7497463
1582683563246,-1.6373863,-2.3194976,0.50004625
1582683563296,-2.1691291,-1.8112,-0.05387765
1582683563346,-1.628833,-1.6005962,-0.52481675
1582683563396,-0.47337604,-1.2667783,-0.65074885
1582683563446,0.14021389,-0.7377246,-0.51960313
1582683563496,0.6380551,-0.56364495,-0.4663968
1582683563547,0.53893954,-0.39022526,-0.36465088
1582683563596,0.5881695,-0.39919865,0.043997653
1582683563646,1.2295159,-0.26209503,0.47556502
1582683563696,0.9242633,-0.01598317,0.57622963
1582683563746,0.43913028,0.10829048,0.58955073
1582683563797,0.16824228,0.17853403,0.5550484
1582683563847,-0.09637927,0.0827505,0.3900129
1582683563896,-0.25078312,-0.14601506,0.23087347
1582683563946,-0.31206027,-0.4144763,0.15219249
1582683563997,-0.19137155,-0.5990906,0.06691977
1582683564047,-0.13993981,-0.66830575,-0.01625551
1582683564096,-0.2991208,-0.6104053,-0.24964991
1582683564147,-0.53507024,-0.64739597,-0.55842906
1582683564196,-0.603767,-0.76591814,-0.7045822
1582683564246,-0.5230792,-0.8323314,-0.7025458
1582683564296,-0.26080722,-0.7761856,-0.64930284
1582683564346,-0.17441279,-0.68555987,-0.54750526
1582683564396,-0.24145994,-0.564498,-0.4111267
1582683564447,-0.31004962,-0.44154105,-0.3338523
1582683564497,-0.2827418,-0.36172447,-0.30294237
1582683564547,-0.21723586,-0.3335353,-0.24449527
1582683564597,0.045422312,-0.32028818,-0.2352106
1582683564646,0.27284253,-0.13359305,-0.3398595
1582683564696,0.2604238,-0.025378592,-0.500644
1582683564746,0.15705086,0.09355596,-0.5925487
1582683564796,-0.014067252,0.09661766,-0.5741426
1582683564847,0.22905965,-0.16043422,-0.185167
1582683564896,0.038415547,-0.10253655,0.08963245
1582683564946,-0.36979967,-0.00980881,0.10609927
1582683564996,-0.47324386,0.12022109,0.11712216
1582683565046,-0.4413898,0.15914577,0.07800892
1582683565096,-0.4133164,0.05141968,-0.21137068
1582683565146,-0.47903138,0.021685006,-0.24030884
1582683565197,-0.37011632,-0.10045633,-0.15249161
1582683565247,-0.22478731,-0.2880625,-0.05862534
1582683565296,-0.12546045,-0.40441877,0.07328781
1582683565347,-0.18428765,-0.42376137,-0.0014897902
1582683565396,-0.47716275,-0.31689623,-0.24821627
1582683565447,-0.5921379,-0.37379098,-0.41619563
1582683565497,-0.26452738,-0.5232107,-0.4132074
1582683565547,-0.18307643,-0.5413608,-0.34224963
1582683565596,0.039688405,-0.41478565,-0.21471831
1582683565647,0.25415716,-0.24702579,-0.114934064
1582683565696,0.23631613,-0.13733126,-0.09899938
1582683565746,0.056247666,-0.113220215,-0.07001192
1582683565797,0.006432104,-0.11591059,-0.042773798
1582683565846,0.13122113,-0.1806247,0.019595513
1582683565897,0.2898557,-0.10407276,0.056357168
1582683565947,0.34404716,0.004375052,0.05206395
1582683565996,0.31374416,0.22101481,-0.0132818725
1582683566046,0.058958646,0.3540198,-0.14994653
1582683566096,0.123719506,0.13127461,-0.04472386
1582683566146,0.14801608,0.11404083,0.12196947
1582683566197,0.04011048,0.16732562,0.20938352
1582683566246,-0.057145495,0.18956588,0.26234004
1582683566297,-0.18178919,0.11317048,0.18986508
1582683566346,-0.31051365,-0.063653514,0.035845518
1582683566397,-0.40531796,-0.25655708,0.0015446548
1582683566447,-0.97837514,-0.4170496,0.011248469
1582683566497,-1.8595662,-0.44806856,-0.17234313
1582683566546,-2.0908186,-0.35034195,-0.5111252
1582683566596,-0.3118525,-0.43582964,-0.8730298
1582683566646,0.74254173,-0.79057264,-1.0293138
1582683566696,1.2039205,-0.90445626,-0.9879383
1582683566746,1.2290117,-1.0820223,-0.8482778
1582683566796,1.1043164,-0.997564,-0.53996384
1582683566846,0.44677353,-0.65083337,-0.25966904
1582683566896,0.2628486,-0.35478094,-0.12230847
1582683566947,0.19134262,-0.082152314,-0.09173965
1582683566996,0.1491153,0.13156939,-0.11192851
1582683567046,0.14402623,0.2755635,-0.12876673
