Time,rotX,rotY,rotZosboxe
1582683952884,0.0089349095,0.0043445886,0.0020690975
1582683952934,0.0035664274,0.0039800527,0.0019812435
1582683952984,0.014950868,-0.0073831454,-0.0029218607
1582683953034,0.025056336,-0.010312755,-6.0279807E-4
1582683953084,0.016705083,-0.0039694514,1.7114542E-4
1582683953134,-0.009076424,0.013211722,0.0018948875
1582683953184,0.0028038493,0.0019547967,-0.0018781484
1582683953234,0.015532551,-0.005730765,-0.0014538057
1582683953284,0.0041083083,0.002259076,0.002954116
1582683953334,-0.011296537,9.4738835E-4,-0.0032644442
1582683953384,0.012918508,-0.013578288,-0.005822394
1582683953434,0.018604087,-0.009281587,-0.0060232338
1582683953484,-0.00943429,0.0044202656,-0.0032084524
1582683953534,-0.025744585,0.010616127,-0.0024260997
1582683953584,-0.01710804,0.0038100523,-6.931056E-4
1582683953634,0.014331346,-0.033429895,-0.011138475
1582683953684,0.03289098,-0.021218257,-0.0024194121
1582683953734,0.005499482,-0.0021038707,-0.0028208825
1582683953784,-0.0040403316,0.0060266443,-0.0024305515
1582683953834,0.0025373406,0.01797936,0.0057784095
1582683953884,-0.0056052413,-0.002241088,1.8307753E-4
1582683953934,0.024232179,-0.015654204,0.0033266852
1582683953984,0.021604244,-0.01887111,-0.0018605047
1582683954034,0.004399103,0.0014033671,-4.821038E-4
1582683954084,-0.015456308,0.0034042161,-0.0034324124
1582683954134,0.023077413,-0.021062907,-0.005342768
1582683954184,0.04084979,-0.021055216,0.003254571
1582683954233,0.01573848,-0.0023828987,0.006262918
1582683954284,0.03301544,-0.028623428,-0.010270375
1582683954334,0.0380037,-0.020724738,-0.004463059
1582683954384,0.007790582,-0.012031874,-0.0075158784
1582683954434,0.016357157,-0.019098157,-0.0077773924
1582683954484,0.007283874,-0.014169924,-0.009117268
1582683954534,-0.00439673,-1.9451603E-4,-0.005955078
1582683954584,-0.0113741495,0.020938408,0.0068578506
1582683954634,-0.036521666,0.033129286,0.005512704
1582683954684,-0.019845983,0.022863843,-3.4166873E-4
1582683954734,-0.018688139,0.014054857,-0.0032734238
1582683954784,-0.029717583,0.0231289,0.0019696397
1582683954834,-0.03972442,0.038476374,0.0013821055
1582683954884,-0.051352635,0.051293407,0.0029560057
1582683954934,-0.025284879,0.03789724,0.0031547947
1582683954984,-0.031592444,0.017795727,0.0015140455
1582683955034,0.015212152,-0.0017316891,0.009031826
1582683955084,0.017677538,8.0162287E-4,0.026432287
1582683955134,0.021509666,-0.0029573487,0.029272214
1582683955183,0.031680826,-0.011050951,0.027734216
1582683955222,0.04349368,-0.009944152,0.028791122
1582683955322,-0.0055007213,0.021911055,-0.0044916677
1582683955371,-0.029038012,0.040279184,0.0029763272
1582683955422,-0.08428198,0.08206484,0.021921761
1582683955472,-0.16642755,0.10912095,0.035311628
1582683955521,-0.28672957,0.10406539,0.07690313
1582683955571,-0.72874355,0.06872618,0.18712503
1582683955621,-1.9674091,0.13997295,0.4023972
1582683955671,-3.6368933,0.21398284,0.5816437
1582683955722,-5.191246,0.012845855,0.52483284
1582683955772,-5.805241,-0.40725926,0.21466976
1582683955821,-5.3442388,-0.71656525,-0.06984682
1582683955871,-2.3130686,-0.48981175,-0.42691582
1582683955921,-1.0722557,-0.06852624,-0.53864986
1582683955971,-1.5397478,0.38430747,-0.41407758
1582683956021,-0.6009969,0.46964964,-0.16677643
1582683956071,-0.9400758,0.4789929,0.023882091
1582683956121,-1.2176924,0.46001807,0.15298401
1582683956171,0.16082096,0.22669588,0.05297131
1582683956221,0.7258723,-0.06693268,0.15322681
1582683956271,0.5352372,-0.26248646,0.19947857
1582683956321,0.45776606,-0.27142262,0.018484615
1582683956372,0.48157668,-0.16658011,-0.19349104
1582683956421,0.57229793,-0.09038307,-0.20808369
1582683956472,0.4727664,-0.019252047,-0.11946098
1582683956522,0.14791796,0.04032871,0.020650797
1582683956571,-0.0065950677,0.079824075,0.014727228
1582683956621,0.62505555,0.05331655,0.10405483
1582683956672,0.9081799,-0.03772755,0.4867422
1582683956722,0.49046665,-0.19083306,0.5585619
1582683956771,-0.110133894,-0.23249434,0.32515144
1582683956821,0.12674642,-0.13481426,-0.12934898
1582683956871,0.3755154,-0.024347506,-0.3951719
1582683956922,0.6708434,-0.05433338,-0.45546645
1582683956972,0.62099326,-0.10484907,-0.27229548
1582683957022,0.08726877,-0.089956716,-0.047186807
1582683957071,-0.03347315,0.052761015,-0.04372886
1582683957122,-0.27883303,0.14860173,0.059994265
1582683957172,-0.4623225,0.14075197,0.19417845
1582683957221,-0.20325083,0.06882465,0.023288898
1582683957271,0.08368282,-0.00789026,-0.18759735
1582683957322,0.19848508,-0.090578005,-0.15222177
1582683957372,0.11489179,-0.07017174,-0.055009734
1582683957422,0.098774604,0.0046925293,-0.07150924
1582683957471,-0.048155963,0.031857017,-0.066278346
1582683957522,0.06325292,0.01579789,-0.15912029
1582683957571,0.32564828,-0.09831706,-0.23468196
1582683957622,0.12004556,-0.17583172,-0.14988102
1582683957671,-0.27145237,-0.10170789,-0.034855276
1582683957721,-0.26434672,-0.0034757443,0.0032560788
1582683957772,-0.14436534,0.11557403,0.009573113
1582683957821,-0.380358,0.23289455,-0.03770434
1582683957871,-0.47522485,0.2583316,-0.11383786
1582683957921,-0.27319545,0.18793909,-0.15461206
1582683957971,-0.19641694,0.07619555,-0.13432139
1582683958021,-0.2473051,-0.009849461,-0.09196869
1582683958071,-0.21885264,-0.12852082,-0.10046471
1582683958121,-0.025660388,-0.25337338,-0.15751167
1582683958172,0.13976511,-0.30778003,-0.21028815
1582683958221,0.05789385,-0.30809858,-0.23196734
1582683958272,0.08199563,-0.2553677,-0.19994247
1582683958321,0.13116854,-0.1487619,-0.116136245
1582683958372,-0.007246905,-0.054742545,-0.049711578
1582683958422,-0.14795706,-0.040976964,-0.018326584
1582683958471,-0.07500994,-0.044312306,-0.0063292966
1582683958521,0.019320335,-0.06765835,0.0012857113
