Time,accX,accY,accZ
1582685580171,9.421015,-3.8878062,2.4881778
1582685580221,9.52179,-3.7165563,3.2513416
1582685580271,9.949504,-4.850755,3.400115
1582685580322,9.870551,-4.8554707,3.4359696
1582685580371,9.59288,-4.343781,3.1490226
1582685580421,9.243448,-3.9719126,2.0615845
1582685580471,8.951473,-3.8048768,0.75939053
1582685580521,8.650123,-3.5857525,0.1010451
1582685580572,8.597539,-4.061614,-0.16914764
1582685580621,8.12114,-5.1645956,-0.12357881
1582685580671,7.2927036,-6.688552,-1.3279285
1582685580721,7.1277776,-8.232744,-3.6539383
1582685580772,6.6473746,-9.853754,-6.7942924
1582685580822,5.678131,-10.225911,-9.973754
1582685580872,4.6717696,-9.075783,-12.323328
1582685580921,3.8808944,-7.3663797,-12.884995
1582685580971,2.7442756,-5.0489655,-11.0473
1582685581022,2.0164766,-3.2923086,-8.053169
1582685581071,0.3333584,-2.3448286,-5.367281
1582685581122,-1.7328653,-2.339956,-3.611141
1582685581172,-4.10665,-2.220235,-2.2466936
1582685581221,-5.851504,-2.534092,-2.3842077
1582685581272,-6.973939,-2.5977814,-3.0602837
1582685581322,-7.5247793,-2.8456557,-3.4720557
1582685581372,-7.832365,-3.0483623,-3.693792
1582685581421,-7.81966,-2.8822355,-3.8750832
1582685581472,-7.8993917,-2.9959464,-3.882152
1582685581521,-8.0841055,-3.1051884,-3.280114
1582685581571,-8.0644045,-2.6816735,-3.1763804
1582685581621,-8.422111,-3.3625455,-3.1138675
1582685581671,-8.370237,-2.6819472,-3.2630923
1582685581721,-8.469296,-2.6294417,-3.4174714
1582685581772,-8.428992,-2.9098005,-3.417361
1582685581822,-8.417529,-3.6211183,-3.2348664
1582685581871,-8.417319,-3.8652728,-3.2230825
1582685581922,-8.457512,-2.9473352,-3.7813718
1582685581971,-8.235583,-3.4558406,-3.3551347
1582685582021,-8.316653,-4.2831163,-3.2744935
1582685582071,-8.437101,-3.8053043,-3.3522317
1582685582121,-8.432145,-3.220121,-3.5788565
1582685582171,-8.576268,-3.349806,-3.1004715
1582685582221,-8.558865,-3.3801808,-2.7110648
1582685582271,-8.430476,-3.1565337,-2.3997927
1582685582321,-8.21741,-3.8542078,-2.8119113
1582685582371,-8.510209,-5.0605574,-2.6431875
1582685582422,-8.979865,-5.6887574,-1.9937212
1582685582471,-8.883117,-4.162482,-1.647248
1582685582521,-8.537803,-3.2332668,-0.76596594
1582685582571,-8.482553,-3.1552472,0.30055037
1582685582622,-8.612208,-3.239616,0.9031093
1582685582671,-8.77555,-3.126749,1.3434194
1582685582722,-8.704938,-3.250083,1.394134
1582685582771,-8.709502,-3.8037407,1.4089143
1582685582821,-8.832441,-3.9978027,1.2606772
1582685582871,-8.8976345,-3.6506689,1.3200486
1582685582922,-8.853798,-3.7179613,1.4347941
1582685582971,-8.787698,-3.5885053,1.0908427
1582685583022,-8.657235,-3.4573188,1.0410321
