Time,rotX,rotY,rotZosboxe
1582685342922,1.0588765,0.9625079,2.5303965
1582685342971,0.9809209,0.7620438,2.1169455
1582685343022,0.67668504,0.6646149,2.0741186
1582685343072,0.5329269,0.2910465,2.0669715
1582685343122,0.1754149,0.09424905,1.8940324
1582685343172,-0.3873201,-0.2469407,1.214045
1582685343222,-0.88941,-0.6206699,0.1964493
1582685343271,0.92868996,-1.4173796,-0.6917059
1582685343322,2.1238894,-1.633529,-1.1620038
1582685343371,0.5474717,-1.1519729,-1.8052936
1582685343422,0.010820892,-1.0682405,-2.553258
1582685343472,1.0474436,-1.1512436,-2.8819077
1582685343522,1.7282696,-1.2614002,-2.7827842
1582685343571,1.0066177,-1.0502505,-2.4546654
1582685343622,0.2657236,-0.6636089,-2.1578932
1582685343671,-0.09869461,-0.26759896,-1.7889389
1582685343722,0.37505528,0.111207604,-1.2582328
1582685343771,1.2851604,0.5392623,-0.59555614
1582685343821,2.140869,1.4969035,0.5820097
1582685343872,2.2775607,1.4101627,1.7977415
1582685343921,1.9006362,1.6600794,2.6104932
1582685343971,1.5157682,1.763718,3.141032
1582685344021,0.9813733,1.078143,3.4190955
1582685344071,0.2568563,0.75232416,3.6158288
1582685344121,0.013954608,0.51940346,3.5944312
1582685344171,0.36838433,0.09657583,3.1691823
1582685344221,0.8682233,-0.21987602,2.398138
1582685344272,0.82139444,-0.42889777,1.1426989
1582685344322,0.59573907,-0.46412045,-0.33021632
1582685344371,-0.33771363,-0.45190457,-1.6264287
1582685344422,-0.16528584,-0.6121809,-2.2050216
1582685344471,0.7679757,-1.163152,-2.3742151
1582685344521,0.5802283,-1.0652553,-2.451172
1582685344571,-0.36847067,-0.77710146,-2.7493396
1582685344621,-0.68547255,-0.84719056,-2.8243246
1582685344671,-0.549791,-1.1503484,-2.7323446
1582685344721,-0.38702804,-1.2273371,-2.5074844
1582685344772,-0.2801122,-1.0566894,-2.150242
1582685344821,-0.1823058,-0.99579465,-1.5625728
1582685344871,-0.16530846,-0.8953379,-0.6491065
1582685344921,-0.87583804,-0.41533005,0.58527154
1582685344971,-1.7859957,-0.057097264,1.8457729
1582685345021,-1.8123767,0.49940866,3.0162995
1582685345071,-0.76002395,0.2654107,3.6797004
1582685345122,2.2638574,0.40455455,3.8253334
1582685345172,3.8542309,1.4762437,3.3985524
1582685345221,1.8018491,1.6988177,2.9921775
1582685345271,-0.4041745,1.4871402,2.8969502
1582685345321,-1.3319755,1.3092477,2.9333637
1582685345371,-0.75569,0.73435175,2.6594949
1582685345421,0.5339467,-0.076410644,1.7619292
