Time,accX,accY,accZ
1582684402272,-2.6312962,-6.8589563,6.160684
1582684402321,-2.5572348,-6.949129,6.330956
1582684402371,-2.5549626,-6.855275,6.2326527
1582684402421,-2.4261563,-6.93179,6.3625607
1582684402471,-2.4517746,-6.965902,6.3372345
1582684402522,-2.4134817,-6.95295,6.3516316
1582684402571,-2.5795193,-7.0262637,5.9647512
1582684402621,-2.4400103,-7.4633737,6.005584
1582684402671,-1.4085062,-8.144901,6.826996
1582684402722,-0.54593277,-8.668422,6.3869433
1582684402772,-1.1537052,-8.102493,4.989234
1582684402822,-2.2546256,-6.764065,3.956919
1582684402872,-3.475699,-6.424784,2.685867
1582684402922,-4.458917,-6.958885,2.4140077
1582684402971,-5.220286,-6.877963,1.7505348
1582684403021,-5.111001,-7.3484592,2.3753152
1582684403072,-4.3670874,-8.128741,2.5169203
1582684403121,-3.733506,-8.318557,2.4888086
1582684403171,-5.173121,-12.069507,2.666799
1582684403221,-5.5933843,-9.522763,2.8168552
1582684403271,-3.5649905,-7.1917095,2.6032524
1582684403322,-3.290679,-9.438915,2.1493988
1582684403371,-2.7815652,-8.613752,2.120731
1582684403422,-2.8369887,-9.111583,2.4954019
1582684403471,-3.0129142,-8.732135,2.7556996
1582684403522,-2.970707,-8.619608,2.8722227
1582684403572,-2.980269,-8.5409775,3.0889864
1582684403621,-3.0898354,-8.261097,3.4801176
1582684403671,-3.2220728,-8.264407,3.5648768
1582684403722,-3.3098097,-8.223456,3.7055826
1582684403772,-3.241832,-8.225677,3.8420405
1582684403821,-3.0592823,-8.203966,3.9134831
1582684403872,-2.9934123,-8.152561,4.051124
1582684403921,-3.0194209,-8.080083,4.1038036
1582684403971,-3.1204286,-8.051146,4.183381
1582684404021,-3.1919167,-8.083455,4.1404386
1582684404071,-3.1000693,-8.118247,4.1311164
1582684404122,-3.126099,-8.096886,4.186288
1582684404172,-3.158348,-8.058278,4.191237
1582684404221,-3.1095455,-8.068404,4.2269363
1582684404272,-3.1630113,-8.081723,4.181502
1582684404322,-3.1325293,-8.08538,4.165028
1582684404371,-3.1271684,-8.051998,4.2106676
1582684404421,-3.1269882,-8.058336,4.220313
1582684404471,-3.1530395,-8.068242,4.2163353
1582684404521,-3.157032,-8.054183,4.2183485
1582684404572,-3.134865,-8.030128,4.2236695
1582684404622,-3.1417363,-8.080514,4.2031407
1582684404671,-3.161896,-8.056918,4.209301
1582684404721,-3.1516006,-8.027962,4.260029
1582684404771,-3.14072,-8.038815,4.2435293
1582684404822,-3.185743,-8.068879,4.221594
1582684404872,-3.1506648,-8.022751,4.255457
1582684404922,-3.077678,-8.048724,4.238896
1582684404971,-3.1863606,-8.027567,4.268426
1582684405021,-3.1871922,-8.025912,4.2464566
1582684405071,-3.123691,-8.039708,4.250678
1582684405122,-3.1679764,-7.990105,4.2860947
1582684405171,-3.1839943,-8.0531435,4.214562
1582684405221,-3.1343699,-8.065581,4.2355824
1582684405272,-3.1706953,-8.002362,4.258126
1582684405322,-3.1832588,-8.068845,4.2373834
1582684405372,-3.1586785,-8.04698,4.2126436
1582684405422,-3.1814318,-8.030254,4.2434797
1582684405472,-3.1693816,-8.023263,4.2419252
1582684405522,-3.1628988,-8.038882,4.230266
1582684405572,-3.1732562,-8.021224,4.2454176
1582684405622,-3.176555,-8.024971,4.2523704
1582684405671,-3.1463516,-8.0534115,4.2194743
1582684405722,-3.1660244,-7.981616,4.2945886
1582684405771,-3.2096968,-8.048852,4.2246194
1582684405821,-3.1713297,-8.057215,4.2322006
1582684405872,-3.127817,-7.979382,4.2835846
1582684405922,-3.1767912,-8.064878,4.2466216
1582684405971,-3.2209904,-8.046671,4.225456
1582684406021,-3.1804357,-8.025038,4.235837
1582684406071,-3.1527882,-8.048855,4.2473316
1582684406121,-3.189947,-8.001804,4.2486644
1582684406172,-3.1825292,-8.047714,4.2031126
