Time,accX,accY,accZ
1582684769146,3.468486,-7.1680903,8.205957
1582684769196,3.4890535,-5.5676107,7.5018597
1582684769247,1.5266311,-2.468389,8.149703
1582684769297,1.084658,-3.7171383,8.674515
1582684769346,2.2102284,-6.000636,8.514398
1582684769396,3.551272,-6.7956734,8.087084
1582684769447,3.429543,-5.0851035,7.558911
1582684769496,1.4432275,-2.1188002,8.228568
1582684769546,1.0997808,-3.8707032,8.706926
1582684769596,2.2770822,-6.1307015,8.479958
1582684769646,3.6069872,-6.8437176,8.016152
1582684769696,3.2429802,-4.5999565,7.5885367
1582684769747,1.2912242,-1.9670851,8.279229
1582684769796,1.309463,-4.401617,8.553825
1582684769846,2.408639,-6.1218376,8.41866
1582684769896,3.7515008,-6.7474074,7.9819536
1582684769946,3.1885808,-4.5921493,7.6915064
1582684769997,1.2913722,-2.431555,8.305043
1582684770047,1.4019926,-4.7497873,8.449214
1582684770096,2.4977295,-6.183444,8.415622
1582684770147,3.7525785,-6.5574665,7.9672775
1582684770196,2.978719,-4.122039,7.81803
1582684770246,1.2973528,-2.6837294,8.35152
1582684770296,1.5108709,-5.2228417,8.358873
1582684770347,2.5775015,-6.2559237,8.408948
1582684770396,3.5856528,-6.0745006,7.9671354
1582684770446,2.7131186,-3.7283466,7.888196
1582684770497,1.178658,-2.811159,8.668336
1582684770546,1.6974288,-5.2832265,8.708679
1582684770597,2.0240571,-4.3398056,10.077062
1582684770646,0.04647243,-1.6397367,11.085585
1582684770696,-1.2375982,-0.89026695,11.706837
1582684770746,1.7555926,-3.1883626,9.984863
1582684770797,4.4285846,-6.1156697,6.930263
1582684770846,6.2732787,-9.170945,4.1835537
1582684770896,7.277491,-9.402585,2.7135098
1582684770946,8.787363,-9.296929,1.3188316
1582684770996,8.339269,-8.942026,1.145979
1582684771047,7.9613633,-7.8997893,1.2174329
1582684771096,7.462134,-7.1100793,0.91481966
1582684771147,7.320511,-6.703618,0.40318462
1582684771197,7.211591,-6.1329074,-1.1186705
1582684771247,6.7730207,-6.1332326,-2.1189675
1582684771296,5.944798,-7.8755856,-3.1379173
1582684771346,4.1785793,-10.774435,-6.0115576
1582684771396,3.4693382,-15.230329,-7.9421706
1582684771446,3.8479671,-17.18932,-8.313979
1582684771496,4.9624653,-15.175224,-6.4625225
1582684771547,6.6805553,-11.0325985,-4.9361157
1582684771596,8.907182,-7.8403306,-4.1651826
1582684771647,10.208172,-6.13737,-2.9247067
1582684771697,10.058833,-5.226801,-1.7867814
1582684771746,9.062917,-4.9893055,-0.34747446
1582684771797,8.129819,-4.483643,0.71531093
1582684771846,7.2386866,-3.5497222,1.6276383
1582684771896,5.7347445,-3.804269,3.0470562
1582684771946,3.7779925,-5.609951,4.870215
1582684771996,0.99717486,-9.208063,9.683085
1582684772047,-0.75266534,-11.273691,13.732212
1582684772096,-0.94552517,-11.653775,15.5069895
1582684772146,-0.26837218,-9.599409,15.471859
1582684772196,0.59509975,-7.374737,14.013746
1582684772247,2.0225487,-6.7951565,10.5707445
1582684772296,3.6814103,-6.487286,6.9932823
1582684772347,5.463458,-6.1761513,4.3205376
1582684772397,6.9649,-6.9634404,2.127889
1582684772447,8.426165,-7.642507,-0.40281665
1582684772496,8.894364,-8.939766,-2.742816
1582684772546,8.243682,-10.854165,-5.328097
1582684772596,6.4557586,-12.441481,-7.4587007
1582684772647,4.2231474,-13.916501,-9.188962
1582684772696,1.9788086,-15.184817,-10.956225
1582684772747,2.3694937,-14.407321,-9.14121
1582684772796,3.333212,-14.006402,-6.8156743
1582684772847,5.452457,-12.498134,-4.696807
1582684772896,7.8325224,-10.718817,-2.2490246
1582684772946,9.426519,-9.2927,-1.4371165
1582684772996,10.011183,-8.300928,-0.40968484
1582684773046,8.626817,-7.777017,1.038492
1582684773096,6.5572124,-7.8294,3.052372
1582684773146,5.573858,-5.7041235,4.1392984
1582684773196,5.1029267,-4.704268,4.674732
1582684773247,4.0669537,-5.48845,5.0485964
1582684773296,2.2644978,-5.3128266,7.9637623
1582684773347,0.05585888,-7.4925604,13.664906
1582684773397,-0.34322026,-11.443356,19.49822
1582684773446,1.5955489,-10.381262,17.833054
1582684773497,3.1886556,-7.3898144,10.173347
1582684773547,3.574898,-6.209509,5.144411
1582684773596,4.5409164,-6.55912,2.5962286
1582684773647,5.846763,-7.5526953,0.67074096
1582684773696,6.8777566,-8.214617,-0.7950018
1582684773746,7.398738,-8.904121,-2.941109
1582684773796,6.709488,-9.705478,-4.4526157
1582684773847,5.2785287,-10.824349,-6.4525614
1582684773896,2.5489917,-13.630533,-8.980891
1582684773946,2.0156045,-15.708038,-9.7866
1582684773997,2.1107445,-15.993803,-9.503875
1582684774046,4.2377906,-14.351311,-6.7170463
1582684774096,6.258224,-13.926154,-3.4834104
1582684774146,7.3094726,-11.911352,-1.9381292
1582684774196,7.68574,-9.6083765,-0.7201949
1582684774246,7.3800035,-7.3614798,-0.027706206
1582684774296,6.799463,-6.9152665,0.1643046
1582684774346,6.3205843,-6.3245564,0.78611493
1582684774396,5.911992,-5.946623,2.5447173
1582684774446,4.598017,-5.8960643,8.142309
1582684774496,1.2952831,-5.413906,14.538811
1582684774546,-0.58278584,-4.9807687,18.813362
1582684774597,0.37440753,-7.206333,17.157988
1582684774646,3.2318397,-9.26437,13.520731
1582684774697,4.291648,-9.705565,7.416678
1582684774746,4.9318194,-8.70869,2.7007482
1582684774797,5.07806,-7.816209,0.39380306
1582684774847,4.541028,-8.050381,-1.722856
1582684774896,2.6238174,-8.781249,-3.9076717
1582684774947,1.5798287,-9.235631,-5.5191536
1582684774997,1.3793482,-10.368452,-7.5229363
1582684775047,1.125883,-11.843522,-8.220591
1582684775096,1.596174,-15.084414,-7.909059
1582684775147,3.6694636,-16.954515,-5.947701
1582684775196,6.3528605,-18.58849,-1.0683923
1582684775247,9.878155,-14.197827,2.9628644
1582684775296,10.254795,-10.468136,5.80321
1582684775347,8.716633,-7.642634,8.844723
1582684775396,7.0044193,-5.1096497,12.27674
1582684775446,4.6228185,2.4496942,27.52715
1582684775497,1.172309,-11.962765,12.298338
1582684775546,2.5618353,-5.018336,11.259104
1582684775597,4.1586905,-7.067905,7.9348307
1582684775647,5.4463468,-5.3154054,5.25898
1582684775697,7.2604213,-6.043029,3.5712285
1582684775747,8.854734,-6.164351,1.3993213
1582684775797,8.813759,-4.7414923,-2.423532
1582684775847,9.051468,-5.602411,-4.0119104
1582684775896,9.181524,-10.121108,-5.545684
1582684775946,8.955011,-11.700322,-9.323072
1582684775996,6.9088306,-13.8840475,-11.469222
1582684776046,4.845634,-14.10799,-8.864027
1582684776097,4.8858604,-12.811679,-7.221983
1582684776147,5.2382884,-11.992527,-5.827751
1582684776197,5.230046,-11.510681,-4.087865
1582684776247,4.6854615,-10.10953,-2.8752818
1582684776296,4.9423475,-8.712017,-1.5040157
1582684776347,4.314869,-8.045355,-1.1142671
1582684776397,3.8338497,-7.9737587,-1.5991266
1582684776446,4.04536,-7.562472,-1.850729
1582684776496,4.0039673,-8.059233,-1.9635322
1582684776546,4.1203427,-8.106295,-1.8527107
1582684776597,4.212867,-8.133373,-1.8893995
1582684776646,4.6332817,-7.4547944,-2.9827278
1582684776696,4.419967,-7.3490744,-5.3249784
1582684776746,4.639833,-7.095464,-7.337099
1582684776797,6.443847,-6.66465,-8.335805
1582684776846,8.071577,-8.293012,-5.7622685
1582684776897,6.956609,-9.625079,-3.6281552
1582684776946,6.86349,-10.997307,-0.6219368
1582684776996,6.1801124,-8.219372,4.441773
1582684777047,4.453331,-6.4480243,6.64147
1582684777096,4.274821,-6.317504,6.805523
1582684777146,3.7524278,-5.9352093,7.1556826
1582684777197,3.6323934,-7.083322,6.455525
1582684777247,1.8878243,-7.0716796,7.1034794
1582684777297,0.7808808,-7.679843,5.749012
1582684777346,1.0057502,-7.693039,4.7156305
1582684777397,0.85658014,-8.969268,3.7476645
1582684777447,1.6378672,-11.292806,2.3692667
1582684777496,2.639515,-10.333457,4.610041
1582684777547,2.0327952,-11.983799,1.4328113
1582684777597,2.3716433,-7.1862864,2.6894374
1582684777646,2.1875162,-5.5488462,5.9075627
1582684777696,2.6423535,-8.088933,3.2165723
1582684777746,2.1860352,-9.976628,2.3833697
1582684777796,2.0007422,-10.537254,1.8998449
1582684777846,2.021234,-8.584047,2.5507376
1582684777897,2.2938857,-9.289024,2.4850764
1582684777946,2.1977456,-9.605119,1.8457892
1582684777997,2.5524561,-8.360316,2.027736
1582684778046,2.2101367,-10.121171,1.3781185
1582684778096,2.2704854,-9.853481,3.528521
1582684778146,2.3562844,-7.4461207,5.65369
1582684778197,1.8775338,-6.432103,6.477106
1582684778246,0.08372678,-10.763429,4.1442733
1582684778297,-0.41379094,-12.84098,2.633949
1582684778346,0.034205917,-9.744532,2.6598015
1582684778396,0.5880942,-7.031721,4.218324
1582684778446,0.009071231,-8.108957,4.4563546
1582684778497,-0.7034131,-6.51663,6.0392475
1582684778546,-1.4090552,-5.5680184,7.037131
1582684778597,-2.2649035,-6.4960766,6.494796
1582684778646,-2.9629264,-7.0113974,5.989062
1582684778697,-3.300312,-8.014805,6.262689
1582684778747,-3.0195765,-7.353606,6.4713445
1582684778796,-1.9214852,-6.338178,7.4259357
1582684778846,-0.5617491,-6.0893793,7.2234817
1582684778896,1.3343431,-5.0758667,7.5171084
1582684778946,2.6789188,-4.9656854,7.4363875
1582684778996,3.3833423,-4.1091967,7.080646
1582684779047,3.539774,-5.1691227,12.722259
1582684779097,-0.050300777,-1.5219516,8.85221
