Time,accX,accY,accZ
1582686025696,-6.693707,-6.1137724,3.5990968
1582686025746,-6.6538186,-6.0699215,3.4805794
1582686025797,-6.800586,-5.6512914,3.7254052
1582686025846,-6.652235,-6.324805,4.190382
1582686025896,-6.7372255,-5.376555,4.466247
1582686025946,-6.7497587,-4.767173,4.81417
1582686025996,-6.8816986,-4.661833,4.807918
1582686026046,-6.8986363,-5.1841364,4.934982
1582686026097,-7.413943,-4.7354097,4.56991
1582686026146,-6.8549743,-4.8336706,4.345454
1582686026197,-7.0152383,-4.7240386,4.142374
1582686026246,-7.3996363,-4.6986976,3.8329184
1582686026296,-7.35544,-4.8561153,3.6680624
1582686026347,-7.3768616,-5.513684,3.6592193
1582686026396,-7.149811,-5.540435,3.897624
1582686026446,-6.708653,-5.034745,4.4674864
1582686026496,-6.9319186,-5.50927,4.3014
1582686026547,-7.137541,-4.8967967,4.315459
1582686026596,-6.9642906,-4.832759,4.713358
1582686026647,-6.847855,-4.397177,5.2934723
1582686026697,-6.7318935,-3.7770975,5.391248
1582686026747,-6.5914016,-3.417762,6.067721
1582686026796,-7.494241,-3.7065663,5.9238033
1582686026847,-6.599441,-2.710264,6.5657225
1582686026897,-6.3784833,-1.9758499,7.217599
1582686026946,-6.4580803,-3.8999455,6.313564
1582686026997,-9.534064,-6.555398,9.452977
1582686027046,-6.308472,-8.775133,4.5401735
1582686027097,-6.82013,-9.856977,0.46931362
1582686027146,-4.5449047,-14.276657,7.9891424
1582686027196,-0.6253326,-7.0060296,-1.0435858
1582686027247,1.0264746,-6.889413,-1.7595825
1582686027296,2.004354,-10.405657,0.5149312
1582686027347,5.3677526,-5.890499,-0.9549241
1582686027396,2.830041,-9.205352,2.4659598
1582686027446,1.8492203,-7.471181,3.57331
1582686027496,5.747391,-5.7977715,2.2572293
1582686027547,5.9860916,-6.0557327,4.8386497
1582686027597,3.1078117,-6.4810333,5.4675474
1582686027646,7.6840277,-4.391871,1.8612435
1582686027697,2.677113,-3.9323206,6.247717
1582686027747,3.36265,-3.5111418,8.936654
1582686027796,11.493509,-3.0415688,7.0070744
1582686027847,1.7513978,-2.9994195,8.36162
1582686027897,8.552552,-2.3523884,-1.4729958
1582686027946,10.157743,-2.2128947,4.917513
1582686027997,9.659789,1.2530121,9.469584
1582686028047,8.228209,-1.0239241,-3.9894917
1582686028097,10.594582,-2.2358584,-4.396957
1582686028146,8.9338665,-1.9410399,-3.538292
1582686028196,7.5382233,-2.2373505,-8.777348
1582686028246,6.706197,-1.2811712,-9.052423
1582686028296,6.446519,-0.92093587,-7.488122
1582686028346,6.539635,-1.247334,-7.330907
1582686028396,6.3483214,-1.4244918,-6.601299
1582686028446,6.3791347,-1.2791626,-7.3278303
1582686028497,6.2214355,-1.0938984,-7.8039656
1582686028546,6.0123405,0.080468714,-6.6400843
1582686028597,5.691651,2.662347,-5.572697
1582686028647,5.6879053,4.87995,-4.7855353
1582686028696,5.099935,7.385579,-4.1467347
1582686028746,4.58623,10.7560835,-2.970179
1582686028796,4.4129834,11.476319,-2.412469
1582686028847,4.072039,11.002592,-3.2029757
1582686028896,4.20028,10.185765,-2.1405826
1582686028947,5.2836404,10.000695,-2.3069856
1582686028997,6.4915214,8.849279,-2.6915565
1582686029047,5.7016487,5.0629907,0.8956797
1582686029096,4.988755,7.1225476,-8.544299
1582686029146,6.4947014,5.562853,-5.1118364
1582686029196,6.7664986,2.8858323,-5.3990393
1582686029246,8.183943,2.957829,-5.0682664
1582686029296,8.393844,2.247632,-5.47961
1582686029346,8.305779,1.253414,-4.890264
1582686029535,8.825651,-0.368723,-4.6342435
1582686029555,8.890329,-0.1363595,-4.660594
1582686029574,8.713062,-0.076472,-4.866607
1582686029594,8.787323,-0.5148485,-4.6581984
1582686029614,8.904702,-0.488498,-4.5240507
1582686029634,8.959799,-0.5483855,-4.828279
1582686029654,8.909493,-0.7831445,-4.775578
1582686029675,8.966986,-0.962807,-4.59352
