Time,accX,accY,accZ
1582686047805,-1.6354975,7.292086,6.7347994
1582686047824,-1.5971695,7.1124234,6.722822
1582686047844,-1.633102,7.272922,6.895298
1582686047865,-1.71934,7.1124234,6.813851
1582686047884,-1.465417,7.234594,6.876134
1582686047905,-1.6259155,7.354369,6.8976936
1582686047924,-1.518118,7.464562,6.804269
1582686047944,-1.441462,7.641829,6.8497834
1582686047964,-1.249822,7.665784,6.8354106
1582686047984,-1.427089,7.335205,6.6868896
1582686048005,-1.441462,7.0357676,6.5910697
1582686048024,-1.465417,7.3088546,6.631793
1582686048044,-1.326478,7.5388227,6.454526
1582686048064,-1.518118,7.785559,6.243722
1582686048084,-1.661848,7.684948,6.3946385
1582686048104,-1.5732145,7.339996,6.579092
1582686048123,-1.4917675,7.148356,6.5287867
1582686048144,-1.4055295,6.9255743,6.37787
1582686048164,-1.5300955,7.2082434,6.353915
1582686048184,-1.781623,7.440607,6.5000405
1582686048204,-1.9756585,7.397488,6.516809
1582686048223,-1.4917675,7.593919,6.4665036
1582686048243,-1.5971695,7.8023276,6.564719
1582686048264,-1.6834075,7.6969256,6.650957
1582686048283,-1.5300955,7.4813304,6.684494
1582686048304,-1.6211245,7.5723596,6.698867
1582686048323,-1.470208,7.5963144,6.5814877
1582686048343,-1.33606,7.59871,6.5575323
1582686048363,-1.6546615,7.660993,6.531182
1582686048383,-1.4534395,7.632247,6.3467283
1582686048403,-1.498954,7.7400446,6.277259
1582686048423,-1.604356,7.756813,6.1742525
1582686048443,-1.5444685,7.670575,6.128738
1582686048463,-1.551655,7.6202693,6.152693
1582686048484,-1.5780056,7.7208805,6.114365
1582686048504,-1.4821855,7.7400446,6.1311336
1582686048524,-1.474999,7.6633887,6.258095
1582686048545,-1.4869765,7.64662,6.2652817
1582686048565,-1.422298,7.7208805,6.258095
1582686048585,-1.427089,7.7592087,6.28205
1582686048605,-1.4630215,7.7975364,6.334751
1582686048624,-1.441462,7.79035,6.3802657
1582686048644,-1.494163,7.6777616,6.373079
1582686048664,-1.4678125,7.6442246,6.3131914
1582686048684,-1.3959475,7.689739,6.315587
1582686048704,-1.4294845,7.713694,6.334751
1582686048724,-1.4821855,7.6729703,6.363497
1582686048744,-1.460626,7.7160897,6.306005
1582686048764,-1.4486485,7.7592087,6.2988186
1582686048784,-1.470208,7.718485,6.2988186
1582686048804,-1.451044,7.8646107,6.210185
1582686048823,-1.4678125,7.9077296,6.224558
1582686048844,-1.393552,7.756813,6.214976
1582686048864,-1.4007385,7.8598194,6.2077894
1582686048883,-1.4582305,7.7592087,6.1982074
1582686048904,-1.436671,7.799932,6.1886253
1582686048924,-1.489372,7.847842,6.147902
1582686048943,-1.4726036,7.852633,6.1407156
1582686048964,-1.470208,7.8262825,6.071246
1582686048983,-1.4534395,7.9173117,6.0640597
1582686049003,-1.4534395,7.881379,6.09041
1582686049023,-1.412716,7.871797,6.1071787
1582686049043,-1.4726036,7.8885655,6.152693
1582686049063,-1.3863655,7.9125204,6.133529
1582686049083,-1.369597,7.8550286,6.095201
1582686049103,-1.498954,7.900543,6.147902
1582686049123,-1.4438576,7.799932,6.1407156
1582686049142,-1.3815745,7.8646107,6.114365
1582686049163,-1.417507,7.924498,6.0975966
1582686049183,-1.4390665,7.93408,6.1167607
1582686049203,-1.4342755,7.862215,6.085619
1582686049223,-1.4438576,7.857424,6.0544777
1582686049243,-1.355224,7.8598194,6.0425
1582686049263,-1.4151115,7.890961,6.071246
1582686049282,-1.451044,7.914916,6.114365
1582686049303,-1.4055295,7.938871,6.1071787
1582686049323,-1.33606,7.8598194,6.114365
1582686049343,-1.446253,7.828678,6.128738
1582686049362,-1.3815745,7.895752,6.128738
1582686049382,-1.3336645,7.9029384,6.1550884
1582686049402,-1.4773945,7.9173117,6.157484
1582686049422,-1.321687,7.8598194,6.13832
1582686049442,-1.4726036,7.83826,6.167066
1582686049462,-1.436671,7.8502374,6.1119695
1582686049482,-1.3576195,7.8598194,6.143111
1582686049502,-1.4534395,7.8741927,6.133529
1582686049522,-1.379179,7.8646107,6.123947
1582686049541,-1.4294845,7.910125,6.1646705
1582686049561,-1.3576195,7.890961,6.1359243
1582686049581,-1.369597,7.8502374,6.167066
1582686049601,-1.4438576,7.8885655,6.119156
1582686049622,-1.4007385,7.8646107,6.1023874
1582686049641,-1.5277,7.8502374,6.1598797
1582686049661,-1.43188,7.8071184,6.109574
1582686049681,-1.4294845,7.9077296,6.147902
1582686049701,-1.3288735,7.900543,6.167066
1582686049721,-1.38397,7.9221025,6.1646705
1582686049742,-1.403134,7.890961,6.171857
1582686049761,-1.379179,7.857424,6.195812
1582686049781,-1.3336645,7.8837743,6.1742525
1582686049801,-1.4103205,7.8741927,6.1455064
1582686049821,-1.4199024,7.862215,6.114365
1582686049841,-1.3959475,7.881379,6.0688505
1582686049861,-1.403134,7.88617,6.0305223
1582686049881,-1.451044,7.895752,6.085619
1582686049901,-1.4390665,7.8933563,6.0688505
1582686049921,-1.3624105,7.919707,6.09041
1582686049941,-1.422298,7.9316845,6.114365
1582686049960,-1.5061405,7.9221025,6.1071787
1582686049980,-1.446253,7.867006,6.1023874
1582686050000,-1.436671,7.8167005,6.099992
1582686050020,-1.47979,7.924498,6.080828
1582686050040,-1.4342755,7.905334,6.080828
1582686050060,-1.4055295,7.948453,6.0928054
1582686050080,-1.38397,7.924498,6.1263423
1582686050101,-1.43188,7.910125,6.1694617
1582686050120,-1.355224,7.905334,6.1886253
1582686050140,-1.326478,7.9508486,6.1886253
1582686050160,-1.307314,7.9748034,6.1455064
1582686050179,-1.331269,7.98199,6.128738
1582686050200,-1.297732,7.919707,6.123947
1582686050220,-1.297732,7.8789835,6.0975966
1582686050240,-1.3576195,7.962826,6.0544777
1582686050260,-1.3863655,7.986781,6.023336
1582686050280,-1.4294845,7.948453,5.989799
1582686050300,-1.4582305,7.9173117,5.9538665
1582686050320,-1.503745,7.9652214,5.9203296
1582686050339,-1.508536,8.008341,5.884397
1582686050359,-1.589983,7.9795947,5.922725
1582686050379,-1.5875875,7.958035,5.913143
1582686050400,-1.609147,7.9604306,5.8436737
1582686050420,-1.700176,8.013131,5.884397
1582686050439,-1.71934,7.967617,5.975426
1582686050459,-1.7456905,8.032295,5.9394937
1582686050479,-1.724131,8.068228,5.9969854
1582686050499,-1.6929895,8.149675,6.0161495
1582686050519,-1.7217355,8.15207,5.9682393
1582686050539,-1.752877,8.070623,5.941889
1582686050558,-1.743295,8.075415,6.008963
1582686050578,-1.5396775,8.252682,5.999381
1582686050598,-1.427089,8.307778,5.9107475
1582686050619,-1.369597,8.264659,5.721503
1582686050639,-1.3624105,8.281427,5.721503
1582686050659,-1.177957,8.271846,5.673593
1582686050678,-1.0318315,8.401202,5.5466313
1582686050698,-1.067764,8.506604,5.41967
1582686050719,-0.962362,8.67429,5.295104
1582686050739,-0.8162365,8.532955,5.1681423
1582686050758,-0.674902,8.492231,4.9860845
1582686050777,-0.689275,8.501814,4.9860845
1582686050798,-0.559918,8.456299,4.8663096
1582686050819,-0.387442,8.576074,4.657901
1582686050838,-0.349114,8.719804,4.6267595
1582686050858,-0.4281655,8.906653,4.6267595
1582686050878,-0.1838245,8.8994665,4.6746693
1582686050898,-0.1263325,8.887489,4.8088174
1582686050918,-0.157474,8.856347,4.8231907
1582686050937,-0.1550785,8.779692,4.7369523
1582686050958,-0.0592585,8.722199,4.6698785
1582686050978,-0.1981975,8.595238,4.863914
1582686050997,0.139568,8.614402,4.8615184
1582686051017,0.403073,8.880302,4.7225795
1582686051037,0.1132175,9.100689,4.7177887
1582686051057,-0.056863,8.954563,4.9860845
1582686051077,0.058121,8.70064,5.151374
1582686051097,0.2617385,8.889885,4.8758917
1582686051117,-0.286831,8.746155,5.1489787
1582686051137,-0.205384,9.095898,5.32385
1582686051157,-0.0784225,9.352216,5.156165
1582686051177,-0.5335675,9.081525,5.2687535
1582686051197,-0.8689375,8.374852,5.443625
1582686051217,-0.660529,8.355688,5.2400074
1582686051237,-0.6054325,8.779692,5.3502007
1582686051257,-0.622201,8.820415,5.13221
1582686051277,-0.90487,8.980913,4.7800717
1582686051296,-1.1707705,9.289933,4.5884314
1582686051317,-0.909661,9.618116,4.6219683
1582686051336,-0.6868795,9.553438,4.576454
1582686051356,-0.6964615,9.285142,4.5453124
1582686051376,-0.660529,9.313888,4.2578526
1582686051396,-0.8114455,9.13183,4.0470486
1582686051416,-0.9503845,8.901862,4.1093316
1582686051436,-1.0486,8.937795,4.1764054
1582686051457,-1.2761725,9.01445,4.265039
1582686051476,-1.340851,9.021637,4.432724
1582686051496,-1.1947255,9.076734,4.298576
1582686051516,-1.110883,9.527087,4.3153443
1582686051536,-0.7156255,9.347425,4.5788493
1582686051556,-0.799468,8.645543,4.8615184
1582686051576,-1.283359,8.82281,5.1681423
1582686051595,-1.3145005,8.46109,5.079509
1582686051615,-1.302523,8.113743,5.074718
1582686051635,-1.8223464,8.080206,5.237612
1582686051655,-2.155321,7.4573755,5.1154413
1582686051675,-2.375707,7.2992725,5.175329
1582686051695,-2.735032,7.3040633,5.1106505
1582686051716,-3.525547,6.836941,5.5226765
1582686051735,-3.5471065,6.530317,5.65922
1582686051755,-3.3890035,5.648773,6.071246
1582686051775,-3.3890035,5.653564,6.56951
