Time,rotX,rotY,rotZosboxe
1582684172921,3.0062766,-3.4710553,-0.12816827
1582684172972,4.9206367,-4.5436645,0.36465248
1582684173021,4.7220407,-4.6680703,1.1789117
1582684173072,3.7402563,-4.4304104,1.5248457
1582684173121,1.3201916,-4.5006456,1.5039052
1582684173172,-1.3912959,-4.682434,1.252877
1582684173222,-3.8821287,-4.675799,0.33588776
1582684173271,-6.3491387,-4.1328883,-1.6112182
1582684173321,-6.811532,-3.020318,-3.6937864
1582684173371,-3.1296108,-1.3698452,-4.1568947
1582684173422,-1.4108951,-1.3966554,-2.9737096
1582684173472,-3.2371016,-1.5188075,-0.8820104
1582684173521,-3.3338974,-1.2633212,0.2689571
1582684173572,-1.2882845,-0.5094202,-0.042074975
1582684173621,-1.6147795,0.708748,-0.00813099
1582684173671,-0.31462383,0.6054423,-0.2821915
1582684173721,-0.64257574,0.059327174,-0.33457822
1582684173771,0.18478397,0.12881874,-0.28383592
1582684173821,1.9713697,0.6785521,-0.24053115
1582684173872,2.2153642,1.4219915,-0.31761467
1582684173922,-0.8404106,0.86725605,-0.4891632
1582684173971,0.71845424,-1.2624488,0.2112888
1582684174021,2.1168265,-0.90841866,1.1459037
1582684174071,0.67233336,0.12580375,1.6852345
1582684174121,1.6088521,-0.21397835,1.2080059
1582684174171,1.022924,-0.16957518,0.92616594
1582684174221,-0.49546373,-0.100730374,0.71805984
1582684174272,-0.5602982,-0.23900616,0.5934474
1582684174321,-0.53937536,-0.7070474,0.46840066
1582684174372,-0.6882378,-1.2324711,0.15595254
1582684174422,2.6007838,-1.975425,-0.7958357
1582684174471,2.0072985,0.053302284,-0.41505948
1582684174521,-2.2824404,0.7293073,0.5599257
1582684174571,-0.9149318,0.36821657,0.53697085
1582684174621,-0.14840728,-0.044601917,0.5645665
1582684174671,-0.9137509,0.057432614,0.74773526
1582684174721,-0.73336995,0.5686331,0.5315807
1582684174771,-0.37102693,0.38170367,-0.05337138
1582684174822,1.4821873,-0.37555096,-0.72584647
1582684174871,1.9459963,-1.0206063,-0.9710215
1582684174921,-0.35862932,-1.0597092,-0.95408106
1582684174971,-0.7376465,-0.73817307,-0.9187958
1582684175022,-0.053996295,-0.40814358,-0.7718836
1582684175072,1.8807026,0.12067294,-0.8011373
1582684175122,1.6074784,0.8990171,-1.7011967
1582684175172,-0.44799215,1.1340601,-1.432515
1582684175221,-0.60895896,0.79806876,0.56628
1582684175272,-0.5415832,0.39289284,1.750398
1582684175321,0.33292624,-0.07098281,1.4700954
1582684175372,-0.7025265,-0.31420898,0.92023665
1582684175422,-1.5543253,-0.095749274,0.45094252
1582684175472,-4.7362175,-0.051133376,-0.6370129
1582684175521,-6.966887,-0.21738757,-1.0414922
1582684175572,-7.2157536,0.76035064,0.077283524
1582684175622,-2.817828,0.17537265,0.4405481
1582684175671,-1.6647125,-0.26381636,0.9234177
1582684175721,-0.17997557,-0.5467232,0.7040309
1582684175771,2.2819924,-0.42053813,0.106451
1582684175822,2.8165631,-0.5672177,-0.4702571
1582684175871,0.6404397,-0.14303043,-0.24813773
1582684175921,-1.2254469,0.32768425,0.34426317
1582684175972,-0.50920314,0.2515791,0.089718066
1582684176021,-0.11896308,0.15942313,-0.11116803
1582684176071,-0.4664779,0.049014963,-0.096200116
1582684176122,-0.55986077,-0.05125252,0.010809461
1582684176172,-0.6971954,-0.19461705,0.0975842
1582684176221,-1.2558769,-0.3744108,0.3051672
1582684176271,-0.80809546,-0.38388988,0.061097916
1582684176321,-0.13075185,-0.36677304,0.10702613
1582684176371,0.9796692,-0.5443241,0.35176253
1582684176421,1.3466065,-0.40690154,0.24599992
1582684176471,0.71739924,-0.13653089,0.036954712
1582684176521,0.849802,0.29272106,0.16935168
1582684176572,1.2174351,0.35399744,0.13519178
1582684176621,1.072006,0.16734096,-0.14715807
1582684176671,-0.39343578,-0.15907218,-0.37377486
1582684176722,-1.5049329,-0.31119972,-0.45863718
1582684176771,-0.34916174,-0.5074241,-0.3609585
1582684176822,0.33651692,-0.40219995,-0.22172411
1582684176871,0.439215,-0.06479094,0.028569248
1582684176921,0.19650567,0.08983657,0.04926948
1582684176971,0.047369655,0.18156818,0.08882566
1582684177021,0.25746566,0.09635008,0.2743884
1582684177071,-0.09869224,0.04707129,-0.04723019
1582684177121,-0.69581795,-0.044688582,-0.07405104
1582684177171,-0.11159772,-0.39395398,0.28860992
1582684177221,1.4173603,-0.3391144,0.44426587
1582684177271,1.190533,-0.007841213,0.3521802
1582684177322,0.5678897,0.5085804,6.371555E-4
1582684177372,-1.0139989,0.6662244,-0.48156828
1582684177421,-2.0572073,0.5947347,-0.9448171
1582684177471,-2.0770442,0.43570718,-0.77425385
1582684177521,-1.2936292,0.22260857,-0.20407276
1582684177572,0.1141634,0.09543601,0.05631351
1582684177621,0.38557187,0.012935108,0.030522142
1582684177672,0.16137573,0.011975804,-0.06291406
1582684177721,0.09937836,0.0070279785,-0.057696782
1582684177772,0.15931287,0.0031213462,-0.048155624
1582684177821,-0.2499427,-0.015774839,0.019659761
1582684177871,-0.47835073,-0.023290416,0.17460474
1582684177922,-0.15205216,-0.013659928,0.17857572
1582684177972,-0.17713451,0.0071874247,0.15042634
1582684178022,-0.13202612,0.025699573,0.09519072
1582684178072,-0.111100234,0.024510983,0.051048312
1582684178121,-0.05085006,0.016559858,0.024173476
1582684178171,0.06805856,0.006759553,0.017133456
1582684178222,-0.098560035,-0.0061653866,0.001893518
1582684178271,-0.11410723,-0.0041201836,0.0064242925
1582684178322,0.050305787,0.0011351737,-0.0027296538
1582684178371,0.061465465,0.0078103687,-0.039230987
1582684178421,0.15212832,0.01498656,-0.0576053
1582684178472,0.106218934,0.018710779,-0.056313958
1582684178521,-0.020909376,5.515292E-4,0.011241753
1582684178572,-0.07358049,-0.0013894825,0.025256272
1582684178621,-0.14447585,-0.002336226,0.020056346
1582684178672,-0.031199854,-0.004031693,0.0043823267
1582684178721,-0.039599873,-0.0032996624,0.0012219693
1582684178771,-0.06000476,-0.0050450847,0.019294359
1582684178821,-0.045415454,7.8805257E-4,0.01596773
1582684178872,-0.028370477,0.0066637755,7.533515E-5
1582684178921,-0.011190796,0.009999121,-0.0032419756
1582684178971,-0.0017306097,0.00984976,0.004127163
1582684179022,-0.036888517,0.006674424,0.0069886255
1582684179071,-0.06604225,0.008374732,0.004118075
1582684179122,-0.041265503,0.00910738,0.009384157
1582684179171,-0.15047878,0.0051106475,0.020089632
1582684179222,-0.02423685,0.004216663,0.016293656
1582684179271,-0.06397281,0.003716655,0.018043686
1582684179321,-0.04961542,0.0077933017,-0.006334416
1582684179372,-0.02295383,0.006856428,-0.012690235
1582684179422,-0.08556987,0.0049315155,3.1814445E-4
1582684179471,0.006301336,1.3957173E-4,0.0041852253
1582684179522,0.022008397,0.0020796391,0.0013901652
1582684179571,0.013179316,-3.32342E-4,0.005475391
1582684179621,-0.037894167,-8.0366107E-4,0.009841409
1582684179671,0.0058136918,0.0017067972,0.0033258325
