Time,rotX,rotY,rotZosboxe
1582685032922,0.2695259,0.3960605,0.0017033932
1582685032971,0.018276222,0.5886252,-0.1748615
1582685033022,0.5457132,0.6119833,-0.26206034
1582685033071,0.60447806,0.55150044,-0.3756551
1582685033121,0.5973162,0.7585795,-0.5625839
1582685033172,0.8951107,0.84333724,-0.6058887
1582685033222,1.0286838,0.7544159,-0.5260328
1582685033271,1.0539804,0.57186675,-0.47810164
1582685033322,0.70880914,0.4027838,-0.5272922
1582685033372,0.34373334,0.2157428,-0.5503689
1582685033421,0.60954493,-0.022220794,-0.46563378
1582685033471,0.54526913,-0.21999979,-0.27266452
1582685033521,0.253971,-0.32424292,0.0027837348
1582685033572,0.053285353,-0.37844503,0.26382598
1582685033621,-0.042083494,-0.4072708,0.49934563
1582685033671,-0.12826392,-0.36346605,0.67213523
1582685033721,-0.25101238,-0.3512975,0.7616562
1582685033771,-0.19169454,-0.34361392,0.8098653
1582685033821,-0.038015034,-0.32313502,0.83579075
1582685033872,0.23315805,-0.36666808,0.9383748
1582685033922,0.014720052,-0.4758435,0.95456254
1582685033972,0.211745,-0.28625333,0.7373683
1582685034022,0.19027524,0.09883629,0.48129562
1582685034071,-0.6981009,-0.03034247,0.428087
1582685034122,-0.68535376,-0.3311719,0.32328066
1582685034171,0.04369977,-0.35630175,0.2950261
1582685034222,-0.4046838,-0.2574417,0.20752715
1582685034271,-0.7002354,-0.27223974,0.17735618
1582685034321,-0.50447667,-0.30111316,0.2416835
1582685034372,-0.3974041,-0.33309916,0.30115384
1582685034421,-0.45161277,-0.41525197,0.3504794
1582685034471,-0.21370612,-0.32643,0.41287196
1582685034521,-0.32701984,-0.118776,0.45236528
1582685034571,-0.28626582,0.13856591,0.44617626
1582685034622,-0.14210764,0.14958616,0.26946625
1582685034672,-0.05961733,0.07752445,0.17952277
1582685034721,0.08003847,-0.04277672,0.122838885
1582685034772,0.41941348,-0.039812542,0.14049809
1582685034822,0.83355695,-0.06126083,0.111404
1582685034871,0.7023162,-0.002137133,0.026782256
1582685034921,0.41819698,5.250932E-4,-0.06484847
1582685034972,0.11246446,0.0038981345,-0.08285832
1582685035022,0.1470483,0.034932792,-0.06901764
1582685035072,0.10480398,0.055574585,-0.18044129
1582685035122,0.19521418,0.13301204,-0.28870413
1582685035171,0.63665503,0.33619082,-0.34190103
1582685035221,1.2082416,0.44684997,-0.3204709
1582685035271,1.3039466,0.42825577,-0.3975128
1582685035321,0.8087042,0.3336819,-0.5547495
1582685035372,0.49104142,0.30566812,-0.72020113
1582685035421,1.0629911,0.34191236,-0.76493204
1582685035472,1.0173792,0.3694731,-0.8214715
1582685035521,0.9129831,0.4253216,-0.83252347
1582685035571,1.1400675,0.43392718,-0.6969617
1582685035621,0.46417832,0.4481331,-0.5374872
1582685035671,-0.0057515963,0.5190091,-0.32300028
1582685035722,5.2409E-4,0.5201511,-0.04365072
1582685035772,0.007646213,0.41400665,0.27362967
1582685035822,0.057123534,0.30328593,0.59697634
1582685035872,0.20169596,0.21075587,0.9135487
1582685035922,0.38772205,0.16621657,1.1654611
1582685035971,0.41444138,0.09135179,1.333346
1582685036022,0.22897615,-0.03843148,1.4449215
1582685036071,0.27452102,-0.1394347,1.5790869
1582685036121,0.448007,-0.19417286,1.5670432
1582685036171,0.2842166,-0.18824865,1.5322486
1582685036222,0.32560596,-0.27739412,1.4230691
1582685036272,0.26037437,-0.37463382,1.5141585
1582685036321,0.43962243,-0.49853352,1.5936217
1582685036371,0.41780996,-0.5611381,1.3831271
1582685036422,-0.07763848,-0.7016628,0.8556674
1582685036471,0.13541383,-0.5610607,-0.012964983
1582685036522,1.3757391,-0.22479059,-0.5147699
1582685036571,2.0181403,-0.059513595,-0.8967078
1582685036621,0.22743183,-0.4460874,-0.89048326
1582685036672,-0.87113786,-0.3418738,-0.8117409
1582685036721,-1.7282656,-0.025169138,-0.73934853
1582685036771,-1.2857317,0.19263758,-0.73598224
1582685036822,-1.5806978,0.21082172,-0.65511835
1582685036871,-1.7694441,0.13755333,-0.64997584
1582685036922,-1.5489678,0.09764391,-0.6925662
1582685036972,-1.8082186,0.09445016,-0.6074366
1582685037021,-1.968907,-0.003240833,-0.6050374
1582685037071,-1.343161,-0.049179655,-0.58785176
1582685037122,-1.4689548,-0.08289818,-0.43648565
1582685037171,-1.7395182,-0.017072517,-0.31772164
1582685037221,-1.7681712,0.06242083,-0.1982292
1582685037272,-1.4016764,0.06784475,-0.22903278
1582685037322,-1.4367609,0.003929655,-0.3061817
1582685037371,-1.2131705,-0.048484843,-0.30012175
1582685037422,-0.9707688,-0.08168214,-0.12805277
1582685037471,-0.9670984,-0.112293065,0.0149267875
1582685037521,-1.0802947,-0.06164531,0.11880617
1582685037571,-0.7472574,0.087063335,0.30469915
1582685037621,0.18081713,0.1521765,0.42311028
1582685037672,0.54909974,0.16672811,0.3270007
1582685037721,1.0031368,0.2769561,0.12919913
1582685037772,1.0497055,0.4627432,-0.10445614
1582685037822,1.797116,0.8074483,-0.24369885
1582685037871,2.8281112,1.1158668,-0.58669186
1582685037921,4.0841794,1.277432,-1.0165789
1582685037972,3.8912406,1.172434,-1.0783794
1582685038021,2.4020402,0.7974897,-0.51523864
1582685038071,0.26066086,0.6168752,0.2404235
1582685038122,-1.2324209,0.48372093,0.98102564
1582685038171,-1.341506,0.09578473,1.6788113
1582685038222,-0.69619757,-0.47182667,2.0192194
1582685038272,0.43704,-0.9710671,1.9342473
1582685038321,0.635999,-1.0772507,1.5370512
1582685038371,-0.2013595,-0.89527494,0.6763797
1582685038421,-1.131725,0.44959056,0.09731911
1582685038471,-0.6280516,0.06403462,0.008091077
1582685038521,-0.5691454,0.09870056,-0.069701426
1582685038572,-0.23639925,0.051538676,-0.06178197
1582685038621,-0.2686868,0.06458725,-0.060497813
1582685038672,-0.21439248,0.041541673,-0.08309695
1582685038722,-0.24991564,-0.045684293,-0.15665147
1582685038771,-0.09088928,-0.094675034,-0.14627594
1582685038822,-0.08389677,-0.061449055,-0.14708167
1582685038871,-0.21178618,-0.03407537,-0.15984534
1582685038921,-0.39744085,-0.016411938,-0.14199436
1582685038972,-0.94857997,-0.067051314,-0.21935573
1582685039022,-1.5576725,-0.07748872,-0.38529232
1582685039071,-1.6175524,-0.107876316,-0.49321467
1582685039122,-1.3961251,-0.07548875,-0.5848142
1582685039172,-1.3787571,-0.093176514,-0.5994179
1582685039221,-1.2422992,-0.10125776,-0.5509233
1582685039271,-1.2864131,-0.103927836,-0.50855905
1582685039322,-1.0295131,-0.080319956,-0.48029906
1582685039371,-1.0598824,-0.1499879,-0.5374732
1582685039421,-1.0396671,-0.2490398,-0.47172737
1582685039471,-0.5085773,-0.18134126,-0.32538167
1582685039522,0.30955505,-0.024987292,-0.22078542
1582685039571,0.67044467,0.034566354,-0.22310162
1582685039622,1.2663649,0.16923617,-0.17927112
1582685039672,1.9985023,0.3459116,0.0363638
1582685039721,2.3049295,0.44497615,0.2123408
1582685039772,2.7834113,0.567128,0.22250442
1582685039821,2.0578306,0.5117575,0.2098015
1582685039872,0.94214386,0.63283134,0.1423509
1582685039922,0.6895675,0.7912279,0.1256099
1582685039971,-0.2582767,1.1059587,0.3277498
1582685040021,0.5854794,1.1993293,0.3741422
1582685040072,0.847394,0.9933928,0.47173235
1582685040122,0.32468843,0.67738456,0.63512075
1582685040171,0.7902103,0.17729616,0.83417577
1582685040222,1.304642,-0.44045457,1.101124
1582685040271,0.71342367,-0.98998326,1.2287791
1582685040321,0.1213806,-1.4963691,1.1455625
1582685040371,-0.6553716,-1.639196,0.9310098
1582685040421,-0.83580995,-1.0328344,0.5327206
1582685040471,-1.2391564,0.6887834,0.124621704
1582685040521,-0.36134377,0.11738183,0.0667028
1582685040572,-0.06315073,0.14354886,0.18158908
1582685040621,-0.1449564,0.06790836,0.049020033
1582685040671,-0.083640076,0.002470064,-0.03960575
1582685040722,0.023014184,-0.042551655,-0.0409739
1582685040771,0.035188388,-0.04698504,-0.072195
1582685040821,0.09241969,-0.035186015,-0.1004881
1582685040871,0.21208699,-0.03285549,-0.13132869
1582685040921,0.57613975,-0.08306917,-0.14282432
1582685040971,1.1491914,-0.1429784,-0.23115927
1582685041021,2.1865606,-0.09200771,-0.2592365
1582685041071,2.597769,0.03220034,-0.1265354
1582685041121,2.009203,-0.040944412,0.017979365
1582685041171,1.5258514,-0.03318832,0.20222037
1582685041222,1.3691345,0.011594446,0.31454036
1582685041271,1.1065155,-0.030644145,0.46031162
1582685041321,0.8245565,-0.10564677,0.57215124
1582685041371,0.42218605,-0.1280232,0.76831514
1582685041421,-0.108972445,-0.02130526,0.8106046
1582685041472,-0.25939927,0.15274736,0.8688301
1582685041521,-0.2974822,0.15538417,0.9090689
1582685041572,-0.551976,0.09801462,0.91355705
1582685041622,-1.2634945,-0.097816415,0.98511595
1582685041672,-1.061486,-0.21915597,0.97935593
1582685041721,-0.8668686,-0.20707478,0.6222865
1582685041771,-0.7751023,-0.06562416,0.29299954
1582685041821,0.12653719,-0.24641457,0.18906446
1582685041871,0.12611109,-0.31810993,0.02864344
1582685041922,0.28315902,-0.32449016,-0.3708566
1582685041971,-0.0075180386,-0.20397282,-0.5215447
1582685042022,-0.07870341,-0.30394593,-0.42277512
1582685042071,-0.13680089,-0.36156863,-0.23751183
1582685042121,-0.39433637,-0.36845887,-0.16093868
1582685042171,-0.30406928,-0.31302172,-0.14486873
1582685042221,-0.2964584,-0.23471639,-0.114778936
1582685042272,-0.30487,-0.15565,-0.113859706
1582685042322,-0.18369626,-0.06706888,-0.12855835
1582685042371,-0.12740012,-0.052018788,-0.0787179
1582685042421,-0.090781845,-0.017591976,-0.029396523
1582685042472,-0.11124095,0.019126695,0.0013025929
1582685042521,-0.040151887,0.052968606,-0.0028619566
1582685042571,-0.050514895,0.047276035,-0.01917337
1582685042622,-0.01315732,0.022056036,0.006046632
1582685042671,0.02242348,0.013381576,0.02443375
1582685042721,0.03048921,0.0040672235,0.028385662
1582685042771,0.012330576,-0.0028364062,0.01702724
1582685042822,0.029615056,-0.02781782,0.0139614865
1582685042871,-0.0038248752,-0.025373377,-0.0039355657
