Time,accX,accY,accZ
1582684949147,-4.340914,-8.309095,0.47886616
1582684949197,-4.4736013,-8.553121,0.30363482
1582684949246,-4.503344,-8.380716,0.19896737
1582684949296,-4.482985,-8.352008,0.19863921
1582684949346,-4.3531227,-8.377558,0.35896683
1582684949396,-4.4741488,-8.60175,0.39600748
1582684949446,-4.505232,-8.410367,0.3215885
1582684949497,-4.4057574,-8.3912525,0.24114202
1582684949547,-4.3615704,-8.394353,0.32951838
1582684949596,-4.3175306,-8.424317,0.4176565
1582684949646,-4.5642943,-8.548951,0.38459885
1582684949697,-4.53549,-8.3754425,0.24790531
1582684949746,-4.4139333,-8.3744335,0.2445969
1582684949796,-4.274702,-8.204453,0.378131
1582684949847,-4.283047,-8.378376,0.48875922
1582684949896,-4.4870706,-8.968364,0.5194607
1582684949947,-4.706308,-8.77815,0.06806713
1582684949996,-4.806681,-8.492556,-0.13216034
1582684950046,-4.1288805,-7.541082,0.36230764
1582684950096,-4.436756,-8.720334,-1.0014242
1582684950146,-4.872081,-7.668141,-0.33395875
1582684950196,-4.8516264,-8.286951,0.8035604
1582684950246,-4.54408,-8.149748,0.8128427
1582684950297,-4.5103736,-8.346378,0.0064334944
1582684950346,-4.833328,-8.506483,-0.053747218
1582684950397,-4.653838,-8.237189,0.09314868
1582684950447,-4.365005,-7.9764977,-0.09932083
1582684950497,-4.710689,-8.687717,-0.27194458
1582684950546,-4.9223785,-8.302027,0.17179127
1582684950597,-4.600842,-8.141732,0.016871512
1582684950646,-4.742634,-8.7003145,-0.3725196
1582684950696,-4.6665277,-8.389403,0.049828783
1582684950747,-4.767382,-8.253795,-0.024159703
1582684950797,-4.9262986,-8.103926,-0.1796417
1582684950847,-4.897809,-8.207142,-0.35150898
1582684950897,-4.844067,-8.013922,-0.087055534
1582684950946,-4.7077246,-8.385734,0.20149073
1582684950996,-4.6392207,-8.273162,0.9587407
1582684951046,-4.2467484,-7.9582715,0.9834204
1582684951096,-4.697904,-8.744349,0.1005109
1582684951147,-4.8397136,-8.444778,0.36673284
1582684951197,-4.725354,-7.746876,0.7244791
1582684951247,-4.8713555,-8.48051,0.20396656
1582684951297,-4.930704,-8.050913,0.28593713
1582684951347,-4.768543,-8.407968,0.25837174
1582684951396,-4.631587,-8.183398,0.61782813
1582684951447,-4.862667,-8.393217,0.42587277
1582684951496,-4.853495,-8.202295,0.26740432
1582684951546,-4.816072,-8.263299,-0.019316472
1582684951596,-4.6444902,-8.09988,0.47462285
1582684951647,-4.684624,-8.258619,0.47115684
1582684951696,-4.81893,-8.405937,0.2747155
1582684951747,-4.734538,-8.335481,0.044171616
1582684951797,-4.623597,-8.332388,0.16908285
1582684951847,-4.646434,-8.195361,0.591496
1582684951896,-4.909534,-8.287072,0.16337314
1582684951947,-4.862798,-8.261125,0.1333327
1582684951996,-4.736174,-8.309673,0.08855575
1582684952046,-4.7121224,-8.153094,0.3015404
1582684952096,-4.8322496,-8.125322,0.36820796
1582684952146,-4.894906,-8.5291815,0.204618
1582684952197,-4.459877,-8.077974,0.6470537
1582684952246,-4.433977,-8.036051,0.53030205
1582684952297,-4.7222357,-8.617468,0.42524192
1582684952346,-4.9729304,-8.238661,0.4735473
1582684952396,-4.874445,-8.22555,-0.09554549
1582684952446,-4.5689874,-8.037071,0.5696769
1582684952496,-4.6342707,-8.361,0.63114816
1582684952547,-4.787298,-8.330909,0.42766938
1582684952597,-4.856481,-8.219975,0.517375
1582684952647,-4.5867534,-8.272492,0.45188427
1582684952696,-4.6061425,-8.241059,0.5105987
1582684952747,-4.650142,-8.237573,0.4276324
1582684952796,-4.776102,-8.327175,0.564495
1582684952846,-4.7864795,-8.375632,0.47166172
1582684952897,-4.701786,-8.120228,0.4263216
1582684952946,-4.809033,-8.223292,0.35257238
1582684952996,-4.733312,-8.335258,0.44846427
1582684953046,-4.689956,-8.395535,0.63549113
1582684953096,-4.7853217,-8.226594,0.47480616
1582684953147,-4.806574,-8.200367,0.366674
1582684953196,-4.6772814,-8.3263,0.4258807
1582684953247,-4.606224,-8.257888,0.637569
1582684953296,-4.76733,-8.2335415,0.5186081
1582684953346,-4.836115,-8.1820965,0.34868455
1582684953396,-4.6572013,-8.320287,0.49036998
1582684953446,-4.5749393,-8.3546095,0.67626053
1582684953496,-4.737963,-8.323822,0.5343063
1582684953547,-4.7630506,-8.183714,0.42865473
1582684953597,-4.66441,-8.314332,0.37372535
1582684953646,-4.637179,-8.245357,0.6285816
1582684953697,-4.7762065,-8.206884,0.6159632
1582684953747,-4.6745825,-8.309328,0.43114275
1582684953796,-4.5699844,-8.112606,0.46433923
1582684953846,-4.617592,-7.990556,0.5256635
1582684953896,-4.7111673,-8.148161,0.48022318
1582684953946,-4.9313083,-8.831084,0.48962575
1582684953997,-4.91588,-8.415179,0.65949017
1582684954046,-4.712798,-8.4856615,0.3482521
1582684954096,-4.673859,-8.392463,0.54399484
1582684954146,-4.5506225,-8.214562,0.56993335
1582684954197,-4.521006,-8.310138,0.7683126
1582684954246,-4.5798097,-8.625005,1.0111856
1582684954296,-4.640357,-8.309961,0.8801352
1582684954347,-4.4562216,-8.118166,0.79312336
1582684954397,-4.428081,-8.365706,0.79119337
1582684954446,-4.8064156,-8.483254,0.67421913
1582684954496,-4.7475486,-8.133093,0.7109543
1582684954546,-4.5290594,-8.002566,0.7952686
1582684954596,-4.5392747,-8.351478,0.5564607
1582684954646,-4.714967,-8.314712,0.7297394
1582684954696,-4.501337,-8.278724,0.853847
1582684954746,-4.4939814,-8.507684,0.8397858
1582684954796,-4.5915914,-8.786366,0.853806
1582684954847,-4.690065,-8.367604,0.7295483
1582684954896,-4.707608,-8.221496,0.6402515
1582684954946,-4.8166795,-8.102349,0.75832546
1582684954996,-5.0119834,-8.293235,0.67921084
1582684955047,-5.038065,-8.403665,0.43916538
1582684955097,-4.8525496,-8.208361,0.70272297
1582684955146,-4.653042,-8.125027,0.5840384
1582684955196,-4.513647,-7.351363,1.348955
1582684955246,-4.7739263,-8.1506605,1.3281007
1582684955296,-4.9281983,-8.168221,1.1590993
1582684955346,-4.684001,-8.53143,0.8551824
1582684955396,-4.4154525,-7.6250277,1.1764632
1582684955447,-4.6906652,-8.761467,0.5834073
1582684955497,-4.928002,-8.335721,1.042729
1582684955547,-4.7905893,-8.244032,1.2912382
