Time,accX,accY,accZ
1582685690171,-2.3648808,-9.083645,1.8885173
1582685690222,-2.3513365,-9.075314,1.8380796
1582685690272,-2.352425,-9.041988,1.8848042
1582685690322,-2.377737,-8.97662,1.9162841
1582685690372,-2.398873,-9.063183,1.8429736
1582685690421,-2.4583411,-9.105399,1.8285134
1582685690471,-2.3883855,-9.042122,1.804154
1582685690522,-2.4105346,-9.061012,1.813058
1582685690572,-2.401394,-9.099084,1.7922194
1582685690621,-2.3326569,-9.05863,1.7795922
1582685690672,-2.3777003,-9.063535,1.8595793
1582685690721,-2.3802817,-9.048492,1.9155743
1582685690772,-2.3341115,-8.978085,1.9269414
1582685690822,-2.3383596,-9.020245,1.9653296
1582685690871,-2.4132912,-9.002883,2.0010664
1582685690921,-2.368069,-9.029314,1.9232199
1582685690971,-2.398607,-9.052243,1.9264202
1582685691021,-2.3786612,-8.957535,1.9407827
1582685691071,-2.4113836,-9.064054,1.8255075
1582685691122,-2.4625294,-9.074592,1.810236
1582685691171,-2.4354937,-9.028369,1.7904227
1582685691222,-2.4204955,-9.021835,1.7535629
1582685691271,-2.4983625,-9.133605,1.6772684
1582685691321,-2.5163443,-9.113514,1.7144454
1582685691372,-2.4906085,-8.987278,1.8464926
1582685691421,-2.4774668,-8.975654,1.8846624
1582685691472,-2.463551,-9.026644,1.8316503
1582685691521,-2.4789865,-9.032443,1.8280275
1582685691571,-2.4746015,-8.981602,1.8860056
1582685691621,-2.502323,-9.022976,1.8808302
1582685691672,-2.505245,-9.024581,1.8936789
1582685691722,-2.460803,-8.9955015,1.8806973
1582685691772,-2.4755921,-8.963608,1.9292039
1582685691821,-2.5012372,-9.01001,1.9203266
1582685691872,-2.491703,-8.977256,1.8943712
1582685691921,-2.500273,-9.080858,1.8177224
1582685691971,-2.489857,-8.997544,1.9432493
1582685692022,-2.504928,-8.952156,1.9075103
1582685692072,-2.5144007,-9.104933,1.8165262
1582685692121,-2.511291,-8.921128,1.9609492
1582685692172,-2.4781504,-8.988188,1.874449
1582685692222,-2.5300455,-9.045394,1.8655187
1582685692271,-2.5060222,-8.981803,1.8823551
1582685692321,-2.5214963,-9.052593,1.8638935
1582685692372,-2.5166376,-8.93347,1.9405421
1582685692421,-2.5154717,-8.998364,1.8654306
1582685692471,-2.5317204,-9.006349,1.8779496
1582685692522,-2.5345595,-9.0093565,1.8670777
1582685692571,-2.5151112,-9.009801,1.8774482
1582685692621,-2.5278373,-8.95989,1.9274654
1582685692671,-2.536155,-9.045376,1.8578585
1582685692722,-2.5396338,-8.981514,1.8921634
1582685692771,-2.526352,-9.011697,1.8612857
1582685692822,-2.5138052,-8.999317,1.8912313
1582685692871,-2.5438,-8.980547,1.862095
1582685692922,-2.5007691,-9.163574,1.771142
1582685692971,-2.5714817,-8.87726,2.0404236
1582685693022,-2.47898,-9.000076,1.8470244
1582685693072,-2.5574193,-9.076789,1.8991381
1582685693122,-2.5023565,-8.84719,1.9942508
1582685693171,-2.493236,-9.063506,1.8499944
1582685693222,-2.5464032,-8.982146,1.9701859
1582685693272,-2.4867227,-8.962687,1.9240193
1582685693322,-2.5555675,-9.04962,1.9139918
1582685693371,-2.5420272,-8.948374,1.9480337
1582685693421,-2.520063,-9.002331,1.895946
1582685693471,-2.537024,-8.981968,1.9219987
1582685693521,-2.5143626,-8.969696,1.9077947
1582685693571,-2.5589902,-9.061744,1.8510939
1582685693622,-2.529957,-8.959763,1.9040796
1582685693672,-2.5581427,-9.018635,1.8893616
1582685693722,-2.5460486,-9.012302,1.872643
1582685693772,-2.5354733,-8.980302,1.8867377
1582685693822,-2.5493863,-8.983902,1.888703
1582685693871,-2.5388894,-8.995496,1.8870579
1582685693921,-2.568169,-8.993238,1.893065
1582685693971,-2.553512,-8.994233,1.8810521
1582685694021,-2.543644,-9.004121,1.897341
1582685694071,-2.5374494,-8.95811,1.9180709
1582685694122,-2.550411,-9.026097,1.8529195
1582685694171,-2.5396614,-9.008941,1.8957233
