Time,rotX,rotY,rotZosboxe
1582685682922,0.12359293,-3.246985,-3.0942738
1582685682971,-0.40573704,-2.5793147,-2.5124521
1582685683021,0.28004217,-1.6642904,-1.6997128
1582685683072,2.6500728,-0.395117,-1.3502412
1582685683121,-1.1545594,-0.12699275,0.009230392
1582685683171,-2.960743,1.0907596,1.162241
1582685683222,-3.1910145,2.0130517,1.9644699
1582685683271,-4.1436405,2.2871337,2.918297
1582685683322,-3.8054101,2.0117257,4.06777
1582685683371,-0.8756155,1.5875576,4.8425603
1582685683422,0.7171118,0.9789869,5.3247437
1582685683471,0.7359262,-9.085126E-4,5.349581
1582685683522,1.1678481,-0.7977016,4.8008614
1582685683571,1.1512344,-1.334016,4.225784
1582685683620,0.68254596,-1.7681314,3.7604697
1582685683671,-0.021026237,-2.2122078,3.4075632
1582685683721,0.83552265,-2.585255,2.9394357
1582685683771,1.2734725,-3.0028155,2.582942
1582685683821,1.8608128,-3.3415644,2.0211103
1582685683872,2.461302,-3.2553337,1.5084145
1582685683921,1.6757336,-2.9052887,1.0242342
1582685683972,1.279364,-2.3452234,0.50729173
1582685684021,1.1879252,-1.5276299,0.16723819
1582685684072,0.65277934,-0.9217029,-0.07458712
1582685684122,0.5177889,-0.51925343,-0.18220215
1582685684172,0.45115682,-0.34581506,-0.2103233
1582685684222,-0.32524204,-0.10124977,-0.2546504
1582685684271,-1.0877695,0.02560805,-0.067256704
1582685684321,-1.1674169,0.041356202,0.015761912
1582685684372,-1.3528097,0.1094847,0.02984122
1582685684421,-1.6429776,0.3145093,0.051424883
1582685684471,-1.9261521,0.43727475,0.13175797
1582685684522,-1.9699671,0.7051715,0.14752579
1582685684572,-2.0297832,1.065667,0.193272
1582685684622,-1.8716217,1.4865302,0.37536475
1582685684671,-2.03982,1.8377056,0.7691411
1582685684721,-2.4277298,1.8787042,1.403192
1582685684771,-2.1965857,1.7205492,2.060563
1582685684822,-1.7010747,1.1938212,2.6085758
1582685684871,-0.7517035,0.59500134,2.8022687
1582685684921,-0.32380873,0.25054255,2.7500396
1582685684972,-0.10663783,0.13099274,2.4410126
1582685685021,-0.38708523,0.06307474,2.0256174
1582685685071,-0.048921928,0.07994032,1.4748999
1582685685121,0.19958605,0.1772314,1.0454007
1582685685171,0.11331786,0.23972185,0.7088473
1582685685222,-0.030701755,0.24124467,0.42786428
1582685685272,-0.030131731,0.24592625,0.27520385
1582685685321,-0.121691585,0.19589107,0.21622226
1582685685371,0.25241473,0.0061524324,0.24268618
1582685685422,0.4036956,-0.08480312,0.32848203
1582685685471,0.20804901,0.077809945,0.18664487
1582685685522,0.5097656,0.04114526,0.061186083
1582685685572,0.23690213,-0.013818193,0.06378417
1582685685621,-0.08681138,-0.0822337,0.042295106
1582685685671,0.26414818,-0.12945685,0.123064
1582685685722,0.121482804,-0.11584738,0.103038415
1582685685771,-0.093858555,-0.07931058,0.13754387
1582685685822,0.024862627,-0.0906447,0.18886922
1582685685871,0.10642373,-0.06990436,0.15399136
1582685685921,0.09469609,-0.07301101,0.14556278
1582685685971,0.17038195,-0.05449008,0.120859936
1582685686022,-0.021470545,-0.019732486,0.098819435
1582685686071,0.058480836,-0.0067086034,0.031004967
1582685686121,0.08419788,0.039842073,-0.026665168
1582685686172,0.0425917,0.02500353,-0.018611187
1582685686222,0.015056135,0.007612301,-0.030694744
1582685686271,0.07291893,-0.005495677,-0.0015729801
1582685686321,0.04349514,0.018686675,-0.031286646
1582685686372,-0.009479921,0.016657453,-0.024504837
1582685686421,-0.046999678,0.0043509956,0.0012206477
1582685686472,0.058538713,-0.018091207,0.010242529
1582685686521,0.030965572,0.027701158,-0.027421378
1582685686571,0.11466402,0.064174786,5.5558514E-5
1582685686622,0.073436536,0.025171157,0.055357076
1582685686671,0.045474663,-0.0053015724,-0.003449216
1582685686721,0.003446849,0.040357325,-0.08456579
1582685686771,0.023032526,0.056088652,-0.15922087
1582685686822,0.010108117,0.10122098,-0.23488532
1582685686871,0.24437876,0.17834166,-0.3503491
1582685686922,0.8261093,0.38296562,-0.6371039
1582685686972,0.87926805,0.6773372,-1.2023255
1582685687021,0.69094414,0.898627,-1.9581819
1582685687072,0.1459619,1.072465,-2.6935296
1582685687122,-0.4600014,1.1907828,-3.4090226
1582685687171,-0.34896207,1.2973089,-3.7215567
1582685687221,0.29068527,1.4314353,-3.7414663
1582685687271,-0.5885536,1.3582003,-3.08018
1582685687322,-1.6762784,0.9555593,-2.0664499
1582685687371,-1.5293417,0.5367827,-1.2472601
1582685687422,-1.3245174,0.35605216,-0.42250186
1582685687471,-0.20452859,0.1739346,0.0041924505
1582685687521,-0.016165448,-0.07915187,0.031645596
1582685687571,0.58684415,-0.16766752,-0.696162
1582685687621,0.4604478,-0.28234264,-0.51108295
1582685687671,0.23857658,-0.116659224,0.019112827
1582685687722,0.007060455,-0.06710045,0.15669501
1582685687771,-0.12563501,0.0018457659,0.103173345
1582685687821,0.022864997,0.058304984,-0.1315954
1582685687872,0.27980822,0.005265738,-0.11000185
1582685687921,0.4832252,9.1139507E-4,-0.070731916
1582685687972,0.3655073,-0.014654901,-0.10478912
1582685688021,0.32504222,-0.018238401,-0.059443325
1582685688071,0.35398167,-0.019680044,-0.06909571
1582685688121,0.33408964,-0.013547078,-0.065924466
1582685688172,0.42530513,-0.013880197,-0.06997946
1582685688221,0.5261335,-0.012316998,-0.06977033
1582685688271,0.48930293,-0.007990027,-0.024977984
1582685688321,0.29197857,-0.02965787,-0.04111812
1582685688372,0.14614753,-0.021606803,-0.046043873
1582685688421,0.07889333,0.0034729056,0.0013328004
1582685688471,-0.02440674,0.007784783,0.012949254
1582685688521,-0.04133845,0.003900899,0.011863545
1582685688571,-0.0032301713,-0.0014392594,0.0044611716
1582685688621,0.022957658,0.005921806,0.004797951
1582685688671,-0.04892595,-0.0018148781,-2.1264423E-4
1582685688721,0.01036383,-0.003152614,-0.0048467256
1582685688772,1.9775145E-4,-0.0036331406,-0.011158941
1582685688822,-0.02708377,0.0010057378,0.0030787098
1582685688871,0.016964933,-8.370038E-4,-1.9689882E-4
1582685688921,0.00935768,-0.002403501,-0.008494379
1582685688971,0.0023318594,-2.1563563E-4,0.0043738033
1582685689022,0.0033811945,0.0014309287,3.4818007E-4
1582685689071,0.0023609828,-0.004695936,-0.011700533
1582685689121,0.029164067,-0.0047375485,-0.0073399907
1582685689171,0.0011630356,-0.0034025097,-0.0054890923
1582685689221,-0.021353606,0.0030139463,0.0052939984
1582685689272,-0.0053739725,0.0016824726,0.0019094297
1582685689322,-0.023918146,-0.002290023,-5.044462E-5
1582685689372,0.005747093,3.2356428E-4,-0.0026024007
1582685689421,0.0033216756,0.0024510017,4.5322813E-5
1582685689471,-0.03221777,-0.0017819642,1.1224998E-4
1582685689521,-0.009443892,-0.0024789055,-7.024091E-4
1582685689572,-0.015508614,-0.0032542623,-0.0075920937
1582685689622,0.007368912,0.005113634,0.0034990604
1582685689671,-0.01650831,0.0012457417,0.0021640216
1582685689721,-0.041882284,-0.0053308075,-0.002631927
1582685689771,0.089771554,0.007984039,0.010526687
1582685689821,-0.052996106,-0.0025237813,-0.0062239803
1582685689871,-0.05148319,-3.8357452E-4,0.015895525
1582685689922,0.0075909924,-0.0018076352,-0.001895702
1582685689971,-0.048668377,-0.0024521314,-0.013914574
1582685690022,0.025516206,-0.0018747868,-0.0047482126
1582685690071,0.014027961,-0.014466479,-0.026475115
1582685690122,-0.052046515,-7.779654E-4,0.020309431
1582685690172,-0.057279818,-0.0026570894,0.019926133
1582685690222,-0.033448607,0.0021574877,0.008465352
1582685690271,0.006836688,0.020451795,0.011106165
1582685690321,-0.009305866,0.03444977,0.021253461
1582685690372,-0.08875359,0.020233197,0.02502132
1582685690421,-0.05088599,-6.6206977E-4,0.0102347415
1582685690471,-0.029087117,-0.021798505,-0.017523684
1582685690521,-0.016973466,-0.025529373,-0.005394506
1582685690572,-0.0017426312,-0.024554262,-0.016713867
1582685690622,0.030094085,-0.010883478,-0.026117805
1582685690671,0.074523784,0.008176216,-0.0014732783
1582685690722,0.09251355,0.006369903,-0.0094957445
1582685690772,0.06178216,0.006251053,-0.017529307
1582685690822,0.008343037,0.016746461,0.0043278807
1582685690871,0.014818132,0.019571986,0.015035462
1582685690921,-0.055744424,-0.010976965,-0.0012182365
1582685690971,-0.037311643,-0.00882612,0.020074023
1582685691021,-0.061638467,0.0023190607,0.02438281
1582685691071,-0.11905075,0.0036638645,0.034466185
1582685691122,-0.06550219,-0.0133589115,0.043056164
1582685691171,-0.056724302,-0.048981976,0.022830779
1582685691222,-0.07189387,-0.017120734,0.03230077
1582685691272,-0.051948212,0.017653411,0.03910223
1582685691321,0.060472704,0.020369131,0.0037465221
1582685691372,0.13496234,0.0029154066,-0.015573919
1582685691421,0.052371405,-0.01022106,-0.016695041
1582685691472,0.0058014244,-0.0061898753,-0.007908204
1582685691521,0.026758699,0.011312411,0.0017640567
1582685691571,0.04165797,0.02110657,0.009177418
1582685691621,0.018476663,0.013939356,0.012628922
1582685691672,0.0204083,5.947901E-4,-0.0068379217
1582685691721,0.022789516,0.0015906962,-0.013427436
1582685691772,0.0060296375,0.007148297,9.510466E-4
1582685691821,-0.016426954,7.936093E-4,0.011106165
1582685691872,-0.016073905,-0.0016005109,0.008162409
1582685691921,-0.06238,-0.0028431565,0.0066406117
1582685691972,0.048996918,-3.038263E-4,-0.0034172954
1582685692021,-0.0065672044,0.008067973,0.011649998
1582685692071,-0.03943175,-0.002786477,-0.0047394065
1582685692121,0.06725564,2.147546E-4,0.003134198
1582685692171,-0.047295123,-0.0018277937,-0.0058421367
1582685692222,-0.012104074,0.002451074,0.009356501
1582685692271,-3.173072E-4,-0.0014437484,0.0011750781
1582685692322,-0.012176825,2.4592038E-4,-0.0011786981
1582685692372,0.035193898,0.0029562246,0.0034716506
1582685692421,-0.03362885,2.896795E-4,0.002595252
1582685692472,-0.0027812142,-0.0011242619,0.0066001876
1582685692521,-0.007519234,-0.0029210253,-0.0028694137
1582685692572,0.0033094268,-0.004763744,-0.012592282
1582685692621,0.002112504,0.0021261156,0.007330378
1582685692671,-0.033828676,9.832482E-4,0.0031621926
1582685692721,0.011354445,7.0281187E-4,0.003655923
1582685692771,-0.026030425,-0.0056214146,-0.006052412
1582685692822,0.012040621,-0.0032394999,-0.0035013033
1582685692871,-0.023624407,0.004200738,0.002586164
