Time,accX,accY,accZ
1582684969146,-4.3555365,-8.312941,1.3547648
1582684969197,-4.515193,-8.113219,1.1665925
1582684969246,-4.6644316,-8.407727,0.9667217
1582684969296,-4.524296,-8.538884,0.97691995
1582684969346,-4.2430086,-8.352422,1.2037909
1582684969397,-4.405935,-8.227725,1.2746468
1582684969446,-4.6564155,-8.291882,1.0407602
1582684969497,-4.5937247,-8.382131,1.0359868
1582684969546,-4.356431,-8.594475,1.0208433
1582684969596,-4.2277184,-8.372516,1.1997197
1582684969646,-4.526177,-8.219537,1.0927426
1582684969697,-4.6310306,-8.282891,1.0120296
1582684969746,-4.540421,-8.358355,1.1445054
1582684969796,-4.35521,-8.545714,0.9823377
1582684969847,-3.9808507,-8.424625,1.3169538
1582684969896,-4.5803256,-8.536367,1.2252327
1582684969946,-4.573285,-8.28113,1.5449365
1582684969996,-4.3006787,-7.660352,1.5046141
1582684970047,-4.4228244,-8.628905,0.9990784
1582684970097,-4.4852643,-8.245836,1.4465551
1582684970146,-4.5991173,-8.484546,1.3987535
1582684970196,-4.553441,-8.200275,1.0279865
1582684970246,-4.449742,-8.327198,1.1145343
1582684970297,-4.319406,-8.479513,1.1742725
1582684970346,-4.2737155,-8.474845,1.358174
1582684970396,-4.6326456,-8.196041,1.0974326
1582684970447,-4.671593,-8.435364,0.8958357
1582684970497,-4.4669976,-8.276248,0.9742668
1582684970546,-4.032358,-8.395489,1.3146229
1582684970596,-4.1281905,-8.487669,1.4102608
1582684970646,-4.6376243,-8.79639,0.9306326
1582684970696,-4.624537,-8.171804,0.90143424
1582684970746,-4.3601913,-8.099758,0.9794189
1582684970797,-4.354703,-8.4406185,1.0905842
1582684970847,-4.356684,-8.602944,1.1445904
1582684970897,-4.5608625,-8.361584,1.0245184
1582684970947,-4.5305557,-8.283218,0.97653276
1582684970996,-4.426615,-8.4097595,1.1714119
1582684971046,-4.3563523,-8.379953,1.011625
1582684971096,-4.3925424,-8.380743,1.1747266
1582684971147,-4.6498275,-8.64438,1.0203794
1582684971196,-4.3222065,-7.8792095,1.2137465
1582684971246,-4.224639,-8.577939,0.89744043
