Time,accX,accY,accZ
1582686111421,-1.0642573,7.251822,7.031018
1582686111471,-1.0396771,7.202781,6.0207777
1582686111522,-1.9218934,8.01725,2.8199768
1582686111572,-1.8031914,8.66724,7.215492
1582686111622,-1.5003808,7.4675293,8.457697
1582686111671,-1.4147592,6.438948,7.0573673
1582686111721,-1.2125071,8.019397,5.57755
1582686111771,-1.276723,8.864808,5.990216
1582686111822,-1.1240519,7.4411387,6.093441
1582686111871,-0.81043565,7.7399035,6.5640397
1582686111922,-0.47032392,7.1943393,7.0457406
1582686111972,-0.37832958,7.354666,6.4795527
1582686112021,-0.6994572,8.122112,5.9702826
1582686112072,-0.5742091,7.84887,6.4542065
1582686112121,-0.43576723,8.032689,6.2611876
1582686112171,-0.15299532,8.046412,6.3445554
1582686112222,-0.16151701,7.8392982,5.7596602
1582686112271,-0.07062953,7.9050407,5.8644795
1582686112321,0.0060657198,7.8294344,5.975446
1582686112372,-0.12778889,7.7746778,5.4406
1582686112421,0.10142626,8.688327,6.2566147
1582686112471,0.42017967,8.487852,6.066117
1582686112521,0.32780236,8.249781,6.0604353
1582686112571,0.5259684,8.424005,5.985812
1582686112622,0.28907716,8.638778,5.8174515
1582686112672,0.19464123,8.190204,6.205892
1582686112721,0.20229512,7.895146,5.894474
1582686112771,-0.27951023,7.7872477,5.893812
1582686112821,-0.21328856,8.049662,6.460024
1582686112872,-0.13450697,7.334792,6.7372966
1582686112922,-0.7127043,7.405787,6.477492
1582686112971,-1.2052958,7.794254,5.9688344
1582686113022,-1.013586,7.5902634,5.824044
1582686113071,-0.82807726,7.9562554,6.2415543
1582686113121,-0.6683608,8.297928,5.867176
1582686113171,-0.6228901,7.731461,6.006623
1582686113222,-0.5915297,8.711163,5.9921527
1582686113272,-0.50366557,8.160882,5.3601346
1582686113321,-0.46311426,8.586144,5.7803144
1582686113371,-0.68899834,8.9035225,5.292553
1582686113421,-0.6373703,8.997572,4.7655816
1582686113471,-0.4662251,8.966591,4.719323
1582686113521,-0.42849597,9.004268,4.9646554
1582686113571,-0.46022534,8.919588,4.6227646
1582686113621,-0.40532327,8.737773,5.389759
1582686113671,-0.27752268,8.662942,5.8025265
1582686113721,0.17740358,8.449309,6.1522007
1582686113772,0.47086483,8.912703,5.8202314
1582686113821,0.11110139,8.334196,5.4082723
1582686113871,0.04646319,8.385206,5.650441
1582686113922,0.44021666,8.793183,6.2982955
1582686113971,-0.06599632,7.951336,5.721677
1582686114021,-0.64725363,7.527666,5.289409
1582686114071,-0.5488588,6.721514,5.8909273
1582686114121,-0.10317537,7.699636,5.897473
1582686114171,0.008485563,9.602166,5.5758195
1582686114221,0.47105426,8.389747,5.160775
1582686114272,0.83935606,9.11059,4.1328125
1582686114321,0.6217527,9.282223,3.8844438
1582686114371,0.8610444,8.6999235,4.383427
1582686114421,0.7802216,9.12459,4.811028
1582686114471,0.5333308,8.753239,4.7400236
1582686114522,0.520918,9.587558,4.52069
1582686114571,0.12695964,9.498572,3.175854
1582686114621,0.22997636,9.190989,3.908535
1582686114671,0.18600374,8.64161,2.915958
1582686114722,0.070620686,9.613382,2.2512655
1582686114771,0.48144388,9.180145,3.132121
1582686114821,0.2527527,8.618688,5.0930586
1582686114871,-0.924062,8.629264,5.9448123
1582686114922,-2.7589803,8.445095,2.4399848
1582686114971,-4.5292025,8.749564,1.8635218
1582686115021,-5.315075,8.478807,2.9474113
1582686115072,-5.653885,7.4641895,4.8935566
1582686115121,-6.4484167,7.7734585,6.1654115
1582686115171,-5.243949,7.8551545,5.7223783
1582686115222,-4.1534824,7.0102124,5.031291
1582686115272,-3.0805554,6.944921,5.8627315
1582686115322,-3.515419,6.205384,5.5210695
1582686115371,-3.7377694,8.418388,3.8261826
1582686115421,-4.5391626,8.4371,2.0888433
1582686115472,-5.5545897,10.261651,2.227215
1582686115522,-6.1255636,10.796507,3.3865325
1582686115572,-9.008966,8.12125,2.629617
1582686115622,-10.302118,5.8300543,1.1376964
1582686115672,-10.159336,3.8556895,0.4872784
1582686115722,-9.412972,1.5912861,0.3609904
1582686115771,-7.119225,1.8844678,2.8979802
1582686115821,-6.0259047,3.2554982,3.7022996
1582686115872,-5.0745234,2.2808437,5.5165057
1582686115922,-6.8274713,2.428792,5.1322246
1582686115972,-8.259434,-0.5860132,2.3603935
1582686116022,-7.659453,-5.714122,2.9711618
1582686116071,-8.355382,-5.355839,4.466895
1582686116122,-8.81004,2.5259235,3.723748
1582686116172,-8.575671,3.4995396,4.2325187
1582686116222,-7.7302694,-0.06500387,4.850487
1582686116271,-6.901327,-3.2727652,6.155773
1582686116322,-8.285938,-2.497788,7.734635
1582686116372,-10.094747,-1.1933506,6.3928156
1582686116422,-11.182797,-0.6545893,3.0350845
1582686116471,-10.844747,0.7928367,2.3898437
1582686116521,-9.314505,-0.29814872,2.4779742
1582686116571,-8.544573,-1.1248912,0.9782464
1582686116621,-10.158731,-1.6278256,0.77721953
1582686116672,-11.598232,-2.0252783,2.1295576
1582686116722,-7.5853124,-2.2064538,1.8753245
1582686116771,-9.491855,-2.571265,2.4438345
1582686116821,-9.469272,-2.5552416,2.5047672
1582686116871,-9.534172,-2.0944247,1.8395389
1582686116922,-9.428802,-1.5543432,1.6282619
1582686116971,-9.48495,-1.417114,1.3325107
1582686117021,-9.494184,-1.3693051,1.0663618
1582686117072,-9.464342,-1.5400704,1.09029
1582686117122,-9.590107,-1.775187,1.653794
1582686117172,-9.253567,-1.7851886,1.9432323
1582686117221,-9.439587,-1.9038708,2.1525908
1582686117271,-9.295335,-1.9024765,1.8692858
1582686117322,-9.507502,-1.8371726,1.8222809
1582686117371,-9.296678,-1.9300001,1.7763997
1582686117421,-9.46513,-2.0788615,1.6246284
1582686117471,-9.380298,-2.0656147,1.2043035
1582686117521,-9.541181,-1.7177572,0.6691548
1582686117572,-9.400357,-1.8681473,0.7018025
1582686117622,-9.257149,-2.3449583,1.0856408
1582686117671,-9.064079,-2.4622996,1.6207428
1582686117721,-8.9391775,-2.4929087,2.5259786
1582686117771,-8.7073,-2.658957,3.299805
1582686117821,-8.510133,-2.734395,3.651117
1582686117872,-8.288837,-3.0783567,3.8813305
1582686117922,-8.122462,-3.5210807,4.38674
1582686117971,-7.9432993,-3.9026132,4.4017673
1582686118021,-7.6910844,-3.956247,4.4627385
1582686118071,-8.131174,-3.665926,4.8676033
1582686118122,-7.660258,-3.1037521,4.4725327
1582686118171,-8.0146,-3.0234048,3.9358232
1582686118221,-7.896112,-4.493674,3.9336762
1582686118271,-7.4352674,-3.9810383,4.5175905
1582686118321,-7.379567,-4.174202,5.049204
1582686118371,-7.292953,-4.6575694,4.987393
1582686118421,-7.288845,-4.63312,4.746511
1582686118471,-7.31693,-4.2955537,4.96291
1582686118522,-7.1562486,-4.1283317,5.025575
1582686118571,-7.154303,-4.0795164,5.0399013
1582686118621,-7.251475,-4.763508,4.9429636
1582686118671,-7.1693716,-3.8608327,5.030485
1582686118721,-7.18226,-4.3228784,5.212041
1582686118771,-7.3027554,-4.273189,4.881109
1582686118821,-7.3407063,-3.1268713,4.974896
1582686118871,-7.220643,-3.5351338,5.8267603
1582686118921,-7.269878,-3.5697653,5.582555
1582686118971,-7.2375684,-3.471951,5.502659
1582686119021,-7.2265787,-3.4996097,5.59332
1582686119072,-7.1907625,-3.3014076,5.505682
1582686119122,-7.250208,-3.6208415,5.422607
1582686119172,-7.2341123,-3.7247338,5.5682826
1582686119221,-7.171257,-3.7419488,5.4866066
1582686119271,-7.236216,-3.650442,5.2639227
1582686119322,-7.2811337,-3.5554612,5.2508698
1582686119371,-7.2596474,-3.6286466,5.460198
1582686119421,-7.2081885,-3.3502524,5.667347
1582686119472,-7.2485538,-3.2247992,5.5643945
1582686119522,-7.2844086,-3.4679081,5.064423
1582686119572,-7.343973,-3.3850095,5.0931973
1582686119621,-7.2785463,-2.7519348,4.863249
1582686119671,-7.206473,-4.3040004,6.8982224
1582686119721,-6.936802,-3.241517,7.1777434
1582686119771,-7.0503106,-2.1621828,5.5800443
1582686119822,-7.11042,-3.3323283,5.4539475
1582686119871,-6.733645,-3.498197,6.7704773
1582686119921,-6.907026,-2.6977067,5.9207335
1582686119971,-7.315946,-3.6403487,5.8115635
1582686120022,-7.193713,-4.247642,5.0186114
1582686120072,-7.0905976,-3.2656379,5.4201565
1582686120122,-7.022325,-3.5409188,6.245645
1582686120172,-6.944881,-3.690488,6.0748024
1582686120221,-6.9530764,-3.4114833,6.141969
1582686120271,-6.999134,-3.3808434,5.7047133
1582686120321,-7.2306986,-3.2395222,5.5601335
1582686120371,-7.248412,-3.5141435,5.4237027
1582686120421,-7.220402,-3.3517501,5.379354
1582686120472,-7.244286,-3.3361428,5.571708
1582686120521,-7.2428865,-3.2836943,5.703282
1582686120571,-7.21408,-3.2616613,5.8463173
1582686120621,-7.1786885,-3.3240783,5.755742
1582686120671,-7.261398,-3.3133802,5.5280204
1582686120721,-7.3696733,-3.1641934,5.4869523
1582686120771,-7.3253703,-3.1317253,5.50436
1582686120822,-7.32737,-3.2990777,5.4934573
