Time,accX,accY,accZ
1582686131422,-9.272666,0.92614424,2.3668065
1582686131471,-9.755898,0.53141063,2.4689872
1582686131522,-9.037234,0.23258802,3.038782
1582686131571,-9.401217,-0.84323543,3.1729693
1582686131621,-9.149642,-0.9096125,3.493139
1582686131672,-9.377237,-0.54127085,3.5151374
1582686131721,-9.210802,-0.47718155,2.5043564
1582686131771,-9.301035,-0.5837077,2.1784837
1582686131821,-8.929746,0.08690929,2.8209856
1582686131872,-9.015922,-1.4679182,3.3588274
1582686131922,-8.3551035,-1.7947814,4.610243
1582686131971,-8.006135,-0.8985286,4.92022
1582686132022,-8.6823845,-2.25965,5.219617
1582686132072,-9.400451,-2.4101202,5.938087
1582686132121,-8.048234,-2.3755133,5.960917
1582686132171,-7.222367,-3.4534988,5.665641
1582686132221,-7.5608993,-3.04323,5.6770453
1582686132271,-7.7422733,-2.3585858,5.5201836
1582686132322,-7.7364,-2.6713874,5.5130944
1582686132372,-7.196545,-3.0626683,5.41596
1582686132421,-6.745631,-3.378492,5.432963
1582686132472,-6.6029887,-3.2412522,5.6118574
1582686132521,-6.2510757,-2.7973313,5.1745296
1582686132571,-5.6390862,-1.7218066,3.9523292
1582686132621,-5.3868113,-2.0727909,2.5665956
1582686132671,-5.808326,-4.511359,2.452641
1582686132722,-5.888825,-4.8447676,6.1761374
1582686132772,-4.969843,-2.6681468,10.6913805
1582686132821,-2.732653,0.8803419,12.083228
1582686132871,0.18489861,1.452069,11.482725
1582686132922,1.6441754,0.75946635,12.244248
1582686132971,1.2560794,1.4428686,11.380496
1582686133021,0.75807583,1.9556766,10.677487
1582686133071,0.71835697,1.3441978,10.15765
1582686133121,0.65392923,1.473825,9.677613
1582686133171,0.40374872,1.1228646,9.39617
1582686133221,0.65011775,1.1935046,10.10904
1582686133271,0.5361533,1.3699715,9.927102
1582686133322,0.24787669,1.4358535,10.132608
1582686133371,0.30076364,1.008912,10.264691
1582686133422,0.6810218,0.93950146,10.215014
1582686133471,1.1039808,0.9575264,9.744317
1582686133521,1.1282594,0.8341615,9.707133
1582686133571,1.2610493,1.1129258,9.093916
1582686133621,1.9011731,1.0952295,9.165662
1582686133671,3.0580688,1.9444864,8.598125
1582686133721,3.47403,0.7698859,8.095454
1582686133772,3.771418,-0.5367697,6.998431
1582686133821,4.041909,-1.3239453,7.961832
1582686133871,3.6411505,-2.325917,9.659045
1582686133922,2.9585795,0.05201739,8.950238
1582686133971,3.706595,0.19748724,9.71756
1582686134021,4.484835,-2.561564,10.928973
1582686134072,5.3733096,-3.2361581,9.746528
1582686134122,6.327286,-2.4362736,9.4563
1582686134172,6.8748364,-1.1653101,8.368347
1582686134222,8.0222435,-0.5980433,6.9006457
1582686134272,8.757317,-0.98534685,8.0948515
1582686134321,7.2195706,-1.7993617,7.667718
1582686134372,6.5274916,-1.1743584,6.8177667
1582686134422,6.6849337,-1.6509521,7.119745
1582686134471,6.72635,-1.4715061,7.1814857
1582686134521,6.6699924,-1.206393,7.362426
1582686134571,6.668263,-1.0182227,7.567953
1582686134622,6.7078924,-1.0163696,7.574517
1582686134671,6.4962864,-1.0015438,7.5130057
1582686134722,6.4059787,-1.0930349,7.4564986
1582686134771,6.4496307,-1.1239375,7.503225
