Time,accX,accY,accZ
1582687543897,9.426878,-3.0301664,-1.5095447
1582687543947,9.404146,-3.0510387,-1.4940283
1582687543996,9.417339,-3.0180068,-1.4701477
1582687544046,9.417339,-3.0273545,-1.4462066
1582687544097,9.4290085,-3.0263367,-1.4837737
1582687544146,9.412548,-3.025561,-1.4939716
1582687544196,9.4303665,-3.0044458,-1.4710743
1582687544246,9.415004,-3.0563197,-1.4817252
1582687544297,9.414944,-3.037884,-1.4967306
1582687544346,9.412526,-3.0326538,-1.4937655
1582687544397,9.395618,-3.0541594,-1.4743359
1582687544446,9.471677,-3.013647,-1.4940351
1582687544497,9.401877,-3.0481322,-1.5138783
1582687544546,9.397672,-3.0581293,-1.4759568
1582687544596,9.416795,-3.037854,-1.4339614
1582687544646,9.452259,-2.9980426,-1.4670228
1582687544697,9.407566,-3.0557072,-1.5322632
1582687544747,9.409043,-3.0353816,-1.469773
1582687544796,9.423151,-3.008564,-1.4456785
1582687544846,9.410153,-3.0679646,-1.4951645
1582687544896,9.415087,-3.043083,-1.4700692
1582687544947,9.407239,-3.0253935,-1.4597483
1582687544997,9.38331,-3.0161943,-1.4669325
1582687545046,9.212051,-3.040711,-1.3599359
1582687545097,9.181738,-2.9044511,-1.3230163
1582687545147,8.976708,-2.3767302,-1.3622531
1582687545196,9.023219,-2.2010455,-1.158387
1582687545246,10.149015,-2.222588,-1.0289714
1582687545297,10.582869,-3.2928755,-0.531875
1582687545346,12.020859,-4.0641317,2.1295943
1582687545396,12.898039,-3.100636,5.073322
1582687545446,14.318402,-3.091311,7.111263
1582687545497,17.114605,-6.908545,9.679537
1582687545546,22.033535,-7.589815,10.687746
1582687545597,25.86977,-7.0922556,5.708309
1582687545646,22.594404,-8.901375,0.7532835
1582687545697,17.002151,-6.6665583,-2.3937361
1582687545746,13.437996,-1.2458409,-3.1530828
1582687545797,10.657448,-1.8139725,-3.4766297
1582687545846,7.956332,0.9275832,-1.8799864
1582687545897,3.738254,5.088607,-3.044888
1582687545946,-2.1706994,6.729774,-4.3690076
1582687545996,-2.051724,6.164314,1.5695734
1582687546046,2.256053,3.5040433,6.9987693
1582687546096,9.452457,6.586354,1.9116983
1582687546146,13.616928,4.5004597,5.842743
1582687546196,14.794549,1.8457165,9.520385
1582687546246,15.392434,3.9941137,12.232689
