Time,accX,accY,accZ
1582688262625,-0.171847,0.3714865,9.959143
1582688262644,-0.143101,0.3810685,9.9208145
1582688262665,-0.1454965,0.41221,9.928001
1582688262685,-0.18622,0.3571135,9.928001
1582688262705,-0.176638,0.2708755,9.892069
1582688262725,-0.152683,0.2900395,9.870509
1582688262745,-0.18622,0.4720975,9.930396
1582688262765,-0.1934065,0.4960525,10.06694
1582688262784,-0.0927955,0.254107,9.959143
1582688262805,-0.037699,0.2900395,9.8753
1582688262824,-0.2173615,0.4241875,9.595027
1582688262844,-0.3419275,0.369091,10.062149
1582688262864,-0.2461075,0.3523225,10.256185
1582688262884,-0.1071685,0.354718,9.738756
1582688262904,-0.0113485,0.3571135,9.97112
1582688262924,-0.0448855,0.407419,9.820204
1582688262944,-0.1886155,0.407419,9.777084
1582688262964,-0.2892265,0.3092035,10.153178
1582688262984,-0.195802,0.311599,9.932792
1582688263003,-0.095191,0.378673,9.824994
1582688263024,-0.1071685,0.4241875,9.935187
1582688263044,-0.1550785,0.421792,9.884882
1582688263064,-0.191011,0.335554,9.983097
1582688263084,-0.1838245,0.2996215,9.975911
1582688263104,-0.143101,0.3643,9.822599
1582688263122,-0.171847,0.397837,9.880091
1582688263143,-0.2269435,0.397837,10.0262165
1582688263163,-0.176638,0.369091,10.011844
1582688263184,-0.1023775,0.330763,9.8753
1582688263204,-0.1071685,0.3331585,9.808226
1582688263224,-0.1694515,0.4002325,9.906442
1582688263244,-0.214966,0.4050235,10.0262165
1582688263264,-0.195802,0.3714865,10.035798
1582688263284,-0.109564,0.330763,9.870509
1582688263304,-0.085609,0.325972,9.798644
1582688263323,-0.128728,0.359509,9.9208145
1582688263344,-0.2029885,0.4050235,9.975911
1582688263364,-0.2125705,0.3858595,9.997471
1582688263384,-0.1598695,0.3571135,9.939979
1582688263404,-0.1454965,0.3762775,9.860927
1582688263423,-0.1598695,0.3810685,9.892069
1582688263443,-0.1550785,0.354718,9.954351
1582688263463,-0.1550785,0.369091,9.961538
1582688263483,-0.147892,0.393046,9.851345
1582688263503,-0.1502875,0.369091,9.916023
1582688263523,-0.1598695,0.3571135,9.947165
1582688263542,-0.147892,0.3619045,9.872905
1582688263563,-0.157474,0.369091,9.932792
1582688263583,-0.1694515,0.3523225,9.896859
1582688263603,-0.1742425,0.3666955,9.928001
1582688263623,-0.176638,0.383464,9.99268
1582688263643,-0.1550785,0.407419,9.956747
1582688263663,-0.1119595,0.3643,9.94956
1582688263682,-0.1119595,0.306808,9.889673
1582688263702,-0.1454965,0.335554,9.863322
1582688263722,-0.2077795,0.3810685,9.94477
1582688263743,-0.2317345,0.4146055,10.016635
1582688263762,-0.181429,0.383464,9.959143
1582688263783,-0.099982,0.335554,9.904046
1582688263803,-0.0736315,0.345136,9.853741
1582688263822,-0.1263325,0.3906505,9.880091
1582688263842,-0.2173615,0.369091,10.009448
1582688263862,-0.195802,0.3379495,9.956747
1582688263882,-0.1407055,0.3475315,9.896859
1582688263902,-0.123937,0.3643,9.860927
1582688264020,-0.15207896,0.36407197,9.918173
1582688264070,-0.16747716,0.3515307,9.909929
1582688264120,-0.15096606,0.36912066,9.945126
1582688264170,-0.14472657,0.3676182,9.907967
1582688264220,-0.16793583,0.35119775,9.930916
1582688264270,-0.14231148,0.3717649,9.929212
1582688264320,-0.16176784,0.37328774,9.931524
1582688264370,-0.18099062,0.3520348,9.9229
1582688264420,-0.12604254,0.3607126,9.9101715
1582688264470,-0.17933202,0.3599283,9.931065
1582688264520,-0.16744931,0.36854583,9.946052
1582688264570,-0.13337496,0.36562634,9.894526
1582688264620,-0.1860202,0.36746204,9.957124
1582688264670,-0.12098087,0.36693007,9.895927
1582688264720,-0.19040424,0.37006325,9.951097
1582688264771,-0.14531331,0.3609531,9.905785
1582688264820,-0.16171753,0.38309628,9.929758
1582688264870,-0.17920253,0.35217863,9.942548
1582688264920,-0.12974459,0.37357253,9.911532
1582688264970,-0.17626509,0.33735755,9.92555
1582688265020,-0.14959344,0.37237984,9.932846
1582688265070,-0.14396194,0.33495754,9.90874
1582688265120,-0.19275494,0.39058763,9.953255
1582688265170,-0.11146498,0.32859707,9.875055
1582688265220,-0.18280935,0.3873114,9.970366
1582688265270,-0.14203106,0.33314613,9.869398
1582688265320,-0.17714229,0.3805049,9.976222
1582688265370,-0.13707665,0.34329727,9.870603
1582688265420,-0.1859819,0.37578413,9.976797
1582688265470,-0.1293166,0.34852946,9.872848
1582688265520,-0.17392915,0.37990132,9.961321
1582688265570,-0.16069978,0.34744817,9.884269
1582688265621,-0.15298629,0.36179578,9.945196
1582688265670,-0.14862363,0.34963155,9.895643
1582688265720,-0.15754402,0.36103714,9.934486
1582688265770,-0.14183389,0.36788708,9.91
1582688265820,-0.17017025,0.36463213,9.938292
1582688265870,-0.14991775,0.36325234,9.932356
1582688265920,-0.14886233,0.37092796,9.922719
1582688265970,-0.183577,0.35245687,9.9543085
1582688266020,-0.14606142,0.3556235,9.89254
1582688266070,-0.17185888,0.36608192,9.947651
1582688266120,-0.13903105,0.363133,9.924175
1582688266170,-0.16681054,0.3536577,9.924873
1582688266220,-0.1623156,0.3630924,9.941672
1582688266270,-0.13933915,0.37222782,9.932346
1582688266320,-0.17358845,0.3538425,9.922886
1582688266370,-0.14214121,0.3747821,9.936411
1582688266420,-0.17247279,0.35255235,9.947256
1582688266470,-0.15804541,0.35996503,9.904929
1582688266520,-0.15729651,0.36222768,9.937345
1582688266570,-0.16279386,0.36089042,9.916737
1582688266620,-0.1569598,0.35893205,9.9318695
1582688266670,-0.15467028,0.37306517,9.925079
1582688266720,-0.16048849,0.35762173,9.914791
1582688266770,-0.16152507,0.3675347,9.942702
1582688266820,-0.15389623,0.3543582,9.916057
1582688266870,-0.16476884,0.36168814,9.938525
1582688266920,-0.1506657,0.36966926,9.907881
1582688266970,-0.167698,0.36530745,9.928123
1582688267020,-0.1541781,0.3689251,9.919483
1582688267070,-0.15757284,0.37140244,9.933429
1582688267120,-0.16044489,0.36494732,9.905302
1582688267170,-0.17139384,0.36119854,9.925812
1582688267220,-0.16056404,0.37236392,9.934436
1582688267271,-0.15415388,0.35005537,9.911958
1582688267321,-0.17112738,0.37439585,9.946168
1582688267370,-0.12857687,0.35892808,9.889767
1582688267420,-0.18592468,0.37054798,9.953236
1582688267469,-0.15199125,0.3556602,9.917055
1582688267520,-0.17187165,0.34836316,9.924453
1582688267570,-0.16156697,0.35388172,9.925598
1582688267620,-0.14723048,0.37474835,9.922594
1582688267670,-0.18319798,0.3554452,9.957331
1582688267720,-0.12043719,0.3798328,9.866786
1582688267770,-0.20169532,0.35203066,9.9923725
1582688267820,-0.13047406,0.39274633,9.872607
1582688267870,-0.20339882,0.34881127,9.986464
1582688267921,-0.08602203,0.38476503,9.837981
1582688267970,-0.20768973,0.36763442,9.979221
1582688268020,-0.1666649,0.34984732,9.925788
1582688268070,-0.1147269,0.37095112,9.88609
1582688268120,-0.2188918,0.358392,9.974314
1582688268170,-0.11075303,0.36987865,9.874588
1582688268220,-0.18589693,0.36742902,9.970501
1582688268270,-0.15317866,0.36173227,9.896164
1582688268320,-0.1544584,0.35823715,9.950193
1582688268370,-0.17629665,0.3611585,9.92572
1582688268420,-0.16185568,0.36741495,9.895483
1582688268470,-0.14085239,0.35151452,9.943914
1582688268520,-0.18171169,0.37975496,9.898933
1582688268570,-0.18922202,0.35143983,9.948156
1582688268620,-0.09469892,0.34938788,9.869123
1582688268670,-0.23819797,0.39049426,9.971056
1582688268720,-0.102159396,0.32915032,9.839545
1582688268770,-0.18823676,0.38772523,10.024908
1582688268820,-0.18378273,0.36454302,9.865378
1582688268870,-0.09564053,0.32764018,9.889585
1582688268920,-0.24420083,0.4117142,9.987236
1582688268970,-0.12912904,0.31425917,9.853142
1582688269020,-0.13755961,0.38724354,9.947781
1582688269070,-0.16900697,0.35087806,9.920261
1582688269120,-0.2077032,0.39280668,9.934065
1582688269170,-0.10402772,0.34809285,9.902268
1582688269220,-0.213887,0.3683558,9.961887
1582688269270,-0.14584637,0.34213537,9.889282
1582688269320,-0.1613029,0.3796419,9.969998
1582688269370,-0.1764234,0.3563526,9.885241
1582688269420,-0.16495246,0.3658901,9.92448
1582688269470,-0.1413994,0.38635874,9.916033
1582688269520,-0.19972466,0.3327539,9.936115
1582688269570,-0.13506384,0.3756094,9.937567
1582688269620,-0.15840834,0.3620567,9.942982
1582688269670,-0.19138259,0.3543669,9.945396
1582688269720,-0.12466412,0.37859923,9.881516
1582688269770,-0.21089515,0.36071414,9.955454
1582688269820,-0.13404375,0.34243056,9.903402
1582688269870,-0.14398882,0.3764299,9.944452
1582688269920,-0.20795345,0.34508795,9.936764
1582688269970,-0.13951045,0.36414742,9.918116
1582688270021,-0.14163378,0.37304708,9.92807
1582688270070,-0.21493861,0.35794932,9.940891
1582688270120,-0.11045496,0.37223452,9.910725
1582688270171,-0.17125821,0.35791034,9.945364
1582688270220,-0.17287257,0.35113433,9.89307
1582688270270,-0.14608839,0.36327744,9.919731
1582688270320,-0.20066057,0.37125033,9.944735
1582688270370,-0.14100033,0.35151875,9.922724
1582688270420,-0.12583701,0.37581128,9.92108
1582688270470,-0.20020992,0.3468607,9.936713
