Time,accX,accY,accZ
1582686431422,-1.9874958,-6.171354,7.964126
1582686431472,-2.2468648,-5.7771034,7.572445
1582686431522,-2.703592,-5.199438,6.779296
1582686431572,-2.5196507,-5.331258,7.3889284
1582686431622,-2.342581,-5.309419,7.8299284
1582686431671,-2.2818565,-5.1995754,8.172181
1582686431722,-2.1878116,-5.0755634,7.9893904
1582686431772,-2.1994123,-5.449039,7.532379
1582686431821,-2.0890586,-6.116291,7.5077686
1582686431871,-1.8594987,-6.9020386,6.8258305
1582686431921,-1.7771131,-7.038772,6.3623824
1582686431972,-1.958556,-7.014457,6.0558715
1582686432021,-1.806087,-7.392809,6.275594
1582686432071,-1.9332005,-7.1986513,6.082411
1582686432122,-1.9917729,-6.7535706,6.6605067
1582686432171,-2.0405326,-5.622901,7.5023437
1582686432221,-2.0229032,-5.5790806,7.6908083
1582686432271,-1.9378859,-5.5042872,7.537686
1582686432321,-1.8340176,-6.1829796,7.1266403
1582686432371,-1.7662946,-6.754488,6.8031783
1582686432422,-1.5139912,-7.190822,6.4999466
1582686432472,-1.4138149,-7.591755,5.79838
1582686432521,-1.3267308,-8.302535,5.1848593
1582686432571,-1.4615182,-8.124509,4.1477594
1582686432621,-1.3929058,-8.58658,3.5277543
1582686432671,-1.207992,-8.901791,2.7740407
1582686432722,-0.7327313,-10.3640785,2.4058075
1582686432772,-0.45178744,-11.6973295,1.5073928
1582686432821,-0.9614172,-11.564753,-0.5998156
1582686432872,-2.2744043,-11.248079,-2.5637531
1582686432921,-3.455407,-10.292994,-2.6329916
1582686432972,-4.17379,-8.259304,-2.5924706
1582686433021,-4.898713,-7.4605155,-1.7946304
1582686433071,-5.2648644,-6.7603774,-1.0420879
1582686433121,-5.765168,-6.169379,-0.6489912
1582686433172,-6.124722,-5.6566153,-0.1730306
1582686433222,-6.203383,-5.6364183,-0.21356606
1582686433271,-6.3145404,-5.771779,-0.44332188
1582686433321,-6.58906,-6.0201287,-0.7043432
1582686433371,-6.829334,-6.2281265,-0.9089194
1582686433422,-6.954988,-6.180547,-0.6190367
1582686433471,-6.881339,-6.1469502,-0.15701959
1582686433522,-6.61612,-5.801663,0.56732625
1582686433572,-6.436519,-6.150467,0.27222538
1582686433621,-6.4427695,-6.213122,0.08588463
1582686433672,-6.2993135,-6.104732,0.7459475
1582686433721,-5.1639113,-5.3219857,2.2930734
1582686433771,-4.227782,-4.7182903,1.3609625
1582686433821,-4.760853,-5.106343,-0.32924122
1582686433872,-5.6157455,-5.632196,-1.7377845
1582686433921,-4.831724,-5.6643844,-1.5938199
1582686433972,-3.4923203,-9.8559,-3.9818554
1582686434021,-4.069661,-14.126026,-5.0087533
1582686434072,-0.40475535,-9.3622875,-3.4977791
1582686434122,-2.0820427,-10.941712,-4.74674
1582686434172,-0.2074493,-10.359112,-2.246648
1582686434221,0.6491925,-10.654895,-2.2907667
1582686434272,-0.19964969,-10.093178,-2.700376
1582686434322,-1.3339832,-9.809453,-1.9511331
1582686434371,-1.0651424,-9.445279,-1.8066145
1582686434421,-0.3641436,-8.925096,-2.0876603
1582686434471,-0.51059216,-8.694355,-1.9748607
1582686434522,-1.1524673,-8.736014,-1.7596911
1582686434571,-1.1854235,-9.025859,-1.6202424
1582686434621,-0.7453253,-9.483795,-1.6431171
1582686434672,-0.4659014,-9.636285,-1.5833656
1582686434721,-0.43052882,-9.537525,-1.4520727
1582686434772,-0.74429816,-9.435298,-1.5770103
1582686434821,-0.94959676,-9.332016,-1.539712
1582686434872,-0.9177975,-9.239446,-1.548075
1582686434922,-0.7849755,-9.263269,-1.5056769
1582686434972,-0.6360064,-9.345479,-1.4615912
1582686435022,-0.70098287,-9.376906,-1.5241603
1582686435071,-0.81711537,-9.363716,-1.602881
1582686435122,-0.8872378,-9.265178,-1.6899581
1582686435171,-0.83833015,-9.243298,-1.6815915
1582686435221,-0.8518508,-9.260819,-1.7073667
1582686435272,-0.8449825,-9.296124,-1.64963
1582686435322,-0.8072852,-9.386729,-1.5996484
1582686435371,-0.82286406,-9.3244295,-1.5341871
1582686435421,-0.8441237,-9.246117,-1.5535852
1582686435471,-0.8389409,-9.287598,-1.5589939
1582686435522,-0.7858766,-9.374474,-1.5137393
1582686435571,-0.79516274,-9.40527,-1.4673507
1582686435621,-0.7732412,-9.361535,-1.5115162
1582686435671,-0.8202011,-9.35542,-1.5316787
1582686435721,-0.8145898,-9.39886,-1.4832402
1582686435771,-0.8170364,-9.472333,-1.375863
1582686435822,-0.81681746,-9.505072,-1.4196589
1582686435872,-0.8830995,-9.49683,-1.3609052
1582686435922,-0.94643724,-9.772484,-0.93561
1582686435972,-0.9149023,-9.973183,-0.999557
1582686436021,-1.1427783,-9.848626,-0.44144708
1582686436072,-1.5644644,-9.634497,-0.13446455
1582686436121,-1.7999061,-9.425254,0.6381649
1582686436171,-2.0981712,-8.733081,1.4436122
1582686436222,-2.776135,-8.031189,2.417302
1582686436271,-2.7453046,-8.147794,3.2760208
1582686436321,-2.8993504,-7.3688755,4.422183
1582686436371,-2.9335308,-6.92077,5.683774
1582686436421,-2.8931677,-6.246971,6.5641184
1582686436471,-3.0012915,-5.8275433,7.116225
1582686436521,-2.8306053,-5.782695,7.106886
1582686436571,-2.807089,-5.7342196,7.559467
1582686436621,-2.780275,-5.4552183,7.6945925
1582686436672,-2.8560653,-5.3680096,7.499331
1582686436721,-2.775878,-5.350882,7.646013
1582686436771,-2.7560084,-5.2341685,7.794838
1582686436822,-2.7127411,-5.3499117,7.7389035
1582686436871,-2.674635,-5.3010626,7.7855525
1582686436922,-2.7058318,-5.1872435,7.8152933
1582686436971,-2.6972866,-5.1921,7.680163
1582686437022,-2.7104096,-5.3086734,7.722681
1582686437071,-2.5054908,-5.3046503,7.647142
1582686437122,-2.6677344,-5.2096257,7.828132
1582686437171,-2.5930872,-5.2675138,7.76872
1582686437221,-2.5650322,-5.243743,7.845778
1582686437271,-2.5205474,-5.3083673,7.625809
1582686437321,-2.518588,-5.4385066,7.7718906
1582686437372,-2.5286117,-5.321705,7.6551914
1582686437421,-2.5681431,-5.412046,7.5748196
1582686437471,-2.4125516,-5.477237,7.292721
1582686437521,-2.3014205,-6.2229896,7.0360165
1582686437572,-2.154079,-6.5803056,6.878234
1582686437621,-2.0510662,-6.983252,6.6101613
1582686437671,-2.0550287,-7.1015215,6.2852097
1582686437721,-1.9722115,-7.368163,5.99065
1582686437771,-1.9854418,-7.383782,5.7719407
1582686437822,-1.9116825,-7.462113,5.750898
1582686437871,-1.8273733,-7.727257,5.6807504
1582686437922,-1.808698,-7.655951,5.3431816
1582686437971,-1.6343942,-8.078119,5.1627088
1582686438021,-1.5975685,-8.124353,5.0355844
1582686438071,-1.6039912,-8.21052,4.8012853
1582686438121,-1.556133,-8.249184,4.622558
1582686438171,-1.475062,-8.384745,4.4363027
1582686438222,-1.4690303,-8.511445,4.0626163
1582686438272,-1.3814621,-8.743616,4.220889
1582686438321,-1.3727043,-8.453469,4.193886
1582686438371,-1.3957872,-8.526915,4.0873094
1582686438421,-1.3782271,-8.5281725,3.8514574
1582686438471,-1.3045127,-8.892448,3.6983922
1582686438521,-1.2647313,-8.906784,3.4624412
1582686438572,-1.2734526,-9.0084715,3.3094049
1582686438622,-1.2599506,-8.856121,3.3787177
1582686438672,-1.3301069,-8.796198,3.2609365
1582686438722,-1.342781,-9.01126,2.801892
1582686438771,-1.3407421,-9.10649,2.1712809
1582686438821,-1.3569726,-9.299671,1.872281
1582686438871,-1.276211,-9.3159275,1.6133294
1582686438921,-1.2812902,-9.3671665,1.2302624
1582686438972,-1.3660835,-9.405857,0.6538143
1582686439021,-1.3701714,-9.435384,-0.06794858
1582686439072,-1.5148318,-9.368399,-0.6127727
1582686439122,-1.4260689,-9.640234,-0.94643164
1582686439172,-1.3788319,-10.076449,-1.3879532
1582686439221,-1.6191097,-10.205889,-1.5687249
1582686439272,-1.8325275,-9.907118,-2.0271382
1582686439322,-2.635947,-9.681069,-1.896972
1582686439371,-3.4580243,-10.230927,-2.3468273
1582686439421,-4.2667437,-9.6755085,-2.2895868
