Time,rotX,rotY,rotZosboxe
1582686987384,-1.3213251,0.35808858,1.7981403
1582686987434,-1.2887311,0.13458231,1.9883127
1582686987484,-0.9359711,0.11862454,2.082372
1582686987534,-0.3746571,0.26616845,2.295754
1582686987584,-0.4461748,0.56085974,2.3938951
1582686987634,-0.5477714,0.44851145,2.2000947
1582686987684,-0.47914588,0.5545307,1.8787977
1582686987734,-0.49165198,0.1859819,1.3940563
1582686987784,-1.195436,0.24650133,1.1504554
1582686987834,-1.6268713,-0.3244667,0.73578787
1582686987884,-1.5396053,-0.41709143,0.552203
1582686987934,-1.0163635,-0.4512975,0.4794142
1582686987984,-0.52840763,-0.40044108,0.36130217
1582686988034,-0.38790405,-0.23798728,0.19497284
1582686988083,-0.43735203,0.037615314,0.10897932
1582686988133,-0.566269,0.118238874,0.05931695
1582686988184,-0.53736097,0.019337123,0.057345513
1582686988234,0.01439352,-0.23086667,-0.006760773
1582686988284,0.36056155,0.0028592627,-0.04739183
1582686988334,-0.026875664,0.04234031,-0.053356744
1582686988384,-0.28323358,-0.025210252,-0.03154193
1582686988434,-0.042574774,0.041570656,0.085532464
1582686988483,-0.18447179,-0.064411566,0.047437266
1582686988534,-0.09089309,-0.03356497,0.05007252
1582686988584,-0.04957575,0.009142688,-0.048710633
1582686988633,-0.10892221,0.08420709,-0.0053533986
1582686988684,-0.18156075,0.10438378,-0.035558883
1582686988734,-0.12129815,0.026009513,-0.037808042
1582686988784,-0.03638316,0.0064485706,-0.015975878
1582686988834,-0.0057890583,0.0016948511,-0.017211251
1582686988884,-0.012539964,0.028359232,-0.008355694
1582686988934,-0.122797385,-0.013905261,-0.017457075
1582686988984,-0.08251691,0.024580354,-0.031284485
1582686989034,-0.2002832,-0.0023248345,-0.01932643
1582686989084,-0.123866886,0.009099135,0.003104146
1582686989134,0.0044912314,0.05180855,0.0067330613
1582686989184,-0.0548817,0.044294477,-0.010714793
1582686989234,0.083581775,0.038673304,-0.01546121
1582686989283,0.075321674,0.11935148,-0.039273273
1582686989334,-0.013410964,0.11566916,-0.03999027
1582686989384,0.051044848,0.10988055,0.0013824855
1582686989433,-0.026518002,0.034569852,0.024580782
1582686989484,0.0033040242,0.0336451,0.03159504
1582686989534,-0.09297407,-0.021148639,-0.008388607
1582686989584,-0.10355052,-0.07264161,0.01800776
1582686989634,-0.02792576,-0.074438035,0.0432254
1582686989684,-0.059654314,-0.07258725,0.013606308
1582686989734,-0.035717294,-0.03263773,0.013140455
1582686989784,-0.029129531,-0.009141533,-0.0067059477
1582686989833,-0.085697874,0.016445514,-0.013965448
1582686989884,-0.0163416,0.039309397,-0.021801502
1582686989934,-0.05506839,-0.003362788,-0.030147115
1582686989984,-0.0073857764,0.01708642,-0.034182154
1582686990034,-0.026218463,-0.03867177,-0.018589525
1582686990084,-0.07407594,-0.019183457,-0.01968743
1582686990134,-0.049982,-0.005990986,-0.00850832
1582686990183,-0.03062629,-0.010740152,-0.00818255
1582686990233,-0.07209948,0.008259572,0.0055413735
1582686990284,-0.028231483,0.026840605,0.001997625
1582686990334,-0.16999994,0.023278596,-0.014364064
1582686990384,-0.06410708,-0.010024162,-0.0037077884
1582686990434,-0.04508329,-0.03770341,0.0022358699
1582686990484,-0.010948705,-0.036203116,0.010758763
1582686990534,-0.061767753,-0.067033514,0.008626837
1582686990584,-0.1109111,-0.14649452,0.056214705
1582686990634,-0.13000819,-0.2264123,0.048120268
1582686990684,-0.15676032,-0.2495867,0.015745163
1582686990734,-0.11371662,-0.20165434,0.019004315
1582686990784,-0.056712635,-0.15343967,0.040350236
1582686990834,0.0024214592,-0.012831463,-0.017343167
1582686990884,-0.12101193,0.10584347,-0.05852843
1582686990934,0.16672598,0.073948085,0.019443596
1582686990984,-0.013474658,-0.013220709,-0.058046322
1582686991034,-0.11637032,-0.068988286,-0.07969428
1582686991084,0.06252621,0.03471168,-0.03469862
1582686991133,0.1534765,0.12302491,0.063015245
1582686991184,0.27699113,0.095145285,0.03265203
1582686991234,0.4499002,0.09739448,-0.021841424
1582686991284,0.50425214,0.25402707,-0.0066276747
1582686991333,0.10009053,0.31970903,0.012582505
1582686991384,0.12026483,0.2868202,0.07008939
1582686991434,-0.016891235,0.18165015,0.074066184
1582686991484,0.13223664,0.12692624,0.069431886
1582686991534,-0.011335259,0.048364304,0.009229876
1582686991584,0.034284893,0.041011617,-0.0052620894
1582686991634,-0.047444332,-8.084206E-4,-0.033433054
1582686991683,-0.015578348,-0.009672733,-0.03217487
1582686991734,-0.04444507,-8.0694165E-4,-0.04604971
1582686991784,-0.017853115,0.008217294,-0.04159532
1582686991834,-0.02503633,0.023413876,-0.03943978
1582686991884,-0.016768374,0.020702502,-0.024630958
1582686991933,-0.0072995457,0.010179743,-0.017643856
1582686991984,7.551359E-4,0.017195448,-0.0035129748
1582686992034,0.008960452,0.044847228,-0.014022356
1582686992084,-0.012707518,0.022083778,-0.024579285
1582686992134,0.0026699882,-0.0010092342,-0.02320682
1582686992184,-0.008689691,0.008328373,-0.021766152
1582686992234,-0.017403156,0.019643515,-0.033230197
1582686992284,-0.007607249,0.025523601,-0.03334868
1582686992334,-0.010809591,0.011027234,-0.030855581
1582686992383,0.0082617365,0.01705385,-0.026595023
1582686992434,-0.023968019,0.030129867,-0.038651142
1582686992483,-0.013988972,0.033245295,-0.03344799
1582686992534,-0.021564107,0.018235661,-0.028691953
1582686992584,0.009106576,0.013772272,-0.009789417
1582686992634,0.0102438275,0.035269305,-9.3362294E-4
1582686992684,0.017631728,0.032657936,-0.027272662
1582686992734,-0.026001673,-6.4042024E-4,-0.04565107
1582686992784,0.0064866096,0.031470448,-0.034199964
1582686992834,-0.015193475,0.04823661,-0.061567843
1582686992884,-0.032098185,0.047119923,-0.046728972
1582686992934,0.06324762,0.0410548,-0.045945976
1582686992984,0.13844931,0.063393705,-0.124161
1582686993033,0.38274705,0.08883931,-0.22253282
1582686993084,1.265413,0.41371718,-0.3546866
1582686993134,2.2155669,0.74020267,-0.71680945
1582686993184,1.2942331,0.68185276,-1.0996853
1582686993234,1.125807,0.43600735,-1.6067325
1582686993283,0.9756362,0.45208153,-1.989122
1582686993334,0.40106374,-0.009274613,-2.3640501
1582686993384,0.7182123,0.2211539,-2.254747
1582686993433,0.54832417,0.10033472,-2.1383972
1582686993484,0.9003729,-0.056652263,-2.0077214
1582686993534,0.8040684,-0.09656897,-1.9821621
1582686993584,0.82480246,-0.38544348,-1.7027243
1582686993634,0.9996112,-0.18921474,-1.4980937
1582686993683,0.48061213,-0.39681533,-1.2507817
1582686993734,0.4637703,-0.07038516,-0.8976081
1582686993784,0.085056365,-0.13824266,-0.5781124
1582686993834,0.20237167,0.021127228,-0.3997303
1582686993883,0.3132442,-0.0932788,-0.26727864
1582686993933,0.88447964,0.008286475,-0.024965579
1582686993984,1.0922378,-0.03236614,0.22830586
1582686994034,1.2054307,0.054605693,0.52050257
1582686994084,0.96510607,0.06927702,0.84556323
1582686994134,1.3121071,0.13492918,1.129723
1582686994184,1.5345899,0.42615977,1.2291516
1582686994233,1.4378486,0.7220805,1.0388136
1582686994284,1.4204403,1.0194814,0.7180285
1582686994334,2.0374444,1.2079515,0.30529395
1582686994384,2.4674437,1.0253704,-0.18738677
1582686994434,1.9779555,0.6428872,-0.58582026
1582686994484,0.6517704,0.43265057,-0.89141595
1582686994534,0.048174545,0.33487275,-1.0404817
1582686994584,-0.059114832,0.096288145,-1.1970543
1582686994634,-0.94913524,-0.34049216,-1.2439988
1582686994684,-1.1252327,-0.7307568,-1.1799138
1582686994734,-0.97806793,-1.0041629,-0.9615024
1582686994784,-1.299786,-1.1737388,-1.0285004
1582686994833,-0.8586086,-0.98621064,-1.059095
1582686994883,-1.0927956,-0.80589384,-1.0807612
1582686994934,-0.7052113,-0.46061662,-1.0098306
