Time,accX,accY,accZ
1582687082334,5.06872,-2.5183752,4.3916206
1582687082384,4.243411,-2.145803,3.5003655
1582687082434,2.994498,-2.4312057,4.784915
1582687082484,1.9215498,-2.2143326,5.751685
1582687082534,1.7047867,-3.5919402,7.483614
1582687082584,1.8632643,-4.459792,10.333967
1582687082634,4.634966,-11.697938,11.061148
1582687082684,4.95995,-11.675383,10.370789
1582687082733,5.95561,-12.575339,8.456678
1582687082784,5.7043295,-8.147678,4.396696
1582687082834,7.1095057,-5.771761,6.3272696
1582687082884,7.5014596,-1.0178084,7.7599497
1582687082934,8.369914,-3.997323,7.7581253
1582687082984,7.4999547,-3.7205975,5.375245
1582687083034,7.2406673,-4.5691113,4.596989
1582687083084,7.3497963,-6.3617206,4.9558744
1582687083133,7.7577715,-5.820872,4.5483894
1582687083184,7.9871645,-4.6446085,4.361522
1582687083234,8.101564,-4.493575,4.531543
1582687083284,7.34388,-4.394664,4.9672832
1582687083333,6.9124656,-5.111253,5.203823
1582687083384,6.798856,-5.3182797,5.083844
1582687083434,6.8297853,-5.0684795,4.821374
1582687083484,6.771372,-5.2943807,4.935687
1582687083534,6.775405,-5.467911,4.9458094
1582687083583,6.7965302,-5.1925364,4.962669
1582687083633,6.872529,-5.097713,5.0207343
1582687083684,6.851982,-5.170125,4.975518
1582687083734,6.784871,-5.2204084,4.989334
1582687083784,6.7623653,-5.257796,4.834335
1582687083834,6.7649546,-5.4044037,4.931032
1582687083884,6.762356,-5.4841366,4.9134645
1582687083934,6.7183,-5.232601,5.0096464
1582687083984,6.7391233,-5.1004066,4.9877157
1582687084034,6.632078,-5.3090124,5.077377
1582687084084,6.518387,-5.396186,5.103241
1582687084134,6.5280266,-5.363551,5.148217
1582687084184,6.625022,-5.358486,5.1626186
1582687084234,6.5877104,-5.2833557,5.1580267
1582687084284,6.5956817,-5.2903185,5.133916
1582687084334,6.632201,-5.182076,5.182638
1582687084384,6.576392,-5.2378836,5.212386
1582687084434,6.5840178,-5.293871,5.160082
1582687084484,6.618531,-5.308135,5.2057943
1582687084534,6.5845213,-5.2174416,5.1825676
1582687084584,6.6350527,-5.2950277,5.200678
1582687084634,6.620006,-5.2462573,5.1550016
1582687084684,6.592319,-5.201909,5.238139
1582687084734,6.6473923,-5.272083,5.249774
1582687084784,6.6206684,-5.1553593,5.1915436
1582687084834,6.588313,-5.2087755,5.237497
1582687084884,6.6099358,-5.284439,5.14664
1582687084934,6.615061,-5.208178,5.172968
1582687084984,6.5302334,-5.2746177,5.24771
1582687085033,6.5489893,-5.230403,5.3615685
1582687085084,6.6284714,-5.123557,5.2067943
1582687085134,6.637704,-5.2199316,5.2475204
1582687085184,6.604515,-5.2210093,5.2148323
1582687085234,6.6086197,-5.184614,5.254449
1582687085284,6.536728,-5.244882,5.3094316
1582687085334,6.590238,-5.237376,5.189907
1582687085384,6.5546455,-5.2872353,5.2788277
1582687085434,6.563948,-5.196088,5.322617
1582687085484,6.589853,-5.239999,5.228801
1582687085534,6.6339207,-5.14485,5.3688145
1582687085584,6.568813,-5.156728,5.225189
1582687085634,6.540822,-5.2388973,5.290084
1582687085684,6.532072,-5.1690555,5.295495
1582687085734,6.4989815,-5.304187,5.301178
1582687085784,6.510276,-5.1904917,5.27392
1582687085834,6.568821,-5.213952,5.3221436
1582687085884,6.58506,-5.1929703,5.381075
1582687085934,6.5668554,-5.174767,5.3108997
1582687085984,6.5439415,-5.2197924,5.2942467
1582687086034,6.531114,-5.2421722,5.3544936
1582687086084,6.5125275,-5.1400824,5.319314
1582687086134,6.5370417,-5.2415113,5.3205624
1582687086184,6.5044107,-5.1542616,5.371892
1582687086234,6.5578523,-5.155094,5.4292417
1582687086284,6.579698,-5.065194,5.418665
1582687086334,6.561166,-5.156057,5.4163017
1582687086384,6.462289,-5.1540833,5.412956
1582687086433,6.442615,-5.113222,5.4318404
1582687086484,6.500907,-5.201748,5.4835143
1582687086534,6.533624,-5.1802216,5.436832
1582687086584,6.5701365,-5.163864,5.4309263
1582687086634,6.527506,-5.056752,5.5541544
1582687086683,6.490939,-5.0735884,5.560522
1582687086734,6.458457,-5.044239,5.591136
1582687086784,6.489112,-5.039975,5.61643
1582687086834,6.436096,-5.059635,5.5858717
1582687086884,6.340809,-4.9855556,5.7286415
1582687086934,6.2725806,-5.0265512,5.8688726
1582687086984,6.317278,-5.0547934,5.829546
1582687087034,6.373644,-5.0371895,5.821641
1582687087084,6.419979,-4.8776245,5.7351437
1582687087133,6.3712897,-4.738947,5.9516373
1582687087184,6.36767,-4.6992073,6.0210795
1582687087233,6.370235,-4.6608467,5.923359
1582687087284,6.3186874,-4.5967064,5.966341
1582687087334,6.358839,-4.683918,6.099911
1582687087384,6.3393755,-4.6337843,5.997624
1582687087434,6.459488,-4.8039293,6.0736074
1582687087484,6.3962193,-4.675515,5.908622
1582687087534,6.390555,-4.677597,5.962003
1582687087584,6.3315067,-4.7000594,6.173552
1582687087634,6.442658,-4.8874607,6.1561246
1582687087684,6.586301,-4.90456,5.9456487
1582687087734,6.7829223,-4.9887457,5.693154
1582687087784,6.4067388,-4.787732,5.724079
1582687087834,6.422248,-4.846501,5.9742513
1582687087884,6.374703,-5.1877527,6.208477
1582687087934,6.1171856,-5.006174,6.123931
1582687087984,6.1384435,-4.876602,6.096294
1582687088034,6.034731,-4.9830885,5.993952
1582687088084,5.7296224,-5.0359125,5.776678
1582687088133,5.532277,-5.02133,5.731867
1582687088184,5.5005713,-4.714258,5.7838173
1582687088234,5.4015155,-5.3926325,5.4337025
1582687088284,5.44411,-6.147696,5.4415417
1582687088334,5.4576664,-6.4743166,5.4399714
1582687088384,5.496028,-5.705947,5.7356167
1582687088434,5.5199184,-5.1950855,5.9602733
1582687088484,5.7539654,-5.696293,5.860488
1582687088534,5.7078724,-5.7344394,5.6199536
1582687088584,5.8234177,-5.935933,5.5424147
1582687088634,5.8452463,-5.837492,5.6323566
1582687088684,5.755906,-5.7196817,5.709282
1582687088734,5.674343,-5.66543,5.7420263
1582687088784,5.6524363,-5.663947,5.7720227
1582687088833,5.7129555,-5.7018337,5.777519
1582687088884,5.809863,-5.6528006,5.765458
1582687088934,5.7541313,-5.548684,5.717226
1582687088984,5.8013883,-5.5077224,5.870114
1582687089034,5.7860875,-5.4432077,5.9175525
1582687089084,5.820326,-5.3206005,5.8933697
1582687089134,5.881119,-5.2850933,5.69276
1582687089184,5.9558096,-5.2967114,5.6517487
1582687089234,6.025402,-5.12658,5.5725994
1582687089284,6.232151,-5.119631,5.7575006
1582687089334,6.4747953,-5.2198806,6.132103
1582687089383,6.4426355,-5.040575,6.035357
1582687089434,6.33506,-5.0516615,5.6612535
1582687089484,6.4133863,-5.0531874,5.8234096
1582687089533,6.205144,-5.0161257,5.6545067
1582687089584,6.085215,-5.2087326,5.617036
1582687089634,6.0520597,-5.4659576,5.7448664
1582687089684,6.0202074,-5.3174467,5.943837
1582687089734,6.114045,-5.219755,5.7812366
1582687089784,6.084911,-5.0765557,5.7510543
1582687089834,6.149848,-5.2901,5.7502375
1582687089884,6.1418104,-5.3778563,5.742878
1582687089934,6.151927,-5.223973,5.7651796
1582687089984,6.1663237,-5.245679,5.733655
1582687090034,6.123815,-5.175993,5.732602
1582687090084,6.0426254,-5.2984586,5.7240963
1582687090134,6.0299015,-5.2239437,5.7093763
1582687090184,6.086754,-5.441621,5.6754885
1582687090234,6.1458874,-5.405436,5.711816
1582687090283,6.188031,-5.3231893,5.660945
1582687090334,6.2121496,-5.2753124,5.68524
1582687090383,6.1450295,-5.2256417,5.542341
1582687090434,6.181254,-5.3605776,5.6512938
1582687090484,6.136443,-5.2854867,5.6927547
1582687090534,6.099167,-5.3980427,5.6810503
1582687090584,6.0995846,-5.3999443,5.4760475
1582687090634,6.207661,-5.443115,5.4772873
1582687090684,6.290388,-5.373688,5.6100287
1582687090734,6.237143,-5.2440977,5.612254
1582687090784,6.1677575,-5.307725,5.5877986
1582687090834,6.156285,-5.4446125,5.631038
1582687090883,6.0562944,-5.3216376,5.6420155
1582687090934,5.8717327,-5.445546,5.453861
1582687090984,6.0391693,-5.4928417,5.442726
1582687091034,6.4897213,-5.4129405,5.5087447
1582687091084,6.608562,-5.146118,5.486602
1582687091133,6.34951,-5.4490166,5.5463657
1582687091184,6.377548,-5.1357207,5.522642
1582687091234,6.315078,-4.875172,5.7581525
1582687091283,6.3468,-5.0302734,5.414742
1582687091334,6.535119,-5.618144,5.122029
1582687091383,6.5417986,-5.2973394,5.4222364
1582687091434,6.416525,-4.7947903,5.796881
1582687091484,6.3499737,-5.063587,5.6771326
1582687091534,6.4656487,-5.0758944,5.553685
1582687091583,6.373701,-5.0665126,5.608683
1582687091634,6.3184376,-5.2234044,5.6392784
1582687091684,6.361328,-4.985943,5.634491
1582687091734,6.3588095,-5.1559877,5.637005
1582687091783,6.3864098,-5.106727,5.5401974
1582687091834,6.4506254,-4.965206,5.635659
1582687091884,6.4586277,-4.9771185,5.6708317
1582687091934,6.3494134,-4.8199444,5.675953
1582687091984,6.4542694,-5.142393,5.7229605
1582687092034,6.4077086,-5.239417,5.689756
1582687092084,6.388456,-4.978928,5.5560875
1582687092134,6.375116,-4.864838,5.77287
1582687092184,6.346109,-5.072055,5.659254
1582687092234,6.3840485,-5.085005,5.663728
1582687092284,6.391647,-5.0957747,5.5247703
