Time,accX,accY,accZ
1582687122471,6.1723747,-5.5941315,5.3210998
1582687122522,6.1501493,-5.591703,5.3026614
1582687122571,6.147482,-5.6287045,5.3375335
1582687122621,6.1346374,-5.6182632,5.361575
1582687122671,6.133939,-5.6034303,5.3521056
1582687122721,6.1682863,-5.5747604,5.348083
1582687122771,6.1332674,-5.61471,5.412195
1582687122822,6.1666427,-5.5651703,5.344226
1582687122872,6.1762433,-5.5719194,5.33116
1582687122921,6.1641207,-5.5690937,5.31213
1582687122971,6.171189,-5.626226,5.373833
1582687123021,6.156965,-5.570751,5.3310027
1582687123072,6.1970496,-5.6048827,5.319812
1582687123121,6.194989,-5.582518,5.316608
1582687123171,6.1741266,-5.589695,5.313856
1582687123222,6.183811,-5.6317635,5.2928357
1582687123271,6.173529,-5.6183853,5.27691
1582687123321,6.1953764,-5.5928097,5.264139
1582687123372,6.1988816,-5.617707,5.3164773
1582687123421,6.178552,-5.5784583,5.2999663
1582687123471,6.2165236,-5.5926485,5.2737646
1582687123522,6.1915803,-5.5842066,5.264449
1582687123572,6.1738324,-5.66482,5.2554116
1582687123622,6.1785874,-5.61607,5.2682242
1582687123672,6.2029395,-5.613675,5.283007
1582687123722,6.2013407,-5.617183,5.294178
1582687123771,6.187699,-5.5917783,5.2746778
1582687123822,6.1918764,-5.6446204,5.2856565
1582687123872,6.1531568,-5.598167,5.2927084
1582687123922,6.214897,-5.401329,5.356506
1582687123971,6.5609884,-4.2432017,5.697785
1582687124021,7.91673,-1.341307,7.0382543
1582687124071,9.809485,-0.11850309,5.645316
1582687124122,13.184655,2.221971,7.2446113
1582687124172,15.436424,2.4353116,6.898629
1582687124221,20.814247,1.1986971,3.969154
1582687124272,21.639717,-2.3516748,4.63211
1582687124321,21.279728,-3.1237807,7.705865
1582687124371,19.336224,-5.290382,8.099294
1582687124421,16.648043,-8.816869,6.298611
1582687124471,15.289082,-4.566086,2.020005
1582687124521,11.099289,-4.195098,-2.581856
1582687124572,7.631349,-2.7854013,-2.7164187
1582687124621,4.8744025,2.7807293,-2.7776945
1582687124672,1.0849411,6.2183943,-3.7168071
1582687124721,-2.3560915,7.4122705,0.8695574
1582687124771,0.95609283,8.066884,3.0500283
1582687124822,5.812626,7.150284,3.981346
1582687124872,10.774654,6.0436664,5.702722
1582687124921,15.1062565,2.9737837,10.638661
1582687124972,16.933191,4.9749765,14.951243
1582687125022,19.852072,5.326722,16.224375
1582687125072,20.197996,1.2817342,17.39478
1582687125121,18.862297,-4.926452,15.11669
1582687125172,16.84636,-1.5765312,11.934665
1582687125222,14.546542,-4.261152,10.428123
1582687125272,11.145124,-5.8373775,7.3650646
1582687125322,7.924739,-6.2994027,4.527026
1582687125371,6.9955845,-7.7085233,2.509247
1582687125422,8.684111,-4.060096,1.4281437
1582687125471,7.355195,-0.97772205,0.38782135
1582687125521,5.4817896,2.3017275,1.223525
1582687125571,3.2971573,3.6037781,1.4448161
1582687125621,1.904176,5.905187,4.6546755
1582687125671,2.492447,8.122337,8.216259
1582687125721,5.165125,9.418008,7.4557314
1582687125771,8.19685,9.1971,8.3074665
1582687125821,10.698162,5.5693026,9.889819
1582687125872,15.046955,4.05261,10.604188
1582687125921,18.15805,6.7839985,8.547422
1582687125971,18.70673,2.371991,9.374405
1582687126021,16.140873,-8.840004,13.723642
1582687126072,17.447521,-3.8845057,12.42251
1582687126121,16.849636,-9.541005,12.309039
1582687126172,13.612222,-5.0807557,10.443818
1582687126222,12.854467,-4.496152,8.782841
1582687126271,12.500245,-8.220609,7.776553
1582687126322,10.905967,-9.01063,4.048178
1582687126372,9.817877,-4.853999,0.8756398
1582687126422,8.825011,-1.3572274,-1.665646
1582687126472,5.9807158,1.7482201,-1.7873325
1582687126521,4.403879,4.1349554,0.40103382
1582687126571,2.337394,5.091647,4.382497
1582687126621,1.3818645,8.730522,6.5334125
1582687126671,3.1328878,9.877145,7.1198816
1582687126722,4.9105115,8.186597,6.134525
1582687126772,7.5085483,5.5871286,6.742079
1582687126821,11.506566,4.5879993,6.2574816
1582687126872,14.989683,2.8245935,8.410767
1582687126921,17.669474,0.9360369,10.748916
1582687126972,18.603907,1.6883298,10.597469
1582687127021,17.327265,-0.56457597,12.076843
1582687127071,14.52234,-2.564038,12.1024885
1582687127121,12.6264305,-3.0190876,10.521181
1582687127171,10.941012,-2.1205227,9.429885
1582687127221,10.662587,-0.9323325,10.57412
1582687127272,11.491033,-1.0837824,13.296126
1582687127321,12.799231,-0.72407687,13.5519285
1582687127372,11.872962,-0.7833011,8.403016
1582687127421,10.44791,-1.5613797,3.8448782
1582687127472,8.370808,-1.0241227,1.7082424
1582687127522,6.6490607,0.9237992,0.028849587
1582687127571,3.3941567,1.1845498,2.662294
1582687127622,1.8985374,1.5714992,3.5027018
1582687127672,1.3145287,2.6223395,4.3201003
1582687127722,1.7181522,1.7199546,4.4587593
1582687127771,3.214693,0.023847505,5.1380687
1582687127821,3.985612,-0.2338857,4.899855
1582687127871,5.38238,-0.27666402,5.0254636
1582687127922,7.2896934,-8.270495,4.485908
1582687127972,9.115805,-13.253371,3.976793
1582687128021,9.528289,-13.672151,2.7355156
1582687128071,9.8794985,-11.728831,2.6346972
1582687128121,11.606237,-9.622918,1.8095852
1582687128171,11.554719,-6.763137,1.8199062
1582687128221,9.630127,-6.3053837,2.083588
1582687128272,8.505581,-5.7724338,0.8074056
1582687128321,10.136675,-6.748736,1.5102836
1582687128372,6.5113792,-3.8735077,13.922602
1582687128421,5.297477,-2.6438284,2.8325124
1582687128472,7.091747,-7.85926,0.7219195
1582687128521,8.383576,-8.540064,-0.7005571
1582687128571,7.828083,-6.6023517,-1.6073072
1582687128621,7.3085923,-6.2849493,1.1547709
1582687128671,7.0183496,-6.5978327,0.3835268
1582687128721,7.1685934,-6.882449,0.00491485
1582687128771,7.181653,-6.7926188,0.49360603
1582687128822,7.0835934,-7.2946672,0.44614208
1582687128872,6.8139906,-7.111146,0.30423433
1582687128921,6.533579,-6.17418,1.2364415
1582687128972,6.5141273,-5.906735,1.2361232
1582687129021,7.616199,-6.158703,0.9382626
1582687129072,10.395259,-7.330569,0.7207267
1582687129122,12.060861,-6.581365,-0.9094422
1582687129171,12.640738,-5.6563644,-3.1663153
1582687129221,10.9268875,-3.6318705,-2.2052393
1582687129271,10.437937,-1.8454673,-1.6424463
1582687129321,12.260821,-2.3527405,-2.9074018
1582687129372,13.051162,-1.9246675,-2.6623998
1582687129421,11.825929,-1.3099421,-1.4536941
1582687129472,8.8393755,-1.3193735,0.42426723
1582687129522,6.323666,-0.13258782,0.8958955
1582687129572,5.655184,-0.2488768,0.5729306
1582687129621,6.113726,-0.8468955,0.8617759
1582687129671,7.7595673,-0.86457354,-0.04897008
1582687129722,8.750528,-1.5872287,0.949484
1582687129771,9.838071,-0.7505708,0.582646
1582687129822,10.346926,-0.96945226,-0.19402209
1582687129871,13.353826,-0.7293011,-1.902388
1582687129922,11.739119,0.075506106,-2.2041228
1582687129971,10.368356,-0.052995134,-0.9418074
1582687130022,9.8132105,-0.8803394,-0.37482774
1582687130071,9.155043,-1.3708667,-1.2632592
1582687130121,9.764863,-0.90385747,-0.64677525
1582687130171,10.332159,-0.8469371,-0.29763418
1582687130221,10.537606,-0.84868664,0.2512606
1582687130272,10.367186,-0.51707083,0.87424767
1582687130321,10.107325,0.5069343,0.74908745
1582687130371,10.747735,0.5564954,0.24427861
1582687130422,11.732057,-0.57629144,0.5023551
1582687130471,13.451386,-1.5342026,-0.6096294
1582687130521,11.287555,-2.1193008,-2.7068844
1582687130571,9.317961,-0.6964835,-2.2865252
1582687130621,8.333578,-0.54738545,-0.28341675
1582687130671,7.859012,-1.6048737,-0.31458688
1582687130722,8.20774,-1.4090247,-1.7723384
1582687130771,8.880552,-1.428722,-1.6878409
1582687130822,8.465829,-1.6254007,-1.1262989
1582687130871,9.718899,-1.5523274,-1.0350785
1582687130922,12.256089,-1.6095237,-1.7533151
1582687130971,13.870382,-1.2099053,-2.4423175
1582687131021,11.964771,-1.8326068,-2.1313283
1582687131072,11.549063,-1.9279003,-2.570212
1582687131121,9.643035,-1.0881703,-2.8827946
