Time,rotX,rotY,rotZosboxe
1582687408246,-0.2384353,-0.07386312,-0.18762283
1582687408296,-0.4148142,0.74422413,0.95306027
1582687408347,-0.9129098,1.2690479,1.8628187
1582687408397,-1.5363216,1.3997059,2.2338862
1582687408446,-1.8212293,1.0050858,2.1716623
1582687408496,-1.436681,0.4726814,1.9882224
1582687408546,-0.32167846,0.2387214,1.69394
1582687408596,0.44795313,0.13909939,1.2792655
1582687408646,0.88549817,0.07475229,0.8509837
1582687408697,0.4347491,0.029951332,0.5529567
1582687408746,-0.88178825,-0.0027949426,0.3386863
1582687408796,-1.3037822,-0.0025165563,0.31608438
1582687408847,-1.1219708,0.015585767,0.27506432
1582687408896,-1.3006223,-0.22713502,0.100231715
1582687408946,-1.2101339,-0.42160153,-0.20165172
1582687408996,-0.697429,-0.30876958,-0.462294
1582687409047,0.3289983,-0.033413857,-0.674935
1582687409096,1.477445,0.19318981,-1.2129484
1582687409147,2.9663744,0.22841278,-2.1204042
1582687409196,3.5388525,-0.30678275,-2.7903168
1582687409247,1.5423118,-1.6160079,-3.3263736
1582687409296,0.7115119,-2.3226347,-3.0417984
1582687409347,-0.22587906,-2.5971308,-2.5029953
1582687409396,0.18195726,-2.554568,-2.2144656
1582687409447,0.92358714,-2.2262084,-2.0048432
1582687409496,1.4314667,-1.9099443,-1.6051366
1582687409547,1.2399092,-1.5231731,-1.2664417
1582687409597,0.8739884,-1.3227557,-0.9450273
1582687409646,0.060050014,-1.0320097,-0.52399176
1582687409697,-0.086924195,-0.57135636,-0.18435706
1582687409747,-0.1429929,0.082455546,0.04990208
1582687409797,-0.13763765,0.14499801,0.024583176
1582687409846,-0.13080761,0.052904576,0.014504355
1582687409897,-0.06868163,0.021542685,0.04763459
1582687409946,-0.016424138,-0.010518682,0.014253135
1582687409996,-0.02442769,0.012775528,-0.004594202
1582687410047,-0.057018243,0.048400056,-0.01971653
1582687410096,-0.14956224,0.052405175,-0.01696343
1582687410147,-0.12507924,0.060713734,-0.0065683126
1582687410196,-0.081255026,0.04359431,-2.0653568E-4
1582687410246,-0.0065116184,0.03620926,-0.0047615934
1582687410297,-0.005573497,0.012485702,-0.019592226
1582687410347,0.006387933,0.011488124,-0.011448886
1582687410397,-0.042600576,0.019016208,-0.03462653
1582687410446,-0.03981407,0.021769907,-0.03191464
1582687410496,-0.05316032,0.021248039,-0.0066662403
1582687410546,-0.053455908,0.02272733,0.019222964
1582687410596,-0.03430498,0.024325449,0.009257293
1582687410647,-3.4166407E-4,0.019138947,0.011439116
1582687410697,-0.01197816,-0.0082016075,0.019077472
1582687410747,-0.01042797,0.0075566946,0.01172885
1582687410796,-0.044761647,0.008055846,0.013420927
1582687410846,-0.019334983,0.0010330128,0.020466283
1582687410896,-0.037891887,0.0038570745,-0.011271179
1582687410946,-0.07860868,0.0030213897,-0.01637379
1582687410996,-0.03546891,-0.00153233,-0.012971141
1582687411046,-3.9178086E-4,4.9527246E-4,-0.011283772
1582687411096,-0.03606757,4.6612392E-4,0.01515904
1582687411146,-0.016045356,-0.0063863844,-0.0012897681
1582687411196,-0.020270184,-0.0030966827,-0.013827771
1582687411246,-0.0076030707,-0.002763491,-0.025008615
1582687411296,-0.029926028,-0.0035186245,-0.014980721
1582687411346,-0.024372466,0.0010095856,-8.18396E-4
1582687411396,-0.038620472,0.008211532,0.015887767
1582687411447,-0.04710731,0.007482541,0.015031501
1582687411496,-0.04997482,0.03433475,0.006665563
1582687411547,-3.56582E-4,0.050030373,0.026366305
1582687411596,0.036713623,0.07780325,0.07599081
1582687411647,0.05846681,0.10283124,0.14075048
1582687411696,0.052589677,0.07495546,0.1473253
1582687411746,0.04046495,0.13238713,0.10568349
1582687411796,-0.056948416,0.12974472,0.108362794
1582687411846,-0.050310872,0.036896154,0.0407831
1582687411896,-0.06890578,0.01675801,0.020894561
1582687411947,-0.033735685,0.09240691,0.043145552
1582687411996,-0.06747922,0.124632314,0.052214798
1582687412046,-0.07776207,0.13397759,0.026147623
1582687412096,-0.060986225,0.10206208,0.010152689
1582687412147,-0.075486206,0.09859021,0.055807706
1582687412197,-0.074751996,0.10182723,0.07026777
1582687412247,-0.049197633,0.0794027,0.05024218
1582687412297,0.017676879,0.049392056,0.018582843
1582687412346,-0.013195599,0.014459419,0.013298471
1582687412397,-0.007694266,0.02666177,0.00836464
1582687412446,-0.038098007,0.08122593,0.02989721
1582687412496,-0.10955376,0.19869433,0.08227774
1582687412546,-0.16680042,0.31997868,0.14414065
1582687412596,-0.4028965,0.49173963,0.34205174
1582687412646,-1.1043993,0.75142306,0.79245526
1582687412697,-1.3870119,1.0739772,1.231985
1582687412746,-1.6414808,1.2522355,1.651552
1582687412796,-2.3150802,1.0542248,2.1257617
1582687412846,-2.0632145,0.9084419,2.5597868
1582687412896,-1.5954458,0.585444,2.7378426
1582687412947,-1.37037,0.3554229,2.7102675
1582687412997,-1.5086025,0.07531981,2.5402417
1582687413047,-1.2628844,-0.17452817,2.197792
1582687413096,-1.1479685,-0.31510106,1.7961011
1582687413147,-1.2446386,-0.39007857,1.3699373
1582687413197,-1.046721,-0.4747748,0.95926666
1582687413246,-0.7425819,-0.41571,0.60988826
1582687413296,-0.75276685,-0.3540759,0.40563098
1582687413347,-0.65638494,-0.25550917,0.277496
1582687413397,-1.069641,-0.2672307,0.12425729
1582687413446,-0.99433,-0.39245203,0.035646338
1582687413497,-0.5612454,-0.31995827,0.1003082
1582687413546,-0.99401027,-0.39179382,0.22886433
1582687413597,-0.86055887,-0.36169824,0.2754869
1582687413647,-0.8366502,-0.19851829,0.20940392
1582687413696,-0.26266864,-3.8357615E-4,0.012074565
1582687413747,0.09276787,0.23003355,-0.19492662
1582687413796,0.14428201,0.4704362,-0.2478754
1582687413847,0.14462769,0.53742206,-0.23974021
1582687413897,0.22940269,0.41566148,-0.23753501
1582687413946,0.4880487,0.24083626,-0.21139833
1582687413996,0.47196728,0.10006413,-0.20362303
1582687414046,0.4631723,0.03463936,-0.1958438
1582687414096,0.050320182,-0.009748254,-0.14935641
1582687414146,6.5123197E-4,-0.023497073,-0.101131774
1582687414197,0.15713221,-0.008123794,-0.058410514
1582687414246,0.17583372,0.0050230194,-0.025268111
1582687414297,0.17372328,0.008267984,-0.029603347
1582687414346,0.24563551,0.036483675,-0.07217997
1582687414396,0.21615402,0.08946607,-0.115036525
1582687414447,0.022863317,0.11281639,-0.12797868
1582687414496,-0.031068392,0.10450131,-0.10296114
1582687414546,0.04757789,0.097303495,-0.10076711
1582687414597,0.1024065,0.085886545,-0.10672415
1582687414646,0.26629606,0.10471459,-0.15159212
1582687414696,0.5848083,0.18060729,-0.266357
1582687414746,1.0703336,0.34983802,-0.46075934
1582687414797,1.5639045,0.5308783,-0.74352306
1582687414847,1.9619786,0.5469901,-1.0826563
1582687414897,1.985253,0.49915123,-1.4495524
1582687414947,1.6593761,0.37147897,-1.6766958
1582687414996,1.4797621,0.118457265,-1.7557665
1582687415047,1.1491754,-0.09607089,-1.731433
1582687415096,1.1468,-0.24303001,-1.6374435
1582687415146,1.2585973,-0.31703386,-1.5414813
1582687415196,1.3281267,-0.4282689,-1.4651315
1582687415247,0.9123345,-0.45231077,-1.3263471
1582687415296,0.80435926,-0.44233108,-1.3170244
1582687415346,0.6850248,-0.40546635,-1.1572454
1582687415397,0.3964343,-0.40643543,-0.91123235
1582687415446,0.4259294,-0.5260996,-0.6963617
1582687415496,0.2823544,-0.6365365,-0.63896143
1582687415546,0.5088656,-0.68452924,-0.64161015
1582687415596,0.53437257,-0.70441866,-0.4991663
1582687415647,0.3416777,-0.6843142,-0.32633823
1582687415697,0.3342236,-0.59216845,-0.1075282
1582687415746,0.20691451,-0.53236914,0.0021163058
1582687415797,0.09084319,-0.42682403,0.008235907
1582687415847,-0.004348941,-0.25518167,0.029874615
1582687415896,0.32935706,-0.13487479,-0.038791165
1582687415947,0.29448092,-0.12631583,-0.058269076
1582687415996,0.23624164,-0.10924359,-0.09985579
1582687416046,0.2851407,-0.06021896,-0.14538829
1582687416097,0.23177855,-0.005811166,-0.20116453
1582687416146,0.28548536,0.047357094,-0.20045963
1582687416197,0.08709009,-0.02320089,-0.13691248
1582687416246,-0.14289361,-0.11690163,-0.1858459
1582687416297,-0.15493916,-0.13242784,-0.1284256
1582687416347,-0.20926204,-0.121999785,-0.021837216
1582687416397,-0.08508514,-0.07454385,-0.007142348
1582687416446,0.046646364,-0.09469181,-0.013889741
1582687416497,0.014499768,-0.05598283,-0.017542586
1582687416547,-0.0018967884,-0.03354613,-0.05887022
1582687416596,-0.030984841,-0.011950189,-0.051373657
1582687416647,-0.049184293,0.023231892,-0.014248164
1582687416697,-0.026696872,0.013020682,-3.0127773E-4
1582687416747,-0.06086301,0.03131932,0.050095636
1582687416796,-0.040763386,0.043960676,0.068678476
1582687416846,-0.015308656,0.031268526,0.036143534
1582687416896,-0.035822626,-0.011783581,0.02112725
1582687416946,-0.03064157,-0.023334425,0.018804725
1582687416996,0.036382176,-0.045695957,-0.0030147824
1582687417046,0.045982473,-0.041535154,-0.04418249
1582687417096,0.023126483,-0.013207352,-0.06318085
1582687417146,-0.023847803,0.00143705,-0.046728756
1582687417197,0.023522243,-0.009306025,-0.06815795
1582687417247,0.023205023,-0.05428219,-0.08913505
1582687417296,0.021088108,-0.08046999,-0.14278081
1582687417346,0.043518487,-0.07936654,-0.16328672
1582687417397,0.11891508,-0.047128834,-0.21493705
1582687417446,0.12488444,-0.0048314445,-0.28523782
1582687417497,0.19164903,0.012628663,-0.27693766
1582687417546,0.3497018,0.01308927,-0.27600566
1582687417596,0.27940723,6.2977825E-4,-0.25927693
1582687417646,0.15350297,-0.0105787525,-0.23312338
1582687417696,0.13801229,-0.018053906,-0.23790143
1582687417746,0.053974096,-0.0196151,-0.21384883
1582687417797,-0.009458373,-0.029584797,-0.17612681
1582687417846,0.045925427,-0.018975515,-0.12810454
1582687417896,0.0127709,-0.011216996,-0.072647035
1582687417946,0.03644802,5.1157386E-4,-0.027685888
1582687417996,0.04657928,-0.0022541943,0.0066355616
1582687418046,0.010782549,-0.0065786336,0.02588356
1582687418097,-0.039884496,0.0045011966,0.051742274
1582687418146,-0.025784995,0.035452064,0.09530345
1582687418197,-0.04353437,0.04138921,0.1061249
