Time,rotX,rotY,rotZosboxe
1582686622921,-0.7951274,1.5533644,-1.1031243
1582686622971,-0.72555053,1.017254,0.046926286
1582686623021,-0.59119266,0.51010156,0.9717354
1582686623072,-0.28189358,0.051871292,1.482357
1582686623122,0.31389794,-0.27039802,1.485866
1582686623171,0.38488948,-0.4269859,1.3642558
1582686623222,0.32883593,-0.47380596,1.2185084
1582686623272,0.3483578,-0.34795758,0.976814
1582686623322,-0.15961605,-0.11922751,0.7254927
1582686623372,-0.26309508,-0.00892111,0.49862358
1582686623422,-0.58997,0.06476771,0.40178758
1582686623471,-0.30364975,0.29247135,0.26993194
1582686623522,0.20603901,0.37498128,0.055345748
1582686623572,0.0071686218,0.15882999,-0.079121605
1582686623621,-0.17122503,-0.35873544,-0.16327186
1582686623672,0.5974189,-0.8716385,-0.25417686
1582686623721,1.9787922,-1.5244133,-0.33013925
1582686623771,1.5537567,-1.9522109,-0.20308797
1582686623821,1.4551374,-2.0912266,-0.040838357
1582686623871,1.5279218,-1.905967,-0.047179867
1582686623922,1.6992769,-1.4954493,-0.07150263
1582686623971,1.1595446,-1.0792856,-0.090332426
1582686624022,0.95901424,-0.7694086,0.033044513
1582686624071,0.8630369,-0.6235435,0.18653516
1582686624121,0.95141536,-0.63677645,0.22118388
1582686624172,0.37870747,-0.61543417,0.19018224
1582686624222,0.057674013,-0.4596778,0.09175491
1582686624271,-0.9120325,-0.22276151,-0.012233737
1582686624321,-0.95663226,-0.13208121,-0.037110068
1582686624372,-0.5253528,-0.1520199,0.029614668
1582686624421,-0.6870579,-0.17874432,0.057128724
1582686624471,-0.49485162,-0.14380875,0.01695608
1582686624521,-0.018415496,-0.15973324,0.044018652
1582686624572,0.076884665,-0.071686454,0.049972266
1582686624621,-0.117197596,0.106427416,0.052670028
1582686624671,-0.47010908,0.5161913,0.08902282
1582686624721,-0.31548795,1.089983,0.3047517
1582686624771,-0.9886265,1.4173615,0.5455037
1582686624821,-0.9842977,1.4947921,0.8076342
1582686624872,-0.53471273,1.6336787,1.2060087
1582686624921,-0.6581563,1.5405269,1.6298982
1582686624972,0.29133478,1.110663,1.7025678
1582686625021,1.3865712,0.43620312,1.5541446
1582686625072,1.5410076,-0.09964792,1.2398536
1582686625121,1.7549999,-0.43386018,0.7969389
1582686625171,1.1106808,-0.48035383,0.34442598
1582686625221,-0.09372284,-0.2535008,-0.0082074655
1582686625272,-2.5363867,-0.08573468,-0.16768453
1582686625321,-1.5491828,0.09913235,-0.1000658
1582686625371,-0.88030183,0.41016197,0.1359566
1582686625421,-0.44254515,1.0576205,0.107561424
1582686625471,-0.26760313,2.0441172,0.37546566
1582686625521,-3.1633801,2.959456,0.6763068
1582686625571,-5.7683706,3.9612005,1.7003872
1582686625622,-0.38176742,3.344989,2.859087
1582686625671,6.2670336,1.6961641,3.583807
1582686625721,5.2918234,0.3956602,4.328491
1582686625771,3.2657225,-1.1269872,4.5400143
1582686625822,0.04674516,-2.1957872,3.7886584
1582686625871,-2.4886987,-2.3435428,1.6571398
1582686625922,-1.7120744,-1.7479572,-0.2977242
