Time,rotX,rotY,rotZosboxe
1582687077496,0.24177854,-0.6796964,0.25054714
1582687077546,0.34389627,-0.14109096,0.087405935
1582687077596,0.060712792,0.63853025,-0.4406783
1582687077646,-1.3193204,0.9249775,-1.8796751
1582687077697,-1.5836418,0.22095765,-3.8589334
1582687077747,1.3713509,-1.403053,-5.113808
1582687077796,4.179028,-1.8379296,-5.9641857
1582687077846,4.094687,-1.5128409,-6.8849506
1582687077897,-0.13177314,-1.5377941,-8.314728
1582687077947,-4.1986613,0.5401379,-7.3203154
1582687077997,-6.171328,3.5249753,-2.929253
1582687078046,-2.852106,4.247279,0.8393335
1582687078096,-1.3829125,4.787403,2.1885133
1582687078146,-1.5290205,4.751639,2.2937388
1582687078196,-3.5255713,3.275439,2.9503653
1582687078246,-4.169765,-0.18266639,4.025427
1582687078296,-2.584784,-3.3890228,3.93181
1582687078346,0.88441175,-3.1511202,2.5199506
1582687078396,3.0965548,-2.1881657,0.61002684
1582687078446,0.5925183,-2.5809674,-0.93308526
1582687078497,-0.08163132,-3.5477965,-2.7259598
1582687078547,0.8149593,-4.4574156,-4.428082
1582687078596,0.69975007,-4.802074,-5.320317
1582687078647,-2.6068895,-2.98962,-4.761609
1582687078697,-3.7824378,-0.85413295,-3.330746
1582687078747,-2.354741,0.78535825,-1.3976291
1582687078797,-3.24773,1.8381002,0.70023084
1582687078846,-2.1944256,2.7235756,1.5048071
1582687078897,-0.64158154,3.013456,2.0897598
1582687078946,-0.48031634,2.6909478,2.5126004
1582687078996,-0.38209605,2.4838362,2.8000379
1582687079046,-1.2433397,1.9960163,3.4517217
1582687079096,-1.9185956,1.17259,3.9627976
1582687079147,-1.830724,-0.2786228,3.8768158
1582687079197,-1.6135209,-2.0901635,3.3334124
1582687079246,-0.40042162,-3.3729427,1.940915
1582687079296,1.2295445,-2.8244386,0.31677645
1582687079346,0.9163048,-2.3557649,-0.7191877
1582687079397,1.2460177,-2.6345139,-1.7503366
1582687079446,2.0237966,-3.503915,-2.7226608
1582687079497,1.3233914,-3.6033404,-3.2981863
1582687079546,-0.53733325,-2.8752356,-3.5451522
1582687079596,-1.597156,-1.95073,-3.625031
1582687079647,-2.155576,-0.85904,-3.3617961
1582687079696,-3.080302,0.5531148,-2.2400265
1582687079746,-2.5303302,1.317712,-1.467472
1582687079797,-1.6802385,1.7330265,-0.4691073
1582687079846,-2.2255883,2.0263462,1.0260451
1582687079896,-1.4706889,2.1573977,1.9366691
1582687079946,-0.2808932,2.4936748,2.4862866
1582687079996,0.06898665,2.5977647,3.007931
1582687080046,-0.679595,2.651834,3.6964269
1582687080097,-2.1456175,2.4243567,4.573329
1582687080146,-2.322117,0.1667948,4.5656743
1582687080196,-1.4275287,-2.211342,3.7012696
1582687080247,-0.17330578,-2.9444184,2.2023127
1582687080296,0.68227893,-2.5825062,0.58206624
1582687080346,0.34923476,-2.8347604,-0.40451306
1582687080397,0.8848268,-2.8288682,-1.430213
1582687080447,2.3892562,-3.6011167,-2.567486
1582687080496,2.3078814,-4.214007,-3.043
1582687080546,-0.24481618,-3.55533,-3.2117696
1582687080596,-2.1630056,-2.2837436,-3.3549526
1582687080647,-2.2280204,-0.84555244,-3.3157694
1582687080696,-2.3706813,0.2195941,-2.9004374
1582687080746,-2.6502469,0.9540905,-2.0180311
1582687080796,-2.6245546,1.6619064,-0.5347746
1582687080847,-2.812389,2.2100585,0.8662758
1582687080897,-1.9741173,2.4611623,1.4576175
1582687080946,-1.1817105,2.297961,1.9685173
1582687080996,-1.1895132,1.8466219,2.589951
1582687081046,-1.6534773,1.2327671,3.0856683
1582687081097,-1.5147697,0.5289018,3.023186
1582687081147,-0.79975235,-0.051777277,2.6881764
1582687081197,-0.7613782,-0.5790884,2.5397542
1582687081247,-0.35277128,-1.3772308,2.1376946
1582687081296,0.6303374,-2.064748,1.4452353
1582687081347,0.55159193,-2.2037864,1.0859469
1582687081397,0.44356093,-2.2122433,0.50461745
1582687081534,0.9368476,-2.8311553,-1.7377288
