Time,accX,accY,accZ
1582686101421,-7.0947227,-2.7350435,6.0448146
1582686101472,-7.157419,-2.8045263,6.055192
1582686101521,-7.106699,-2.7614138,6.071573
1582686101571,-7.120211,-2.794414,6.055374
1582686101621,-7.103893,-2.8033316,6.1047935
1582686101672,-7.0764093,-2.7634869,6.133161
1582686101721,-7.079278,-2.8112233,6.1229696
1582686101771,-7.085818,-2.8007379,6.067406
1582686101822,-7.123149,-2.7865155,6.050021
1582686101871,-7.129658,-2.96406,6.0255604
1582686101921,-7.0572844,-2.5648346,5.993546
1582686101971,-6.932404,-2.8647382,6.091644
1582686102021,-6.9669747,-3.8419518,5.90305
1582686102071,-6.987953,-3.3438504,5.8161144
1582686102122,-7.130113,-2.8094878,6.550839
1582686102171,-7.0397453,-3.176839,6.2315297
1582686102222,-7.15793,-2.3080232,6.0099983
1582686102271,-7.2047224,-3.0495605,5.8791556
1582686102322,-6.980705,-1.8301741,6.4267116
1582686102371,-6.996612,-1.9771218,6.5506754
1582686102422,-6.9074693,-2.289204,6.7936554
1582686102471,-6.9021587,-3.3419232,6.1523337
1582686102521,-7.072326,-3.1538696,5.7200594
1582686102571,-7.0845737,-2.8150437,6.007886
1582686102621,-7.0673943,-3.003731,5.8280087
1582686102672,-7.0226073,-2.4072409,6.0112424
1582686102722,-7.0050335,-2.7916214,6.1121426
1582686102772,-6.96599,-2.7673464,6.3352575
1582686102821,-6.913671,-3.0487616,6.54539
1582686102871,-6.8979616,-2.9615715,6.387063
1582686102922,-7.026708,-2.852431,6.0847893
1582686102972,-7.0683117,-2.7030041,5.9923234
1582686103022,-7.0231037,-2.906665,6.1513324
1582686103071,-6.956965,-3.1679835,6.0918465
1582686103122,-6.9773097,-3.036943,6.139268
1582686103171,-6.945494,-3.084528,6.105756
1582686103221,-6.9661994,-3.2092319,5.9428363
1582686103272,-6.913398,-3.295202,5.685225
1582686103321,-6.927601,-3.1262894,5.8482065
1582686103372,-6.9914474,-2.8610435,6.634597
1582686103421,-6.8511653,-2.0281596,7.1369476
1582686103471,-6.859051,-2.0213137,6.5540137
1582686103521,-7.0133963,-2.0003035,6.564032
1582686103571,-6.9177947,-1.8651751,7.115767
1582686103621,-6.866311,-2.1826494,6.83834
1582686103671,-6.9699655,-1.7188039,6.8334455
1582686103721,-6.997853,-2.1166143,6.8101335
1582686103771,-7.011771,-2.1782408,6.8348594
1582686103822,-6.958412,-2.0289905,6.4369755
1582686103872,-6.8366385,-2.0832782,6.6240344
1582686103921,-6.9511523,-2.3283954,6.3799357
1582686103971,-6.8433146,-3.058563,5.817423
1582686104021,-6.9086137,-2.73587,5.455201
1582686104072,-7.0458965,-1.8817039,5.7012715
1582686104122,-7.196339,-2.869478,6.6085525
1582686104171,-7.0108232,-2.9687,5.980755
1582686104221,-6.9335055,-2.6074772,5.860746
1582686104271,-7.047761,-1.2318707,6.8798833
1582686104322,-6.5267844,-1.9646854,7.750848
1582686104371,-6.6177835,-3.2788491,6.8955793
1582686104422,-6.698241,-2.2091756,6.908333
1582686104471,-6.7997837,-3.0796785,6.779004
1582686104522,-6.8546968,-2.0568514,6.473103
1582686104571,-6.864938,-2.2190678,6.1225514
1582686104621,-6.8768516,-2.6197896,6.342857
1582686104671,-6.8650146,-2.4108427,6.533882
1582686104722,-6.879247,-2.2933238,6.57292
1582686104772,-6.8693414,-2.2840705,6.597099
1582686104821,-6.8711567,-2.266901,6.6056385
1582686104871,-6.8370485,-2.3770149,6.599924
1582686104922,-6.8698015,-2.4193988,6.655757
1582686104972,-6.839875,-2.2972076,6.5800753
1582686105021,-6.920016,-2.2439635,6.629111
1582686105072,-6.895296,-2.3303897,6.6469398
1582686105121,-6.8559585,-2.193231,6.5065575
1582686105172,-6.909602,-2.2144418,6.5666127
1582686105222,-6.83446,-2.2235084,6.650484
1582686105271,-6.850551,-2.1052938,6.7276793
1582686105321,-6.865113,-2.0754232,6.6603823
1582686105371,-6.8401375,-2.1395357,6.6581593
1582686105421,-6.9049063,-2.254181,6.671269
1582686105471,-6.8527594,-2.141721,6.5486765
1582686105521,-6.8826437,-2.1756034,6.454713
1582686105571,-6.909955,-2.0948238,6.4918895
1582686105621,-6.928848,-2.2135391,6.5802193
1582686105672,-6.911162,-2.6385293,6.148002
1582686105721,-7.0926785,-2.5958412,5.7629976
1582686105771,-6.8656216,-2.2484193,6.6623654
1582686105821,-6.6828866,-1.4283549,7.429338
1582686105872,-6.7605977,-1.3987613,6.8779693
1582686105921,-6.8003554,-1.8209734,7.109244
1582686105972,-6.6886444,-1.673666,7.0254655
1582686106021,-6.72763,-1.6097736,7.0734735
1582686106071,-6.820984,-1.609344,7.1050906
1582686106121,-6.762189,-1.2511092,7.0346537
1582686106171,-6.7755647,-1.4382772,6.9327955
1582686106221,-6.8234205,-1.4179709,6.9292817
1582686106271,-6.8131437,-1.45628,6.8955007
1582686106322,-6.823484,-1.4136447,6.9008265
1582686106371,-6.784212,-1.2829211,6.9400964
1582686106421,-6.7896676,-0.89486074,7.1133475
1582686106472,-6.8625154,-1.6406258,6.7603135
1582686106522,-6.8854294,-1.2586018,6.777897
1582686106572,-6.8356957,-1.3206772,6.8295264
1582686106622,-6.8556714,-1.0241057,7.05304
1582686106671,-6.8443704,-1.2330451,6.8664856
1582686106721,-6.8896046,-0.91189665,7.1003566
1582686106772,-6.749131,-1.2132256,7.1388803
1582686106822,-6.82098,-0.83996344,7.2311993
1582686106872,-6.6093946,-1.0029224,7.1274543
1582686106922,-6.5524592,-1.4207592,6.9694324
1582686106971,-7.683362,-0.76356244,6.336937
1582686107021,-7.9807315,1.2853558,6.569494
1582686107072,-7.967299,-1.2771838,4.805809
1582686107122,-8.315603,0.8312706,3.5332305
1582686107171,-8.07102,0.37467247,3.8994322
1582686107221,-7.4382644,0.211308,5.2367964
1582686107271,-5.9358215,5.772388,9.1423025
1582686107322,-7.4283485,4.2571263,6.9473176
1582686107372,-7.464872,1.9991138,6.4681487
1582686107421,-6.823536,2.3057387,7.185616
1582686107472,-6.879208,2.4003348,6.650856
1582686107521,-7.180351,2.4759119,6.6924706
1582686107572,-7.119782,1.8205991,6.872489
1582686107622,-6.784012,1.7754519,6.9578547
1582686107672,-6.5099854,1.7578764,7.037178
1582686107721,-6.462193,1.2088978,7.248435
1582686107771,-6.4836965,1.3339956,7.446074
1582686107822,-6.5305533,0.93950796,7.336927
1582686107872,-6.461442,0.68648845,7.349523
1582686107921,-6.5238333,-0.36143273,7.4024277
1582686107971,-6.607536,-1.1361165,7.113965
1582686108021,-6.7320733,-1.3828427,6.6144023
1582686108071,-7.0085545,-2.0865834,6.625863
1582686108121,-6.9486227,-1.6789694,6.474899
1582686108171,-7.03606,-2.0498047,6.333951
1582686108221,-7.01121,-2.3091831,6.5879765
1582686108272,-6.9212675,-2.427812,6.2881274
1582686108322,-7.024444,-2.9100697,6.328604
1582686108371,-7.0063033,-2.9306502,6.3084006
1582686108421,-6.972566,-3.2614355,6.199417
1582686108471,-7.0011144,-3.2707224,6.10548
1582686108522,-7.0733085,-2.7062194,6.1146517
1582686108572,-7.053241,-2.1828327,5.8906145
1582686108621,-6.982737,-2.3188148,6.415753
1582686108671,-6.975372,-3.002684,6.110328
1582686108722,-7.1400857,-3.1327136,5.9726667
1582686108771,-7.2045527,-3.7909687,6.26251
1582686108821,-7.265425,-3.3885913,5.4905167
1582686108871,-7.385856,-4.1388803,6.525619
1582686108922,-7.3026857,-4.5919166,7.57679
1582686108972,-7.4212685,-4.509137,6.7739353
1582686109022,-7.5739594,-3.0537214,3.4464347
1582686109071,-8.390419,-0.15701139,1.7751822
1582686109121,-8.49315,2.4292665,1.7985792
1582686109171,-8.584275,4.215955,2.8100178
1582686109221,-8.796648,4.236802,3.6567793
1582686109271,-8.8831625,2.2708402,4.521583
1582686109321,-8.370678,1.7691125,4.990697
1582686109371,-7.892931,2.456415,5.7819214
1582686109422,-8.709627,1.2777634,5.181534
1582686109471,-9.002848,0.5933423,4.3018236
1582686109521,-9.002297,1.309594,5.002985
1582686109571,-8.52108,1.5510479,5.188122
1582686109622,-8.295329,1.2791642,4.894692
1582686109672,-8.218108,1.2692971,4.268923
1582686109722,-8.4590025,1.8680549,4.8129206
1582686109772,-8.368548,1.6199137,5.111901
1582686109822,-8.33139,1.7926896,5.499668
1582686109871,-8.56509,2.2837899,6.046536
1582686109921,-9.145407,2.0347998,7.0982985
1582686109972,-10.350219,1.6149824,6.4100895
1582686110021,-10.499594,3.0449412,6.7866344
1582686110071,-10.0823345,3.2645693,6.3074026
1582686110121,-8.389067,4.3396373,3.0216236
1582686110171,-6.4277086,6.813934,1.8204904
1582686110221,-4.4221997,6.934523,1.9091932
1582686110271,-2.8213282,7.499219,2.4070063
1582686110322,-1.0986452,7.0275173,4.512459
1582686110371,0.10920477,6.42152,5.998378
1582686110422,-0.008514836,7.666252,5.8396907
1582686110471,0.8768057,6.749048,5.526282
1582686110521,1.0604872,6.8729506,6.0115185
1582686110572,1.083879,6.9325323,5.6441836
1582686110622,1.1529952,6.3387704,7.0544105
1582686110671,0.8682852,6.1383653,8.368224
1582686110722,-0.045431435,7.164328,7.5185733
1582686110771,-0.5520545,7.264457,7.462333
1582686110821,-0.18702911,6.846951,8.124079
1582686110872,-0.46023405,6.868094,7.367986
1582686110922,0.070001855,6.9535465,6.9996095
1582686110971,-0.11825575,6.4147525,7.836563
1582686111022,-0.21601468,6.955944,8.045562
1582686111072,-0.33323768,7.5591846,6.2226634
1582686111121,-0.10158196,7.6012416,7.130039
1582686111171,-0.5771234,6.4452252,8.874472
1582686111222,-1.2205716,6.767671,6.7237453
1582686111271,-1.6239164,8.25225,5.5840406
1582686111321,-1.605469,7.793805,7.2152624
1582686111371,-1.1594182,7.047981,7.512602
