Time,rotX,rotY,rotZosboxe
1582686877321,0.44197655,-0.67854327,0.18277474
1582686877371,0.5174832,-0.5148322,-0.038162634
1582686877421,0.35455784,-0.109785214,-0.27147955
1582686877472,0.048479818,0.3405909,-0.42497718
1582686877522,-0.18634006,0.63346195,-0.6216743
1582686877571,-0.48191556,0.7795838,-0.75299454
1582686877622,-0.47589892,0.57970923,-0.58759344
1582686877672,-0.17242615,0.13937159,-0.17615384
1582686877721,0.0454673,-0.2616329,0.16700467
1582686877771,0.29801092,-0.38313037,0.31702283
1582686877822,0.24538517,-0.3692697,0.3211708
1582686877871,0.08352986,-0.28479135,0.18845683
1582686877921,-0.13676628,-0.21978046,0.21456611
1582686877972,-0.08880432,-0.1875944,0.37792042
1582686878022,0.14990309,-0.13319117,0.5446665
1582686878071,0.22006823,-0.060877733,0.47325867
1582686878122,-0.04106399,-0.028777454,0.25214395
1582686878171,-0.3729457,-0.20245612,0.04359126
1582686878221,-0.5028375,-0.5225362,-0.015597571
1582686878271,0.03437641,-0.61712134,0.21592504
1582686878321,0.34080926,-0.5803851,0.33099666
1582686878372,0.35738152,-0.3656211,0.26966444
1582686878421,0.24597272,0.01775603,0.012047768
1582686878471,-0.1359095,0.38520876,-0.20731893
1582686878522,-0.32327583,0.5784797,-0.28651223
1582686878572,-0.3527394,0.58427405,-0.28715476
1582686878621,-0.3794655,0.5446846,-0.17546996
1582686878671,-0.26437932,0.44012663,-0.056520626
1582686878722,-0.31178233,0.2706475,0.07021805
1582686878771,-0.18801446,0.0760766,0.13272315
1582686878821,-0.1868033,-0.1322857,0.13108656
1582686878871,-0.22854877,-0.2849314,0.13182758
1582686878921,-0.20839949,-0.4139432,0.19908386
1582686878972,0.12644964,-0.3337385,0.27390897
1582686879021,0.09217967,0.036034055,0.10737613
1582686879072,0.046485085,0.23639958,-0.088201955
1582686879122,0.015040867,0.34715158,-0.17867735
1582686879172,0.15122,0.3066985,-0.22214362
1582686879221,0.018493878,0.08507596,-0.17992559
1582686879271,0.4076698,-0.28227872,-0.012986347
1582686879322,0.5555719,-0.34804446,0.03187882
1582686879371,0.094484866,-0.18842502,-0.07688457
1582686879421,-0.16167602,-0.04356108,-0.11730427
1582686879471,-0.044538565,-9.0021174E-4,-0.04301506
1582686879521,-0.087158516,0.0037352247,-0.021676831
1582686879571,-0.10728748,-0.025105182,-0.03867292
1582686879621,-0.14343001,-0.050865065,-0.0674687
1582686879671,-0.12284115,-0.03077107,-0.011152614
1582686879721,-0.02355117,0.0037305206,0.025134614
1582686879771,0.014611764,-0.0013909801,0.0039193537
1582686879822,-0.049460106,0.002412593,-0.029598612
1582686879871,-0.079675876,0.025744285,-0.054455478
1582686879921,-0.08666748,0.040241703,-0.051023133
1582686879972,-0.07188289,0.03157123,-0.04897771
1582686880022,-0.33554897,0.10473277,0.056333482
1582686880071,-0.42557254,0.2045467,0.11178279
1582686880121,0.11267806,0.040143788,0.06350769
1582686880172,-0.0063466015,-0.04983683,0.042093996
1582686880222,0.07639081,0.040593673,0.01112402
1582686880272,-0.038220357,0.16193777,-0.07857937
1582686880322,-0.17867635,0.19242473,-0.14683555
1582686880372,-0.1577862,0.099416,-0.056293085
1582686880422,-0.0047382037,-0.10553846,0.081955865
1582686880472,0.09426488,-0.24029967,0.17684822
1582686880521,0.145096,-0.28682676,0.22443533
1582686880571,0.12196902,-0.2654308,0.18795452
1582686880622,0.06737694,-0.19986995,0.13917615
1582686880672,0.08262582,-0.13255319,0.0763587
1582686880722,0.074136466,0.07264273,-0.0043878853
1582686880772,0.06103355,0.35881668,-0.09674586
1582686880821,-0.12795855,0.29481602,-0.25357383
1582686880872,-0.23357615,0.014308735,-0.24409704
1582686880922,0.059552964,-0.2589351,-0.12753636
1582686880971,0.25477976,-0.33840942,0.020837188
1582686881021,0.066747144,-0.17651571,0.1919985
1582686881072,0.037352357,-0.046149902,0.14496104
1582686881121,-0.096248776,-0.014944642,-0.024599709
1582686881171,-0.12423611,-0.0023783585,-0.077611916
1582686881221,0.0424995,0.043348316,-0.0032455302
1582686881271,-0.012179121,0.02782831,-0.014587464
1582686881322,-0.14318976,0.045074306,-0.018855656
1582686881372,-0.073637545,0.014156944,-0.042033702
1582686881421,-0.02909734,-0.023589026,-0.06332523
1582686881472,-0.023849204,-0.017397162,-0.04327083
1582686881522,0.01473049,0.021318961,-0.00994358
1582686881572,0.04978558,0.0046709804,-0.029736953
1582686881621,0.069524825,-0.034173187,-0.026720751
1582686881672,0.0015063923,-0.029282812,0.0017311475
1582686881722,-0.0329602,-0.013905353,0.0082788225
1582686881771,-4.5458938E-4,-0.0057470864,-0.012433478
1582686881821,0.005818593,3.9481279E-4,-0.022727968
1582686881871,0.0011158668,0.0076593817,-0.019709086
1582686881921,-0.004807496,0.0016988895,-0.020078812
1582686881971,0.017383764,0.01400222,-0.013420263
1582686882021,0.027365759,0.0037641304,-0.017733946
1582686882071,0.0013783363,0.001094772,-0.010903791
1582686882121,-0.0063434066,0.004353838,-0.0033344552
1582686882171,-0.0063434066,-7.779808E-4,-0.0074163913
1582686882221,-0.012978922,-0.0039231237,-0.014723064
1582686882272,-0.028034458,-0.0041645886,-0.016787618
1582686882321,-0.019204171,-0.0125227505,-0.012433241
1582686882372,0.0087292995,-0.020132039,0.0024520406
1582686882422,-0.007496714,-0.011896496,0.0111630615
1582686882471,-0.011168344,-0.023069065,-3.4378376E-4
1582686882521,-0.011373509,-0.034058593,-0.0015271588
1582686882572,-0.013748689,-0.030037485,0.016434137
1582686882622,-0.024363376,-0.040713053,0.010012076
1582686882671,-0.021567449,-0.054460526,0.0071173515
1582686882721,-0.014863407,-0.039193295,0.012496453
1582686882772,-0.029289491,-0.026960146,0.0012468165
1582686882821,-0.022289343,-0.03507359,-0.00977279
1582686882871,-0.004227177,-0.027783189,-0.010910509
1582686882922,-0.022084722,-0.028572202,-0.0048079025
1582686882972,-0.01935528,-0.029887423,-3.1025987E-4
1582686883021,-0.016993407,-0.0248141,-0.008227803
1582686883072,-0.0034945053,-0.01174854,-0.011977792
1582686883122,0.021781517,-2.5823433E-4,-0.010837989
1582686883171,0.006331352,0.006402053,-0.005603072
1582686883222,-7.335518E-4,0.01061841,-0.009322678
1582686883271,-5.0770375E-4,-0.0012889719,-0.0081114825
1582686883322,-0.0018421122,-0.015061359,0.0018553808
1582686883371,-0.011161532,-0.010713813,0.013553282
1582686883421,-0.02455071,-0.007582289,0.009984961
1582686883471,0.0040449756,0.002897968,0.00217391
1582686883522,0.0057311417,0.014071231,3.7938636E-4
1582686883571,-0.006256173,0.009448195,-1.0211812E-4
1582686883622,-0.0039013796,0.009050865,0.0023379782
1582686883672,-0.0013983614,0.01114016,-0.0015013618
1582686883722,-0.005049616,0.010772443,-0.0025786
1582686883772,-0.003201887,0.009331369,-1.2600655E-4
1582686883822,-0.0042134062,0.0072673718,9.264718E-4
1582686883872,-0.008838031,0.002554874,-0.0036102806
1582686883921,-0.015246334,-0.006638757,-0.0022073996
1582686883971,-0.017289734,-0.0059498,0.0063348273
1582686884021,-0.020335589,0.0011189934,0.008360622
1582686884072,-0.0134825045,-0.0045111394,0.0012652269
1582686884121,-0.015173644,-0.0045418786,-0.0023629684
1582686884171,-0.009050316,0.0031018117,-0.0016233618
1582686884222,-0.0010400786,0.0023990357,-0.0059093563
1582686884271,0.0032415935,0.003455618,-0.009106775
1582686884321,-3.1828566E-4,-0.0045578564,-0.020672636
1582686884371,-0.016311461,-0.013363606,-0.033834152
1582686884421,-0.005526668,-0.011580166,-0.022023642
1582686884471,0.02622817,-0.058701158,-0.018294413
1582686884521,-0.026452605,-0.12786609,-0.049184743
1582686884571,-0.054652944,-0.12084977,-0.037704743
1582686884621,0.037628807,-0.10159816,-0.02689893
1582686884671,0.18060112,-0.07237245,-0.06627646
1582686884722,0.17221503,0.043614537,-0.075931236
1582686884771,0.046703957,0.1614699,-0.05017303
1582686884822,-0.010928215,0.12545389,-0.06308091
1582686884871,0.007128908,0.050637405,-0.051660057
1582686884922,-0.014962409,-0.023667678,0.0014287457
1582686884971,-0.08271903,-0.07195548,0.053219948
1582686885022,-0.06201012,-0.067864046,0.04475303
1582686885071,-5.166285E-4,-0.026865743,0.0054646432
1582686885121,0.023611981,0.016558759,-0.018608747
1582686885172,-0.008566413,0.04121021,-0.012665566
1582686885222,-0.015745142,0.030058756,-0.007119161
1582686885272,-0.014288661,-0.0032798415,0.0015674126
1582686885322,-0.0057600657,-0.01856016,0.011422187
1582686885371,-0.011408125,-0.013393753,0.010831325
1582686885422,-0.009937976,-0.013537063,0.0057574622
1582686885471,-0.029338256,0.0051647443,0.007768439
1582686885521,-0.025392309,0.021141805,0.008412588
1582686885571,7.690089E-4,0.018498879,-0.0021648668
1582686885622,0.004128029,0.00569734,-0.006444404
1582686885671,-0.014924347,-0.01134934,0.005083558
1582686885722,-0.045431662,-0.0071504815,0.017093522
1582686885771,-0.022318406,-0.013232901,0.009265811
1582686885822,-0.01849027,-0.015438308,-0.0017265738
1582686885871,-0.012733407,-9.243428E-4,0.0036114538
1582686885921,-0.001158063,0.003966036,-0.0035894765
1582686885971,0.0060689156,-0.0013278397,-0.011146803
1582686886022,-0.014052476,-0.0035422575,0.0017798599
1582686886071,-0.016638136,-0.013934939,0.0061570313
1582686886121,-0.037552793,-0.030925427,0.015947215
1582686886171,-0.051850375,-0.049449824,0.020517081
1582686886221,-0.029196003,-0.043040626,0.01696397
1582686886271,-0.014012708,-0.017561793,0.011397613
1582686886321,-0.012588588,-0.0047876462,-0.0055368235
1582686886371,-0.021132385,0.011787203,-0.007764618
1582686886421,-9.4049575E-4,0.018569484,-0.008580063
1582686886472,0.014459534,-0.010033483,-0.021788675
1582686886522,0.0017421249,-0.016182829,-0.006589746
1582686886571,-0.0052784067,-0.003291442,-0.0017216904
1582686886622,0.0058240043,0.018265076,-0.0096188225
1582686886671,0.02749687,0.0452781,-0.020228243
1582686886722,0.010491395,0.029521614,-0.02059694
