Time,rotX,rotY,rotZosboxe
1582686202921,-0.13122225,0.010416282,-0.08381232
1582686202971,-0.12769154,-0.013584948,-0.108168185
1582686203021,-0.18735999,-0.019792587,-0.14307022
1582686203071,-0.21702158,0.010434833,-0.16391112
1582686203122,-0.19343843,0.02175434,-0.1843181
1582686203171,-0.12316035,0.035490554,-0.19153918
1582686203221,-0.09602791,0.028812487,-0.1927997
1582686203271,-0.0333003,0.024703197,-0.19396752
1582686203322,-0.07544823,0.0125476625,-0.1605512
1582686203371,-0.07186229,-0.010161509,-0.1210932
1582686203422,0.046694815,-0.031253736,-0.09953476
1582686203471,0.0638408,-0.037004832,-0.070222616
1582686203521,0.075249724,-0.052094214,-0.034199763
1582686203571,0.080872506,-0.036724795,0.004486672
1582686203621,-0.004881099,0.001790829,0.0032586092
1582686203671,-0.05135973,0.017882483,0.008958621
1582686203722,-0.087966286,0.015650325,0.014240345
1582686203772,-0.08861746,0.011279705,0.03880969
1582686203821,-0.09804696,0.048292924,0.06583626
1582686203872,-0.111605994,0.06532611,0.075648025
1582686203921,-0.038296256,0.073782116,0.104010105
1582686203971,-0.004599156,0.121636026,0.10822271
1582686204021,0.20563233,0.1478238,0.12958024
1582686204072,0.3447963,0.107492186,0.18882325
1582686204122,0.2554269,0.09257567,0.19883005
1582686204171,0.30378535,0.12951449,0.18129395
1582686204221,0.26046735,0.17653923,0.17665115
1582686204271,0.30647963,0.19753453,0.16313247
1582686204322,0.25735646,0.18103947,0.13276805
1582686204371,0.19700149,0.13336088,0.08507996
1582686204422,0.21162818,0.0866345,0.047346476
1582686204472,0.19574392,0.0565079,0.05922352
1582686204522,0.0959631,0.057298798,0.061115604
1582686204572,0.009982392,0.057298798,0.05726664
1582686204621,0.028063405,0.053954758,0.047934256
1582686204672,-0.0017657618,0.038839992,0.03682245
1582686204722,-0.009081458,0.017721616,0.019855233
1582686204771,-0.017960407,0.0017420256,0.0046626213
1582686204821,-0.020821111,0.0025246576,-0.010055702
1582686204872,-0.04582277,0.010726819,-0.015582133
1582686204922,-0.08229284,0.013744547,-0.011799509
1582686204971,-0.049584925,0.0023016643,-0.024673022
1582686205022,0.001399351,-0.026875678,-0.037261087
1582686205071,0.02936539,-0.06559182,-0.044064768
1582686205121,0.018121025,-0.09186539,-0.06684441
1582686205171,0.032540403,-0.094302796,-0.08535018
1582686205222,0.035210483,-0.07737286,-0.076153964
1582686205271,-0.001976427,-0.056012254,-0.06718465
1582686205322,-1.10754976E-4,-0.043701075,-0.06805326
1582686205372,0.034041516,-0.0424054,-0.07024333
1582686205422,0.028481316,-0.050635677,-0.04460044
1582686205471,0.004786633,-0.054293036,-0.031901296
1582686205521,0.0038974162,-0.05412705,-0.03561788
1582686205571,-0.004112821,-0.064292975,-0.06257882
1582686205622,-0.021644186,-0.046799146,-0.09457363
1582686205671,-0.0520221,-0.0013985774,-0.11592964
1582686205721,-0.0636482,0.029083319,-0.11238662
1582686205771,-0.07908368,0.04117622,-0.057737567
1582686205822,-0.043201223,0.008656853,-0.005616492
