Time,accX,accY,accZ
1582926397144,-4.1507726,5.2630973,7.585202
1582926397167,-4.1028624,5.083435,7.728932
1582926397186,-3.8681035,4.8558626,7.772051
1582926397206,-3.860917,4.8414893,7.6163435
1582926397226,-4.100467,4.9181457,7.748096
1582926397245,-4.2226377,4.992406,7.944527
1582926397266,-4.100467,4.8702354,7.8367295
1582926397285,-4.004647,4.810348,7.954109
1582926397306,-3.999856,4.791184,7.829543
1582926397325,-4.0405793,4.7696247,7.709768
1582926397346,-4.0693254,4.7504606,7.681022
1582926397365,-4.201078,4.810348,7.805588
1582926397386,-4.1651454,4.800766,7.666649
1582926397406,-4.2034736,4.8414893,7.700186
1582926397426,-4.1938915,4.843885,7.843916
1582926397445,-4.11484,4.800766,7.9565043
1582926397464,-3.9591324,4.6115217,7.9038033
1582926397485,-3.9591324,4.613917,7.8894305
1582926397505,-4.052557,4.62829,7.733723
1582926397525,-4.248988,4.8175344,7.7265363
1582926397544,-4.3903227,4.887004,7.8319383
1582926397565,-4.229824,4.8366985,8.047533
1582926397584,-3.9447596,4.8271165,7.887035
1582926397605,-3.9974606,4.7408786,7.5780153
1582926397625,-4.373554,4.901377,7.28816
1582926397643,-4.8790045,5.222374,7.197131
1582926397664,-5.0083613,5.3157983,7.101311
1582926397684,-4.9508696,5.4116187,6.957581
1582926397705,-4.8981686,5.375686,6.780314
1582926397724,-4.780789,5.332567,6.66533
1582926397744,-5.1377187,5.318194,6.674912
1582926397765,-5.1473007,5.4403644,7.0462146
1582926397784,-4.886191,5.342149,7.321697
1582926397804,-4.6969466,5.270284,7.379189
1582926397824,-4.464583,5.222374,7.221086
1582926397844,-4.177123,5.05948,7.1803627
1582926397863,-4.023811,4.934914,7.412726
1582926397884,-4.11484,4.949287,7.772051
1582926397904,-4.1076536,4.848676,7.9804597
1582926397925,-3.8154025,4.48456,7.7025814
1582926397945,-3.793843,4.6642227,7.6882086
1582926397964,-4.009438,4.968451,7.7552824
1582926397983,-4.076512,5.0283384,7.7792373
1582926398003,-3.9447596,4.829512,7.6498804
1582926398024,-4.0262065,4.709737,7.6834173
1582926398043,-4.110049,4.848676,7.834334
1582926398064,-4.0741167,4.9037724,7.9133854
1582926398083,-4.0405793,4.9085636,7.8079834
1582926398104,-4.042975,4.8031616,7.71935
1582926398123,-3.9782965,4.9325185,7.6738353
1582926398143,-4.205869,5.054689,7.685813
1582926398164,-4.2945027,4.997197,7.930154
1582926398183,-4.1363993,4.8941903,7.9708776
1582926398203,-3.8489394,4.7648335,7.9038033
1582926398223,-3.8154025,4.7073417,7.8079834
1582926398242,-3.822589,4.872631,7.781633
1582926398263,-3.7914474,5.136136,7.8415203
1582926398282,-3.8297756,5.0043836,7.6163435
1582926398303,-3.9830875,4.9037724,7.379189
1582926398322,-4.105258,5.121763,7.4869866
1582926398344,-4.052557,5.073853,7.690604
1582926398363,-3.990274,4.7600427,7.7600737
1582926398383,-3.7387464,4.6738043,7.920572
1582926398402,-3.927991,4.896586,8.136167
1582926398423,-4.301689,5.2487245,7.757678
1582926398443,-4.1076536,5.2630973,7.3432565
1582926398463,-4.2705474,4.8654447,7.1564074
1582926398484,-4.0405793,4.858258,7.451054
1582926398503,-3.68365,4.906168,7.6163435
1582926398522,-3.6189716,4.8702354,7.302533
1582926398541,-3.9591324,5.069062,7.0653787
1582926398562,-4.191496,5.4978566,7.441472
1582926398582,-3.9112225,5.44276,7.388771
1582926398602,-4.0453706,4.671409,7.331279
1582926398622,-4.6394544,4.0318103,7.685813
1582926398642,-5.1520915,4.1659584,8.337389
1582926398663,-5.221561,4.3575983,8.136167
1582926398682,-4.852654,4.934914,7.9852505
1582926398702,-4.68976,4.451023,7.982855
1582926398721,-5.283844,3.4856365,7.5923886
1582926398741,-4.819117,3.3371155,8.078675
1582926398763,-4.6298723,3.3658614,8.330202
1582926398781,-4.59394,3.109543,7.925363
1582926398802,-4.0884895,2.9346714,8.418836
1582926398821,-3.7531195,2.8148966,8.763788
1582926398843,-3.894454,2.6855395,8.835653
1582926398861,-4.5196795,2.3693335,8.452373
1582926398882,-4.459792,2.4411986,8.708692
1582926398901,-4.550821,2.778964,8.787743
1582926398922,-4.895773,2.1106195,8.275106
1582926398943,-4.531657,2.1585295,8.684736
1582926398962,-4.2178464,2.0770824,8.883563
1582926398981,-4.4023,1.883047,8.763788
1582926399000,-4.6490364,1.9525166,8.67755
1582926399022,-4.522075,1.8423235,8.77337
1582926399041,-4.5388436,1.288963,8.651199
1582926399062,-4.4430237,1.317709,8.806907
1582926399080,-4.2897115,1.41832,8.957824
1582926399101,-4.3424125,1.399156,8.921891
1582926399121,-4.421464,1.379992,8.766184
1582926399140,-4.325644,1.2961495,8.838049
1582926399162,-4.3280396,1.265008,8.993756
1582926399181,-4.196287,1.1667925,8.914704
1582926399201,-4.129213,1.030249,8.862003
1582926399221,-4.196287,1.0853455,9.0584345
1582926399240,-3.9351776,0.829027,9.03927
1582926399261,-4.1555634,1.020667,8.972197
1582926399280,-4.3951135,1.3009405,8.967405
1582926399301,-4.220242,1.2578214,8.924287
1582926399320,-4.0214157,1.121278,8.897936
1582926399341,-4.095676,1.2099115,9.003338
1582926399361,-4.052557,1.193143,9.027293
1582926399381,-3.995065,1.159606,8.967405
1582926399402,-3.980692,1.2003295,9.077599
1582926399420,-3.808216,1.0422266,9.068016
