Time,rotX,rotY,rotZosboxe
1583281564949,-0.36861277,-0.6211392,-0.66320485
1583281564999,-0.40529552,-0.5356209,-0.69964683
1583281565049,-0.40845975,-0.30362672,-0.6837284
1583281565099,-0.5085497,-0.16204153,-0.75409585
1583281565149,-0.47349173,-0.14064407,-0.5847751
1583281565199,-0.59588546,-0.36253285,-0.5586412
1583281565250,-0.7706583,-0.6576704,-0.68469185
1583281565299,-0.7439555,-0.73711616,-0.63542044
1583281565350,-0.8405729,-0.82389224,-0.5084556
1583281565399,-0.6890962,-0.938848,-0.55039567
1583281565449,-0.3456224,-0.83644146,-0.64469886
1583281565499,0.017825527,-0.772731,-0.7548512
1583281565550,0.21905829,-0.88619816,-0.9904428
1583281565599,0.27132806,-1.054999,-1.2208467
1583281565650,0.19348346,-0.94050175,-1.2095635
1583281565699,0.019993572,-0.34044123,-0.45242733
1583281565749,-0.17029257,0.15858848,-0.02944815
1583281565799,0.17352803,-0.12437844,-0.46808982
1583281565849,0.16028246,-0.7356497,-0.4610944
1583281565899,0.30519816,-0.41064227,-0.028613118
1583281565950,0.33520594,-0.27720743,0.13863458
1583281565999,0.14273697,-0.29192334,0.16697928
1583281566049,0.29806727,0.066979736,0.5038084
1583281566099,0.3296438,0.3065148,0.58761543
1583281566149,0.36087745,0.2847572,0.5501919
1583281566199,0.14106385,0.40013647,0.3325376
1583281566250,-0.03496869,0.57979536,0.058705766
1583281566299,-0.08989585,0.37008232,-0.18728252
1583281566349,0.21453734,0.6625074,-0.020006651
1583281566399,0.3393811,0.5318718,-0.20842038
1583281566449,0.0486429,0.15722059,-0.4645469
1583281566499,-0.1918516,0.6299328,0.17115837
1583281566549,-0.0019169663,0.45712966,0.36316845
1583281566599,-0.13127188,-0.008060053,-0.16447878
1583281566649,-1.214656,-0.6196518,-0.63988304
1583281566699,-1.3015285,-0.13129728,-0.22332376
1583281566749,-0.12440267,0.2837504,0.5109203
1583281566799,0.5005778,0.2562909,0.46062738
1583281566849,1.1407179,0.19821936,0.13553606
