Time,rotX,rotY,rotZosboxe
1583283216037,0.020288877,0.011915633,-0.001468116
1583283216088,0.007203542,-0.005443583,0.008093059
1583283216138,0.0028853966,-0.012346065,0.023432145
1583283216187,0.009971937,-0.004797677,0.023969742
1583283216238,0.0051062764,3.0778442E-4,0.009678025
1583283216288,-0.06534803,-0.0032405495,-0.004129155
1583283216337,-0.02464765,0.008641011,-0.0013151045
1583283216388,0.012186692,0.0011686543,0.0202575
1583283216438,-0.04019963,-0.0071026045,0.04237782
1583283216487,-0.01830513,-0.010732098,0.03670735
1583283216538,-0.047099743,-0.020712124,0.035624187
1583283216587,-0.028045138,-0.008356953,0.02717946
1583283216637,0.012787151,0.005253811,0.0354475
1583283216687,0.0045501594,0.011929009,0.025368193
1583283216737,0.05836825,0.022133099,-0.014200507
1583283216788,0.05165959,0.008256275,-0.025579192
1583283216838,-0.017309114,-3.3913646E-4,-0.008029513
1583283216887,0.018765809,0.024494879,-0.018780269
1583283216938,0.046808265,0.018460348,-0.02456235
1583283216987,0.009147878,-0.002320623,-0.0016803783
1583283217037,0.015375624,-0.0023029759,0.0165265
1583283217087,0.022335472,0.0056944117,0.017500263
1583283217137,0.11021695,0.027069097,0.0016653403
1583283217187,0.09563474,0.027601488,0.008233247
1583283217237,0.036731053,0.018089624,0.01599244
1583283217287,-0.031827714,-0.0017783823,0.05934011
1583283217337,-0.11157391,-0.025313154,0.055781413
1583283217387,-0.13238406,-0.03873885,0.016879214
1583283217437,-0.034098618,-0.02000902,-0.009140368
1583283217487,0.012418731,-8.943309E-4,0.02118939
1583283217538,-0.03859608,0.007911075,0.028181031
1583283217588,0.03259563,0.024516253,-0.0077149547
1583283217638,0.0029790099,-0.0013165022,0.0017532003
1583283217688,-0.09254398,-0.0473077,0.043139424
1583283217738,-0.089746736,-0.037370976,0.03441819
1583283217787,-0.057451893,-0.007923696,0.008856906
1583283217838,0.006456082,0.0109573025,-0.009816159
1583283217887,-0.035452336,-0.0012828,-0.0060726455
1583283217938,-0.04460436,-0.0023173094,0.023444306
1583283217987,-0.005536253,0.0059339264,0.020267932
1583283218037,0.015538395,0.011841921,-0.010437962
1583283218087,-0.01695126,0.0027897614,-0.015564289
1583283218137,-0.023441404,-0.016434195,0.01434649
1583283218187,-0.02145233,-0.016756441,0.03184487
1583283218237,0.015301728,0.0026937868,0.0374727
1583283218288,0.0811782,0.022031732,0.015490534
1583283218338,0.26703507,0.01562805,-0.05087288
1583283218388,0.34711647,-0.06434089,-0.03507979
1583283218438,0.0762129,-0.21934065,0.15224265
1583283218487,-0.32528082,-0.41278133,0.51940113
1583283218538,0.16277328,-0.64922136,1.2160531
1583283218587,0.7040657,-0.18409157,1.3285102
1583283218638,0.8995385,0.22931717,1.2892268
1583283218688,0.8916349,0.30625486,1.373121
1583283218737,0.5155515,0.39735356,1.2036965
1583283218787,0.10993676,0.53284174,0.93307245
1583283218837,-0.53704494,0.56619805,0.6720361
1583283218887,-0.15407676,0.64409167,0.45256898
1583283218938,-0.013761156,0.78464895,0.21902297
1583283218987,-0.015934467,0.8541426,0.10091945
1583283219038,-0.17600271,0.8615484,-0.05368459
1583283219088,0.0023165748,0.7435747,-0.039007597
1583283219137,-0.008202315,0.6839697,-0.07986522
1583283219188,-0.19391203,0.577903,-0.1482471
1583283219237,0.022027552,0.5085562,-0.17494789
1583283219288,0.058435164,0.5040998,-0.07081662
1583283219338,0.021646537,0.2739507,0.16826709
1583283219387,0.5064064,0.030549798,0.36732963
1583283219437,1.0081226,-0.039566047,0.48919144
1583283219487,2.0683193,0.065739796,0.43376225
1583283219537,2.82855,0.16092898,0.36194876
1583283219587,2.4230864,0.12063953,0.3400844
1583283219638,3.3624883,0.22039506,0.25872752
1583283219687,4.338589,0.051960833,0.16507049
1583283219738,2.9916568,-0.034795497,0.22178736
1583283219788,0.85790193,0.16737509,0.35678065
1583283219837,0.51775753,0.31138802,0.46557948
1583283219887,0.19783571,0.21606319,0.13696885
1583283219938,-0.8701992,-0.20217189,-0.6324484
1583283219987,-1.8917147,-1.0382351,-1.346952
1583283220037,-2.4074569,-2.1584802,-1.6152494
1583283220087,-1.930941,-3.1623857,-1.2674487
1583283220138,1.180028,-2.986818,-0.51396805
1583283220187,6.777753,-1.1237652,0.51645166
1583283220237,1.2872298,-1.0785416,-0.45957634
1583283220288,-1.1409316,-0.2552395,-1.6091468
1583283220337,-1.686441,0.7065754,-0.6636726
1583283220388,-0.98205525,0.6457676,-0.07932433
1583283220437,0.3537342,0.18915257,0.5006011
1583283220488,0.27682668,-0.11684742,0.5689653
1583283220538,-0.3062848,-0.15554298,0.32386974
1583283220587,-0.53060424,-0.03526098,0.207712
1583283220637,-0.44228393,0.07766356,0.14849186
1583283220688,-0.27421406,0.07118048,0.016332194
1583283220737,-0.07767802,-0.0015526037,-0.10960619
1583283220788,0.14899765,-0.07067486,-0.16712275
1583283220837,0.20662099,-0.095088296,-0.14572124
1583283220887,0.31025225,-0.06944096,-0.13833004
1583283220938,0.4009691,-0.0610927,-0.10509878
1583283220988,0.6351967,-0.074443094,-0.09578753
1583283221038,0.86120886,-0.10511136,-0.18197905
1583283221087,0.8035198,-0.17172094,-0.23726867
1583283221138,1.007741,-0.2049631,-0.28210488
1583283221187,1.2828234,-0.39670378,-0.22143166
1583283221237,0.74626535,-1.1040779,-0.026805993
1583283221287,-0.55258226,-0.96635383,0.1040628
1583283221338,-1.8118005,-0.39527863,0.15097964
1583283221387,1.072619,1.9446748,0.44009748
1583283221437,2.324271,3.87669,0.5454231
1583283221488,0.077980325,2.4409018,1.0422016
1583283221537,1.4663403,0.9765074,1.5327743
1583283221588,1.9076812,-0.9225963,1.4768906
1583283221637,2.4513528,-1.6407862,-0.44009838
1583283221687,-0.14472862,0.67750853,-2.0376866
1583283221738,-1.2504542,2.5400634,-3.214823
1583283221787,0.030095235,3.4756944,-4.471084
1583283221837,0.81418645,3.6896026,-5.83664
1583283221887,0.5854555,3.386243,-6.6765428
1583283221938,0.91111666,2.6738944,-6.2479296
1583283221987,1.7526968,1.682712,-4.1829033
1583283222038,1.6121212,2.5743732,-0.93080217
1583283222087,-0.3732872,-1.6678057,2.7907004
1583283222137,-0.03420809,-3.408495,5.7446866
1583283222188,0.5184297,-0.84871024,7.1747327
1583283222238,-0.61728334,-0.65134084,7.030166
1583283222287,-0.89845943,-1.4089183,5.939713
1583283222338,-0.3804041,-1.8861434,4.5063086
1583283222388,-0.426565,-1.5026298,2.9122708
1583283222437,0.6046996,-0.5002827,0.92909175
1583283222487,0.024965629,0.5406164,-2.103002
1583283222537,-0.5678495,1.2913159,-4.611474
1583283222588,-0.6162099,1.7194605,-6.167102
1583283222638,-0.65744066,1.8336872,-7.31555
1583283222688,-0.19675484,1.698217,-7.636782
1583283222737,0.18612829,1.269591,-6.2287984
1583283222788,0.35715246,2.2013214,-2.8766224
1583283222838,0.047875144,1.3825111,1.5201808
1583283222887,-0.08667804,-2.4385166,5.2004147
1583283222937,0.12217155,-1.3369199,6.5440063
1583283222988,-0.27576745,-1.0714731,6.90693
1583283223037,-0.6880844,-1.3114029,6.397673
1583283223087,-0.8761726,-1.539615,5.218725
1583283223137,-0.42610335,-1.8255162,3.5831568
1583283223187,0.51269776,-0.95197856,2.0124323
1583283223237,0.57075775,0.5851097,-0.49955
1583283223288,0.49771106,1.1951064,-3.2879522
1583283223337,-0.095737055,1.027412,-5.3155518
1583283223388,-0.35321218,0.86853397,-6.8840175
1583283223438,-0.945845,1.0953062,-7.576089
1583283223488,-0.4051849,1.7827691,-7.566341
1583283223538,0.01858966,1.7611123,-5.8128943
1583283223588,0.07913242,2.9537044,-2.4199185
1583283223638,0.39198402,1.4687246,1.5316885
1583283223687,0.03820841,-1.7141238,4.361389
1583283223737,-0.72003424,-1.9210031,5.9593816
1583283223788,-0.7055129,-1.5939873,6.7101502
1583283223837,-0.8875317,-1.7291028,6.7239127
1583283223887,-1.0788671,-2.0264215,6.005237
1583283223938,-0.788672,-2.208501,4.5130796
1583283223987,0.109662905,-1.9981453,2.8393524
1583283224037,0.4967914,-0.61140037,0.502852
1583283224087,-0.009190173,0.96495265,-2.2215147
1583283224137,-0.11821409,1.6873698,-4.3921022
1583283224188,-0.3744094,1.8344275,-5.899861
1583283224237,-0.52455133,2.0100355,-6.7523
