Time,accX,accY,accZ
1583284035637,-7.23643,-5.5761623,-2.6210146
1583284035688,-7.235372,-5.5900903,-2.665875
1583284035738,-7.2256956,-5.5501895,-2.6894448
1583284035788,-7.260815,-5.570511,-2.661848
1583284035837,-7.2282534,-5.5958624,-2.649348
1583284035888,-7.243021,-5.5780067,-2.660547
1583284035938,-7.2297006,-5.6093545,-2.6871474
1583284035988,-7.2256427,-5.590168,-2.6319034
1583284036037,-7.242845,-5.5698714,-2.6746907
1583284036087,-7.228588,-5.5944443,-2.6612096
1583284036137,-7.22899,-5.577914,-2.6404412
1583284036188,-7.229872,-5.5920467,-2.6549294
1583284036237,-7.2149997,-5.604058,-2.6519976
1583284036288,-7.2176175,-5.5971966,-2.6756356
1583284036337,-7.2102275,-5.6126018,-2.6573734
1583284036387,-7.22899,-5.5794945,-2.6153548
1583284036438,-7.2183113,-5.597898,-2.6758468
1583284036488,-7.222886,-5.5802155,-2.6797454
1583284036537,-7.23795,-5.591897,-2.6666188
1583284036588,-7.211512,-5.5902033,-2.6536272
1583284036638,-7.2272196,-5.5871396,-2.6640291
1583284036688,-7.2130375,-5.627854,-2.6886895
1583284036737,-7.2047024,-5.6060996,-2.631319
1583284036787,-7.2255907,-5.594829,-2.6648555
1583284036838,-7.220063,-5.578074,-2.6608171
1583284036887,-7.217058,-5.602342,-2.6789215
1583284036937,-7.211511,-5.601354,-2.6688428
1583284036987,-7.2135053,-5.5990396,-2.6328318
1583284037038,-7.2169323,-5.6047473,-2.6724656
1583284037088,-7.193185,-5.6267295,-2.6557112
1583284037138,-7.2217665,-5.5915456,-2.6117845
1583284037187,-7.2289243,-5.59461,-2.671246
1583284037238,-7.2037535,-5.5991573,-2.6600718
1583284037288,-7.2479067,-5.564832,-2.6462262
1583284037338,-7.211725,-5.597718,-2.6603608
1583284037388,-7.209479,-5.6063623,-2.64415
1583284037437,-7.2245483,-5.625049,-2.6843565
1583284037487,-7.20074,-5.6003847,-2.6061366
1583284037538,-7.222846,-5.597268,-2.6597426
1583284037588,-7.2220798,-5.605148,-2.6907554
1583284037637,-7.227429,-5.593793,-2.6395185
1583284037687,-7.245446,-5.5838304,-2.643323
1583284037738,-7.205731,-5.613235,-2.6428535
1583284037788,-7.192568,-5.6118693,-2.6495368
1583284037837,-7.218677,-5.612155,-2.6826322
1583284037887,-7.2051606,-5.6172814,-2.594031
1583284037938,-7.2284718,-5.5775404,-2.6186078
1583284037987,-7.207427,-5.6088724,-2.6842916
1583284038038,-7.238761,-5.5643735,-2.6579182
1583284038088,-7.243039,-5.609933,-2.6649268
1583284038137,-7.2052507,-5.594668,-2.6414032
1583284038188,-7.2095385,-5.6225576,-2.6752992
1583284038237,-7.200244,-5.6130605,-2.6350029
1583284038287,-7.228886,-5.574717,-2.6208255
1583284038337,-7.2235394,-5.596538,-2.6648326
1583284038387,-7.228138,-5.5823216,-2.6463933
1583284038437,-7.2450266,-5.5920553,-2.6512907
1583284038488,-7.231041,-5.5654235,-2.6156983
1583284038538,-7.2252674,-5.5905957,-2.6505687
1583284038588,-7.2233796,-5.6087055,-2.683416
1583284038637,-7.214617,-5.6043987,-2.623753
1583284038687,-7.2402506,-5.580488,-2.641181
1583284038737,-7.220053,-5.6057158,-2.6874287
1583284038788,-7.238391,-5.577025,-2.6730866
1583284038837,-7.32123,-5.5854664,-2.668118
1583284038888,-7.857573,-5.5825677,-2.539402
