Time,rotX,rotY,rotZosboxe
1583285136625,1.2519666,1.0242348,0.53736794
1583285136675,2.3379533,1.66653,0.8141527
1583285136725,3.107227,0.9192363,0.79887563
1583285136775,1.7355001,0.93804723,0.91977805
1583285136825,0.9905793,0.3253207,0.9358795
1583285136875,-0.29648915,2.108642,0.72352666
1583285136925,-0.11590472,-0.39698768,0.09964709
1583285136975,0.2920168,-0.7057495,0.042274825
1583285137025,0.018238293,-1.0124794,0.054496802
1583285137075,0.10528984,0.10635598,0.2034262
1583285137125,-0.45492002,0.1955934,0.07659331
1583285137175,-0.13590175,0.033412278,0.081915736
1583285137225,0.18848093,0.05642009,0.10752553
1583285137275,0.38972,0.43530205,0.20438749
1583285137325,0.54884475,0.009783933,0.109484136
1583285137375,0.6687983,-0.61752915,-0.028917035
1583285137425,1.3579369,-1.1114178,-0.24584496
1583285137475,3.3361413,-1.5867594,-0.62029356
1583285137525,4.645045,-2.8167033,-0.15104525
1583285137575,3.0536187,-1.1531284,-0.23986363
1583285137625,2.6364436,-0.54211205,0.0076202936
1583285137675,1.0935574,-2.2689493,0.6965751
1583285137725,0.28968138,-2.5775223,0.30860534
1583285137775,0.05866731,-1.4405373,0.81294423
1583285137825,-0.18067403,0.955683,0.07442249
1583285137875,-1.5459541,1.3967919,0.026337866
1583285137925,-2.3876488,1.9102361,0.36403242
1583285137975,-3.5988107,3.157492,0.31197304
1583285138025,-1.9829274,0.19295932,0.60010594
1583285138075,-1.9024174,-0.7826601,0.89294946
1583285138125,0.41282383,0.0483383,0.09301908
1583285138175,0.84432596,0.4747674,0.19561306
1583285138225,0.9877308,-0.71567845,-0.084622085
1583285138275,2.5133,0.32606098,-0.17371324
1583285138325,2.9996068,-1.3089645,-0.44198343
1583285138375,4.292747,-1.3970623,-0.6728041
1583285138425,3.649012,-1.3056393,-0.47381195
1583285138474,2.7503831,1.38075,-0.77895075
1583285138525,1.4745095,0.9804275,-0.36875516
1583285138575,0.10675707,0.8793772,-1.015882
1583285138625,0.21873106,0.84541965,-0.5786949
1583285138674,-0.5032904,0.4507866,-0.35711488
1583285138725,-0.43996894,-1.4296386,0.88789016
1583285138775,-0.05166273,-1.0632095,0.64687556
1583285138825,0.3097711,-0.35329658,0.42976686
1583285138875,-0.15743478,-0.91149384,0.70905316
1583285138925,-0.1230768,-0.12298113,-0.08057627
1583285138975,-1.1159658,-0.41167697,0.28366935
1583285139025,-0.9378739,-0.43652952,0.27915058
1583285139074,-0.5843248,-0.08583167,-0.050924297
1583285139125,-0.32840252,-0.5697208,-0.22504163
1583285139175,-0.03970754,-0.47519082,-0.47852108
1583285139225,0.25431666,-0.52356976,-0.08207178
1583285139274,-0.022979634,-0.23949188,-0.069832146
1583285139325,-0.13841434,0.069874845,-0.030611735
1583285139375,0.16037036,-0.16110949,0.1418792
1583285139425,0.33689088,-0.15181589,0.18915811
1583285139475,0.9750737,-0.22004156,0.17532298
1583285139525,1.4305807,-0.56123704,0.4436684
1583285139575,1.7918451,0.501662,0.09462574
1583285139625,0.897464,0.11042052,0.06063536
1583285139675,-0.45079648,-0.035873637,-0.20758119
1583285139725,-0.80677086,0.20056283,-0.101367146
1583285139774,-0.63860375,-0.26909205,0.42390695
1583285139825,-0.22304194,-0.53249097,0.55787605
1583285139874,0.38852632,-0.6656108,0.29300705
1583285139924,0.90929925,-0.36062402,0.15448609
1583285139975,0.89077294,-0.048349924,0.09386212
1583285140025,0.38197768,0.21978028,0.09978688
1583285140075,-0.3453135,0.04511788,0.20609967
1583285140125,0.16997556,0.3095134,-0.03474913
1583285140175,0.6882083,0.40600824,-0.115982726
1583285140225,1.575401,0.86806166,-0.47486615
1583285140275,2.9597328,0.8927694,-0.84888464
1583285140325,2.2749422,0.2695484,-0.9192288
1583285140375,0.906732,0.017898776,-0.75610733
1583285140425,0.1746061,-0.40244886,0.17612022
1583285140475,-0.8454192,-0.25086802,0.5573587
1583285140525,-0.5211149,0.46720928,-0.29932258
1583285140575,-0.39031458,-0.37822354,0.74683684
1583285140625,-0.5541874,0.57101977,-0.3899441
1583285140674,-0.9287876,0.27805758,-0.08905652
1583285140725,-0.71725047,-0.2788728,0.45241803
1583285140775,-0.332479,-0.025061334,-0.06930123
1583285140825,-0.6237199,0.047836564,-0.1577058
1583285140875,-1.5786026,-0.7035372,0.32089493
1583285140925,-3.2509074,-0.70225906,0.76699626
1583285140975,-2.76244,0.5226119,0.028513338
1583285141025,-0.7454068,0.28606737,-0.094366536
