Time,accX,accY,accZ
1583282177538,0.604295,0.196615,9.834577
1583282177557,0.6641825,0.2181745,9.73157
1583282177578,0.6018995,0.2421295,9.824994
1583282177598,0.470147,0.287644,9.94477
1583282177618,0.403073,0.239734,10.011844
1583282177637,0.441401,0.163078,10.071731
1583282177657,0.551594,0.182242,9.947165
1583282177677,0.604295,0.2421295,9.8681135
1583282177697,0.633041,0.263689,9.82739
1583282177717,0.5539895,0.258898,9.858532
1583282177737,0.460565,0.2229655,9.916023
1583282177756,0.465356,0.1558915,10.016635
1583282177776,0.5396165,0.187033,10.028612
1583282177797,0.594713,0.2469205,9.894464
1583282177817,0.618668,0.278062,9.892069
1583282177836,0.5875265,0.2660845,9.8681135
1583282177857,0.53243,0.230152,9.860927
1583282177877,0.5012885,0.1702645,9.935187
1583282177897,0.5252435,0.1606825,10.014239
1583282177917,0.58034,0.2373385,9.966329
1583282177937,0.5971085,0.292435,9.911233
1583282177956,0.5779445,0.263689,9.928001
1583282177976,0.5539895,0.2277565,9.892069
1583282177996,0.518057,0.1846375,9.90165
1583282178016,0.5348255,0.1558915,9.968724
1583282178036,0.594713,0.2229655,9.935187
1583282178056,0.604295,0.282853,9.930396
1583282178076,0.58034,0.278062,9.92321
1583282178094,0.551594,0.234943,9.899255
1583282178115,0.518057,0.1846375,9.896859
1583282178135,0.551594,0.1654735,9.937583
1583282178154,0.58034,0.206197,9.930396
1583282178174,0.589922,0.278062,9.916023
1583282178194,0.5827355,0.278062,9.932792
1583282178214,0.542012,0.2325475,9.966329
1583282178234,0.5300345,0.201406,9.913628
1583282178254,0.546803,0.177451,9.913628
1583282178274,0.575549,0.206197,9.92321
1583282178294,0.594713,0.2565025,9.928001
1583282178314,0.5731535,0.263689,9.94477
1583282178334,0.5444075,0.2373385,9.951956
1583282178354,0.5348255,0.1894285,9.930396
1583282178373,0.5587805,0.1846375,9.899255
1583282178394,0.5827355,0.1990105,9.908837
1583282178414,0.570758,0.2517115,9.92321
1583282178434,0.5587805,0.2756665,9.954351
1583282178453,0.551594,0.2373385,9.954351
1583282178473,0.5539895,0.1846375,9.908837
1583282178494,0.561176,0.191824,9.894464
1583282178513,0.58034,0.201406,9.904046
1583282178533,0.5779445,0.239734,9.930396
1583282178553,0.5491985,0.249316,9.942374
1583282178573,0.537221,0.239734,9.951956
1583282178593,0.556385,0.2133835,9.930396
1583282178613,0.570758,0.1990105,9.889673
1583282178633,0.58034,0.206197,9.887278
1583282178653,0.561176,0.2373385,9.937583
1583282178673,0.5396165,0.263689,9.975911
1583282178693,0.5348255,0.244525,9.94477
1583282178713,0.551594,0.1990105,9.932792
1583282178732,0.5731535,0.1846375,9.911233
1583282178753,0.5827355,0.225361,9.887278
1583282178773,0.5491985,0.2421295,9.935187
1583282178792,0.542012,0.2612935,9.978307
1583282178812,0.546803,0.244525,9.94956
1583282178832,0.561176,0.2038015,9.908837
1583282178852,0.5587805,0.187033,9.908837
1583282178873,0.5587805,0.2229655,9.889673
1583282178892,0.561176,0.2421295,9.94956
1583282178913,0.575549,0.2421295,9.968724
1583282178933,0.5731535,0.230152,9.925606
1583282178952,0.5587805,0.2133835,9.9208145
1583282178972,0.542012,0.1894285,9.939979
1583282178992,0.546803,0.225361,9.94477
1583282179012,0.58034,0.2469205,9.913628
1583282179032,0.5683625,0.2373385,9.930396
1583282179052,0.537221,0.22057,9.94956
1583282179072,0.53243,0.22057,9.935187
1583282179092,0.5348255,0.201406,9.928001
1583282179112,0.5779445,0.206197,9.911233
1583282179132,0.6018995,0.2421295,9.899255
1583282179152,0.5635715,0.2421295,9.947165
1583282179171,0.53243,0.239734,9.975911
1583282179192,0.5587805,0.2181745,9.947165
1583282179211,0.5731535,0.1942195,9.894464
1583282179231,0.570758,0.215779,9.894464
1583282179251,0.5731535,0.2373385,9.947165
1583282179271,0.5491985,0.249316,9.978307
1583282179291,0.542012,0.2229655,9.97112
1583282179311,0.5731535,0.2133835,9.90165
1583282179331,0.5875265,0.2038015,9.896859
1583282179351,0.5587805,0.2133835,9.9208145
1583282179371,0.537221,0.244525,9.935187
1583282179391,0.5491985,0.239734,9.9735155
1583282179411,0.585131,0.2325475,9.956747
1583282179431,0.565967,0.210988,9.899255
1583282179451,0.5444075,0.206197,9.904046
1583282179471,0.5587805,0.210988,9.932792
1583282179490,0.575549,0.2325475,9.954351
1583282179511,0.565967,0.244525,9.913628
1583282179531,0.546803,0.22057,9.916023
1583282179551,0.5444075,0.1990105,9.932792
1583282179570,0.5587805,0.201406,9.925606
1583282179591,0.58034,0.2133835,9.906442
1583282179610,0.5971085,0.2325475,9.90165
1583282179630,0.5539895,0.239734,9.935187
1583282179650,0.542012,0.225361,9.968724
1583282179670,0.551594,0.2085925,9.947165
1583282179690,0.5683625,0.2038015,9.913628
1583282179710,0.589922,0.225361,9.90165
1583282179730,0.5683625,0.2421295,9.899255
1583282179750,0.546803,0.239734,9.954351
1583282179770,0.542012,0.239734,9.961538
1583282179790,0.5683625,0.225361,9.918419
1583282179810,0.5731535,0.2085925,9.908837
1583282179830,0.556385,0.2038015,9.918419
1583282179849,0.5539895,0.230152,9.942374
1583282179870,0.542012,0.239734,9.942374
1583282179890,0.565967,0.2229655,9.939979
1583282179909,0.5731535,0.2085925,9.916023
1583282179929,0.5731535,0.2085925,9.92321
1583282179949,0.551594,0.22057,9.956747
1583282179970,0.561176,0.2421295,9.94477
1583282179989,0.5683625,0.2277565,9.930396
1583282180009,0.5587805,0.2277565,9.930396
1583282180029,0.5491985,0.2325475,9.932792
1583282180049,0.5635715,0.2133835,9.92321
1583282180069,0.570758,0.2085925,9.906442
1583282180090,0.5779445,0.225361,9.913628
1583282180110,0.561176,0.239734,9.92321
1583282180130,0.565967,0.225361,9.937583
1583282180149,0.561176,0.206197,9.908837
1583282180169,0.565967,0.206197,9.916023
1583282180189,0.5779445,0.2181745,9.906442
1583282180209,0.5587805,0.2373385,9.925606
1583282180229,0.556385,0.2325475,9.954351
1583282180250,0.565967,0.2325475,9.937583
1583282180270,0.5635715,0.234943,9.925606
1583282180289,0.551594,0.2133835,9.904046
1583282180309,0.5587805,0.2277565,9.9208145
1583282180329,0.5491985,0.2277565,9.942374
1583282180349,0.565967,0.230152,9.939979
1583282180369,0.5683625,0.22057,9.913628
1583282180388,0.561176,0.2133835,9.92321
1583282180408,0.561176,0.215779,9.925606
1583282180429,0.5587805,0.2229655,9.94477
1583282180448,0.5779445,0.2229655,9.930396
1583282180468,0.5587805,0.22057,9.928001
1583282180489,0.546803,0.2229655,9.925606
1583282180508,0.5635715,0.2229655,9.925606
1583282180528,0.556385,0.210988,9.911233
1583282180548,0.5731535,0.230152,9.928001
1583282180568,0.570758,0.2373385,9.954351
1583282180588,0.551594,0.234943,9.947165
1583282180607,0.5587805,0.2277565,9.916023
1583282180628,0.561176,0.2229655,9.9208145
1583282180648,0.556385,0.2133835,9.935187
1583282180668,0.5587805,0.22057,9.928001
1583282180688,0.556385,0.230152,9.918419
1583282180708,0.5587805,0.2325475,9.937583
1583282180728,0.565967,0.225361,9.935187
1583282180747,0.5731535,0.22057,9.932792
1583282180768,0.5635715,0.22057,9.928001
1583282180788,0.565967,0.2038015,9.932792
1583282180808,0.5683625,0.2277565,9.956747
1583282180828,0.5683625,0.2277565,9.942374
1583282180848,0.5635715,0.2277565,9.942374
1583282180868,0.5587805,0.215779,9.930396
1583282180887,0.5587805,0.22057,9.935187
1583282180907,0.5683625,0.2325475,9.932792
1583282180927,0.5683625,0.2181745,9.939979
1583282180947,0.5635715,0.225361,9.930396
1583282180967,0.5635715,0.2277565,9.916023
1583282180987,0.546803,0.22057,9.932792
1583282181007,0.5539895,0.210988,9.935187
1583282181027,0.575549,0.2229655,9.918419
1583282181047,0.5779445,0.2277565,9.9208145
1583282181067,0.542012,0.230152,9.928001
1583282181087,0.5444075,0.215779,9.956747
1583282181107,0.565967,0.225361,9.930396
1583282181127,0.585131,0.230152,9.918419
1583282181147,0.561176,0.2229655,9.918419
1583282181167,0.5491985,0.2277565,9.930396
1583282181186,0.551594,0.225361,9.935187
1583282181207,0.5491985,0.2229655,9.937583
1583282181227,0.5731535,0.225361,9.916023
1583282181246,0.556385,0.2085925,9.92321
1583282181266,0.5491985,0.215779,9.9208145
1583282181286,0.556385,0.234943,9.94477
1583282181306,0.561176,0.2421295,9.935187
1583282181326,0.565967,0.2277565,9.935187
1583282181346,0.5539895,0.2181745,9.930396
1583282181366,0.5587805,0.225361,9.935187
1583282181386,0.5491985,0.2229655,9.951956
1583282181406,0.561176,0.2373385,9.937583
1583282181426,0.58034,0.22057,9.928001
1583282181446,0.561176,0.2133835,9.911233
1583282181466,0.551594,0.215779,9.942374
1583282181486,0.565967,0.2181745,9.932792
1583282181506,0.565967,0.2229655,9.92321
Time,accX,accY,accZ
1583282177538,0.604295,0.196615,9.834577
1583282177557,0.6641825,0.2181745,9.73157
1583282177578,0.6018995,0.2421295,9.824994
1583282177598,0.470147,0.287644,9.94477
1583282177618,0.403073,0.239734,10.011844
1583282177637,0.441401,0.163078,10.071731
1583282177657,0.551594,0.182242,9.947165
1583282177677,0.604295,0.2421295,9.8681135
1583282177697,0.633041,0.263689,9.82739
1583282177717,0.5539895,0.258898,9.858532
1583282177737,0.460565,0.2229655,9.916023
1583282177756,0.465356,0.1558915,10.016635
1583282177776,0.5396165,0.187033,10.028612
1583282177797,0.594713,0.2469205,9.894464
1583282177817,0.618668,0.278062,9.892069
1583282177836,0.5875265,0.2660845,9.8681135
1583282177857,0.53243,0.230152,9.860927
1583282177877,0.5012885,0.1702645,9.935187
1583282177897,0.5252435,0.1606825,10.014239
1583282177917,0.58034,0.2373385,9.966329
1583282177937,0.5971085,0.292435,9.911233
1583282177956,0.5779445,0.263689,9.928001
1583282177976,0.5539895,0.2277565,9.892069
1583282177996,0.518057,0.1846375,9.90165
1583282178016,0.5348255,0.1558915,9.968724
1583282178036,0.594713,0.2229655,9.935187
1583282178056,0.604295,0.282853,9.930396
1583282178076,0.58034,0.278062,9.92321
1583282178094,0.551594,0.234943,9.899255
1583282178115,0.518057,0.1846375,9.896859
1583282178135,0.551594,0.1654735,9.937583
1583282178154,0.58034,0.206197,9.930396
1583282178174,0.589922,0.278062,9.916023
1583282178194,0.5827355,0.278062,9.932792
1583282178214,0.542012,0.2325475,9.966329
1583282178234,0.5300345,0.201406,9.913628
1583282178254,0.546803,0.177451,9.913628
1583282178274,0.575549,0.206197,9.92321
1583282178294,0.594713,0.2565025,9.928001
1583282178314,0.5731535,0.263689,9.94477
1583282178334,0.5444075,0.2373385,9.951956
1583282178354,0.5348255,0.1894285,9.930396
1583282178373,0.5587805,0.1846375,9.899255
1583282178394,0.5827355,0.1990105,9.908837
1583282178414,0.570758,0.2517115,9.92321
1583282178434,0.5587805,0.2756665,9.954351
1583282178453,0.551594,0.2373385,9.954351
1583282178473,0.5539895,0.1846375,9.908837
1583282178494,0.561176,0.191824,9.894464
1583282178513,0.58034,0.201406,9.904046
1583282178533,0.5779445,0.239734,9.930396
1583282178553,0.5491985,0.249316,9.942374
1583282178573,0.537221,0.239734,9.951956
1583282178593,0.556385,0.2133835,9.930396
1583282178613,0.570758,0.1990105,9.889673
1583282178633,0.58034,0.206197,9.887278
1583282178653,0.561176,0.2373385,9.937583
1583282178673,0.5396165,0.263689,9.975911
1583282178693,0.5348255,0.244525,9.94477
1583282178713,0.551594,0.1990105,9.932792
1583282178732,0.5731535,0.1846375,9.911233
1583282178753,0.5827355,0.225361,9.887278
1583282178773,0.5491985,0.2421295,9.935187
1583282178792,0.542012,0.2612935,9.978307
1583282178812,0.546803,0.244525,9.94956
1583282178832,0.561176,0.2038015,9.908837
1583282178852,0.5587805,0.187033,9.908837
1583282178873,0.5587805,0.2229655,9.889673
1583282178892,0.561176,0.2421295,9.94956
1583282178913,0.575549,0.2421295,9.968724
1583282178933,0.5731535,0.230152,9.925606
1583282178952,0.5587805,0.2133835,9.9208145
1583282178972,0.542012,0.1894285,9.939979
1583282178992,0.546803,0.225361,9.94477
1583282179012,0.58034,0.2469205,9.913628
1583282179032,0.5683625,0.2373385,9.930396
1583282179052,0.537221,0.22057,9.94956
1583282179072,0.53243,0.22057,9.935187
1583282179092,0.5348255,0.201406,9.928001
1583282179112,0.5779445,0.206197,9.911233
1583282179132,0.6018995,0.2421295,9.899255
1583282179152,0.5635715,0.2421295,9.947165
1583282179171,0.53243,0.239734,9.975911
1583282179192,0.5587805,0.2181745,9.947165
1583282179211,0.5731535,0.1942195,9.894464
1583282179231,0.570758,0.215779,9.894464
1583282179251,0.5731535,0.2373385,9.947165
1583282179271,0.5491985,0.249316,9.978307
1583282179291,0.542012,0.2229655,9.97112
1583282179311,0.5731535,0.2133835,9.90165
1583282179331,0.5875265,0.2038015,9.896859
1583282179351,0.5587805,0.2133835,9.9208145
1583282179371,0.537221,0.244525,9.935187
1583282179391,0.5491985,0.239734,9.9735155
1583282179411,0.585131,0.2325475,9.956747
1583282179431,0.565967,0.210988,9.899255
1583282179451,0.5444075,0.206197,9.904046
1583282179471,0.5587805,0.210988,9.932792
1583282179490,0.575549,0.2325475,9.954351
1583282179511,0.565967,0.244525,9.913628
1583282179531,0.546803,0.22057,9.916023
1583282179551,0.5444075,0.1990105,9.932792
1583282179570,0.5587805,0.201406,9.925606
1583282179591,0.58034,0.2133835,9.906442
1583282179610,0.5971085,0.2325475,9.90165
1583282179630,0.5539895,0.239734,9.935187
1583282179650,0.542012,0.225361,9.968724
1583282179670,0.551594,0.2085925,9.947165
1583282179690,0.5683625,0.2038015,9.913628
1583282179710,0.589922,0.225361,9.90165
1583282179730,0.5683625,0.2421295,9.899255
1583282179750,0.546803,0.239734,9.954351
1583282179770,0.542012,0.239734,9.961538
1583282179790,0.5683625,0.225361,9.918419
1583282179810,0.5731535,0.2085925,9.908837
1583282179830,0.556385,0.2038015,9.918419
1583282179849,0.5539895,0.230152,9.942374
1583282179870,0.542012,0.239734,9.942374
1583282179890,0.565967,0.2229655,9.939979
1583282179909,0.5731535,0.2085925,9.916023
1583282179929,0.5731535,0.2085925,9.92321
1583282179949,0.551594,0.22057,9.956747
1583282179970,0.561176,0.2421295,9.94477
1583282179989,0.5683625,0.2277565,9.930396
1583282180009,0.5587805,0.2277565,9.930396
1583282180029,0.5491985,0.2325475,9.932792
1583282180049,0.5635715,0.2133835,9.92321
1583282180069,0.570758,0.2085925,9.906442
1583282180090,0.5779445,0.225361,9.913628
1583282180110,0.561176,0.239734,9.92321
1583282180130,0.565967,0.225361,9.937583
1583282180149,0.561176,0.206197,9.908837
1583282180169,0.565967,0.206197,9.916023
1583282180189,0.5779445,0.2181745,9.906442
1583282180209,0.5587805,0.2373385,9.925606
1583282180229,0.556385,0.2325475,9.954351
1583282180250,0.565967,0.2325475,9.937583
1583282180270,0.5635715,0.234943,9.925606
1583282180289,0.551594,0.2133835,9.904046
1583282180309,0.5587805,0.2277565,9.9208145
1583282180329,0.5491985,0.2277565,9.942374
1583282180349,0.565967,0.230152,9.939979
1583282180369,0.5683625,0.22057,9.913628
1583282180388,0.561176,0.2133835,9.92321
1583282180408,0.561176,0.215779,9.925606
1583282180429,0.5587805,0.2229655,9.94477
1583282180448,0.5779445,0.2229655,9.930396
1583282180468,0.5587805,0.22057,9.928001
1583282180489,0.546803,0.2229655,9.925606
1583282180508,0.5635715,0.2229655,9.925606
1583282180528,0.556385,0.210988,9.911233
1583282180548,0.5731535,0.230152,9.928001
1583282180568,0.570758,0.2373385,9.954351
1583282180588,0.551594,0.234943,9.947165
1583282180607,0.5587805,0.2277565,9.916023
1583282180628,0.561176,0.2229655,9.9208145
1583282180648,0.556385,0.2133835,9.935187
1583282180668,0.5587805,0.22057,9.928001
1583282180688,0.556385,0.230152,9.918419
1583282180708,0.5587805,0.2325475,9.937583
1583282180728,0.565967,0.225361,9.935187
1583282180747,0.5731535,0.22057,9.932792
1583282180768,0.5635715,0.22057,9.928001
1583282180788,0.565967,0.2038015,9.932792
1583282180808,0.5683625,0.2277565,9.956747
1583282180828,0.5683625,0.2277565,9.942374
1583282180848,0.5635715,0.2277565,9.942374
1583282180868,0.5587805,0.215779,9.930396
1583282180887,0.5587805,0.22057,9.935187
1583282180907,0.5683625,0.2325475,9.932792
1583282180927,0.5683625,0.2181745,9.939979
1583282180947,0.5635715,0.225361,9.930396
1583282180967,0.5635715,0.2277565,9.916023
1583282180987,0.546803,0.22057,9.932792
1583282181007,0.5539895,0.210988,9.935187
1583282181027,0.575549,0.2229655,9.918419
1583282181047,0.5779445,0.2277565,9.9208145
1583282181067,0.542012,0.230152,9.928001
1583282181087,0.5444075,0.215779,9.956747
1583282181107,0.565967,0.225361,9.930396
1583282181127,0.585131,0.230152,9.918419
1583282181147,0.561176,0.2229655,9.918419
1583282181167,0.5491985,0.2277565,9.930396
1583282181186,0.551594,0.225361,9.935187
1583282181207,0.5491985,0.2229655,9.937583
1583282181227,0.5731535,0.225361,9.916023
1583282181246,0.556385,0.2085925,9.92321
1583282181266,0.5491985,0.215779,9.9208145
1583282181286,0.556385,0.234943,9.94477
1583282181306,0.561176,0.2421295,9.935187
1583282181326,0.565967,0.2277565,9.935187
1583282181346,0.5539895,0.2181745,9.930396
1583282181366,0.5587805,0.225361,9.935187
1583282181386,0.5491985,0.2229655,9.951956
1583282181406,0.561176,0.2373385,9.937583
1583282181426,0.58034,0.22057,9.928001
1583282181446,0.561176,0.2133835,9.911233
1583282181466,0.551594,0.215779,9.942374
1583282181486,0.565967,0.2181745,9.932792
1583282181506,0.565967,0.2229655,9.92321
