Time,rotX,rotY,rotZosboxe
1583285116624,-1.3950865,-1.6565619,0.10671237
1583285116675,-0.16095151,-1.2230848,0.2975061
1583285116725,1.5129111,0.5747243,0.9180781
1583285116775,-0.71414196,0.89245343,1.5320972
1583285116825,-3.793171,2.3813484,0.91677374
1583285116875,-3.2466772,1.5763712,0.9256162
1583285116925,1.0274069,0.90378976,0.5292571
1583285116975,0.91243505,0.6362624,0.4761801
1583285117025,-0.15102454,0.5916312,0.35670796
1583285117075,-0.31894112,0.37074757,0.39863715
1583285117125,0.25392148,0.104786724,0.17373616
1583285117175,0.70080894,-0.20690943,-0.14672564
1583285117225,0.8590556,-0.4626138,-0.60855806
1583285117275,-0.010609319,-0.7030095,-0.8276455
1583285117325,-0.32047665,-1.8651202,-1.1290139
1583285117375,0.1789547,-1.6382455,-1.2345432
1583285117424,0.76072204,-1.106186,-0.83332866
1583285117475,1.5585635,-0.6322901,-0.2605649
1583285117525,2.610077,-0.9838825,-0.30908492
1583285117575,4.8886943,-1.9061131,-0.88042134
1583285117625,6.48955,-2.920865,-0.7398258
1583285117675,-0.13807537,-0.24482702,0.0062858276
1583285117725,-0.087675855,0.41804627,-0.26074606
1583285117775,-0.3840287,0.12291757,-0.0023029335
1583285117825,-0.78318655,0.13951729,0.1983054
1583285117875,-1.0711948,0.5929401,-7.0949085E-4
1583285117925,-2.0310042,0.8223173,-0.06435387
1583285117975,-1.2126787,0.36728436,0.049639862
1583285118025,-0.37579453,0.1373409,0.14242691
1583285118075,-0.351365,-0.019461684,0.025751425
1583285118125,-0.18009822,0.02086481,-0.06114484
1583285118175,-0.35251474,-0.09202748,0.0024512615
1583285118225,-0.32850266,-0.221119,0.008657974
1583285118275,-0.20338987,-0.4170463,0.07780348
1583285118325,-0.9497201,-0.83464503,-0.026140563
1583285118375,-1.4480428,-0.18155442,-0.3506256
1583285118425,-1.1353047,0.22626464,-0.1864289
1583285118475,-0.6859824,0.40867242,-0.09072377
1583285118525,-1.0208888,0.64161724,-0.17088549
1583285118575,-1.3795538,0.84922117,-0.24474803
1583285118625,-1.0892057,0.49182853,-0.1261617
1583285118675,-0.31663495,0.23734622,-0.09147997
