Time,accX,accY,accZ
1583283615863,3.8416011,-5.759827,8.639227
1583283615912,3.6624608,-5.7684073,8.019562
1583283615963,3.5230327,-5.1646156,6.7114606
1583283616012,3.2505424,-6.8119984,12.001007
1583283616062,-0.16944236,-2.078212,11.574906
1583283616112,0.8207456,-4.1611266,7.9943595
1583283616163,1.0500759,-5.8678017,8.046781
1583283616212,0.8915466,-4.889606,8.664463
1583283616262,0.81404126,-3.847966,8.981537
1583283616313,0.85288537,-4.515109,8.909693
1583283616362,0.9775187,-5.0456324,8.221947
1583283616413,1.3845277,-3.8906503,8.763185
1583283616463,1.4334638,-3.4993005,9.084112
1583283616512,0.6255235,-4.5577273,8.754774
1583283616563,0.24454302,-3.962343,8.878564
1583283616612,0.5416812,-3.6737692,9.379541
1583283616663,0.83025867,-3.8715403,9.104386
1583283616712,1.0250725,-3.9622068,8.918522
1583283616762,0.72341967,-4.225162,8.867304
1583283616813,0.7598062,-3.6945353,9.046996
1583283616863,0.98122686,-3.8074646,8.983095
1583283616912,0.9133764,-3.6472776,9.071078
1583283616963,0.73593163,-4.192252,8.878425
1583283617013,0.5066718,-4.3666,8.815002
1583283617062,0.4301105,-4.068611,8.974961
1583283617112,0.49515522,-4.0646396,8.964909
1583283617163,0.6275588,-4.154973,8.955619
1583283617213,0.77424985,-4.238323,8.876502
1583283617262,0.70240307,-3.9295805,8.894505
1583283617313,0.6731193,-4.062694,8.957665
1583283617363,0.6973639,-4.1947203,8.867978
1583283617413,0.7435856,-4.144418,8.863615
1583283617462,0.77362645,-3.9773917,8.918047
1583283617513,0.7293947,-4.128158,8.882451
1583283617562,0.61062413,-4.6820197,8.586658
1583283617612,0.6301123,-4.3941374,8.766627
1583283617663,0.6833659,-4.177181,8.888927
1583283617712,0.24399108,-4.219091,8.888262
1583283617763,0.32616073,-4.8406816,8.6425905
1583283617812,0.67888933,-4.5347943,8.800826
1583283617862,0.5702025,-4.1579633,8.73394
1583283617913,0.5763536,-4.581517,8.66162
1583283617963,0.6104398,-4.4855843,8.690978
1583283618012,0.72537833,-4.451804,8.689673
1583283618062,0.58422387,-4.419493,8.731882
1583283618112,0.5871952,-4.6243463,8.673908
1583283618162,0.5230931,-4.833487,8.52363
1583283618212,0.45170462,-4.6392684,8.678279
1583283618263,0.5146259,-4.6185412,8.640793
1583283618312,0.4333019,-4.613486,8.624102
1583283618363,0.3930085,-4.917473,8.498615
1583283618412,0.64377487,-4.9114704,8.590766
1583283618463,2.2616668,-5.0769043,9.610124
1583283618513,5.397456,-8.288268,10.829937
1583283618562,6.4597816,-8.071424,8.231951
1583283618613,2.465869,-3.2485585,3.9303634
1583283618663,-2.0315886,-1.9321884,2.4675665
1583283618712,-4.7492776,-0.8181969,3.1622205
1583283618762,-5.165265,-1.1434562,4.779495
1583283618813,-3.5228615,-3.343872,6.476391
1583283618862,-1.7557837,-7.7960153,9.261919
1583283618913,-1.905842,-10.13159,9.67872
1583283618962,-1.2153567,-16.391386,11.168863
1583283619012,2.6131809,-11.636149,3.797472
1583283619062,4.5946445,-7.737756,1.1868924
1583283619112,5.5796723,-6.546622,0.653917
1583283619162,5.9312377,-8.953367,-0.9063308
1583283619213,5.1878324,-9.028261,0.14403838
1583283619263,5.288571,-8.270388,1.9549258
1583283619312,4.8626795,-8.247697,2.414045
1583283619362,4.3392053,-8.507622,1.4768231
1583283619412,4.3520155,-8.394691,0.82574147
1583283619463,4.6546392,-8.348085,1.4061241
1583283619513,4.7597766,-8.322178,1.571131
1583283619562,4.7428813,-8.419701,1.2719175
1583283619612,4.6932373,-8.353541,1.2420061
1583283619662,4.680276,-8.359956,1.2450091
1583283619712,4.6364236,-8.34267,1.2610413
1583283619763,4.6530814,-8.441812,1.3132071
1583283619813,4.580409,-8.387684,1.2912947
1583283619863,4.5689826,-8.407498,1.3411922
1583283619912,4.658261,-8.387465,1.420912
1583283619963,4.596753,-8.411879,1.2973086
1583283620013,4.6214976,-8.372088,1.2066149
1583283620063,4.6535583,-8.4034,1.2780972
1583283620113,4.621479,-8.422278,1.2067063
