Time,rotX,rotY,rotZosboxe
1583282295437,4.7486275E-4,-2.1314947E-4,9.241421E-4
1583282295488,3.946484E-4,2.9779784E-4,6.267708E-5
1583282295538,1.5060836E-4,-0.0010927562,-4.4957083E-4
1583282295588,-4.6681706E-4,-3.7538027E-4,-1.4085788E-4
1583282295638,5.9818313E-4,-5.6759827E-4,-1.4085788E-4
1583282295688,5.9818313E-4,-9.0068486E-4,3.5992637E-4
1583282295737,-1.7220853E-4,-3.3646962E-4,9.241421E-4
1583282295788,5.7361415E-4,-3.3646962E-4,-1.1628913E-4
1583282295837,5.9818313E-4,-5.817511E-4,-1.4085788E-4
1583282295887,5.9818313E-4,-8.8677555E-4,-1.4085788E-4
1583282295938,5.9818313E-4,4.4826372E-4,6.4387545E-4
1583282295987,5.9818313E-4,-3.2624137E-4,9.241421E-4
1583282296038,5.9818313E-4,-0.0014014691,-0.0012058576
1583282296088,6.955839E-5,-3.4421962E-4,-1.4860835E-4
1583282296138,-4.6681706E-4,7.2853034E-4,1.2567919E-4
1583282296187,6.014793E-4,-3.3317367E-4,-0.0011992652
1583282296238,0.0013906602,7.2853034E-4,6.516194E-4
1583282296288,5.562161E-5,1.8596882E-4,-6.834192E-4
1583282296338,-4.6681706E-4,-3.3646962E-4,4.193443E-4
1583282296387,6.158089E-4,-3.1884387E-4,8.888906E-4
1583282296438,0.0013763192,1.5480258E-4,-9.189937E-4
1583282296488,5.9818313E-4,-2.9992033E-4,4.099165E-4
1583282296537,-2.1566334E-4,-8.531567E-5,1.102956E-4
1583282296588,-4.6681706E-4,-0.0013459651,-1.2235623E-4
1583282296638,-4.6681706E-4,0.0015049903,9.241421E-4
1583282296688,9.133527E-5,1.7037801E-4,3.659902E-4
1583282296738,5.9818313E-4,-0.0011642734,-1.4085788E-4
1583282296787,5.9818313E-4,6.9571333E-4,-1.4085788E-4
1583282296837,2.9611657E-4,-3.3646962E-4,-1.4085788E-4
1583282296887,-4.6681706E-4,2.3563579E-4,-1.4085788E-4
1583282296938,-4.6681706E-4,-1.136139E-4,-1.4085788E-4
1583282296987,-4.6681706E-4,-3.3646962E-4,-1.4085788E-4
1583282297038,-1.5040883E-4,-3.3646962E-4,-1.4085788E-4
