Time,rotX,rotY,rotZosboxe
1583285246688,-0.081772394,-0.09368041,-0.009351219
1583285246737,-0.044192687,-0.10943891,-0.050471146
1583285246788,-0.031665776,-0.13119878,-0.10740356
1583285246838,0.0021909392,-0.061190836,-0.017334897
1583285246887,0.051162086,-0.02833196,-0.010267696
1583285246937,0.09575436,-0.037308905,-0.023203261
1583285246988,0.11913428,-0.02134863,-0.009349251
1583285247038,0.107647374,0.013841981,-0.031283602
1583285247088,0.0719883,0.0925705,-0.07449266
1583285247137,0.02146914,0.028051814,-0.03732856
1583285247187,-0.06832512,-0.036624573,0.0067758216
1583285247237,-0.16060321,-0.096107066,0.045072965
1583285247287,-0.1681985,-0.027943367,0.1680564
1583285247337,-0.25912017,3.7909532E-4,0.1583868
1583285247388,-0.4582714,0.048316363,0.3834299
1583285247437,-0.21220818,0.38040045,0.729538
1583285247488,-0.21156701,0.28899562,0.5241317
1583285247537,-0.28161207,-0.15676606,0.09702195
1583285247587,-0.40780604,-0.5117979,-0.056105867
1583285247638,-0.17573397,-0.2611772,-0.066618964
1583285247688,-0.011563323,-0.23985939,-0.118891224
1583285247737,-0.09523687,-0.08837619,0.06652184
1583285247787,-0.22050442,0.015394829,0.12590194
1583285247838,-0.29745737,-0.0874471,-0.06903438
1583285247888,-0.43377426,-0.17680083,-0.16827476
1583285247937,-0.7544289,-0.4095164,-0.2205635
1583285247987,-0.80956936,-0.5231598,-0.075978726
1583285248038,-0.50555694,-0.33150175,-0.021602683
1583285248087,-0.3739997,-0.20369753,-0.022168892
1583285248138,-0.28987992,-0.20160879,-0.054975864
1583285248188,-0.17514645,-0.26727784,-0.12987307
1583285248237,-0.11603132,-0.16043615,-0.13235162
1583285248288,-0.07816528,-0.050123952,-0.0061250404
1583285248338,-0.08712203,-0.02454328,0.06573562
1583285248388,-0.17463252,-0.0656126,0.019364696
1583285248437,-0.2011445,-0.002540614,-0.022549279
1583285248487,-0.21393289,-0.0406713,-0.18999124
1583285248538,-0.18667139,-0.119835675,-0.16572922
1583285248588,-0.08072834,-0.07706088,-0.07327491
1583285248637,-0.008056803,-0.012529207,-0.07824938
1583285248687,0.017794145,0.02819099,-0.120361924
1583285248738,0.084144995,0.037950043,-0.17188679
1583285248788,0.12687032,0.016057024,-0.17577313
1583285248838,-0.029498482,-0.070503265,-0.14430942
1583285248888,-0.17669557,-0.11820319,-0.04165329
1583285248938,-0.40568286,-0.17228048,0.15719007
1583285248987,-0.96473855,-0.34262377,0.5083769
1583285249037,-0.26413262,-0.34089687,0.05503431
1583285249088,0.2476299,0.21073802,-0.07316157
1583285249138,0.08523024,0.28140122,0.08280988
1583285249188,0.36389014,0.37161854,0.066368446
1583285249238,0.7548845,0.31549558,0.10818057
1583285249287,0.5714834,0.060442932,0.29530755
1583285249337,0.4253129,0.060491446,0.5484842
1583285249388,0.30889255,-0.11863491,0.02979419
1583285249437,0.17073955,-0.18964167,-0.3286403
1583285249488,-0.15490152,-0.22057001,-0.19841704
1583285249538,-0.343346,-0.25163078,-0.0589461
1583285249588,-0.17862128,-0.13300507,-0.07678349
1583285249637,-0.05323262,-0.48321226,-0.29277855
1583285249688,0.22067346,-0.7526525,-0.5900704
1583285249738,0.12089877,-0.43235612,-0.61791974
1583285249787,-0.21048015,-0.29058847,-0.40936512
1583285249837,-0.37412173,-0.20515555,-0.09136379
1583285249887,-0.33417544,-0.21196312,0.0710409
1583285249937,-0.1774038,-0.089378,0.08257939
1583285249987,-0.19124368,-0.022932058,0.010167871
1583285250037,-0.16420008,-0.044596963,0.02965412
1583285250087,-0.11620345,-0.054598223,0.035110813
1583285250137,-0.09704071,-0.027147,0.049877763
1583285250187,-0.13860115,-0.04381945,0.034380954
1583285250237,-0.20066257,-0.14536859,0.031723447
1583285250287,-0.21176006,-0.19550246,0.03252611
1583285250338,-0.11574114,-0.11457214,0.0147612505
1583285250387,-0.101763494,-0.046886295,-0.035894215
1583285250438,-0.0011990094,-0.15334284,-0.010338146
1583285250488,-0.06513443,-0.024329266,0.069592044
1583285250538,0.042115055,0.02500499,0.076138645
1583285250587,0.090384156,0.07028754,0.10232566
1583285250638,0.06808308,0.031155277,0.10353634
1583285250687,0.06611791,0.034550212,0.072770625
1583285250737,0.16242109,0.05417003,-0.019018557
1583285250788,0.14434966,0.017091317,0.0684907
1583285250838,0.0731307,-0.020624962,-0.043486904
1583285250888,-0.0044012074,0.0067817853,-0.100245684
1583285250937,0.014183847,0.0066917264,-0.086409986
1583285250987,0.030574707,-0.02512887,-0.072640285
1583285251038,0.15027682,0.033226743,0.02798519
1583285251087,0.101540886,0.049445502,0.014680494
1583285251138,-0.03415744,-0.036200147,-0.11150469
1583285251188,-0.016347097,-0.037664127,-0.18654275
1583285251237,-0.17648245,-0.07987185,-0.18654661
1583285251287,-0.28265354,-0.07204094,-0.04215936
1583285251338,-0.2520456,-0.08007425,0.022306899
1583285251387,-0.11473666,-0.002966871,0.039718993
1583285251437,-0.17151655,-0.10355539,0.100943774
1583285251487,-0.18852405,-0.1524125,0.11806595
1583285251538,-0.11514215,-0.32773447,0.07939425
1583285251587,-0.18483377,-0.37785813,0.008243848
1583285251637,-0.07043691,-0.18609078,-0.096603096
1583285251688,0.024928859,-0.018032173,-0.13397405
1583285251737,0.12492673,0.0889588,-0.25953308
1583285251788,-0.11536052,-0.054487895,-0.34686857
1583285251837,-0.16673023,-0.20246771,-0.30223706
1583285251887,0.35317785,-0.09313801,-0.2693441
1583285251937,0.4295341,0.07596969,-0.29440117
1583285251987,0.62395084,0.20409004,-0.098511755
1583285252038,0.94878215,0.19052689,0.16895926
1583285252087,0.7378796,0.26179308,0.5062962
1583285252138,2.0352833,1.3480628,1.1553215
1583285252187,1.783407,1.7962109,2.0028698
1583285252238,0.9356757,1.3609424,1.6519564
1583285252288,0.62120396,1.1422846,0.2279816
1583285252337,-0.32254094,0.4841687,-1.0190904
1583285252388,-0.61736465,-0.054086454,-0.99497944
1583285252437,-1.0438194,-0.26127025,-0.60824764
1583285252488,-1.4405768,-0.8495314,-0.051000323
1583285252538,-0.86426824,-0.6775306,-9.578094E-4
1583285252587,0.2249514,0.25468275,0.4336771
1583285252637,0.22808869,0.20106088,0.460271
1583285252687,0.3602081,0.3908075,1.0582396
1583285252737,0.90212345,0.6863127,2.7031062
1583285252787,1.4010245,0.6058167,3.1794891
1583285252838,1.2425385,0.43734,2.3456578
1583285252888,1.1345387,0.40422255,1.8292385
1583285252938,0.71935934,0.22244538,1.3790631
1583285252987,0.5808951,0.35038438,1.2242545
1583285253037,0.7409294,0.54576206,1.5236253
1583285253087,0.57326055,0.24725507,0.7058462
1583285253137,0.2644982,-0.017505364,0.0739094
1583285253187,0.39348936,-0.03204028,0.22829169
1583285253237,0.072167985,-0.04262052,-0.008028168
1583285253288,-0.04009434,-0.013874518,-0.06365726
1583285253338,-0.0037096222,0.038455296,-0.0033235177
1583285253425,0.17924556,-0.012675138,0.05273373
1583285253475,0.2609541,-0.047678992,0.026851311
1583285253525,0.24583723,-0.045161437,-0.044909235
1583285253575,0.27890092,0.039642792,0.09714952
1583285253625,0.16885184,0.089232564,0.10388078
1583285253675,0.17518295,0.12708794,0.040001277
1583285253725,-0.1385315,0.023957012,-0.042054545
1583285253775,-0.27807683,-0.06698403,-0.06498392
1583285253825,-0.46182352,-0.01171946,-0.010022241
1583285253875,-0.66455543,0.26448113,0.22268714
1583285253925,-0.2213072,0.33350772,0.6825283
1583285253975,-0.16541924,0.15238725,0.27191556
1583285254025,-0.17154138,0.10306378,0.22164807
1583285254075,-0.028676566,0.0780286,0.2521931
1583285254125,0.045062073,0.035016567,0.3159081
1583285254175,0.18097837,0.020647468,0.3142881
1583285254225,0.068607695,0.050282888,0.12879258
1583285254275,-6.3355453E-4,0.0073216124,0.09051229
1583285254325,0.058118306,0.047386542,0.18319835
1583285254375,0.09954743,0.05005181,0.1230396
1583285254424,0.15037607,0.01807043,0.14509988
1583285254475,-0.024076356,0.0143096205,-0.0077915452
1583285254525,-0.091122635,0.15598057,-0.05778252
1583285254575,-0.07742758,0.16778721,-0.07040286
1583285254625,-0.061915062,0.61211026,-0.06400786
1583285254675,0.1978075,0.9522195,0.26964977
1583285254725,0.19381858,0.6623541,0.29840866
1583285254775,-0.005987709,0.24615102,0.25967452
1583285254825,-0.0029505696,0.050064854,0.19893481
