Time,accX,accY,accZ
1583284656063,-8.554034,3.4704742,-0.7614627
1583284656112,-9.212679,5.9927206,-0.8897621
1583284656163,-12.570857,5.5632305,-2.1244075
1583284656213,-15.785082,1.1087654,-2.5132537
1583284656263,-14.055189,-2.9586372,0.15318751
1583284656313,-12.5019245,-2.243063,-0.46841377
1583284656363,-9.42876,-0.13081968,-2.4832997
1583284656412,-7.4002438,-0.059720382,-2.0633311
1583284656463,-7.5766344,-1.1501405,-2.0778942
1583284656512,-8.068608,-2.7284777,-1.8129158
1583284656563,-9.402934,-3.2327826,-1.7695061
1583284656613,-13.299227,-3.188099,-1.8762656
1583284656662,-15.645507,-2.9582455,-0.70156515
1583284656712,-12.96162,-0.5066984,-0.9490062
1583284656763,-14.112932,-1.0945395,-0.54528403
1583284656813,-14.289977,-1.9968015,-0.84723353
1583284656862,-13.427485,-1.1724585,0.17715454
1583284656913,-12.397001,0.0886156,-0.68893933
1583284656962,-8.914313,3.6170764,0.34446603
1583284657013,-7.2435102,3.8108459,0.14726269
1583284657062,-7.3404016,2.0053277,-1.3122256
1583284657113,-10.444913,1.9833115,-2.4598393
1583284657163,-14.291815,-0.67738664,-3.783472
1583284657212,-16.663363,-3.4507265,-2.0060441
1583284657262,-15.613392,-2.0049148,-1.0693079
1583284657312,-11.325332,0.743809,-4.1320944
1583284657363,-8.709822,0.74195445,-3.1545458
1583284657412,-7.535916,-0.6846422,-2.215265
1583284657463,-6.5136633,-1.3353004,-2.8762987
1583284657513,-6.644782,-0.5869217,-4.109677
1583284657563,-12.244671,-0.625766,-4.9810033
1583284657613,-16.977455,0.27716172,-5.804192
1583284657662,-12.5482855,3.0168657,-3.487645
1583284657712,-11.459324,-0.75768995,1.03752
1583284657763,-8.801171,-0.48032284,1.5997287
1583284657813,-7.8875184,2.0612574,0.47988987
1583284657862,-7.7874517,2.421426,1.3560989
1583284657912,-8.665399,1.8689429,0.04521358
1583284657963,-12.92691,1.362169,-3.425284
1583284658012,-13.519146,-0.42176646,-4.915044
1583284658063,-11.48483,-1.8412614,-3.496048
1583284658112,-10.053541,-2.0053875,-2.0631037
1583284658162,-8.644316,-2.230608,-0.6955164
1583284658212,-7.6060658,-3.0335262,0.21332231
1583284658262,-7.607407,-5.0016365,1.4505262
1583284658312,-9.796995,-4.514196,0.64247483
1583284658363,-10.192608,-4.7758293,-0.27159485
1583284658412,-12.268544,-5.0223393,-1.2039547
1583284658462,-13.225277,-4.328661,-1.6051967
1583284658513,-13.403248,-3.1251717,-1.8308998
1583284658563,-13.031765,-1.9563129,-1.8906295
1583284658612,-11.567835,-0.7190139,-1.8645633
1583284658662,-10.627074,0.15587799,-1.701668
1583284658712,-11.233033,0.5124543,-2.761823
1583284658763,-11.719069,0.0335792,-3.5062928
1583284658812,-11.040237,0.53192604,-3.337904
1583284658863,-11.065898,2.1339185,-2.632263
1583284658913,-10.96942,1.9997698,-0.47310454
1583284658963,-10.337025,2.1890013,0.54483426
1583284659012,-10.561737,1.7987968,1.001361
1583284659063,-12.066255,-0.50534993,1.2342634
1583284659112,-11.995653,-1.0324336,-0.18199024
1583284659162,-11.294652,-1.7021637,-0.42137286
1583284659213,-11.029095,-2.2757719,-0.57142127
1583284659262,-9.854427,-2.9909534,0.14547913
1583284659313,-9.575508,-3.4862397,0.59659696
1583284659362,-11.099342,-3.527302,-0.31930137
1583284659412,-14.794357,-2.765392,-1.4081647
1583284659463,-13.691887,-1.6213347,-1.0751344
1583284659513,-13.416194,-1.1798337,-2.3040817
1583284659563,-12.85287,-0.9629226,-2.6261554
1583284659612,-11.455254,-0.8367404,-2.093097
1583284659663,-11.481014,-0.7039453,-2.088201
1583284659713,-12.394847,-0.1144867,-2.817592
1583284659762,-11.413756,0.41197816,-2.84934
1583284659813,-10.939747,1.0508554,-2.6610389
1583284659863,-8.74097,2.5856872,-1.7736028
1583284659912,-7.8115377,2.2814205,0.822664
1583284659962,-10.851145,1.507217,0.62730414
1583284660013,-12.344465,-0.27273786,1.5722047
1583284660062,-13.04006,-0.89089006,2.8667328
1583284660113,-14.467529,0.056510836,1.335331
1583284660163,-14.009816,-0.5822871,-0.046086807
1583284660212,-12.026775,-2.9547482,0.46476835
1583284660262,-9.309468,-3.4706676,1.016765
1583284660313,-10.429353,-1.6859698,0.6317687
1583284660363,-11.820938,-2.0103028,0.10547975
1583284660412,-13.831313,-2.290829,0.14481212
1583284660463,-15.440012,-2.1275558,-0.53268385
1583284660512,-14.403902,-1.3182106,-2.5889013
1583284660563,-13.675253,-0.1823433,-3.0310078
1583284660612,-12.074726,-0.0031091273,-2.4210172
1583284660663,-11.378809,-0.11287603,-2.2004626
1583284660713,-11.557336,0.07680724,-2.512288
1583284660763,-10.599496,-0.10485096,-2.4088283
1583284660812,-8.91009,0.35587108,-2.148961
1583284660862,-7.6475525,0.4205011,-1.8443204
1583284660912,-8.811519,0.5183452,-2.6362035
1583284660962,-11.116267,-1.2359481,-3.805244
1583284661012,-11.528297,-4.2282615,-2.6175382
1583284661063,-9.597901,-8.579816,2.1559207
1583284661112,-8.208599,-8.066319,0.8537363
1583284661163,-9.795291,-4.9985747,0.9452846
1583284661212,-9.859226,-12.511481,3.844417
1583284661263,-8.119859,-4.594702,-2.6969047
1583284661313,-8.172697,-1.6821156,-3.6503108
1583284661362,-9.928753,-2.7610214,-3.077293
1583284661412,-12.655145,-3.0325058,-3.4093761
1583284661463,-10.270763,-4.483343,-1.8923143
1583284661513,-9.830012,-2.4732707,-1.6386162
1583284661562,-9.370446,-2.2883375,-1.4316622
1583284661612,-7.229156,-1.9143368,-0.5856421
1583284661662,-6.352276,-1.4768525,-0.09513441
1583284661712,-7.2179837,-1.0158608,-0.19715983
1583284661762,-8.185329,-0.31805184,-0.3865146
1583284661812,-9.8433075,0.12381402,-0.6052859
1583284661862,-12.289556,-0.052058585,-0.8525528
1583284661912,-13.650739,-0.51895356,-1.2461386
1583284661962,-13.326625,-2.0304904,-0.43780458
1583284662012,-12.6489525,-3.3579237,0.6849643
1583284662062,-9.772823,-2.6812005,-0.0713781
