Time,accX,accY,accZ
1583282518012,-6.9624014,-7.1927238,-1.1877261
1583282518063,-7.429986,-6.1976824,-1.206034
1583282518112,-7.1722484,-6.4073906,-1.3470613
1583282518163,-6.504961,-7.43507,-1.7112973
1583282518213,-6.540856,-6.4395,-1.0689225
1583282518263,-5.4439692,-5.117635,-1.1470876
1583282518313,-4.6910996,-2.7935596,-1.2570956
1583282518362,-2.8583627,-3.2352273,-1.5416679
1583282518413,-0.6096357,-5.7956867,-2.122662
1583282518462,1.7521408,-6.699125,-2.2426772
1583282518513,3.5775113,-7.662484,-1.2573893
1583282518563,6.12675,-8.311771,1.664106
1583282518612,12.481629,-9.770023,4.362609
1583282518663,15.649902,-11.759873,-0.14294863
1583282518712,9.657095,-8.301935,-7.8694706
1583282518763,4.4309683,-10.8074045,-3.7215652
1583282518813,9.830157,-9.057945,-3.9305632
1583282518863,11.263193,-7.6211495,-0.8125806
1583282518912,11.119472,-5.835333,-0.95461893
1583282518963,10.426496,-3.7795353,-1.2436489
1583282519012,9.08175,-3.0687385,-0.96577275
1583282519062,8.584613,-3.7588415,-1.6282698
1583282519112,8.198659,-4.2770414,-2.4022944
1583282519162,8.059052,-3.8879457,-2.81081
1583282519212,7.733358,-4.5856013,-3.039853
1583282519263,7.5221148,-5.093613,-3.879724
1583282519312,7.4401083,-5.3397036,-4.6938615
1583282519363,7.6144133,-5.726061,-5.2369814
1583282519413,7.6540365,-5.593014,-6.0416284
1583282519462,6.608844,-5.553202,-7.720698
1583282519512,4.738269,-4.9203224,-8.541993
1583282519563,3.2344413,-6.3588176,-8.661226
1583282519612,3.1040733,-7.4893513,-10.542953
1583282519662,3.7942295,-7.1947455,-9.544639
1583282519712,2.4854188,-4.7105227,-7.0852723
1583282519762,-0.22084847,-1.7728388,-7.773203
1583282519812,0.5401895,0.7153788,-8.363842
1583282519862,3.6260672,-0.7991737,-6.1641684
1583282519913,3.7815597,-6.012296,-5.1955786
1583282519963,4.0898266,-5.615131,-3.5898426
1583282520013,6.022625,-9.265295,-1.7084475
1583282520063,5.624972,-14.679829,2.8602538
1583282520113,1.5899897,-13.283085,-4.3847513
1583282520163,1.0675708,-8.912723,-5.9273686
1583282520213,1.1416022,-9.147932,-4.866857
1583282520262,1.2541988,-8.61435,-3.1999297
1583282520312,2.2550309,-8.20365,-1.6398991
1583282520363,2.857617,-7.543554,-0.6685173
1583282520413,1.3027012,-8.229526,-4.285868
1583282520462,-0.5613955,-8.692263,-8.143681
1583282520512,0.5752014,-8.396953,-4.6360393
1583282520563,2.2376158,-8.455679,-1.586102
1583282520612,1.3163706,-7.1701336,-5.0448813
1583282520663,1.6900728,-7.3449817,-5.490699
1583282520712,2.551177,-9.552239,-4.006372
1583282520762,1.1877716,-8.52326,-8.388354
1583282520812,0.9908587,-7.5120916,-4.8312836
1583282520863,2.2335677,-8.515358,-7.516234
1583282520913,2.5806303,-9.2520685,-3.9967177
1583282520963,2.2747333,-8.823859,-2.4939861
1583282521012,2.9367847,-8.022864,-0.42824435
1583282521063,2.5169065,-5.353089,-11.910171
1583282521112,2.7805576,-7.5311413,-6.0714693
1583282521163,1.5304289,-5.896439,-1.29815
1583282521213,1.5799448,-7.536959,-3.4646304
1583282521263,1.817618,-10.276122,-4.9305534
1583282521312,1.4625732,-9.1589985,-3.9557655
1583282521363,2.0075746,-8.804961,-2.7088227
1583282521413,2.4352753,-9.096626,-2.581982
1583282521462,2.4159937,-8.484158,-2.9935336
