Time,accX,accY,accZ
1583285350311,1.840373,-6.050849,7.14443
1583285350332,1.2295206,-5.854418,6.9935136
1583285350351,0.647414,-4.728533,6.416198
1583285350371,1.5984275,-4.3668127,8.382903
1583285350391,2.20928,-5.9574246,8.670363
1583285350411,2.055968,-7.1599655,6.794687
1583285350431,1.150469,-8.534983,5.5274677
1583285350451,0.446192,-9.174581,4.677065
1583285350471,-0.7060435,-9.608167,4.0135117
1583285350490,0.1036355,-8.221172,5.017226
1583285350510,1.840373,-6.850946,6.8593655
1583285350531,2.3697784,-6.894065,7.1564074
1583285350550,2.97584,-5.9430513,7.1803627
1583285350570,2.674007,-6.472457,7.470218
1583285350590,2.0966916,-7.104869,7.0701694
1583285350610,1.9817075,-7.722908,6.2365355
1583285350631,1.653524,-7.967249,5.0627403
1583285350650,0.858218,-7.928921,4.715393
1583285350671,0.4533785,-7.5144997,5.7478533
1583285350690,1.078604,-6.3742414,5.855651
1583285350710,2.8632514,-7.0928917,6.8641567
1583285350730,4.853912,-8.314596,8.15054
1583285350750,3.852593,-9.38299,5.27594
1583285350770,1.519376,-8.652362,3.0265656
1583285350790,-0.828214,-9.703986,2.248028
1583285350810,-1.6307065,-10.918505,2.7438965
1583285350830,-0.488053,-9.876463,3.7691705
1583285350850,4.777256,-7.138406,7.6450896
1583285350870,5.888768,-4.867472,7.949318
1583285350890,3.0453095,-6.5275536,6.2844453
1583285350909,-0.5239855,-8.216381,3.776357
1583285350930,0.8079125,-8.49905,3.4194274
1583285350950,2.424875,-9.754292,3.26372
1583285350970,2.467994,-10.070498,3.268511
1583285350990,1.648733,-9.9387455,3.6877234
1583285351009,0.0365615,-8.635593,3.5631576
1583285351030,2.4416435,-5.72027,4.8231907
1583285351049,4.202336,-5.590913,6.0544777
1583285351069,2.228444,-7.751654,5.314268
1583285351089,1.0857905,-8.261895,4.2003603
1583285351109,2.16137,-7.3947244,4.9573383
1583285351129,4.2526417,-6.323936,6.1311336
1583285351148,3.3806796,-7.01384,5.151374
1583285351168,1.648733,-7.852265,4.31774
1583285351188,1.404392,-7.991204,4.5213575
1583285351209,1.4690706,-7.4522166,4.5788493
1583285351229,1.7373666,-7.881011,4.284203
1583285351248,2.439248,-9.665659,4.5932226
1583285351268,1.8427685,-9.845321,4.2243156
1583285351289,1.1720285,-9.88844,3.709283
1583285351309,1.3253405,-9.965096,3.6973054
1583285351329,0.7983305,-9.517138,3.3667264
1583285351348,-0.3467185,-10.003424,3.005006
1583285351369,-1.086928,-10.614277,2.7582695
1583285351389,0.10124,-9.435691,3.134363
1583285351408,1.519376,-8.350529,3.603881
1583285351428,-1.09651,-9.497973,2.54507
1583285351448,-0.8833105,-8.635593,3.2134144
1583285351468,-0.181429,-8.293037,3.450569
1583285351488,-0.6437605,-9.148231,3.158318
1583285351508,-0.516799,-9.150626,2.765456
1583285351528,0.283298,-8.357716,2.5139284
1583285351547,0.7647935,-7.818728,2.6528676
1583285351568,0.0892625,-8.192426,2.6768224
1583285351588,-0.612619,-8.645176,2.6432855
1583285351608,-0.823423,-8.791301,2.482787
1583285351628,-1.451044,-9.84053,1.9917095
1583285351648,-1.470208,-9.299147,1.3161784
1583285351668,-1.6929895,-8.944613,1.031114
1583285351687,-1.657057,-9.651285,1.328156
1583285351707,-0.9024745,-9.847716,2.0060825
1583285351727,-0.9647575,-9.519533,2.104298
1583285351747,-1.3097095,-8.637989,1.6419665
1583285351767,-1.1803524,-8.803279,1.7377865
1583285351787,-1.968472,-9.907604,1.452722
1583285351807,-2.77336,-10.204646,1.1437025
1583285351827,-1.9948225,-9.581816,1.1724485
1583285351847,0.225806,-8.69069,1.8192335
1583285351867,-0.047281,-8.954195,1.9677545
1583285351887,-2.5984886,-8.9709635,1.246709
1583285351907,-3.674068,-9.330289,0.7412585
1583285351927,-3.127894,-10.125594,0.925712
1583285351947,-3.094357,-10.334003,0.2525765
1583285351968,-1.4965585,-9.986655,0.7173035
1583285351987,-0.373069,-9.871672,0.633461
1583285352007,-1.2234715,-9.385385,0.1423835
1583285352027,-1.2043076,-8.848793,0.2382035
1583285352047,-0.7491625,-8.772137,0.427448
1583285352067,-1.28815,-9.19614,0.0034445
1583285352087,-2.2822826,-9.732733,-0.7008325
1583285352107,-2.7661736,-9.519533,-1.2997075
1583285352127,-2.711077,-9.351848,-1.5727946
1583285352147,-2.279887,-9.258424,-1.364386
1583285352166,-1.5013494,-9.09553,-1.3044986
1583285352187,-1.460626,-9.268005,-1.441042
1583285352206,-1.9325395,-9.045224,-1.843486
1583285352227,-2.4355946,-8.740995,-2.164483
1583285352246,-2.3924756,-8.623616,-1.8362995
1583285352266,-2.188858,-8.714645,-1.790785
1583285352286,-2.203231,-8.551751,-2.1525054
1583285352306,-2.140948,-8.336156,-2.466316
1583285352326,-2.136157,-8.252314,-2.15011
1583285352413,-2.9662478,-8.52718,-1.8295982
1583285352612,-0.91282916,-7.8237576,-3.5851035
1583285352663,-0.9386363,-8.147392,-4.1080384
1583285352712,-1.5485345,-8.823049,-4.390971
1583285352762,-1.219484,-8.66764,-4.3560166
1583285352812,-1.0456318,-8.359602,-4.038836
1583285352862,-0.9585658,-8.426933,-4.222812
1583285352913,-0.79438883,-8.417545,-4.459224
1583285352962,-1.6338111,-7.278245,-4.202497
1583285353013,-3.0518756,-7.467581,-4.0543256
1583285353062,-3.1310804,-9.276969,-3.9339647
1583285353113,-2.9362755,-8.174896,-3.9513884
1583285353162,-2.6335952,-8.275983,-3.8366864
1583285353213,-2.493743,-8.185931,-3.4356313
1583285353263,-2.443334,-8.499963,-3.809722
1583285353312,-2.344057,-8.61087,-3.8622837
1583285353363,-2.14418,-8.253773,-3.5656426
1583285353412,-1.9811469,-8.536077,-3.690904
1583285353462,-1.6592897,-8.621676,-3.6133285
1583285353513,-1.9195651,-8.468998,-3.8425608
1583285353563,-1.7830551,-8.051962,-4.0170865
1583285353612,-0.87482446,-8.0406275,-3.9858785
1583285353662,-0.7514065,-8.249691,-4.5640445
1583285353712,-1.4664104,-8.821289,-4.8224716
1583285353763,-1.6857303,-8.480316,-4.6335597
1583285353812,-1.7464786,-7.9676695,-4.01638
1583285353863,-1.4412211,-8.094751,-3.5971537
1583285353913,-2.206354,-8.65595,-4.318453
1583285353963,-2.7613294,-8.856815,-3.4169617
1583285354012,-2.57787,-8.847785,-2.958024
1583285354062,-2.7113583,-6.9072547,-1.7606521
1583285354113,-3.7473273,-7.124008,-1.5634673
1583285354163,-6.4447227,-7.6835656,-1.4276314
1583285354213,-7.8452,-9.092969,-1.4502952
1583285354262,-6.5962877,-9.58483,-1.3633002
1583285354312,-0.008055389,-8.017187,-0.70299876
1583285354362,-3.081994,-8.293629,-2.808609
1583285354412,-3.880841,-8.923295,-2.6501534
1583285354463,-3.185231,-8.150018,-2.6151032
1583285354512,-2.8950546,-8.343821,-2.752339
1583285354563,-2.504767,-8.525011,-2.6146696
1583285354612,-3.3320732,-8.741178,-3.061216
1583285354662,-2.8911784,-8.306802,-2.1870782
1583285354712,-1.4753408,-9.349863,0.5216265
1583285354762,-1.541625,-9.879141,-1.1841681
1583285354813,-1.5067507,-9.147271,-1.1702936
1583285354863,-1.5795925,-9.564005,-0.5887388
1583285354913,-1.4159673,-9.429915,-1.6144234
1583285354963,-0.7366008,-8.318675,-1.8135386
1583285355012,-1.1708102,-8.061472,-1.5788513
1583285355062,-1.9102514,-9.765814,-2.238044
1583285355112,-0.8816332,-9.1009035,-1.1215917
1583285355163,-4.3336864,-9.258133,-1.237927
1583285355213,-6.8735585,-8.061815,-1.4817162
1583285355262,-5.8390813,-7.3754363,-1.136882
1583285355312,-4.761035,-7.67197,-0.30257785
1583285355363,-5.7156196,-7.941115,-0.65447485
1583285355412,-5.6129003,-7.7578764,-0.8353597
1583285355462,-5.686309,-8.194177,-0.76487505
1583285355513,-6.296475,-7.3548117,-1.0532916
1583285355562,-5.490044,-7.033197,-0.41597116
1583285355612,-5.266296,-7.6980524,-0.5035009
1583285355663,-5.260697,-7.6805406,-0.54864043
1583285355713,-4.5621324,-8.566596,0.30972707
1583285355762,-4.417727,-8.566699,0.14449152
1583285355813,-4.4034204,-8.414443,0.3129608
1583285355862,-4.5786667,-8.669589,0.41927102
1583285355913,-4.607014,-8.291368,0.42900473
1583285355962,-4.3884106,-8.423578,0.8491249
1583285356012,-4.6673675,-8.346556,0.81747067
1583285356063,-4.627875,-8.135514,1.2418705
1583285356113,-4.4262133,-8.291912,1.6540645
1583285356163,-4.6398654,-7.922383,2.3405771
1583285356212,-4.2997403,-5.753171,1.7502646
1583285356262,-4.476841,-2.6327245,1.3029546
1583285356313,-1.4301531,-11.099289,6.1032825
1583285356363,-2.1337585,-14.501938,5.302693
1583285356412,-3.0029151,-6.433048,3.9687967
1583285356462,-3.1116061,-6.681131,4.105741
1583285356512,-1.9754469,-8.766099,4.389044
1583285356562,-1.2279984,-7.6581593,3.9064739
1583285356612,-2.4876337,-8.451364,4.512398
1583285356662,-2.680045,-7.79712,4.978328
1583285356712,-1.8372953,-9.347103,4.1818323
1583285356762,-1.1985997,-8.074411,4.6921325
1583285356812,-1.4302626,-8.805543,5.0968385
1583285356862,-1.2091712,-7.097005,5.842907
1583285356912,-1.0380716,-7.281239,7.058838
1583285356963,0.01149869,-7.709372,6.7684984
1583285357013,0.31567544,-5.9755707,5.683608
1583285357063,-2.3430085,-5.697876,9.301486
1583285357113,2.125269,-6.3733177,8.634748
1583285357163,3.5172105,-5.982679,5.328523
1583285357212,1.4934322,-5.097752,6.236708
1583285357262,1.7886835,-2.9323156,7.5469093
1583285357312,1.674387,-6.6108227,5.7830663
1583285357363,2.1435983,-10.686029,6.072147
1583285357413,-2.6500065,-4.2112503,5.952186
Time,accX,accY,accZ
1583285350311,1.840373,-6.050849,7.14443
1583285350332,1.2295206,-5.854418,6.9935136
1583285350351,0.647414,-4.728533,6.416198
1583285350371,1.5984275,-4.3668127,8.382903
1583285350391,2.20928,-5.9574246,8.670363
1583285350411,2.055968,-7.1599655,6.794687
1583285350431,1.150469,-8.534983,5.5274677
1583285350451,0.446192,-9.174581,4.677065
1583285350471,-0.7060435,-9.608167,4.0135117
1583285350490,0.1036355,-8.221172,5.017226
1583285350510,1.840373,-6.850946,6.8593655
1583285350531,2.3697784,-6.894065,7.1564074
1583285350550,2.97584,-5.9430513,7.1803627
1583285350570,2.674007,-6.472457,7.470218
1583285350590,2.0966916,-7.104869,7.0701694
1583285350610,1.9817075,-7.722908,6.2365355
1583285350631,1.653524,-7.967249,5.0627403
1583285350650,0.858218,-7.928921,4.715393
1583285350671,0.4533785,-7.5144997,5.7478533
1583285350690,1.078604,-6.3742414,5.855651
1583285350710,2.8632514,-7.0928917,6.8641567
1583285350730,4.853912,-8.314596,8.15054
1583285350750,3.852593,-9.38299,5.27594
1583285350770,1.519376,-8.652362,3.0265656
1583285350790,-0.828214,-9.703986,2.248028
1583285350810,-1.6307065,-10.918505,2.7438965
1583285350830,-0.488053,-9.876463,3.7691705
1583285350850,4.777256,-7.138406,7.6450896
1583285350870,5.888768,-4.867472,7.949318
1583285350890,3.0453095,-6.5275536,6.2844453
1583285350909,-0.5239855,-8.216381,3.776357
1583285350930,0.8079125,-8.49905,3.4194274
1583285350950,2.424875,-9.754292,3.26372
1583285350970,2.467994,-10.070498,3.268511
1583285350990,1.648733,-9.9387455,3.6877234
1583285351009,0.0365615,-8.635593,3.5631576
1583285351030,2.4416435,-5.72027,4.8231907
1583285351049,4.202336,-5.590913,6.0544777
1583285351069,2.228444,-7.751654,5.314268
1583285351089,1.0857905,-8.261895,4.2003603
1583285351109,2.16137,-7.3947244,4.9573383
1583285351129,4.2526417,-6.323936,6.1311336
1583285351148,3.3806796,-7.01384,5.151374
1583285351168,1.648733,-7.852265,4.31774
1583285351188,1.404392,-7.991204,4.5213575
1583285351209,1.4690706,-7.4522166,4.5788493
1583285351229,1.7373666,-7.881011,4.284203
1583285351248,2.439248,-9.665659,4.5932226
1583285351268,1.8427685,-9.845321,4.2243156
1583285351289,1.1720285,-9.88844,3.709283
1583285351309,1.3253405,-9.965096,3.6973054
1583285351329,0.7983305,-9.517138,3.3667264
1583285351348,-0.3467185,-10.003424,3.005006
1583285351369,-1.086928,-10.614277,2.7582695
1583285351389,0.10124,-9.435691,3.134363
1583285351408,1.519376,-8.350529,3.603881
1583285351428,-1.09651,-9.497973,2.54507
1583285351448,-0.8833105,-8.635593,3.2134144
1583285351468,-0.181429,-8.293037,3.450569
1583285351488,-0.6437605,-9.148231,3.158318
1583285351508,-0.516799,-9.150626,2.765456
1583285351528,0.283298,-8.357716,2.5139284
1583285351547,0.7647935,-7.818728,2.6528676
1583285351568,0.0892625,-8.192426,2.6768224
1583285351588,-0.612619,-8.645176,2.6432855
1583285351608,-0.823423,-8.791301,2.482787
1583285351628,-1.451044,-9.84053,1.9917095
1583285351648,-1.470208,-9.299147,1.3161784
1583285351668,-1.6929895,-8.944613,1.031114
1583285351687,-1.657057,-9.651285,1.328156
1583285351707,-0.9024745,-9.847716,2.0060825
1583285351727,-0.9647575,-9.519533,2.104298
1583285351747,-1.3097095,-8.637989,1.6419665
1583285351767,-1.1803524,-8.803279,1.7377865
1583285351787,-1.968472,-9.907604,1.452722
1583285351807,-2.77336,-10.204646,1.1437025
1583285351827,-1.9948225,-9.581816,1.1724485
1583285351847,0.225806,-8.69069,1.8192335
1583285351867,-0.047281,-8.954195,1.9677545
1583285351887,-2.5984886,-8.9709635,1.246709
1583285351907,-3.674068,-9.330289,0.7412585
1583285351927,-3.127894,-10.125594,0.925712
1583285351947,-3.094357,-10.334003,0.2525765
1583285351968,-1.4965585,-9.986655,0.7173035
1583285351987,-0.373069,-9.871672,0.633461
1583285352007,-1.2234715,-9.385385,0.1423835
1583285352027,-1.2043076,-8.848793,0.2382035
1583285352047,-0.7491625,-8.772137,0.427448
1583285352067,-1.28815,-9.19614,0.0034445
1583285352087,-2.2822826,-9.732733,-0.7008325
1583285352107,-2.7661736,-9.519533,-1.2997075
1583285352127,-2.711077,-9.351848,-1.5727946
1583285352147,-2.279887,-9.258424,-1.364386
1583285352166,-1.5013494,-9.09553,-1.3044986
1583285352187,-1.460626,-9.268005,-1.441042
1583285352206,-1.9325395,-9.045224,-1.843486
1583285352227,-2.4355946,-8.740995,-2.164483
1583285352246,-2.3924756,-8.623616,-1.8362995
1583285352266,-2.188858,-8.714645,-1.790785
1583285352286,-2.203231,-8.551751,-2.1525054
1583285352306,-2.140948,-8.336156,-2.466316
1583285352326,-2.136157,-8.252314,-2.15011
1583285352413,-2.9662478,-8.52718,-1.8295982
1583285352612,-0.91282916,-7.8237576,-3.5851035
1583285352663,-0.9386363,-8.147392,-4.1080384
1583285352712,-1.5485345,-8.823049,-4.390971
1583285352762,-1.219484,-8.66764,-4.3560166
1583285352812,-1.0456318,-8.359602,-4.038836
1583285352862,-0.9585658,-8.426933,-4.222812
1583285352913,-0.79438883,-8.417545,-4.459224
1583285352962,-1.6338111,-7.278245,-4.202497
1583285353013,-3.0518756,-7.467581,-4.0543256
1583285353062,-3.1310804,-9.276969,-3.9339647
1583285353113,-2.9362755,-8.174896,-3.9513884
1583285353162,-2.6335952,-8.275983,-3.8366864
1583285353213,-2.493743,-8.185931,-3.4356313
1583285353263,-2.443334,-8.499963,-3.809722
1583285353312,-2.344057,-8.61087,-3.8622837
1583285353363,-2.14418,-8.253773,-3.5656426
1583285353412,-1.9811469,-8.536077,-3.690904
1583285353462,-1.6592897,-8.621676,-3.6133285
1583285353513,-1.9195651,-8.468998,-3.8425608
1583285353563,-1.7830551,-8.051962,-4.0170865
1583285353612,-0.87482446,-8.0406275,-3.9858785
1583285353662,-0.7514065,-8.249691,-4.5640445
1583285353712,-1.4664104,-8.821289,-4.8224716
1583285353763,-1.6857303,-8.480316,-4.6335597
1583285353812,-1.7464786,-7.9676695,-4.01638
1583285353863,-1.4412211,-8.094751,-3.5971537
1583285353913,-2.206354,-8.65595,-4.318453
1583285353963,-2.7613294,-8.856815,-3.4169617
1583285354012,-2.57787,-8.847785,-2.958024
1583285354062,-2.7113583,-6.9072547,-1.7606521
1583285354113,-3.7473273,-7.124008,-1.5634673
1583285354163,-6.4447227,-7.6835656,-1.4276314
1583285354213,-7.8452,-9.092969,-1.4502952
1583285354262,-6.5962877,-9.58483,-1.3633002
1583285354312,-0.008055389,-8.017187,-0.70299876
1583285354362,-3.081994,-8.293629,-2.808609
1583285354412,-3.880841,-8.923295,-2.6501534
1583285354463,-3.185231,-8.150018,-2.6151032
1583285354512,-2.8950546,-8.343821,-2.752339
1583285354563,-2.504767,-8.525011,-2.6146696
1583285354612,-3.3320732,-8.741178,-3.061216
1583285354662,-2.8911784,-8.306802,-2.1870782
1583285354712,-1.4753408,-9.349863,0.5216265
1583285354762,-1.541625,-9.879141,-1.1841681
1583285354813,-1.5067507,-9.147271,-1.1702936
1583285354863,-1.5795925,-9.564005,-0.5887388
1583285354913,-1.4159673,-9.429915,-1.6144234
1583285354963,-0.7366008,-8.318675,-1.8135386
1583285355012,-1.1708102,-8.061472,-1.5788513
1583285355062,-1.9102514,-9.765814,-2.238044
1583285355112,-0.8816332,-9.1009035,-1.1215917
1583285355163,-4.3336864,-9.258133,-1.237927
1583285355213,-6.8735585,-8.061815,-1.4817162
1583285355262,-5.8390813,-7.3754363,-1.136882
1583285355312,-4.761035,-7.67197,-0.30257785
1583285355363,-5.7156196,-7.941115,-0.65447485
1583285355412,-5.6129003,-7.7578764,-0.8353597
1583285355462,-5.686309,-8.194177,-0.76487505
1583285355513,-6.296475,-7.3548117,-1.0532916
1583285355562,-5.490044,-7.033197,-0.41597116
1583285355612,-5.266296,-7.6980524,-0.5035009
1583285355663,-5.260697,-7.6805406,-0.54864043
1583285355713,-4.5621324,-8.566596,0.30972707
1583285355762,-4.417727,-8.566699,0.14449152
1583285355813,-4.4034204,-8.414443,0.3129608
1583285355862,-4.5786667,-8.669589,0.41927102
1583285355913,-4.607014,-8.291368,0.42900473
1583285355962,-4.3884106,-8.423578,0.8491249
1583285356012,-4.6673675,-8.346556,0.81747067
1583285356063,-4.627875,-8.135514,1.2418705
1583285356113,-4.4262133,-8.291912,1.6540645
1583285356163,-4.6398654,-7.922383,2.3405771
1583285356212,-4.2997403,-5.753171,1.7502646
1583285356262,-4.476841,-2.6327245,1.3029546
1583285356313,-1.4301531,-11.099289,6.1032825
1583285356363,-2.1337585,-14.501938,5.302693
1583285356412,-3.0029151,-6.433048,3.9687967
1583285356462,-3.1116061,-6.681131,4.105741
1583285356512,-1.9754469,-8.766099,4.389044
1583285356562,-1.2279984,-7.6581593,3.9064739
1583285356612,-2.4876337,-8.451364,4.512398
1583285356662,-2.680045,-7.79712,4.978328
1583285356712,-1.8372953,-9.347103,4.1818323
1583285356762,-1.1985997,-8.074411,4.6921325
1583285356812,-1.4302626,-8.805543,5.0968385
1583285356862,-1.2091712,-7.097005,5.842907
1583285356912,-1.0380716,-7.281239,7.058838
1583285356963,0.01149869,-7.709372,6.7684984
1583285357013,0.31567544,-5.9755707,5.683608
1583285357063,-2.3430085,-5.697876,9.301486
1583285357113,2.125269,-6.3733177,8.634748
1583285357163,3.5172105,-5.982679,5.328523
1583285357212,1.4934322,-5.097752,6.236708
1583285357262,1.7886835,-2.9323156,7.5469093
1583285357312,1.674387,-6.6108227,5.7830663
1583285357363,2.1435983,-10.686029,6.072147
1583285357413,-2.6500065,-4.2112503,5.952186
