Time,rotX,rotY,rotZosboxe
1583283596037,0.42873865,-0.16808607,-0.057734333
1583283596087,0.17222552,-0.16842358,-0.14544234
1583283596137,-0.15958028,0.07229917,-0.029545533
1583283596187,-0.46676368,0.18233837,0.22334892
1583283596238,-0.20446335,-0.0297302,0.11687444
1583283596288,-0.38587004,-0.13665843,0.08856015
1583283596337,-0.59635633,0.0052367332,0.057457365
1583283596388,-0.91913,0.18630013,0.24975342
1583283596437,-0.7007408,0.1102114,0.14538316
1583283596488,-0.34706149,-0.054536574,-0.162004
1583283596538,-0.14049609,0.019120697,-0.1275559
1583283596588,-0.25656736,0.1308416,0.15860052
1583283596637,-0.24651326,0.13317038,0.17578666
1583283596688,-0.03222943,3.773314E-4,-0.12334554
1583283596738,-0.10882661,-0.014968295,-0.22153199
1583283596788,-0.17306308,0.12132431,-0.0036190916
1583283596838,-0.064154334,0.10265686,0.23184894
1583283596887,0.5115941,-0.16710839,-0.011039386
1583283596938,0.30695543,-0.1961617,-0.19395103
1583283596987,-0.20237185,0.117807634,-0.101397574
1583283597037,-0.56839186,0.2952007,0.24122591
1583283597087,0.13090374,2.1056412E-4,0.099147946
1583283597138,0.29462865,-0.20107214,-0.121610805
1583283597188,-0.13298915,-0.0123001225,-0.11391648
1583283597237,-0.76076704,0.26696414,0.22369005
1583283597288,-0.28402206,0.12499463,0.18082558
1583283597338,0.0665442,-0.08136441,-0.010981405
1583283597388,-0.34853244,0.008466575,-0.097602725
1583283597438,-1.0015274,0.124724165,0.20751591
1583283597488,-1.5774034,-0.017466728,0.46329585
1583283597537,-2.7571414,-0.20128313,0.35512733
1583283597588,-3.2777004,-0.21797785,0.2586525
1583283597637,-2.3186574,-0.18044758,0.26343635
1583283597687,-2.6211567,0.24868567,0.13918017
1583283597737,-3.3823478,0.62739724,0.102353536
1583283597788,-3.9472764,0.90832067,0.30248076
1583283597838,-4.861222,0.8854135,0.8511706
1583283597887,-5.8621154,0.7197322,1.3181226
1583283597938,-3.6329162,0.9738195,1.235331
1583283597987,-0.20296188,0.9807335,0.8836458
1583283598038,0.11935507,0.8553881,0.590269
