Time,accX,accY,accZ
1583285589787,0.5164426,0.10258511,9.945752
1583285589837,0.5142677,0.096004,9.93687
1583285589888,0.53732455,0.10450356,9.960893
1583285589937,0.5142141,0.106329024,9.958605
1583285589988,0.51900053,0.103662275,9.941629
1583285590038,0.527639,0.11304121,9.966023
1583285590088,0.5218363,0.10784768,9.964238
1583285590137,0.5201151,0.09016718,9.93755
1583285590188,0.52574915,0.11091696,9.967915
1583285590237,0.51438004,0.10288475,9.955397
1583285590287,0.5246856,0.09291932,9.939125
1583285590338,0.50993603,0.10669598,9.939121
1583285590388,0.519667,0.105586,9.954531
1583285590437,0.53018826,0.10401463,9.946533
1583285590487,0.50251937,0.10218685,9.931173
1583285590538,0.53448325,0.113186754,9.971174
1583285590588,0.50741845,0.10255657,9.954211
1583285590637,0.5055148,0.10010276,9.941117
1583285590688,0.53426427,0.10655446,9.960621
1583285590737,0.515575,0.111686856,9.9323435
1583285590787,0.5192832,0.11203678,9.945996
1583285590837,0.5257713,0.10047018,9.94822
1583285590888,0.516597,0.07661266,9.916732
1583285590937,0.5156615,0.1354833,9.962262
1583285590987,0.5210112,0.1463519,9.993602
1583285591038,0.5323373,0.09530263,9.920908
1583285591087,0.5205015,0.1055125,9.9342375
1583285591137,0.5186886,0.14185616,9.999997
1583285591187,0.5200272,0.09768297,9.948731
1583285591238,0.518784,0.0869965,9.939806
1583285591287,0.50829554,0.10996735,9.942532
1583285591337,0.54550487,0.12187968,10.004098
1583285591388,0.50798595,0.09222989,9.924951
1583285591438,0.53184545,0.09282362,9.937039
1583285591487,0.50798583,0.11251533,9.968905
1583285591537,0.540533,0.11300004,9.955831
1583285591587,0.51524055,0.10783621,9.938425
1583285591637,0.523949,0.09542365,9.941928
1583285591688,0.5252435,0.11344104,9.960517
1583285591737,0.5090328,0.115247674,9.956827
1583285591787,0.524671,0.099213056,9.943715
1583285591838,0.5248838,0.10380806,9.947911
1583285591888,0.5171784,0.11342732,9.967191
1583285591937,0.5251487,0.10572826,9.952335
1583285591987,0.5259591,0.103439294,9.95516
1583285592038,0.51928514,0.1152895,9.968846
1583285592088,0.5162822,0.09972837,9.939087
1583285592138,0.5156615,0.11506134,9.951836
1583285592187,0.51027644,0.10198314,9.9399395
1583285592238,0.52048963,0.105586,9.957956
1583285592288,0.5125403,0.09473705,9.950688
1583285592338,0.5251715,0.1079815,9.951974
1583285592387,0.51441073,0.10485455,9.950599
1583285592437,0.5121033,0.098469585,9.947375
1583285592488,0.5335081,0.111836135,9.952511
1583285592537,0.52748275,0.09147342,9.95232
1583285592588,0.52243096,0.1031905,9.965426
1583285592637,0.527639,0.096856095,9.945345
1583285592687,0.5088962,0.10620722,9.937061
1583285592737,0.51609206,0.12431945,9.980014
1583285592787,0.52348536,0.10654208,9.953231
1583285592838,0.51716894,0.095115915,9.939297
1583285592888,0.5395362,0.11748318,9.963853
1583285592937,0.515421,0.10091527,9.956387
1583285592987,0.5152365,0.10537349,9.951015
1583285593037,0.5225734,0.11171206,9.958357
1583285593087,0.51851004,0.09917529,9.957653
1583285593138,0.52269375,0.103653215,9.950949
1583285593187,0.51893264,0.105817474,9.959721
1583285593237,0.51839614,0.10147328,9.939289
1583285593287,0.53625023,0.10361128,9.960147
1583285593338,0.52488625,0.09929273,9.94477
1583285593388,0.5204525,0.10801706,9.948703
1583285593438,0.52463514,0.1031905,9.952564
1583285593487,0.5236373,0.09718798,9.94956
1583285593538,0.51784426,0.10952605,9.955415
1583285593587,0.5148414,0.09669432,9.958947
1583285593638,0.50755584,0.10309284,9.941915
1583285593688,0.5179285,0.11073757,9.960328
1583285593738,0.5170697,0.09913998,9.940473
1583285593787,0.50932926,0.103877544,9.946478
1583285593838,0.516717,0.10371824,9.948098
1583285593887,0.5266643,0.10144479,9.953377
1583285593938,0.5165042,0.10530508,9.955624
1583285593988,0.520183,0.10674377,9.943611
1583285594038,0.5171572,0.10678964,9.946557
1583285594088,0.518057,0.10739672,9.949853
1583285594137,0.51440144,0.11069201,9.959839
1583285594188,0.51253635,0.11092769,9.942939
1583285594237,0.53355664,0.11257091,9.960672
1583285594287,0.51610726,0.10875639,9.948714
1583285594338,0.51010585,0.096258625,9.934831
1583285594387,0.527639,0.119071215,9.955125
1583285594437,0.5248017,0.09521363,9.929257
1583285594487,0.5289122,0.11674314,9.966185
1583285594537,0.5163698,0.102718264,9.93684
1583285594587,0.524535,0.100930035,9.950269
1583285594638,0.51603174,0.10993873,9.952969
1583285594687,0.5167082,0.104539275,9.942339
1583285594738,0.52149594,0.10906315,9.943727
1583285594787,0.5108705,0.10350328,9.945563
1583285594837,0.5182955,0.10596551,9.943761
1583285594888,0.5165708,0.10561532,9.968695
1583285594937,0.5001491,0.10083387,9.937622
1583285594988,0.5288903,0.11482842,9.957998
1583285595037,0.5211537,0.105819725,9.9532995
1583285595088,0.51964545,0.1031905,9.938659
1583285595138,0.5201141,0.1151948,9.959561
1583285595187,0.52089435,0.10268657,9.925039
1583285595237,0.52213717,0.11179872,9.949166
1583285595287,0.50964963,0.09356221,9.932981
1583285595337,0.5154532,0.11350157,9.962632
1583285595387,0.5217981,0.11172258,9.955095
1583285595437,0.51800865,0.107933156,9.943091
1583285595487,0.5182625,0.10380712,9.971254
1583285595538,0.50687987,0.10239014,9.955947
1583285595587,0.51288563,0.10142223,9.949941
1583285595638,0.52050644,0.10397102,9.953625
1583285595688,0.52062565,0.09874575,9.947857
1583285595737,0.5089093,0.10036073,9.938452
1583285595787,0.51712054,0.10569117,9.953833
1583285595837,0.5202963,0.09867735,9.957181
1583285595887,0.5067833,0.097977206,9.938428
1583285595938,0.5286978,0.11096924,9.968384
1583285595987,0.5164878,0.09683028,9.950386
1583285596037,0.5204525,0.09743235,9.954351
1583285596087,0.51816374,0.10287017,9.942908
1583285596138,0.5247429,0.103691116,9.955746
1583285596187,0.52063197,0.103369966,9.956388
1583285596238,0.51119536,0.10594124,9.952961
1583285596288,0.52008903,0.10565869,9.937946
1583285596338,0.527892,0.09947075,9.95328
1583285596387,0.5158804,0.1031905,9.951846
1583285596438,0.5196226,0.106691346,9.963103
1583285596488,0.51577455,0.10090805,9.942751
1583285596537,0.5120091,0.1042333,9.955039
1583285596587,0.5238947,0.0956589,9.953089
1583285596637,0.5235074,0.11873702,9.958531
1583285596687,0.5108849,0.0912561,9.940007
1583285596737,0.5198487,0.10379431,9.958539
1583285596788,0.5132122,0.10316359,9.950691
1583285596837,0.5157494,0.100795,9.952044
1583285596887,0.5109315,0.105586,9.951803
1583285596938,0.5150236,0.10367231,9.939979
1583285596988,0.5182472,0.109607145,9.946205
1583285597037,0.5265534,0.11254823,9.94825
1583285597088,0.50892717,0.10338427,9.9404955
1583285597138,0.5252435,0.11172097,9.954439
1583285597187,0.5162878,0.11005046,9.941094
1583285597238,0.514131,0.111242026,9.953176
1583285597288,0.5183475,0.117176116,9.95924
1583285597338,0.517074,0.10426809,9.957825
1583285597388,0.4974585,0.101742096,9.958168
